"SGB","median_min","individualized","A_stat","p_value","n_sample_pigs","n_sample_farmers","host_specific","category","clade_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","clade_taxid"
"SGB1005",0.645011359159957,TRUE,-0.00250055699315133,0.641,24,6,FALSE,"non_host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB337|o__OFGB337|f__FGB337|g__GGB13646|s__GGB13646_SGB1005|t__SGB1005","Bacteria","Firmicutes","CFGB337","OFGB337","FGB337","GGB13646","GGB13646_SGB1005","2|1239||||||"
"SGB10068",0.0608136855656686,FALSE,0.0355691752431136,0.001,53,23,TRUE,"host_specific + non_individualized","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli","2|1224|1236|91347|543|561|562|"
"SGB1016",0.462656900745336,TRUE,-0.000109508406932246,0.428,43,6,FALSE,"non_host_specific + individualized","k__Bacteria|p__Mycoplasmatota|c__CFGB341|o__OFGB341|f__FGB341|g__GGB99884|s__GGB99884_SGB1016|t__SGB1016","Bacteria","Mycoplasmatota","CFGB341","OFGB341","FGB341","GGB99884","GGB99884_SGB1016","2|544448||||||"
"SGB1303",0.165848244134636,FALSE,0.0169180804552915,0.23,10,5,FALSE,"non_host_specific + non_individualized","k__Bacteria|p__Bacteroidota|c__CFGB77217|o__OFGB77217|f__FGB77217|g__GGB1010|s__GGB1010_SGB1303|t__SGB1303","Bacteria","Bacteroidota","CFGB77217","OFGB77217","FGB77217","GGB1010","GGB1010_SGB1303","2|976||||||"
"SGB13972",0.45311981441095,TRUE,-0.0026626177244502,0.534,9,7,FALSE,"non_host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833|f__FGB2833|g__GGB9057|s__GGB9057_SGB13972|t__SGB13972","Bacteria","Firmicutes","CFGB2833","OFGB2833","FGB2833","GGB9057","GGB9057_SGB13972","2|1239||||||"
"SGB13976",0.214762180481158,FALSE,0.0582280451046611,0.001,75,16,TRUE,"host_specific + non_individualized","k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059|s__GGB9059_SGB13976|t__SGB13976","Bacteria","Firmicutes","CFGB73062","OFGB73062","FGB73062","GGB9059","GGB9059_SGB13976","2|1239||||||"
"SGB1404",0.402607204670764,TRUE,0.00530184813613788,0.011,56,21,TRUE,"host_specific + individualized","k__Bacteria|p__Bacteroidota|c__CFGB529|o__OFGB529|f__FGB529|g__GGB1093|s__GGB1093_SGB1404|t__SGB1404","Bacteria","Bacteroidota","CFGB529","OFGB529","FGB529","GGB1093","GGB1093_SGB1404","2|976||||||"
"SGB14238",0.512089579344815,TRUE,-0.00350815263911808,0.65,23,7,FALSE,"non_host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB84772|o__OFGB84772|f__FGB84772|g__GGB9285|s__GGB9285_SGB14238|t__SGB14238","Bacteria","Firmicutes","CFGB84772","OFGB84772","FGB84772","GGB9285","GGB9285_SGB14238","2|1239||||||"
"SGB14243",0.575389026068652,TRUE,0.0644133450666268,0.003,14,12,TRUE,"host_specific + individualized","k__Bacteria|p__Chloroflexota|c__CFGB94700|o__OFGB94700|f__FGB94700|g__GGB9288|s__GGB9288_SGB14243|t__SGB14243","Bacteria","Chloroflexota","CFGB94700","OFGB94700","FGB94700","GGB9288","GGB9288_SGB14243","2|200795||||||"
"SGB14252",0.450812100946213,TRUE,0.173453932922155,0.002,6,8,TRUE,"host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605|f__FGB4605|g__GGB13404|s__GGB13404_SGB14252|t__SGB14252","Bacteria","Firmicutes","CFGB4605","OFGB4605","FGB4605","GGB13404","GGB13404_SGB14252","2|1239||||||"
"SGB14253",0.696490897713363,TRUE,-0.0029285498917313,0.55,5,5,FALSE,"non_host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272|f__FGB9272|g__GGB9296|s__GGB9296_SGB14253|t__SGB14253","Bacteria","Firmicutes","CFGB9272","OFGB9272","FGB9272","GGB9296","GGB9296_SGB14253","2|1239||||||"
"SGB14255",0.590760833583417,TRUE,-0.00143049534411399,0.503,12,8,FALSE,"non_host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB94728|o__OFGB94728|f__FGB94728|g__GGB9297|s__GGB9297_SGB14255|t__SGB14255","Bacteria","Firmicutes","CFGB94728","OFGB94728","FGB94728","GGB9297","GGB9297_SGB14255","2|1239||||||"
"SGB14306",0.224769872691617,FALSE,0.0861456809611789,0.001,70,15,TRUE,"host_specific + non_individualized","k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306|t__SGB14306","Bacteria","Firmicutes","CFGB2982","OFGB2982","FGB2982","GGB9342","GGB9342_SGB14306","2|1239||||||"
"SGB14311",0.35547524482653,TRUE,0.414221613040624,0.001,37,12,TRUE,"host_specific + individualized","k__Bacteria|p__Firmicutes|c__CFGB9345|o__OFGB9345|f__FGB9345|g__GGB9345|s__GGB9345_SGB14311|t__SGB14311","Bacteria","Firmicutes","CFGB9345","OFGB9345","FGB9345","GGB9345","GGB9345_SGB14311","2|1239||||||"
"SGB14313",0.328510113292236,FALSE,0.150239183106523,0.001,43,18,TRUE,"host_specific + non_individualized","k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984|f__FGB2984|g__GGB9347|s__GGB9347_SGB14313|t__SGB14313","Bacteria","Firmicutes","CFGB2984","OFGB2984","FGB2984","GGB9347","GGB9347_SGB14313","2|1239||||||"
"SGB1437",0.48712660495794,TRUE,0.00919929189442403,0.01,45,19,TRUE,"host_specific + individualized","k__Bacteria|p__Bacteroidota|c__CFGB544|o__OFGB544|f__FGB544|g__GGB1123|s__GGB1123_SGB1437|t__SGB1437","Bacteria","Bacteroidota","CFGB544","OFGB544","FGB544","GGB1123","GGB1123_SGB1437","2|976||||||"
