	31637	31416	31557	31700	S29H1	530163	31723	S28Hp	31232	31129	531424	S7Hp	530050	530075	31112	530154	31711	530052	s10pp	s20pp	530251	31379	S6Hp	s21pp	31450
531424	0.44228748013030866	0.474084977480273	0.48940107363792956	0.5033612573250884	0.5191036201687067	0.5013653644929743	0.476891242217608	0.47710104088917754	0.14280647044982714	0.009571158233017345	0.0	0.11107064409824068	0.10065113354308994	0.11997646159763178	0.12296891652479425	0.06470887765244412	0.05153961755953901	0.07458196918437474	1.038330330847461	0.9555231678270297	0.13550342066950055	0.06672172456399914	0.16883384143926913	0.19872322707698664	0.1550178908327759
S7Hp	0.4827212237408635	0.5145187210908279	0.5298348172484844	0.5437950009356433	0.5595373637792616	0.5417991081035292	0.5173249858281628	0.5175347844997324	0.18324021406038202	0.10936925441806289	0.11107064409824068	0.0	0.10865257518861592	0.12797790324315778	0.1309703581703202	0.09198045037999311	0.09197336117009387	0.11501571279492959	1.0787640744580158	0.9959569114375846	0.1759371642800554	0.107155468174554	0.20926758504982398	0.2391569706875415	0.19545163444333075
530050	0.4723017131857128	0.5040992105356772	0.5194153066933337	0.5333754903804926	0.5491178532241108	0.5313795975483784	0.5069054752730121	0.5071152739445817	0.17282070350523127	0.09894974386291214	0.10065113354308994	0.10865257518861592	0.0	0.10039230748915962	0.10338476241632208	0.08156093982484236	0.08155385061494314	0.10459620223977886	1.0683445639028653	0.9855374008824338	0.16551765372490468	0.09673595761940326	0.19884807449467326	0.22873746013239077	0.18503212388818002
530075	0.49162704124025464	0.523424538590219	0.5387406347478756	0.5527008184350344	0.5684431812786527	0.5507049256029202	0.526230803327554	0.5264406019991235	0.1921460315597731	0.11827507191745398	0.11997646159763178	0.12797790324315778	0.10039230748915962	0.0	0.08015390364594688	0.10088626787938422	0.10087917866948498	0.12392153029432071	1.087669891957407	1.0048627289369756	0.18484298177944652	0.11606128567394511	0.2181734025492151	0.24806278818693261	0.20435745194272187
31112	0.4946194961674171	0.5264169935173815	0.5417330896750381	0.5556932733621969	0.5714356362058152	0.5536973805300827	0.5292232582547165	0.529433056926286	0.1951384864869356	0.12126752684461645	0.12296891652479425	0.1309703581703202	0.10338476241632208	0.08015390364594688	0.0	0.10387872280654668	0.10387163359664744	0.12691398522148317	1.0906623468845695	1.007855183864138	0.18783543670660896	0.11905374060110757	0.22116585747637757	0.2510552431140951	0.20734990686988436
530154	0.436359457295067	0.4681569546450313	0.4834730508026879	0.4974332344898467	0.5131755973334651	0.49543734165773257	0.4709632193823663	0.47117301805393585	0.13687844761458545	0.06300748797226632	0.06470887765244412	0.09198045037999311	0.08156093982484236	0.10088626787938422	0.10387872280654668	0.0	0.04561159472429731	0.06865394634913302	1.0324023080122193	0.949595144991788	0.12957539783425884	0.060793701728757435	0.16290581860402742	0.19279520424174493	0.1490898679975342
31711	0.4127792093085502	0.44457670665851456	0.4598928028161711	0.47385298650332996	0.48959534934694826	0.4718570936712158	0.44738297139584954	0.4475927700674191	0.11329819962806868	0.04983822787936121	0.05153961755953901	0.09197336117009387	0.08155385061494314	0.10087917866948498	0.10387163359664744	0.04561159472429731	0.0	0.03853125472833954	1.0022796163914258	0.9194724533709946	0.09945270621346534	0.03067101010796395	0.13932557061751066	0.16921495625522817	0.12550962001101745
530052	0.4358215609333859	0.46761905828335026	0.4829351544410068	0.49689533812816566	0.512637700971784	0.4948994452960515	0.47042532302068524	0.4706351216922548	0.1363405512529044	0.07288057950419694	0.07458196918437474	0.11501571279492959	0.10459620223977886	0.12392153029432071	0.12691398522148317	0.06865394634913302	0.03853125472833954	0.0	1.0136883081179284	0.9308811450974972	0.11086139793996794	0.042079701834466535	0.16236792224234636	0.19225730788006387	0.14855197163585315
s10pp	1.3995699225964724	1.4313674199464366	1.4466835161040932	1.4606436997912522	1.4763860626348704	1.458647806959138	1.4341736846837716	1.4343834833553413	1.1000889129159905	1.0366289411672833	1.038330330847461	1.0787640744580158	1.0683445639028653	1.087669891957407	1.0906623468845695	1.0324023080122193	1.0022796163914258	1.0136883081179284	0.0	0.0882450030917358	0.9595279184130138	0.9938254632949209	1.1261162839054326	1.1560056695431502	1.1123003332989396
s20pp	1.316762759576041	1.3485602569260053	1.3638763530836617	1.3778365367708205	1.393578899614439	1.3758406439387065	1.3513665216633401	1.3515763203349098	1.0172817498955593	0.9538217781468519	0.9555231678270297	0.9959569114375846	0.9855374008824338	1.0048627289369756	1.007855183864138	0.949595144991788	0.9194724533709946	0.9308811450974972	0.0882450030917358	0.0	0.8767207553925824	0.9110183002744896	1.0433091208850014	1.073198506522719	1.0294931702785082
530251	0.4967430124185117	0.5285405097684761	0.5438566059261326	0.5578167896132915	0.5735591524569097	0.5558208967811773	0.531346774505811	0.5315565731773806	0.1972620027380302	0.13380203098932275	0.13550342066950055	0.1759371642800554	0.16551765372490468	0.18484298177944652	0.18783543670660896	0.12957539783425884	0.09945270621346534	0.11086139793996794	0.9595279184130138	0.8767207553925824	0.0	0.09099855311696041	0.22328937372747218	0.2531787593651897	0.20947342312097894
31379	0.4279613163130103	0.45975881366297466	0.4750749098206312	0.48903509350779006	0.5047774563514084	0.4870392006756759	0.46256507840030964	0.4627748770718792	0.1284803066325288	0.06502033488382133	0.06672172456399914	0.107155468174554	0.09673595761940326	0.11606128567394511	0.11905374060110757	0.060793701728757435	0.03067101010796395	0.042079701834466535	0.9938254632949209	0.9110183002744896	0.09099855311696041	0.0	0.1545076776219708	0.1843970632596883	0.14069172701547755
S6Hp	0.4137601925944227	0.44555768994438705	0.4608737861020436	0.47483396978920245	0.49057633263282074	0.4728380769570883	0.448363954681722	0.4485737533532916	0.19336982945203504	0.16713245175909133	0.16883384143926913	0.20926758504982398	0.19884807449467326	0.2181734025492151	0.22116585747637757	0.16290581860402742	0.13932557061751066	0.16236792224234636	1.1261162839054326	1.0433091208850014	0.22328937372747218	0.1545076776219708	0.0	0.1388710385235944	0.12649060329688994
s21pp	0.4436495782321402	0.47544707558210453	0.4907631717397611	0.5047233554269199	0.5204657182705382	0.5027274625948057	0.4782533403194395	0.47846313899100906	0.22325921508975255	0.19702183739680884	0.19872322707698664	0.2391569706875415	0.22873746013239077	0.24806278818693261	0.2510552431140951	0.19279520424174493	0.16921495625522817	0.19225730788006387	1.1560056695431502	1.073198506522719	0.2531787593651897	0.1843970632596883	0.1388710385235944	0.0	0.15637998893460742
31450	0.30623368161055076	0.3380311789605151	0.35334727511817166	0.3673074588053305	0.3830498216489488	0.36531156597321635	0.3408374436978501	0.34104724236941963	0.1795538788455418	0.1533165011525981	0.1550178908327759	0.19545163444333075	0.18503212388818002	0.20435745194272187	0.20734990686988436	0.1490898679975342	0.12550962001101745	0.14855197163585315	1.1123003332989396	1.0294931702785082	0.20947342312097894	0.14069172701547755	0.12649060329688994	0.15637998893460742	0.0
