	S4Hp	530075	530119	530055	S26Hp	530258	31009	530163	31300	S25Hp	S8Hp	f7pp	f14ppB	w20pp	S6Hp	F3H1	530315	31519	S17H1	S19H1	31700	530331	31071
S8Hp	0.6888570169872003	0.5482822020622939	0.5442310218240012	0.4996542433878692	0.57951179648998	0.47183430283877553	0.4838875957679056	0.4921933177336964	0.5073771383383997	0.48604261186831266	0.0	0.3937911322333695	0.3953949486160833	0.4125556925286211	0.4482695605135717	0.5300363733618991	1.059048308203827	0.4830907611965136	0.5258580043503396	0.5373948141911551	0.4906149467472484	0.511422171304215	0.7944620618908965
f7pp	0.7289407793334399	0.5883659644085336	0.5843147841702409	0.5397380057341088	0.6195955588362196	0.5119180651850151	0.5239713581141452	0.5322770800799361	0.5474609006846394	0.5261263742145523	0.3937911322333695	0.0	0.03346392151883411	0.05062466543137194	0.48835332285981137	0.5701201357081387	1.0991320705500667	0.5231745235427533	0.5659417666965794	0.5774785765373948	0.5306987090934882	0.5515059336504546	0.8345458242371362
f14ppB	0.7305445957161537	0.5899697807912474	0.5859186005529546	0.5413418221168226	0.6211993752189334	0.5135218815677289	0.525575174496859	0.5338808964626498	0.5490647170673532	0.5277301905972661	0.3953949486160833	0.03346392151883411	0.0	0.02836468592291116	0.48995713924252515	0.5717239520908526	1.1007358869327803	0.5247783399254671	0.567545583079293	0.5790823929201085	0.5323025254762019	0.5531097500331685	0.83614964061985
w20pp	0.7477053396286916	0.6071305247037853	0.6030793444654925	0.5585025660293604	0.6383601191314713	0.5306826254802668	0.5427359184093968	0.5510416403751877	0.566225460979891	0.544890934509804	0.4125556925286211	0.05062466543137194	0.02836468592291116	0.0	0.507117883155063	0.5888846960033904	1.1178966308453182	0.5419390838380049	0.5847063269918309	0.5962431368326464	0.5494632693887398	0.5702704939457064	0.8533103845323878
S6Hp	0.6308011847012147	0.49022636977630835	0.4861751895380156	0.4415984111018836	0.5214559642039944	0.41377847055278993	0.42583176348192	0.4341374854477108	0.4493213060524141	0.4279867795823271	0.4482695605135717	0.48835332285981137	0.48995713924252515	0.507117883155063	0.0	0.4719805410759135	1.0009924759178412	0.42503492891052796	0.467802172064354	0.4793389819051695	0.43255911446126283	0.45336633901822937	0.736406229604911
F3H1	0.59772083753131	0.45714602260640363	0.4530948423681109	0.40851806393197887	0.4883756170340897	0.3806981233828852	0.39275141631201527	0.4010571382778061	0.4162409588825094	0.3949064324124224	0.5300363733618991	0.5701201357081387	0.5717239520908526	0.5888846960033904	0.4719805410759135	0.0	0.9679121287479366	0.39195458174062325	0.43472182489444927	0.4462586347352648	0.3994787672913581	0.42028599184832466	0.7033258824350063
530315	1.0487730492429388	0.9081982343180324	0.9041470540797396	0.8595702756436076	0.9394278287457184	0.8317503350945139	0.843803628023644	0.8521093499894348	0.8672931705941381	0.8459586441240511	1.059048308203827	1.0991320705500667	1.1007358869327803	1.1178966308453182	1.0009924759178412	0.9679121287479366	0.0	0.7110365286161321	0.885774036606078	0.8973108464468935	0.8505309790029869	0.8713382035599535	1.154378094146635
31519	0.4728155022356253	0.33224068731071893	0.32818950707242617	0.28361272863629416	0.363470281738405	0.2557927880872005	0.26784608101633056	0.2761518029821214	0.29133562358682474	0.2700010971167377	0.4830907611965136	0.5231745235427533	0.5247783399254671	0.5419390838380049	0.42503492891052796	0.39195458174062325	0.7110365286161321	0.0	0.30981648959876457	0.3213532994395801	0.2745734319956734	0.29538065655263995	0.5784205471393216
S17H1	0.2701713620259115	0.12959654710100516	0.12554536686271234	0.08096858842658033	0.20482993407605038	0.153779155206955	0.16583244813608505	0.21943559106770155	0.23461941167240485	0.26281936535695183	0.5258580043503396	0.5659417666965794	0.567545583079293	0.5847063269918309	0.467802172064354	0.43472182489444927	0.885774036606078	0.30981648959876457	0.0	0.09110071394769464	0.04510437600941469	0.06591360056738131	0.3757764069296078
S19H1	0.28170817186672703	0.14113335694182066	0.13708217670352785	0.09250539826739583	0.2163667439168659	0.1653159650477705	0.17736925797690054	0.23097240090851706	0.24615622151322036	0.27435617519776734	0.5373948141911551	0.5774785765373948	0.5790823929201085	0.5962431368326464	0.4793389819051695	0.4462586347352648	0.8973108464468935	0.3213532994395801	0.09110071394769464	0.0	0.05664118585023018	0.0774504104081968	0.3873132167704233
31700	0.2349283044228203	0.09435348949791397	0.09030230925962117	0.04572553082348915	0.1695868764729592	0.11853609760386383	0.13058939053299387	0.18419253346461037	0.19937635406931367	0.22757630775386065	0.4906149467472484	0.5306987090934882	0.5323025254762019	0.5494632693887398	0.43255911446126283	0.3994787672913581	0.8505309790029869	0.2745734319956734	0.04510437600941469	0.05664118585023018	0.0	0.030670542964290136	0.3405333493265166
530331	0.2557355289797869	0.11516071405488054	0.11110953381658774	0.06653275538045572	0.19039410102992577	0.1393433221608304	0.15139661508996044	0.20499975802157694	0.22018357862628024	0.24838353231082722	0.511422171304215	0.5515059336504546	0.5531097500331685	0.5702704939457064	0.45336633901822937	0.42028599184832466	0.8713382035599535	0.29538065655263995	0.06591360056738131	0.0774504104081968	0.030670542964290136	0.0	0.3613405738834832
31071	0.3298858322686338	0.31996301877704386	0.3509307415259796	0.34245172092550147	0.4734339916166074	0.422383212747512	0.43443650567664205	0.48803964860825855	0.5032234692129619	0.5314234228975089	0.7944620618908965	0.8345458242371362	0.83614964061985	0.8533103845323878	0.736406229604911	0.7033258824350063	1.154378094146635	0.5784205471393216	0.3757764069296078	0.3873132167704233	0.3405333493265166	0.3613405738834832	0.0
