	S17H1	S20H1	S31Hp	F14H1B	S21H1	S3Hp	F3H1	F14H1A	S16H2	S23Hp	31267	S19H1	s24H1	31236	F7H1	S30H1	S9H1	530215	F22HpB	F32H1	S26Hp	31219	S2Hp
31267	0.5371618194688095	0.45113054502339234	0.5094244185238654	0.4983927403604214	0.447779312461527	0.48586314593624336	0.48759461299914886	0.5173636667072816	0.4873127283195588	0.5209795770906733	0.0	0.41974065843155667	0.37622490968215205	0.38219065044033007	0.5252908963989809	0.4482919165660343	0.47225186576788397	0.47979468433968675	0.47562586932359846	0.46552641960957336	0.46835458916550693	0.45438818978159384	0.43283844020835355
S19H1	0.585143216206335	0.4991119417609179	0.557405815261391	0.5463741370979469	0.4957607091990526	0.5338445426737689	0.5355760097366744	0.5653450634448072	0.5352941250570844	0.5689609738281989	0.41974065843155667	0.0	0.38177007154618897	0.387735812304367	0.5732722931365064	0.49627331330355984	0.5202332625054096	0.5277760810772123	0.523607266061124	0.513507816347099	0.5163359859030325	0.5023695865191193	0.4808198369458791
s24H1	0.5416274674569304	0.4555961930115132	0.5138900665119863	0.5028583883485424	0.452244960449648	0.4903287939243643	0.4920602609872698	0.5218293146954026	0.49177837630767973	0.5254452250787943	0.37622490968215205	0.38177007154618897	0.0	0.09542117337387387	0.5297565443871017	0.45275756455415517	0.4767175137560049	0.4842603323278077	0.4800915173117194	0.4699920675976943	0.47282023715362786	0.4588538377697148	0.4373040881964745
31236	0.5475932082151085	0.46156193376969123	0.5198558072701644	0.5088241291067204	0.45821070120782603	0.4962945346825423	0.4980260017454478	0.5277950554535806	0.49774411706585775	0.5314109658369723	0.38219065044033007	0.387735812304367	0.09542117337387387	0.0	0.5357222851452799	0.4587233053123332	0.4826832545141829	0.4902260730859857	0.4860572580698974	0.4759578083558723	0.4787859779118059	0.4648195785278928	0.4432698289546525
F7H1	0.6547568382603022	0.568725563814885	0.6270194373153581	0.6159877591519141	0.5653743312530197	0.6034581647277361	0.6051896317906416	0.6349586854987743	0.6049077471110516	0.638574595882166	0.5252908963989809	0.5732722931365064	0.5297565443871017	0.5357222851452799	0.0	0.4766480919173298	0.5006080411191794	0.5459937999768453	0.541824984960757	0.5317255352467318	0.5345537048026654	0.5205873054187524	0.5504334589998463
S30H1	0.5777578584273555	0.49172658398193836	0.5500204574824115	0.5389887793189675	0.48837535142007316	0.5264591848947895	0.5281906519576949	0.5579597056658278	0.5279087672781049	0.5615756160492195	0.4482919165660343	0.49627331330355984	0.45275756455415517	0.4587233053123332	0.4766480919173298	0.0	0.37949931362886774	0.4689948201438987	0.46482600512781036	0.45472655541378526	0.45755472496971883	0.44358832558580574	0.4734344791668996
S9H1	0.6017178076292053	0.5156865331837881	0.5739804066842613	0.5629487285208172	0.5123353006219229	0.5504191340966391	0.5521506011595447	0.5819196548676775	0.5518687164799546	0.5855355652510692	0.47225186576788397	0.5202332625054096	0.4767175137560049	0.4826832545141829	0.5006080411191794	0.37949931362886774	0.0	0.49295476934574833	0.4887859543296601	0.478686504615635	0.48151467417156857	0.4675482747876555	0.49739442836874936
530215	0.6092606262010081	0.5232293517555909	0.581523225256064	0.57049154709262	0.5198781191937256	0.557961952668442	0.5596934197313475	0.5894624734394802	0.5594115350517574	0.5930783838228719	0.47979468433968675	0.5277760810772123	0.4842603323278077	0.4902260730859857	0.5459937999768453	0.4689948201438987	0.49295476934574833	0.0	0.4592220556021959	0.4491226058881708	0.4519507754441044	0.4379843760601913	0.5049372469405522
F22HpB	0.6050918111849197	0.5190605367395026	0.5773544102399757	0.5663227320765317	0.5157093041776374	0.5537931376523537	0.5555246047152591	0.585293658423392	0.5552427200356691	0.5889095688067837	0.47562586932359846	0.523607266061124	0.4800915173117194	0.4860572580698974	0.541824984960757	0.46482600512781036	0.4887859543296601	0.4592220556021959	0.0	0.3081950895228904	0.31102325907882394	0.3524980445763176	0.5007684319244639
F32H1	0.5949923614708947	0.5089610870254775	0.5672549605259507	0.5562232823625066	0.5056098544636123	0.5436936879383285	0.5454251550012341	0.5751942087093669	0.545143270321644	0.5788101190927586	0.46552641960957336	0.513507816347099	0.4699920675976943	0.4759578083558723	0.5317255352467318	0.45472655541378526	0.478686504615635	0.4491226058881708	0.3081950895228904	0.0	0.28707597656406714	0.3423985948622925	0.49066898221043875
S26Hp	0.5978205310268283	0.5117892565814111	0.5700831300818843	0.5590514519184402	0.5084380240195459	0.5465218574942621	0.5482533245571677	0.5780223782653005	0.5479714398775776	0.5816382886486922	0.46835458916550693	0.5163359859030325	0.47282023715362786	0.4787859779118059	0.5345537048026654	0.45755472496971883	0.48151467417156857	0.4519507754441044	0.31102325907882394	0.28707597656406714	0.0	0.3452267644182261	0.4934971517663723
31219	0.5838541316429151	0.49782285719749797	0.5561167306979711	0.5450850525345271	0.49447162463563277	0.5325554581103491	0.5342869251732545	0.5640559788813874	0.5340050404936645	0.5676718892647791	0.45438818978159384	0.5023695865191193	0.4588538377697148	0.4648195785278928	0.5205873054187524	0.44358832558580574	0.4675482747876555	0.4379843760601913	0.3524980445763176	0.3423985948622925	0.3452267644182261	0.0	0.47953075238245924
S2Hp	0.4802686735630349	0.3942373991176177	0.4990164139394972	0.48798473577605317	0.43737130787715883	0.4754551413518751	0.4771866084147806	0.5069556621229134	0.47690472373519055	0.5105715725063051	0.43283844020835355	0.4808198369458791	0.4373040881964745	0.4432698289546525	0.5504334589998463	0.4734344791668996	0.49739442836874936	0.5049372469405522	0.5007684319244639	0.49066898221043875	0.4934971517663723	0.47953075238245924	0.0
