	f25pp	w16pp	f16ppA	f16ppB	w29pp	w6pp	w11pp	f10pp	f24pp	w18pp	f13pp	w23pp	f20ppA	w26pp	w8pp	f2pp	S22Hp	S18H1	w12pp	f22ppA	S14Hp	w1pp	w14pp	F6H1	w13pp	w28pp	w10pp	f14ppB	S9H1	S26Hp	w24pp	f12ppB	f8pp	w2pp	S12Hp
f13pp	0.47456721044492634	0.4008366471797169	0.4628242331934797	0.42338494528025783	0.45603069331392854	0.48132503879185223	0.394186505786027	0.38912244792391737	0.3547701199617591	0.24371940397610786	0.0	0.2646718831263886	0.2722305188052452	0.31204010290562806	0.27742583087236605	0.27906483222548106	0.5024480278587549	0.5357725773025671	0.3646417401796196	0.3778836790314071	0.4631431857278223	0.4413364603238098	0.3501355976631506	0.48872237069032864	0.4825212465561396	0.421164720635075	0.34918998597628703	0.3650410527790146	0.4896546634981017	0.5675756442920717	0.4057110753268879	0.36680157466223395	0.36471219913950026	0.3485108865602202	0.46845378082663924
w23pp	0.5117148923157531	0.43798432905054363	0.4999719150643065	0.4605326271510846	0.4931783751847553	0.518472720662679	0.4313341876568537	0.4262701297947442	0.39191780183258584	0.28086708584693465	0.2646718831263886	0.0	0.30937820067607197	0.34918778477645485	0.31457351274319284	0.31621251409630785	0.5395957097295817	0.572920259173394	0.40178942205044643	0.4150313609022339	0.5002908675986492	0.47848414219463664	0.38728327953397734	0.5258700525611555	0.5196689284269663	0.4583124025059018	0.3863376678471138	0.4021887346498414	0.5268023453689286	0.6047233261628986	0.44285875719771467	0.4039492565330608	0.40185988101032705	0.38565856843104707	0.5056014626974661
f20ppA	0.46202343212999664	0.3882928688647872	0.45028045487855	0.41084116696532813	0.44348691499899884	0.46878126047692253	0.3816427274710973	0.37657866960898767	0.3422263416468294	0.23117562566117816	0.2722305188052452	0.30937820067607197	0.0	0.17468639533253325	0.22936846967996033	0.26652105391055136	0.48990424954382517	0.5232287989876374	0.3520979618646899	0.36533990071647743	0.4505994074128926	0.4287926820088801	0.3375918193482209	0.47617859237539895	0.4699774682412099	0.4086209423201453	0.33664620766135733	0.3524972744640849	0.477110885183172	0.555031865977142	0.3931672970119582	0.35425779634730425	0.35216842082457056	0.3359671082452905	0.45591000251170954
w26pp	0.5018330162303795	0.42810245296517	0.4900900389789329	0.450650751065711	0.4832964990993817	0.5085908445773054	0.4214523115714801	0.4163882537093706	0.38203592574721223	0.27098520976156104	0.31204010290562806	0.34918778477645485	0.17468639533253325	0.0	0.2691780537803432	0.30633063801093424	0.5297138336442081	0.5630383830880203	0.3919075459650728	0.4051494848168603	0.49040899151327555	0.46860226610926303	0.37740140344860373	0.5159881764757819	0.5097870523415927	0.44843052642052816	0.3764557917617402	0.3923068585644678	0.516920469283555	0.594841450077525	0.432976881112341	0.39406738044768713	0.3919780049249534	0.37577669234567346	0.4957195866120924
w8pp	0.4672187441971175	0.39348818093190807	0.4554757669456709	0.416036479032449	0.4486822270661197	0.4739765725440434	0.38683803953821816	0.38177398167610854	0.3474216537139503	0.23637093772829904	0.27742583087236605	0.31457351274319284	0.22936846967996033	0.2691780537803432	0.0	0.27171636597767224	0.49509956161094604	0.5284241110547583	0.35729327393181076	0.3705352127835983	0.4557947194800135	0.43398799407600097	0.3427871314153418	0.4813739044425198	0.47517278030833077	0.41381625438726616	0.3418415197284782	0.3576925865312058	0.4823061972502929	0.5602271780442629	0.39836260907907906	0.3594531084144251	0.35736373289169143	0.3411624203124114	0.4611053145788304
f2pp	0.42418030526996864	0.35044974200475915	0.41243732801852195	0.37299804010530013	0.40564378813897084	0.4309381336168945	0.34379960061106923	0.3387355427489597	0.30438321478680136	0.19333249880115014	0.27906483222548106	0.31621251409630785	0.26652105391055136	0.30633063801093424	0.27171636597767224	0.0	0.45206112268379717	0.4853856721276094	0.3142548350046619	0.3274967738564494	0.4127562805528646	0.3909495551488521	0.29974869248819286	0.43833546551537095	0.43213434138118184	0.37077781546011723	0.29880308080132933	0.31465414760405686	0.439267758323144	0.517188739117114	0.35532417015193013	0.31641466948727626	0.3143252939645425	0.2981239813852625	0.41806687565168155
S22Hp	0.5963208516401142	0.5225902883749046	0.5845778743886675	0.5451385864754457	0.5777843345091163	0.60307867998704	0.5159401469812147	0.5108760891191052	0.47652376115694683	0.36547304517129564	0.5024480278587549	0.5395957097295817	0.48990424954382517	0.5297138336442081	0.49509956161094604	0.45206112268379717	0.0	0.4186667365280364	0.4039157067567116	0.4611090615285347	0.54636856822495	0.5245618428209374	0.4333609801602782	0.5719477531874563	0.5657466290532671	0.5043901031322026	0.47094362717147475	0.4867946939742024	0.6114083046932894	0.6893292854872595	0.5274647165220756	0.4885552158574217	0.486465840334688	0.47026452775540806	0.590207422021827
S18H1	0.6296454010839263	0.5559148378187169	0.6179024238324797	0.5784631359192578	0.6111088839529286	0.6364032294308523	0.549264696425027	0.5442006385629174	0.5098483106007591	0.3987975946151079	0.5357725773025671	0.572920259173394	0.5232287989876374	0.5630383830880203	0.5284241110547583	0.4853856721276094	0.4186667365280364	0.0	0.43724025620052387	0.49443361097234695	0.5796931176687622	0.5578863922647497	0.46668552960409043	0.6052723026312685	0.5990711784970795	0.5377146525760148	0.504268176615287	0.5201192434180146	0.6447328541371018	0.7226538349310718	0.5607892659658879	0.5218797653012339	0.5197903897785002	0.5035890771992203	0.6235319714656393
w12pp	0.4585145639609788	0.38478400069576935	0.44677158670953215	0.4073322987963103	0.439978046829981	0.4652723923079046	0.3781338593020794	0.3730698014399698	0.3387174734778115	0.22766675749216028	0.3646417401796196	0.40178942205044643	0.3520979618646899	0.3919075459650728	0.35729327393181076	0.3142548350046619	0.4039157067567116	0.43724025620052387	0.0	0.3233027738493994	0.40856228054581467	0.38675555514180215	0.2955546924811429	0.434141465508321	0.4279403413741319	0.3665838154530673	0.3331373394923395	0.348988406295067	0.47360201701415416	0.5515229978081242	0.3896584288429403	0.3507489281782864	0.34865955265555265	0.33245824007627267	0.4524011343426917
f22ppA	0.47175650281276627	0.39802593954755683	0.46001352556131964	0.42057423764809776	0.45321998568176847	0.47851433115969216	0.3913757981538669	0.3863117402917573	0.35195941232959904	0.2409086963439478	0.3778836790314071	0.4150313609022339	0.36533990071647743	0.4051494848168603	0.3705352127835983	0.3274967738564494	0.4611090615285347	0.49443361097234695	0.3233027738493994	0.0	0.3501063297573921	0.32829960435337957	0.23709874169272036	0.41724862615725644	0.4110475020230674	0.3496909761020028	0.34637927834412696	0.36223034514685454	0.48684395586594165	0.5647649366599117	0.4029003676947278	0.3639908670300739	0.3619014915073402	0.34570017892806015	0.4656430731944792
