	F14H1A	S10H1	S9H1	31300	31328	S16H2	530258	530451	31129	31379	530119	31537	531414	F23HpA	F22H1A	S27H1	S6Hp	S3Hp	530177	31112	31021	F16H1	530295	31749	S13Hp	530394	S31Hp	530050	31219	S4Hp	S11Hp	s24H1	S17H1
530119	0.518619312960713	0.4656610541875553	0.36044976946266716	0.38056063996406486	0.4015124101380898	0.4948780938249943	0.45652413334537245	0.39854885581043575	0.46856278130384715	0.3892438594457621	0.0	0.2919939021213259	0.3122041799253301	0.46419995655237023	0.4974113210389827	0.4855510033211638	0.48147992184955096	0.3253109002764164	0.5196061546593989	0.37838327440817154	0.38586350120488855	0.42342695350425075	0.41511264413490406	0.4143542361509839	0.3482803014707383	0.39293586333555486	0.3940408619744001	0.4177920920153376	0.38556559662705125	0.4519945163828757	0.4636768039088605	0.4697345999048451	0.4399555860830682
31537	0.49482069985404403	0.4418624410808864	0.3366511563559982	0.356762026857396	0.37771379703142083	0.4710794807183254	0.43272552023870353	0.37475024270376683	0.44476416819717823	0.36544524633909325	0.2919939021213259	0.0	0.2503830952370685	0.4404013434457013	0.4736127079323138	0.4617523902144949	0.45768130874288204	0.3015122871697475	0.4958075415527299	0.3545846613015026	0.36206488809821963	0.3996283403975818	0.39131403102823514	0.39055562304431496	0.3244816883640693	0.36913725022888594	0.37024224886773116	0.3939934789086687	0.36176698352038233	0.42819590327620677	0.4398781908021916	0.44593598679817625	0.41615697297639925
531414	0.5150309776580482	0.4620727188848906	0.3568614341600024	0.3769723046614002	0.397924074835425	0.4912897585223296	0.4529357980427077	0.39496052050777103	0.46497444600118243	0.38565552414309745	0.3122041799253301	0.2503830952370685	0.0	0.4606116212497055	0.493822985736318	0.4819626680184991	0.47789158654688624	0.3217225649737517	0.5160178193567341	0.3747949391055068	0.3822751659022238	0.419838618201586	0.41152430883223934	0.41076590084831915	0.3446919661680735	0.38934752803289013	0.39045252667173536	0.4142037567126729	0.38197726132438653	0.44840618108021096	0.4600884686061958	0.46614626460218045	0.43636725078040345
F23HpA	0.6006163793103239	0.5476581205371662	0.44244683581227806	0.46255770631367576	0.4835094764877007	0.5768751601746052	0.5385211996949834	0.48054592216004666	0.5505598476534581	0.471240925795373	0.46419995655237023	0.4404013434457013	0.4606116212497055	0.0	0.13336655569614497	0.45370898879378463	0.44963790732217185	0.2934688857490373	0.5377133237781058	0.39649044352687846	0.4417869645704118	0.479350416869774	0.4710361075004273	0.4963513025005948	0.4302773678203492	0.47493292968516576	0.476037928324011	0.4997891583649485	0.46756266297666216	0.5339915827324866	0.5456738702584714	0.551731666254456	0.5219526524326791
F22H1A	0.6338277437969364	0.5808694850237788	0.4756582002988905	0.4957690708002883	0.5167208409743131	0.6100865246612177	0.5717325641815958	0.5137572866466591	0.5837712121400706	0.5044522902819856	0.4974113210389827	0.4736127079323138	0.493822985736318	0.13336655569614497	0.0	0.4869203532803972	0.48284927180878434	0.3266802502356497	0.5709246882647182	0.4297018080134909	0.47499832905702427	0.5125617813563865	0.5042474719870398	0.5295626669872073	0.46348873230696164	0.5081442941717782	0.5092492928106235	0.5330005228515611	0.5007740274632746	0.5672029472190991	0.5788852347450839	0.5849430307410686	0.5551640169192915
S27H1	0.6219674260791175	0.5690091673059599	0.4637978825810716	0.4839087530824694	0.5048605232564942	0.5982262069433988	0.5598722464637769	0.5018969689288402	0.5719108944222516	0.49259197256416665	0.4855510033211638	0.4617523902144949	0.4819626680184991	0.45370898879378463	0.4869203532803972	0.0	0.35528134046697446	0.2821760124145416	0.5590643705468993	0.41784149029567197	0.46313801133920535	0.5007014636385676	0.49238715426922086	0.5177023492693884	0.4516284145891427	0.49628397645395933	0.49738897509280455	0.5211402051337422	0.4889137097454557	0.5553426295012802	0.567024917027265	0.5730827130232496	0.5433036992014726
S6Hp	0.6178963446075045	0.5649380858343469	0.45972680110945874	0.47983767161085655	0.5007894417848814	0.594155125471786	0.5558011649921641	0.4978258874572274	0.5678398129506388	0.4885208910925538	0.48147992184955096	0.45768130874288204	0.47789158654688624	0.44963790732217185	0.48284927180878434	0.35528134046697446	0.0	0.27810493094292876	0.5549932890752864	0.41377040882405913	0.4590669298675925	0.4966303821669547	0.488316072797608	0.5136312677977755	0.4475573331175299	0.4922128949823465	0.4933178936211917	0.5170691236621292	0.4848426282738429	0.5512715480296673	0.5629538355556521	0.5690116315516368	0.5392326177298598
S3Hp	0.46172732303437003	0.4087690642612124	0.30355777953632423	0.32366865003772194	0.3446204202117469	0.4379861038986514	0.39963214341902953	0.34165686588409283	0.41167079137750423	0.3323518695194192	0.3253109002764164	0.3015122871697475	0.3217225649737517	0.2934688857490373	0.3266802502356497	0.2821760124145416	0.27810493094292876	0.0	0.3988242675021519	0.2576013872509246	0.30289790829445795	0.34046136059382015	0.33214705122447347	0.35746224622464096	0.2913883115443954	0.33604387340921194	0.33714887204805716	0.3609001020889947	0.32867360670070833	0.39510252645653277	0.4067848139825176	0.4128426099785022	0.38306359615672525
530177	0.6560225774173525	0.6030643186441949	0.4978530339193066	0.5179639044207044	0.5389156745947292	0.6322813582816338	0.5939273978020119	0.5359521202670752	0.6059660457604866	0.5266471239024016	0.5196061546593989	0.4958075415527299	0.5160178193567341	0.5377133237781058	0.5709246882647182	0.5590643705468993	0.5549932890752864	0.3988242675021519	0.0	0.43487205957043484	0.49719316267744035	0.5347566149768026	0.5264423056074559	0.5517575006076234	0.4856835659273777	0.5303391277921943	0.5314441264310396	0.5551953564719772	0.5229688610836907	0.5893977808395152	0.6010800683655	0.6071378643614846	0.5773588505397076
31112	0.5147996971661252	0.46184143839296754	0.3566301536680794	0.3767410241694771	0.397692794343502	0.49105847803040653	0.45270451755078467	0.39472924001584797	0.46474316550925937	0.38542424365117434	0.37838327440817154	0.3545846613015026	0.3747949391055068	0.39649044352687846	0.4297018080134909	0.41784149029567197	0.41377040882405913	0.2576013872509246	0.43487205957043484	0.0	0.3559702824262131	0.3935337347255753	0.3852194253562286	0.4105346203563961	0.3444606856761505	0.3891162475409671	0.3902212461798123	0.41397247622074984	0.38174598083246347	0.4481749005882879	0.45985718811427273	0.46591498411025734	0.4361359702884804
