	w2pp	s2pp	s18pp	s12pp	s25pp	s16pp	s1pp	s11pp	s29pp	s8pp	s24pp	w15pp	s22pp	w18pp	w6pp	w32pp	s32pp	s13pp	s7pp	w7pp	s23pp	s9pp	S26Hp	w30pp	s30pp	S22Hp	w14pp	s14pp	s17pp	s28pp	s19pp	S1Hp	S9H1	s31pp	s4pp	s10pp	w4pp	s3pp	S14Hp	s27pp
s24pp	0.41340961611446375	0.3573242641788568	0.3696950495764658	0.3368606159414572	0.27647653983093656	0.3585260283999526	0.23889238980104205	0.31960395037821904	0.29061978974202707	0.3310716683903754	0.0	0.45596922333153994	0.3955819255784815	0.5005341258539724	0.40889823874490994	0.5242844998195141	0.5219761874455596	0.3585561021256156	0.4488425565068035	0.43276827261351036	0.5090586597421025	0.3849360531406105	0.5373494780257826	0.346729564631026	0.34509015436945034	0.4663359284351806	0.3690396796619387	0.3098231252637671	0.2913987830394302	0.3770694213414327	0.3771559342828881	0.4641885786725851	0.6216868465460003	0.32539736900906935	0.2953368304698454	0.4379668073763906	0.3884538518164407	0.3334906351565936	0.45030236324959705	0.37464275058595914
w15pp	0.4729486248177076	0.4168632728821007	0.4292340582797097	0.3963996246447011	0.37633911517876417	0.4583886037477803	0.3387549651488697	0.4194665257260467	0.4189377234569135	0.5297698010359725	0.45596922333153994	0.0	0.2992997042677584	0.427208043713895	0.4164058589270382	0.5317921200016422	0.5294838076276878	0.36606372230774387	0.4563501766889317	0.44027589279563856	0.5165662799242308	0.3924436733227387	0.5448570982079108	0.35423718481315425	0.3525977745515786	0.4738435486173088	0.40629439401131673	0.3470778396131451	0.32865349738880817	0.4143241356908107	0.4366949429861319	0.5237275873758289	0.6812258552492441	0.3849363777123132	0.35487583917308924	0.4975058160796344	0.44799286051968457	0.3930296438598374	0.5098413719528408	0.434181759289203
s22pp	0.4125613270646492	0.3564759751290423	0.3688467605266513	0.3360123268916427	0.31595181742570577	0.39800130599472183	0.2783676673958113	0.3590792279729883	0.3585504257038551	0.4693825032829141	0.3955819255784815	0.2992997042677584	0.0	0.36682074596083664	0.3560185611739798	0.4714048222485839	0.4690965098746294	0.30567642455468547	0.3959628789358733	0.37988859504258016	0.4561789821711723	0.3320563755696803	0.48446980045485244	0.29384988706009585	0.2922104767985202	0.4134562508642504	0.34590709625825833	0.2866905418600867	0.26826619963574977	0.3539368379377523	0.3763076452330735	0.4633402896227705	0.6208385574961857	0.3245490799592548	0.29448854142003084	0.437118518326576	0.38760556276662617	0.332642346106779	0.44945407419978245	0.3737944615361446
w18pp	0.5175135273401401	0.4614281754045332	0.4737989608021422	0.4409645271671336	0.4209040177011967	0.5029535062702128	0.3833198676713022	0.4640314282484792	0.463502625979346	0.574334703558405	0.5005341258539724	0.427208043713895	0.36682074596083664	0.0	0.4609707614494707	0.5763570225240748	0.5740487101501204	0.41062862483017637	0.5009150792113641	0.48484079531807106	0.5611311824466632	0.4370085758451712	0.5894220007303433	0.39880208733558675	0.3971626770740111	0.5184084511397413	0.45085929653374923	0.39164274213557765	0.37321839991124073	0.4588890382132432	0.4812598455085644	0.5682924898982614	0.7257907577716767	0.4295012802347457	0.39944074169552174	0.5420707186020669	0.49255776304211707	0.4375945463822699	0.5544062744752734	0.4787466618116355
w6pp	0.42587764023107766	0.36979228829547073	0.3821630736930797	0.3493286400580711	0.3292681305921342	0.4113176191611503	0.29168398056223976	0.37239554113941675	0.37186673887028354	0.48269881644934254	0.40889823874490994	0.4164058589270382	0.3560185611739798	0.4609707614494707	0.0	0.3656952183555385	0.363386905981584	0.19996682066164007	0.39827982801466255	0.3822055441213694	0.4584959312499616	0.3343733246484696	0.48678674953364165	0.29616683613888506	0.2945274258773094	0.4157731999430397	0.3592234094246868	0.30000685502651514	0.2815825128021782	0.3672531511041808	0.3896239583995019	0.47665660278919897	0.6341548706626141	0.33786539312568326	0.3078048545864593	0.45043483149300445	0.4009218759330546	0.34595865927320746	0.4627703873662109	0.38711077470257305
w32pp	0.5412639013056817	0.4851785493700748	0.4975493347676838	0.4647149011326752	0.44465439166673837	0.5267038802357544	0.40707024163684385	0.48778180221402084	0.48725299994488763	0.5980850775239466	0.5242844998195141	0.5317921200016422	0.4714048222485839	0.5763570225240748	0.3656952183555385	0.0	0.002310312374954494	0.28146167737973765	0.5136660890892666	0.49759180519597346	0.5738821923245656	0.4497595857230736	0.6021730106082457	0.41155309721348915	0.4099136869519135	0.5311594610176438	0.47460967049929087	0.4153931161011193	0.39696877387678237	0.48263941217878487	0.505010219474106	0.5920428638638031	0.7495411317372183	0.45325165420028735	0.4231911156610634	0.5658210925676086	0.5163081370076587	0.46134492034781155	0.5781566484408149	0.5024970357771771
s32pp	0.5389555889317272	0.48287023699612036	0.49524102239372936	0.46240658875872076	0.4423460792927839	0.5243955678618	0.4047619292628894	0.4854734898400664	0.4849446875709332	0.5957767651499921	0.5219761874455596	0.5294838076276878	0.4690965098746294	0.5740487101501204	0.363386905981584	0.002310312374954494	0.0	0.2791533650057832	0.5113577767153121	0.495283492822019	0.5715738799506112	0.44745127334911916	0.5998646982342912	0.4092447848395347	0.40760537457795903	0.5288511486436893	0.4723013581253364	0.41308480372716483	0.3946604615028279	0.4803310998048304	0.5027019071001515	0.5897345514898487	0.7472328193632638	0.4509433418263329	0.4208828032871089	0.5635127801936541	0.5139998246337042	0.4590366079738571	0.5758483360668605	0.5001887234032226
s13pp	0.3755355036117833	0.31945015167617635	0.33182093707378535	0.29898650343877675	0.2789259939728399	0.36097548254185596	0.2413418439429454	0.3220534045201224	0.32152460225098917	0.43235667983004816	0.3585561021256156	0.36606372230774387	0.30567642455468547	0.41062862483017637	0.19996682066164007	0.28146167737973765	0.2791533650057832	0.0	0.34793769139536823	0.3318634075020751	0.4081537946306672	0.28403118802917526	0.43644461291434733	0.24582469951959074	0.24418528925801508	0.3654310633237453	0.3088812728053924	0.24966471840722082	0.2312403761828839	0.3169110144848864	0.3392818217802076	0.42631446616990465	0.5838127340433198	0.2875232565063889	0.2574627179671649	0.40009269487371013	0.35057973931376024	0.29561652265391314	0.4124282507469166	0.33676863808327867
s7pp	0.46582195799297116	0.4097366060573642	0.4221073914549732	0.3892729578199646	0.3692124483540278	0.45126193692304384	0.33162829832413326	0.41233985890131025	0.41181105663217704	0.5226431342112361	0.4488425565068035	0.4563501766889317	0.3959628789358733	0.5009150792113641	0.39827982801466255	0.5136660890892666	0.5113577767153121	0.34793769139536823	0.0	0.26763330756617354	0.4284250427616624	0.3450038400204027	0.4974172649055748	0.3067973515108182	0.30515794124924256	0.4264037153149728	0.3991677271865802	0.3399511727884087	0.3215268305640717	0.4071974688660742	0.4295682761613954	0.5166009205510924	0.6740991884245077	0.37780971088757676	0.3477491723483528	0.490379149254898	0.44086619369494806	0.38590297703510096	0.5027147051281045	0.42705509246446655
w7pp	0.44974767409967803	0.3936623221640711	0.4060331075616801	0.3731986739266715	0.3531381644607346	0.4351876530297507	0.3155540144308401	0.39626557500801707	0.39573677273888386	0.5065688503179429	0.43276827261351036	0.44027589279563856	0.37988859504258016	0.48484079531807106	0.3822055441213694	0.49759180519597346	0.495283492822019	0.3318634075020751	0.26763330756617354	0.0	0.41235075886836925	0.32892955612710956	0.4813429810122817	0.2907230676175251	0.28908365735594943	0.41032943142167966	0.3830934432932871	0.32387688889511557	0.3054525466707786	0.3911231849727811	0.4134939922681023	0.5005266366577994	0.6580249045312145	0.3617354269942836	0.33167488845505966	0.4743048653616049	0.42479190980165493	0.36982869314180783	0.48664042123481127	0.4109808085711734
s23pp	0.5260380612282702	0.46995270929266325	0.48232349469027225	0.44948906105526365	0.4294285515893268	0.5114780401583429	0.3918444015594323	0.4725559621366093	0.47202715986747606	0.5828592374465351	0.5090586597421025	0.5165662799242308	0.4561789821711723	0.5611311824466632	0.4584959312499616	0.5738821923245656	0.5715738799506112	0.4081537946306672	0.4284250427616624	0.41235075886836925	0.0	0.40521994325570165	0.5576333681408738	0.3670134547461172	0.3653740444845415	0.4866198185502718	0.4593838304218793	0.4001672760237077	0.3817429337993708	0.4674135721013733	0.48978437939669445	0.5768170237863914	0.7343152916598067	0.4380258141228758	0.4079652755836518	0.550595252490197	0.5010822969302471	0.4461190802704	0.5629308083634035	0.48727119569976557
s9pp	0.40191545462677813	0.3458301026911712	0.3582008880887802	0.32536645445377166	0.30530594498783475	0.38735543355685087	0.26772179495794024	0.34843335553511723	0.347904553265984	0.458736630845043	0.3849360531406105	0.3924436733227387	0.3320563755696803	0.4370085758451712	0.3343733246484696	0.4497595857230736	0.44745127334911916	0.28403118802917526	0.3450038400204027	0.32892955612710956	0.40521994325570165	0.0	0.3047201224646116	0.20248913392395018	0.20084972366237452	0.32209549772810475	0.33526122382038726	0.2760446694222157	0.25762032719787875	0.34329096549988125	0.36566177279520246	0.4526944171848995	0.6101926850583147	0.3139032075213838	0.2838426689821598	0.42647264588870504	0.3769596903287551	0.321996473668908	0.43880820176191143	0.3631485890982735
S26Hp	0.5543288795119503	0.4982435275763434	0.5106143129739523	0.4777798793389438	0.4577193698730069	0.539768858442023	0.4201352198431124	0.5008467804202894	0.5003179781511562	0.6111500557302152	0.5373494780257826	0.5448570982079108	0.48446980045485244	0.5894220007303433	0.48678674953364165	0.6021730106082457	0.5998646982342912	0.43644461291434733	0.4974172649055748	0.4813429810122817	0.5576333681408738	0.3047201224646116	0.0	0.35490255880912225	0.3532631485475466	0.4745089226132768	0.48767464870555943	0.42845809430738785	0.41003375208305093	0.49570439038505343	0.5180751976803746	0.6051078420700716	0.7626061099434869	0.4663166324065559	0.43625609386733194	0.5788860707738771	0.5293731152139273	0.4744098985540801	0.5912216266470836	0.5155620139834457
w30pp	0.36370896611719367	0.30762361418158674	0.31999439957919573	0.28715996594418713	0.2670994564782503	0.34914894504726635	0.22951530644835577	0.31022686702553276	0.30969806475639955	0.42053014233545855	0.346729564631026	0.35423718481315425	0.29384988706009585	0.39880208733558675	0.29616683613888506	0.41155309721348915	0.4092447848395347	0.24582469951959074	0.3067973515108182	0.2907230676175251	0.3670134547461172	0.20248913392395018	0.35490255880912225	0.0	0.07516273215975355	0.26385253844868684	0.2970547353108028	0.2378381809126312	0.21941383868829428	0.3050844769902968	0.327455284285618	0.41448792867531503	0.5719861965487302	0.27569671901179926	0.2456361804725753	0.3882661573791205	0.3387532018191706	0.2837899851593235	0.40060171325232696	0.32494210058868905
s30pp	0.36206955585561806	0.3059842039200111	0.3183549893176201	0.2855205556826115	0.2654600462166746	0.3475095347856907	0.22787589618678014	0.30858745676395716	0.30805865449482395	0.41889073207388294	0.34509015436945034	0.3525977745515786	0.2922104767985202	0.3971626770740111	0.2945274258773094	0.4099136869519135	0.40760537457795903	0.24418528925801508	0.30515794124924256	0.28908365735594943	0.3653740444845415	0.20084972366237452	0.3532631485475466	0.07516273215975355	0.0	0.2622131281871112	0.2954153250492272	0.23619877065105557	0.21777442842671862	0.3034450667287212	0.32581587402404233	0.4128485184137394	0.5703467862871545	0.27405730875022366	0.2439967702109997	0.38662674711754486	0.337113791557595	0.28215057489774786	0.3989623029907513	0.3233026903271134
S22Hp	0.4833153299213483	0.42722997798574136	0.43960076338335036	0.40676632974834176	0.38670582028240486	0.46875530885142097	0.3491216702525104	0.4298332308296874	0.4293044285605542	0.5401365061396132	0.4663359284351806	0.4738435486173088	0.4134562508642504	0.5184084511397413	0.4157731999430397	0.5311594610176438	0.5288511486436893	0.3654310633237453	0.4264037153149728	0.41032943142167966	0.4866198185502718	0.32209549772810475	0.4745089226132768	0.26385253844868684	0.2622131281871112	0.0	0.4166610991149574	0.35744454471678583	0.3390202024924489	0.4246908407944514	0.44706164808977256	0.5340942924794696	0.6915925603528847	0.3953030828159539	0.3652425442767299	0.5078725211832751	0.45835956562332525	0.4033963489634781	0.5202080770564815	0.4445484643928437
w14pp	0.38601908114810635	0.3299337292124994	0.3423045146101084	0.3094700809750998	0.2894095715091629	0.371459060078179	0.25182542147926845	0.33253698205644544	0.33200817978731223	0.4428402573663712	0.3690396796619387	0.40629439401131673	0.34590709625825833	0.45085929653374923	0.3592234094246868	0.47460967049929087	0.4723013581253364	0.3088812728053924	0.3991677271865802	0.3830934432932871	0.4593838304218793	0.33526122382038726	0.48767464870555943	0.2970547353108028	0.2954153250492272	0.4166610991149574	0.0	0.10983037825514536	0.20412885503909567	0.28979949334109817	0.3497653993165306	0.43679804370622766	0.5942963115796429	0.29800683404271194	0.267946295503488	0.4105762724100332	0.3610633168500833	0.3061001001902362	0.4229118282832396	0.34725221561960173
s14pp	0.32680252674993476	0.27071717481432783	0.28308796021193683	0.25025352657692823	0.23019301711099138	0.31224250568000744	0.19260886708109687	0.27332042765827386	0.27279162538914065	0.38362370296819964	0.3098231252637671	0.3470778396131451	0.2866905418600867	0.39164274213557765	0.30000685502651514	0.4153931161011193	0.41308480372716483	0.24966471840722082	0.3399511727884087	0.32387688889511557	0.4001672760237077	0.2760446694222157	0.42845809430738785	0.2378381809126312	0.23619877065105557	0.35744454471678583	0.10983037825514536	0.0	0.14491230064092409	0.23058293894292659	0.2905488449183591	0.37758148930805613	0.5350797571814713	0.23879027964454036	0.2087297411053164	0.3513597180118616	0.3018467624519117	0.24688354579206462	0.36369527388506806	0.28803566122143015
s17pp	0.30837818452559784	0.25229283258999086	0.26466361798759985	0.23182918435259128	0.21176867488665443	0.2938181634556705	0.17418452485675995	0.25489608543393694	0.2543672831648037	0.3651993607438627	0.2913987830394302	0.32865349738880817	0.26826619963574977	0.37321839991124073	0.2815825128021782	0.39696877387678237	0.3946604615028279	0.2312403761828839	0.3215268305640717	0.3054525466707786	0.3817429337993708	0.25762032719787875	0.41003375208305093	0.21941383868829428	0.21777442842671862	0.3390202024924489	0.20412885503909567	0.14491230064092409	0.0	0.18337622294796507	0.2721245026940221	0.35915714708371915	0.5166554149571344	0.22036593742020344	0.19030539888097947	0.3329353757875247	0.2834224202275748	0.22845920356772767	0.3452709316607311	0.2696113189970932
s28pp	0.39404882282760034	0.3379634708919934	0.3503342562896024	0.3174998226545938	0.2974393131886569	0.379488801757673	0.25985516315876245	0.34056672373593944	0.3400379214668062	0.4508699990458652	0.3770694213414327	0.4143241356908107	0.3539368379377523	0.4588890382132432	0.3672531511041808	0.48263941217878487	0.4803310998048304	0.3169110144848864	0.4071974688660742	0.3911231849727811	0.4674135721013733	0.34329096549988125	0.49570439038505343	0.3050844769902968	0.3034450667287212	0.4246908407944514	0.28979949334109817	0.23058293894292659	0.18337622294796507	0.0	0.3577951409960246	0.44482778538572165	0.6023260532591369	0.30603657572220594	0.27597603718298197	0.4186060140895272	0.3690930585295773	0.3141298418697302	0.4309415699627336	0.35528195729909573
s19pp	0.3568621507923809	0.30077679885677394	0.31314758425438294	0.28031315061937434	0.2975258261301123	0.3795753146991284	0.2599416761002178	0.3406532366773948	0.34012443440826157	0.45095651198732056	0.3771559342828881	0.4366949429861319	0.3763076452330735	0.4812598455085644	0.3896239583995019	0.505010219474106	0.5027019071001515	0.3392818217802076	0.4295682761613954	0.4134939922681023	0.48978437939669445	0.36566177279520246	0.5180751976803746	0.327455284285618	0.32581587402404233	0.44706164808977256	0.3497653993165306	0.2905488449183591	0.2721245026940221	0.3577951409960246	0.0	0.29488491573035863	0.4903395023436216	0.19405002480669065	0.18902659620058884	0.33165657310713403	0.2821436175471842	0.22718040088733704	0.39375489792751417	0.31809528526387626
S1Hp	0.443894795182078	0.38780944324647104	0.40018022864408004	0.36734579500907144	0.38455847051980935	0.46660795908882546	0.34697432048991483	0.4276858810670918	0.4271570787979586	0.5379891563770176	0.4641885786725851	0.5237275873758289	0.4633402896227705	0.5682924898982614	0.47665660278919897	0.5920428638638031	0.5897345514898487	0.42631446616990465	0.5166009205510924	0.5005266366577994	0.5768170237863914	0.4526944171848995	0.6051078420700716	0.41448792867531503	0.4128485184137394	0.5340942924794696	0.43679804370622766	0.37758148930805613	0.35915714708371915	0.44482778538572165	0.29488491573035863	0.0	0.5773721467333186	0.2810826691963877	0.27605924059028586	0.4186892174968311	0.36917626193688124	0.3142130452770341	0.4807875423172112	0.40512792965357336
S9H1	0.6013930630554931	0.5453077111198862	0.5576784965174952	0.5248440628824866	0.5420567383932245	0.6241062269622406	0.5044725883633301	0.5851841489405071	0.5846553466713739	0.6954874242504328	0.6216868465460003	0.6812258552492441	0.6208385574961857	0.7257907577716767	0.6341548706626141	0.7495411317372183	0.7472328193632638	0.5838127340433198	0.6740991884245077	0.6580249045312145	0.7343152916598067	0.6101926850583147	0.7626061099434869	0.5719861965487302	0.5703467862871545	0.6915925603528847	0.5942963115796429	0.5350797571814713	0.5166554149571344	0.6023260532591369	0.4903395023436216	0.5773721467333186	0.0	0.4058061420941155	0.4335575084637011	0.5761874853702463	0.5266745298102964	0.4717113131504493	0.6382858101906264	0.5626261975269885
s31pp	0.3051035855185622	0.24901823358295527	0.26138901898056427	0.22855458534555567	0.24576726085629363	0.3278167494253097	0.20818311082639912	0.2888946714035761	0.2883658691344429	0.3991979467135019	0.32539736900906935	0.3849363777123132	0.3245490799592548	0.4295012802347457	0.33786539312568326	0.45325165420028735	0.4509433418263329	0.2875232565063889	0.37780971088757676	0.3617354269942836	0.4380258141228758	0.3139032075213838	0.4663166324065559	0.27569671901179926	0.27405730875022366	0.3953030828159539	0.29800683404271194	0.23879027964454036	0.22036593742020344	0.30603657572220594	0.19405002480669065	0.2810826691963877	0.4058061420941155	0.0	0.13726803092677015	0.27989800783331537	0.23038505227336548	0.17542183561351835	0.34199633265369545	0.2663367199900576
s4pp	0.27504304697933823	0.2189576950437313	0.2313284804413403	0.19849404680633173	0.21570672231706967	0.2977562108860857	0.17812257228717515	0.25883413286435214	0.25830533059521893	0.3691374081742779	0.2953368304698454	0.35487583917308924	0.29448854142003084	0.39944074169552174	0.3078048545864593	0.4231911156610634	0.4208828032871089	0.2574627179671649	0.3477491723483528	0.33167488845505966	0.4079652755836518	0.2838426689821598	0.43625609386733194	0.2456361804725753	0.2439967702109997	0.3652425442767299	0.267946295503488	0.2087297411053164	0.19030539888097947	0.27597603718298197	0.18902659620058884	0.27605924059028586	0.4335575084637011	0.13726803092677015	0.0	0.18526685838064333	0.13575390282069347	0.1298780296462327	0.31193579411447153	0.23627618145083362
