	S6Hp	31219	31267	31537	S10H1	31328	31749	F6H1	S21H1	31009	31519	530177	31300	31333	31021	530167	530451	531414	530444	530394
31519	0.4813995831224	0.4803692391462167	0.4773537332590626	0.5157043156031249	0.46431113666521917	0.43825535450268066	0.4377303187180951	0.4805581160625455	0.5904959777672174	0.3587474725356946	0.0	0.40671194004702627	0.39847807674233365	0.4443135983518647	0.45323310987419163	0.47040725722931287	0.48171927622127775	0.4885598981806745	0.5103953024597121	0.454787840972604
530177	0.4162833715648277	0.4152530275886444	0.4122375217014903	0.4505881040455525	0.39919492510764687	0.3731391429451083	0.3726141071605228	0.41544190450497315	0.5761509253223815	0.3936203265452789	0.40671194004702627	0.0	0.33336186518476135	0.3791973867942924	0.38811689831661933	0.40529104567174057	0.41660306466370545	0.4234436866231022	0.44527909090213974	0.3896716294150317
31300	0.35520557663321384	0.35417523265703055	0.3511597267698765	0.4243312598845522	0.3729380809466466	0.34688229878410803	0.3463572629995225	0.3891850603439729	0.567917062017689	0.38538646324058623	0.39847807674233365	0.33336186518476135	0.0	0.3181195918626785	0.3270391033850054	0.34421325074012676	0.3555252697320916	0.36236589169148836	0.3842012959705259	0.32859383448341783
31333	0.3580227205964725	0.35699237662028926	0.3539768707331351	0.47016678149408325	0.4187736025561776	0.3927178203936391	0.3921927846090535	0.4350205819535039	0.61375258362722	0.4312219848501173	0.4443135983518647	0.3791973867942924	0.3181195918626785	0.0	0.07237106667837127	0.08954521403349257	0.10085723302545742	0.365183035654747	0.38701843993378454	0.3314109784466765
31021	0.3669422321187994	0.36591188814261616	0.36289638225546206	0.47908629301641015	0.4276931140785045	0.401637331915966	0.40111229613138044	0.44394009347583085	0.6226720951495469	0.44014149637244426	0.45323310987419163	0.38811689831661933	0.3270391033850054	0.07237106667837127	0.0	0.028021879006061696	0.03933389799802654	0.3741025471770739	0.39593795145611144	0.3403304899690034
530167	0.38411637947392074	0.38308603549773745	0.38007052961058335	0.4962604403715315	0.44486726143362587	0.4188114792710873	0.41828644348650174	0.4611142408309521	0.6398462425046682	0.4573156437275655	0.47040725722931287	0.40529104567174057	0.34421325074012676	0.08954521403349257	0.028021879006061696	0.0	0.044426662634769014	0.39127669453219527	0.4131120988112328	0.35750463732412474
530451	0.39542839846588557	0.39439805448970233	0.3913825486025482	0.5075724593634963	0.4561792804255907	0.4301234982630522	0.42959846247846656	0.47242625982291697	0.651158261496633	0.4686276627195304	0.48171927622127775	0.41660306466370545	0.3555252697320916	0.10085723302545742	0.03933389799802654	0.044426662634769014	0.0	0.4025887135241601	0.4244241178031976	0.36881665631608956
531414	0.30187615117184907	0.3230972327614524	0.3574508960077464	0.5144130813228931	0.46301990238498747	0.4369641202224489	0.43643908443786333	0.47926688178231375	0.6579988834560297	0.47546828467892716	0.4885598981806745	0.4234436866231022	0.36236589169148836	0.365183035654747	0.3741025471770739	0.39127669453219527	0.4025887135241601	0.0	0.08029464452310922	0.27526440902205307
530444	0.3237115554508866	0.34493263704048993	0.3792863002867839	0.5362484856019306	0.484855306664025	0.4587995245014864	0.45827448871690085	0.5011022860613512	0.6798342877350674	0.4973036889579647	0.5103953024597121	0.44527909090213974	0.3842012959705259	0.38701843993378454	0.39593795145611144	0.4131120988112328	0.4244241178031976	0.08029464452310922	0.0	0.2970998133010906
530394	0.049839643071438275	0.2893251755533819	0.32367883879967585	0.48064102411482257	0.42924784517691694	0.4031920630143784	0.4026670272297928	0.4454948245742432	0.6242268262479592	0.44169622747085663	0.454787840972604	0.3896716294150317	0.32859383448341783	0.3314109784466765	0.3403304899690034	0.35750463732412474	0.36881665631608956	0.27526440902205307	0.2970998133010906	0.0
