	s1pp	f14ppB	f16ppB	w7pp	f18pp	f4pp	w9pp	s7pp	31600	s26pp	s13pp	530451	w6pp	31300	31700	31333	31160	f16ppA	s16pp	s28pp	530295
s13pp	0.1771794892843141	0.1089097288920214	0.1651062238536939	0.16062045144838138	0.20349357035616872	0.15202439882894245	0.1419568074770493	0.14640638099452144	0.18426942492083226	0.13401415071712375	0.0	0.1274774350145174	0.12208427107520549	0.8034006244120877	0.7553788058745178	0.9537160626006069	0.20649237803495424	0.15391916920855897	0.21316893284980098	0.13318334214618127	0.21471054353235652
530451	0.24190098884899564	0.1736312284567029	0.22982772341837543	0.2253419510130629	0.26821506992085026	0.21674589839362396	0.20667830704173082	0.21112788055920295	0.2489909244855138	0.1987356502818053	0.1274774350145174	0.0	0.18680577063988701	0.8681221239767692	0.8201003054391993	1.0184375621652884	0.2712138775996358	0.21864066877324048	0.2778904324144825	0.1979048417108628	0.27943204309703806
w6pp	0.13841423130738417	0.07014447091509146	0.12634096587676397	0.12185519347145143	0.1647283123792388	0.11325914085201251	0.10319154950011936	0.1663996657775697	0.2042627097038805	0.15400743550017199	0.12208427107520549	0.18680577063988701	0.0	0.7077838381145704	0.6597620195770004	0.8580992763030896	0.11087559173743694	0.058302382911041666	0.11755214655228369	0.05271038338094049	0.1759452855554266
31300	0.8197305846442663	0.7514608242519736	0.8076573192136461	0.8031715468083336	0.8460446657161209	0.7945754941888947	0.7845079028370016	0.8477160191144519	0.8855790630407627	0.8353237888370542	0.8034006244120877	0.8681221239767692	0.7077838381145704	0.0	0.523535926253568	0.7637109738920277	0.6719141200056131	0.7160194284487442	0.7752691920899862	0.7340267367178227	0.8572616388923088
31700	0.7717087661066964	0.7034390057144037	0.7596355006760762	0.7551497282707637	0.798022847178551	0.7465536756513248	0.7364860842994316	0.799694200576882	0.8375572445031928	0.7873019702994842	0.7553788058745178	0.8201003054391993	0.6597620195770004	0.523535926253568	0.0	0.7156891553544578	0.6238923014680432	0.6679976099111743	0.7272473735524163	0.6860049181802528	0.8092398203547388
31333	0.9700460228327855	0.9017762624404928	0.9579727574021654	0.9534869849968528	0.9963601039046401	0.944890932377414	0.9348233410255208	0.9980314573029712	1.035894501229282	0.9856392270255734	0.9537160626006069	1.0184375621652884	0.8580992763030896	0.7637109738920277	0.7156891553544578	0.0	0.8222295581941323	0.8663348666372634	0.9255846302785055	0.8843421749063419	1.0075770770808279
31160	0.22282233826713294	0.1545525778748402	0.21074907283651273	0.2062633004312002	0.24913641933898756	0.19766724781176126	0.18759965645986812	0.25080777273731847	0.28867081666362926	0.23841554245992075	0.20649237803495424	0.2712138775996358	0.11087559173743694	0.6719141200056131	0.6238923014680432	0.8222295581941323	0.0	0.11911118207161087	0.17836094571285288	0.13711849034068924	0.26035339251517536
f16ppA	0.17024912944073764	0.10197936904844493	0.1581758640101174	0.1536900916048049	0.19656321051259223	0.145094038985366	0.13502644763347282	0.19823456391092314	0.23609760783723396	0.18584233363352548	0.15391916920855897	0.21864066877324048	0.058302382911041666	0.7160194284487442	0.6679976099111743	0.8663348666372634	0.11911118207161087	0.0	0.0889624259806896	0.08454528151429397	0.20778018368878007
s16pp	0.22949889308197968	0.16122913268968694	0.21742562765135948	0.21293985524604694	0.2558129741538343	0.204343802626608	0.19427621127471487	0.2574843275521652	0.295347371478476	0.2450920972747675	0.21316893284980098	0.2778904324144825	0.11755214655228369	0.7752691920899862	0.7272473735524163	0.9255846302785055	0.17836094571285288	0.0889624259806896	0.0	0.14379504515553598	0.2670299473300221
s28pp	0.14951330237835997	0.08124354198606726	0.13744003694773976	0.13295426454242723	0.1758273834502146	0.12435821192298831	0.11429062057109515	0.1774987368485455	0.2153617807748563	0.16510650657114778	0.13318334214618127	0.1979048417108628	0.05271038338094049	0.7340267367178227	0.6860049181802528	0.8843421749063419	0.13711849034068924	0.08454528151429397	0.14379504515553598	0.0	0.1870443566264024
530295	0.17888825730268224	0.11352430700538232	0.20662646886597025	0.20214069646065772	0.24501381536844508	0.19354464384121878	0.18347705248932564	0.2590259382347207	0.29688898216103154	0.24663370795732303	0.21471054353235652	0.27943204309703806	0.1759452855554266	0.8572616388923088	0.8092398203547388	1.0075770770808279	0.26035339251517536	0.20778018368878007	0.2670299473300221	0.1870443566264024	0.0
