	S10H1	s9pp	s12pp	S9H1	S6Hp	s10pp	s24H1	s2pp	s15pp	S2Hp	530451	s20pp	s21pp	31537	F29H1	31750	S12Hp	31219	S1Hp	S26Hp	F3H1	31300	31700	S3Hp	S31Hp	s29pp	s26pp	s23pp	s30pp
530451	0.2165073426419091	0.21748034645291514	0.19997084730424777	0.17848126151547736	0.10328792814492371	0.04896247622574807	0.035669714358905584	0.035298836531279174	0.043169677464219125	0.03020031152592805	0.0	0.11308181983192961	0.30212345756382464	0.36967890595549824	0.38321260667739443	0.388921865363679	0.38348170945884585	0.4055235535390216	0.402127324518345	0.35393359397074	0.38471015502607575	0.37666905641518733	0.3784097681158768	0.355581065680879	0.37838974650723567	0.20105994517156273	0.2045072756251149	0.2181354206182867	0.22232384859165558
s20pp	0.1870480610008324	0.18802106481183845	0.17051156566317108	0.14902197987440063	0.11441349667584685	0.10697885926988493	0.12252777678323773	0.1221568989556113	0.13002773988855126	0.1170583739502602	0.11308181983192961	0.0	0.27266417592274794	0.3402196243144215	0.3537533250363177	0.35946258372260226	0.3540224278177691	0.37606427189794484	0.37266804287726824	0.32447431232966323	0.355250873384999	0.3472097747741106	0.34895048647480004	0.32612178403980224	0.3489304648661589	0.17160066353048603	0.1750479939840382	0.18867613897721	0.19286456695057888
s21pp	0.3169692785652207	0.3179422823762268	0.3004327832275594	0.2789431974387889	0.30345513440774186	0.29602049700177996	0.31156941451513276	0.3111985366875063	0.3190693776204463	0.3061000116821552	0.30212345756382464	0.27266417592274794	0.0	0.3201675507321791	0.33370125145407536	0.3394105101403599	0.3339703542355268	0.35601219831570247	0.3526159692950259	0.3044222387474209	0.33519879980275663	0.32715770119186827	0.32889841289255767	0.30606971045755993	0.32887839128391655	0.3015218810948743	0.30496921154842654	0.3185973565415983	0.32278578451496714
31537	0.38452472695689427	0.38549773076790034	0.36798823161923294	0.3464986458304625	0.37101058279941546	0.3635759453934535	0.3791248629068063	0.3787539850791799	0.38662482601211984	0.37365546007382877	0.36967890595549824	0.3402196243144215	0.3201675507321791	0.0	0.3319849626025587	0.3376942212888432	0.33225406538401014	0.35429590946418577	0.3508996804435093	0.30270594989590427	0.33348251095124	0.3254414123403516	0.3383580083494553	0.33595724787852577	0.35876592870488233	0.36907732948654787	0.3725246599401001	0.38615280493327186	0.3903412329066407
F29H1	0.39805842767879046	0.39903143148979653	0.38152193234112913	0.3600323465523587	0.38454428352131165	0.3771096461153497	0.3926585636287025	0.3922876858010761	0.40015852673401603	0.38718916079572496	0.38321260667739443	0.3537533250363177	0.33370125145407536	0.3319849626025587	0.0	0.16618519234280596	0.3381160654938744	0.3601579095740501	0.35676168055337354	0.30856795000576853	0.3393445110611043	0.3313034124502159	0.3518917090713515	0.34949094860042196	0.3722996294267786	0.38261103020844406	0.3860583606619963	0.39968650565516806	0.4038749336285369
31750	0.40376768636507504	0.4047406901760811	0.3872311910274137	0.3657416052386433	0.3902535422075962	0.3828189048016343	0.3983678223149871	0.39799694448736067	0.4058677854203006	0.39289841948200954	0.388921865363679	0.35946258372260226	0.3394105101403599	0.3376942212888432	0.16618519234280596	0.0	0.34382532418015893	0.3658671682603346	0.36247093923965806	0.31427720869205306	0.34505376974738877	0.3370126711365004	0.357600967757636	0.35520020728670654	0.3780088881130631	0.38832028889472864	0.39176761934828086	0.40539576434145264	0.40958419231482146
S12Hp	0.3983275304602419	0.39930053427124795	0.38179103512258056	0.36030144933381014	0.38481338630276307	0.3773787488968011	0.3929276664101539	0.3925567885825275	0.40042762951546745	0.3874582635771764	0.38348170945884585	0.3540224278177691	0.3339703542355268	0.33225406538401014	0.3381160654938744	0.34382532418015893	0.0	0.03985890343188972	0.036462674411213154	0.253556881470422	0.28433344252575776	0.3057265810714303	0.3521608118528029	0.3497600513818734	0.37256873220823	0.3828801329898955	0.3863274634434477	0.3999556084366195	0.4041440364099883
31219	0.4203693745404176	0.4213423783514237	0.4038328792027563	0.3823432934139859	0.4068552303829388	0.39942059297697685	0.41496951049032965	0.41459863266270325	0.4224694735956432	0.4095001076573521	0.4055235535390216	0.37606427189794484	0.35601219831570247	0.35429590946418577	0.3601579095740501	0.3658671682603346	0.03985890343188972	0.0	0.005531485497065606	0.27559872555059767	0.3063752866059334	0.327768425151606	0.3742026559329786	0.3718018954620491	0.3946105762884057	0.4049219770700712	0.40836930752362344	0.4219974525167952	0.42618588049016404
S1Hp	0.416973145519741	0.4179461493307471	0.4004366501820797	0.3789470643933093	0.4034590013622622	0.39602436395630025	0.41157328146965305	0.41120240364202665	0.4190732445749666	0.4061038786366755	0.402127324518345	0.37266804287726824	0.3526159692950259	0.3508996804435093	0.35676168055337354	0.36247093923965806	0.036462674411213154	0.005531485497065606	0.0	0.2722024965299211	0.3029790575852569	0.32437219613092944	0.37080642691230203	0.3684056664413725	0.39121434726772913	0.4015257480493946	0.40497307850294684	0.4186012234961186	0.42278965146948744
S26Hp	0.368779414972136	0.3697524187831421	0.3522429196344747	0.33075333384570427	0.3552652708146572	0.34783063340869524	0.36337955092204804	0.36300867309442164	0.3708795140273616	0.3579101480890705	0.35393359397074	0.32447431232966323	0.3044222387474209	0.30270594989590427	0.30856795000576853	0.31427720869205306	0.253556881470422	0.27559872555059767	0.2722024965299211	0.0	0.05946358853309889	0.27617846558332443	0.322612696364697	0.3202119358937675	0.3430206167201241	0.3533320175017896	0.35677934795534183	0.3704074929485136	0.37459592092188243
F3H1	0.3995559760274718	0.40052897983847785	0.38301948068981045	0.36152989490104004	0.38604183186999297	0.378607194464031	0.3941561119773838	0.3937852341497574	0.40165607508269735	0.3886867091444063	0.38471015502607575	0.355250873384999	0.33519879980275663	0.33348251095124	0.3393445110611043	0.34505376974738877	0.28433344252575776	0.3063752866059334	0.3029790575852569	0.05946358853309889	0.0	0.30695502663866014	0.3533892574200328	0.3509884969491033	0.37379717777545984	0.3841085785571254	0.3875559090106776	0.4011840540038494	0.4053724819772182
31300	0.39151487741658336	0.39248788122758943	0.37497838207892203	0.3534887962901516	0.37800073325910455	0.3705660958531426	0.3861150133664954	0.385744135538869	0.39361497647180893	0.38064561053351786	0.37666905641518733	0.3472097747741106	0.32715770119186827	0.3254414123403516	0.3313034124502159	0.3370126711365004	0.3057265810714303	0.327768425151606	0.32437219613092944	0.27617846558332443	0.30695502663866014	0.0	0.3453481588091444	0.34294739833821486	0.3657560791645715	0.37606747994623696	0.3795148103997892	0.39314295539296096	0.3973313833663298
31700	0.3932555891172728	0.3942285929282789	0.3767190937796115	0.3552295079908411	0.379741444959794	0.37230680755383205	0.38785572506718485	0.38748484723955845	0.3953556881724984	0.3823863222342073	0.3784097681158768	0.34895048647480004	0.32889841289255767	0.3383580083494553	0.3518917090713515	0.357600967757636	0.3521608118528029	0.3742026559329786	0.37080642691230203	0.322612696364697	0.3533892574200328	0.3453481588091444	0.0	0.3446881100389043	0.3674967908652609	0.3778081916469264	0.38125552210047864	0.3948836670936504	0.39907209506701924
S3Hp	0.370426886682275	0.3713998904932811	0.3538903913446137	0.3324008055558433	0.3569127425247962	0.34947810511883426	0.36502702263218706	0.36465614480456066	0.3725269857375006	0.3595576197992095	0.355581065680879	0.32612178403980224	0.30606971045755993	0.33595724787852577	0.34949094860042196	0.35520020728670654	0.3497600513818734	0.3718018954620491	0.3684056664413725	0.3202119358937675	0.3509884969491033	0.34294739833821486	0.3446881100389043	0.0	0.31405203242575486	0.3549794892119286	0.35842681966548084	0.3720549646586526	0.37624339263202145
S31Hp	0.3932355675086317	0.39420857131963777	0.3766990721709704	0.35520948638219996	0.3797214233511529	0.37228678594519093	0.38783570345854373	0.38746482563091733	0.39533566656385727	0.3823663006255662	0.37838974650723567	0.3489304648661589	0.32887839128391655	0.35876592870488233	0.3722996294267786	0.3780088881130631	0.37256873220823	0.3946105762884057	0.39121434726772913	0.3430206167201241	0.37379717777545984	0.3657560791645715	0.3674967908652609	0.31405203242575486	0.0	0.3777881700382853	0.3812355004918375	0.3948636454850093	0.3990520734583781
s29pp	0.07175948233462907	0.0727324861456351	0.12192679521305391	0.13322135947083563	0.20239162201547997	0.19495698460951805	0.21050590212287085	0.21013502429524442	0.21800586522818438	0.20503649928989331	0.20105994517156273	0.17160066353048603	0.3015218810948743	0.36907732948654787	0.38261103020844406	0.38832028889472864	0.3828801329898955	0.4049219770700712	0.4015257480493946	0.3533320175017896	0.3841085785571254	0.37606747994623696	0.3778081916469264	0.3549794892119286	0.3777881700382853	0.0	0.05975941531783485	0.07338756031100667	0.07757598828437552
s26pp	0.03173551448191322	0.036142236918634885	0.1253741256666061	0.1366686899243878	0.20583895246903214	0.1984043150630702	0.213953232576423	0.21358235474879658	0.22145319568173655	0.20848382974344548	0.2045072756251149	0.1750479939840382	0.30496921154842654	0.3725246599401001	0.3860583606619963	0.39176761934828086	0.3863274634434477	0.40836930752362344	0.40497307850294684	0.35677934795534183	0.3875559090106776	0.3795148103997892	0.38125552210047864	0.35842681966548084	0.3812355004918375	0.05975941531783485	0.0	0.03336359245829082	0.037552020431659686
s23pp	0.029104528114736912	0.049770381911806695	0.1390022706597779	0.1502968349175596	0.21946709746220394	0.21203246005624202	0.22758137756959482	0.22721049974196839	0.23508134067490835	0.22211197473661728	0.2181354206182867	0.18867613897721	0.3185973565415983	0.38615280493327186	0.39968650565516806	0.40539576434145264	0.3999556084366195	0.4219974525167952	0.4186012234961186	0.3704074929485136	0.4011840540038494	0.39314295539296096	0.3948836670936504	0.3720549646586526	0.3948636454850093	0.07338756031100667	0.03336359245829082	0.0	0.005891727165644454
s30pp	0.03329295608810577	0.053958809885175554	0.1431906986331468	0.15448526289092848	0.22365552543557282	0.2162208880296109	0.2317698055429637	0.23139892771533727	0.23926976864827723	0.22630040270998616	0.22232384859165558	0.19286456695057888	0.32278578451496714	0.3903412329066407	0.4038749336285369	0.40958419231482146	0.4041440364099883	0.42618588049016404	0.42278965146948744	0.37459592092188243	0.4053724819772182	0.3973313833663298	0.39907209506701924	0.37624339263202145	0.3990520734583781	0.07757598828437552	0.037552020431659686	0.005891727165644454	0.0
