	f26pp	w2pp	f2pp	S26Hp	w27pp	S3Hp	w3pp	S15Hp	f20ppA	S16H2	w25pp	F32H1	w31pp	f23ppB	f1pp	w14pp	f17ppB	f13pp	f14ppA	f6ppB	S13Hp	F23HpA	S9H1	w11pp	S23Hp	f11pp	F7H1	S2Hp	F3H1	w8pp	w9pp	f7pp	w19pp	w17pp	w28pp	w22pp	f16ppB	w16pp	f14ppB	f16ppA	w10pp	w20pp	w13pp	f6ppA	f22ppA	F14H1A	f19pp	f4pp	w26pp	f10pp	f30pp	w23pp	f12ppA	f12ppB	530451	w4pp	w1pp	f23ppA	f21pp	w15pp	w29pp	f32pp	S12Hp	w12pp	w18pp	f25pp	f24pp	f8pp	w24pp
w25pp	0.28645916727409154	0.2733191158730369	0.2353826809606729	0.40397636001860937	0.3486238113649083	0.27534341877227525	0.25315566365419867	0.41286379477962465	0.1453050540926245	0.28120825216350187	0.0	0.2098622203663869	0.14733632886625492	0.23403856656112687	0.19478648036418422	0.2491588547871189	0.1823777817415607	0.20679235769501075	0.21804221266433485	0.18516035004866815	1.04990208284692	0.37001669197273623	0.36402258003011373	0.22011089281879087	0.3505022478014805	0.2755177944001723	0.37267289805571113	0.3518800014759371	0.37243720742718256	0.31305840119783956	0.19317390277527718	0.19479542466122113	0.22067221031142586	0.2188930808172633	0.21855947705614853	0.2591902842020092	0.3084158073571763	0.22155948417229532	0.30549971802844494	0.24429138394675018	0.19922999499777724	0.19553054244170698	0.30523577364252474	0.2745208322117456	0.2988110007481361	0.3932657781839145	0.3080389143129592	0.25292399634906815	0.19373938934174553	0.19875398999866561	0.2402712557958099	0.21949005053001888	0.2800785456888076	0.17699668582875172	0.4327634433850327	0.2792790863034371	0.19958229922730963	0.262300108044076	0.2755800504504587	0.3423097819308818	0.2394262672133704	0.26989519008080903	0.3426744870413828	0.27517572207263824	0.19975502620547764	0.2719536682126546	0.19001297259605868	0.2195647231131678	0.18495295329263045
F32H1	0.3393925831593798	0.32625253175832525	0.2883160968459612	0.4569097759038977	0.4015572272501966	0.3282768346575636	0.306089079539487	0.4657972106649129	0.1982384699779128	0.33414166804879014	0.2098622203663869	0.0	0.20026974475154322	0.2869719824464152	0.24771989624947252	0.3020922706724072	0.235311197626849	0.259725773580299	0.27097562854962315	0.23809376593395645	1.1028354987322084	0.4229501078580245	0.416955995915402	0.27304430870407914	0.40343566368676875	0.32845121028546065	0.42560631394099946	0.4048134173612254	0.42537062331247083	0.3659918170831279	0.24610731866056548	0.2477288405465094	0.27360562619671414	0.2718264967025516	0.2714928929414368	0.3121237000872975	0.36134922324246455	0.2744929000575836	0.3584331339137332	0.2972247998320385	0.25216341088306554	0.24846395832699528	0.35816918952781307	0.32745424809703394	0.3517444166334244	0.44619919406920283	0.3609723301982475	0.3058574122343564	0.24667280522703383	0.25168740588395394	0.2932046716810982	0.2724234664153072	0.3330119615740959	0.22993010171404002	0.48569685927032097	0.3322125021887254	0.2525157151125979	0.3152335239293643	0.32851346633574696	0.3952431978161701	0.2923596830986587	0.32282860596609736	0.39560790292667114	0.3281091379579265	0.2526884420907659	0.3248870840979429	0.24294638848134698	0.2724981389984561	0.23788636917791875
w31pp	0.17953346575475165	0.16639341435369703	0.128456979441333	0.2970506584992695	0.2416981098455684	0.16841771725293536	0.14622996213485878	0.3059380932602847	0.03837935257328462	0.2093175469566481	0.14733632886625492	0.20026974475154322	0.0	0.12711286504178698	0.08786077884484432	0.142233153267779	0.07545208022222077	0.09986665617567084	0.11111651114499496	0.07823464852932827	0.9429763813275802	0.2630909904533963	0.25709687851077384	0.11318519129945098	0.2435765462821406	0.16859209288083243	0.26574719653637124	0.2449542999565972	0.2655115059078426	0.2061326996784997	0.0862482012559373	0.08786972314188121	0.11374650879208595	0.11196737929792341	0.11163377553680862	0.1522645826826693	0.2014901058378364	0.1146337826529554	0.19857401650910506	0.13736568242741026	0.09230429347843735	0.08860484092236708	0.19831007212318486	0.16759513069240572	0.1918852992287962	0.2863400766645746	0.20111321279361932	0.1459982948297282	0.08681368782240563	0.09182828847932573	0.13334555427647	0.112564349010679	0.1731528441694677	0.0700709843094118	0.32583774186569275	0.17235338478409717	0.0926565977079697	0.1553744065247361	0.16865434893111877	0.23538408041154188	0.1325005656940305	0.16296948856146914	0.23574878552204293	0.16825002055329832	0.09282932468613772	0.1650279666933147	0.08308727107671876	0.11263902159382788	0.07802725177329056
f23ppB	0.24581596748237886	0.23267591608132424	0.19473948116896023	0.3633331602268967	0.30798061157319556	0.2347002189805626	0.212512463862486	0.37222059498791193	0.10466185430091184	0.29601978465152007	0.23403856656112687	0.2869719824464152	0.12711286504178698	0.0	0.15414328057247154	0.2085156549954062	0.14173458194984798	0.16614915790329804	0.17739901287262216	0.14451715025695547	1.0092588830552074	0.3293734921810235	0.32337938023840107	0.17946769302707818	0.3098590480097678	0.23487459460845964	0.3320296982639984	0.3112368016842244	0.33179400763546985	0.2724152014061269	0.1525307029835645	0.15415222486950841	0.18002901051971315	0.17824988102555062	0.17791627726443582	0.2185470844102965	0.2677726075654636	0.1809162843805826	0.2648565182367323	0.2036481841550375	0.15858679520606456	0.1548873426499943	0.26459257385081203	0.23387763242003295	0.25816780095642344	0.3526225783922018	0.26739571452124655	0.21228079655735543	0.15309618955003285	0.15811079020695296	0.19962805600409722	0.1788468507383062	0.23943534589709492	0.13635348603703903	0.39212024359332	0.2386358865117244	0.15893909943559692	0.22165690825236334	0.234936850658746	0.3016665821391691	0.19878306742165772	0.22925199028909637	0.30203128724967016	0.23453252228092555	0.15911182641376495	0.23131046842094194	0.149369772804346	0.1789215233214551	0.14430975350091776
f1pp	0.1832786302663404	0.17013857886528577	0.1322021439529218	0.3007958230108583	0.24544327435715713	0.17216288176452413	0.14997512664644755	0.3096832577718735	0.05165383800320872	0.2567676984545774	0.19478648036418422	0.24771989624947252	0.08786077884484432	0.15414328057247154	0.0	0.13658034902423766	0.06979927597867945	0.1036118206872596	0.11486167565658373	0.08197981304091703	0.946721545839169	0.2668361549649851	0.2608420430223626	0.11693035581103975	0.24732171079372936	0.1723372573924212	0.26949236104796	0.24869946446818597	0.2692566704194314	0.20987786419008847	0.08999336576752606	0.09161488765346998	0.11749167330367472	0.11571254380951218	0.11537894004839738	0.15600974719425803	0.20523527034942513	0.11837894716454417	0.2023191810206938	0.14111084693899906	0.09604945799002612	0.09235000543395584	0.2020552366347736	0.17134029520399452	0.19563046374038495	0.29008524117616336	0.20485837730520806	0.149743459341317	0.0905588523339944	0.09557345299091449	0.13709071878805879	0.11630951352226776	0.17689800868105646	0.07381614882100057	0.3295829063772815	0.17609854929568597	0.09640176221955847	0.15911957103632487	0.17239951344270754	0.23912924492313065	0.13624573020561925	0.16671465307305788	0.2394939500336317	0.1719951850648871	0.09657448919772649	0.16877313120490345	0.08683243558830753	0.11638418610541665	0.08177241628487933
w14pp	0.23765100468927505	0.22451095328822043	0.18657451837585642	0.3551681974337929	0.2998156487800918	0.2265352561874588	0.2043475010693822	0.36405563219480813	0.1060262124261434	0.3111400728775121	0.2491588547871189	0.3020922706724072	0.142233153267779	0.2085156549954062	0.13658034902423766	0.0	0.1050134589630616	0.1579841951101943	0.16923405007951842	0.13635218746385172	1.0010939202621036	0.3212085293879198	0.31521441744529727	0.1713027302339744	0.301694085216664	0.22670963181535586	0.32386473547089467	0.30307183889112066	0.3236290448423661	0.26425023861302316	0.14436574019046072	0.14598726207640467	0.1718640477266094	0.17008491823244684	0.16975131447133207	0.21038212161719272	0.2596076447723598	0.17275132158747886	0.2566915554436285	0.19548322136193372	0.15042183241296078	0.14672237985689052	0.2564276110577083	0.22571266962692918	0.25000283816331964	0.34445761559909804	0.25923075172814275	0.20411583376425166	0.14493122675692907	0.14994582741384915	0.19146309321099345	0.17068188794520242	0.23127038310399112	0.12818852324393523	0.3839552808002162	0.2304709237186206	0.15077413664249312	0.21349194545925954	0.2267718878656422	0.29350161934606533	0.1906181046285539	0.22108702749599257	0.29386632445656635	0.22636755948782175	0.15094686362066115	0.22314550562783814	0.1412048100112422	0.1707565605283513	0.13614479070781396
f17ppB	0.17086993164371686	0.15772988024266224	0.11979344533029823	0.2883871243882347	0.2330345757345336	0.1597541831419006	0.13756642802382402	0.29727455914924994	0.03924513938058517	0.24435899983195386	0.1823777817415607	0.235311197626849	0.07545208022222077	0.14173458194984798	0.06979927597867945	0.1050134589630616	0.0	0.09120312206463607	0.10245297703396018	0.06957111441829349	0.9343128472165454	0.2544274563423615	0.24843334439973905	0.10452165718841619	0.2349130121711058	0.15992855876979764	0.2570836624253365	0.2362907658455624	0.25684797179680785	0.1974691655674649	0.0775846671449025	0.07920618903084645	0.10508297468105117	0.10330384518688862	0.10297024142577384	0.1436010485716345	0.1928265717268016	0.10597024854192062	0.18991048239807026	0.1287021483163755	0.08364075936740256	0.0799413068113323	0.18964653801215006	0.15893159658137096	0.18322176511776142	0.2776765425535398	0.19244967868258453	0.13733476071869344	0.07815015371137085	0.08316475436829095	0.12468202016543523	0.1039008148996442	0.16448931005843292	0.061407450198377025	0.317174207754658	0.1636898506730624	0.08399306359693492	0.14671087241370134	0.15999081482008398	0.2267205463005071	0.12383703158299571	0.15430595445043435	0.22708525141100816	0.15958648644226353	0.08416579057510294	0.15636443258227992	0.07442373696568398	0.10397548748279312	0.06936371766225578
f13pp	0.17956199643375492	0.1664219450327003	0.12848551012033627	0.29707918917827275	0.24172664052457166	0.16844624793193863	0.14625849281386205	0.305966623939288	0.06365971533403525	0.2687735757854039	0.20679235769501075	0.259725773580299	0.09986665617567084	0.16614915790329804	0.1036118206872596	0.1579841951101943	0.09120312206463607	0.0	0.07926074071938544	0.05582639544764781	0.9205681282458997	0.24068273737171586	0.23468862542909338	0.09077693821777051	0.22116829320046014	0.14618383979915195	0.2433389434546908	0.23673980478194645	0.2572970107331919	0.19791820450384895	0.07803370608128653	0.07965522796723046	0.11377503947108922	0.11199590997692667	0.11166230621581189	0.15229311336167253	0.20151863651683963	0.11466231333195867	0.1986025471881083	0.13739421310641353	0.09233282415744061	0.08863337160137034	0.1983386028021881	0.167623661371409	0.19191382990779945	0.2863686073435779	0.20114174347262256	0.14602682550873147	0.0868422185014089	0.091856819158329	0.13337408495547326	0.11259287968968225	0.17318137484847096	0.07009951498841507	0.325866272544696	0.17238191546310044	0.09268512838697297	0.15540293720373938	0.16868287961012204	0.23541261109054515	0.13252909637303376	0.1629980192404724	0.2357773162010462	0.1682785512323016	0.09285785536514099	0.16505649737231798	0.08311580175572203	0.11266755227283115	0.07805578245229383
f14ppA	0.19081185140307902	0.1776718000020244	0.1397353650896604	0.3083290441475969	0.2529764954938958	0.17969610290126276	0.15750834778318618	0.3172164789086121	0.07490957030335936	0.280023430754728	0.21804221266433485	0.27097562854962315	0.11111651114499496	0.17739901287262216	0.11486167565658373	0.16923405007951842	0.10245297703396018	0.07926074071938544	0.0	0.06707625041697192	0.9318179832152238	0.25193259234104	0.2459384803984175	0.10202679318709462	0.23241814816978426	0.15743369476847607	0.2545887984240149	0.24798965975127057	0.268546865702516	0.20916805947317307	0.08928356105061064	0.09090508293655458	0.12502489444041331	0.12324576494625078	0.122912161185136	0.16354296833099666	0.21276849148616375	0.12591216830128277	0.20985240215743242	0.14864406807573766	0.10358267912676472	0.09988322657069446	0.20958845777151222	0.17887351634073312	0.20316368487712358	0.297618462312902	0.2123915984419467	0.1572766804780556	0.09809207347073301	0.1031066741276531	0.14462393992479738	0.12384273465900636	0.18443122981779508	0.08134936995773918	0.33711612751402015	0.18363177043242457	0.10393498335629708	0.1666527921730635	0.17993273457944614	0.24666246605986925	0.14377895134235785	0.1742478742097965	0.24702717117037032	0.1795284062016257	0.1041077103344651	0.17630635234164208	0.09436565672504614	0.12391740724215528	0.08930563742161794
f6ppB	0.15792998878741232	0.1447899373863577	0.1068535024739937	0.27544718153193015	0.22009463287822906	0.14681424028559603	0.12462648516751947	0.28433461629294543	0.042027707687692664	0.24714156813906132	0.18516035004866815	0.23809376593395645	0.07823464852932827	0.14451715025695547	0.08197981304091703	0.13635218746385172	0.06957111441829349	0.05582639544764781	0.06707625041697192	0.0	0.8847826376015177	0.2048972467273338	0.19890313478471133	0.05499144757338845	0.18538280255607809	0.1103983491547699	0.20755345281030874	0.21510779713560388	0.23566500308684932	0.17628619685750638	0.05640169843494395	0.05802322032088788	0.09214303182474663	0.09036390233058408	0.0900302985694693	0.13066110571532996	0.17988662887049706	0.09303030568561609	0.17697053954176573	0.11576220546007096	0.07070081651109802	0.06700136395502776	0.17670659515584553	0.14599165372506642	0.17028182226145688	0.2647365996972353	0.17950973582628	0.1243948178623889	0.06521021085506631	0.07022481151198641	0.11174207730913069	0.09096087204333966	0.15154936720212836	0.04846750734207249	0.3042342648983534	0.15074990781675787	0.07105312074063039	0.13377092955739678	0.14705087196377947	0.21378060344420258	0.11089708872669117	0.14136601159412981	0.2141453085547036	0.14664654358595902	0.0712258477187984	0.14342448972597538	0.061483794109379444	0.09103554462648858	0.056423774805951246
