	w15pp	f12ppA	w16pp	w18pp	w24pp	w10pp	w9pp	f14ppA	f19pp	f22ppA	f7pp	f21pp	f8pp	f30pp	f32pp	f12ppB	f6ppA	f14ppB	f1pp	f4pp	f6ppB	f16ppA	w3pp	f24pp	f2pp	f22ppB	f20ppA	f16ppB	w11pp	f18pp	f25pp	w13pp	S28Hp
f7pp	0.2783768801654922	0.2718810615658877	0.3274572970463474	0.3130206845631913	0.2561815441362438	0.36532377420069506	0.15241609821746277	0.2398916659204005	0.24347194537546618	0.22861991469723764	0.0	0.2154802063231982	0.2382767763527086	0.30343175491486785	0.3519371408524793	0.32724511965473985	0.3296906590591393	0.21421123073307125	0.30056209937952966	0.25065995935070556	0.2987293029794718	0.21516542004400574	0.26459978179818566	0.23321595987953836	0.25164281214097484	0.26860374895017236	0.22662109786040918	0.2793619896791466	0.3701256893845349	0.32062907282888664	0.2580032257591049	0.31379952944217016	0.44660529459635745
f21pp	0.3493337117334292	0.3428378931338247	0.3984141286142844	0.3839775161311283	0.32713837570418075	0.43628060576863203	0.22337292978539974	0.3108484974883375	0.31442877694340315	0.2995767462651746	0.2154802063231982	0.0	0.3092336079206456	0.3743885864828048	0.42289397242041626	0.3982019512226768	0.4006474906270763	0.2851680623010082	0.37151893094746663	0.32161679091864254	0.3696861345474088	0.2861222516119427	0.33555661336612264	0.30417279144747533	0.3225996437089118	0.33956058051810933	0.29757792942834616	0.3503188212470836	0.44108252095247186	0.3915859043968236	0.32896005732704187	0.38475636101010713	0.5175621261642944
f8pp	0.21480722000921282	0.21959463377988958	0.32624322576062065	0.3118066132774645	0.254967472850517	0.3641097029149683	0.151202026931736	0.2697902220518205	0.2733705015068862	0.25851847082865764	0.2382767763527086	0.3092336079206456	0.0	0.1800568326065572	0.22856221854416864	0.2038701973464292	0.20631573675082865	0.09083630842476059	0.177187177071219	0.12728503704239488	0.17535438067116116	0.09179049773569506	0.16762181686073602	0.13623799494208874	0.17585864217376362	0.20503408879389293	0.16305143770412978	0.2157923295228672	0.3065560292282555	0.2570594126726073	0.1944335656028255	0.25022986928589075	0.38303563444007804
f30pp	0.27996219857137206	0.2847496123420488	0.3913982043227799	0.37696159183962374	0.32012245141267626	0.42926468147712754	0.21635700549389525	0.33494520061397975	0.3385254800690454	0.3236734493908169	0.30343175491486785	0.3743885864828048	0.1800568326065572	0.0	0.1621984107913831	0.23043880153286156	0.23288434093726101	0.11740491261119296	0.20375578125765137	0.15385364122882725	0.20638022771166145	0.14436143577723656	0.23277679542289526	0.20139297350424798	0.24101362073592286	0.2701890673560522	0.22820641626628901	0.28094730808502644	0.3717110077904147	0.3222143912347665	0.2595885441649847	0.31538484784805	0.4481906130022373
f32pp	0.3284675845089835	0.33325499827966026	0.43990359026039133	0.4254669777772352	0.3686278373502877	0.477770067414739	0.2648623914315067	0.3834505865515912	0.38703086600665687	0.3721788353284283	0.3519371408524793	0.42289397242041626	0.22856221854416864	0.1621984107913831	0.0	0.278944187470473	0.28138972687487246	0.1659102985488044	0.2522611671952628	0.2023590271664387	0.2548856136492729	0.192866821714848	0.2812821813605067	0.24989835944185942	0.2895190066735343	0.31869445329366364	0.27671180220390046	0.3294526940226379	0.42021639372802616	0.3707197771723779	0.30809393010259617	0.36389023378566143	0.4966959989398487
f12ppB	0.30377556331124406	0.3085629770819208	0.4152115690626519	0.4007749565794958	0.34393581615254826	0.45307804621699954	0.24017037023376725	0.35875856535385175	0.3623388448089174	0.3474868141306889	0.32724511965473985	0.3982019512226768	0.2038701973464292	0.23043880153286156	0.278944187470473	0.0	0.21595094887684935	0.13719723684864876	0.22354810549510717	0.17364596546628308	0.23019359245153348	0.16817480051710856	0.25659016016276726	0.22520633824411998	0.26482698547579486	0.29400243209592414	0.252019781006161	0.3047606728248984	0.3955243725302867	0.34602775597463853	0.2834019089048567	0.339198212587922	0.47200397774210934
f6ppA	0.3062211027156435	0.3110085164863203	0.41765710846705134	0.4032204959838952	0.3463813555569477	0.455523585621399	0.2426159096381667	0.3612041047582512	0.3647843842133169	0.34993235353508834	0.3296906590591393	0.4006474906270763	0.20631573675082865	0.23288434093726101	0.28138972687487246	0.21595094887684935	0.0	0.13964277625304822	0.22599364489950663	0.17609150487068254	0.23263913185593293	0.17062033992150802	0.2590356995671667	0.22765187764851944	0.2672725248801943	0.29644797150032365	0.25446532041056047	0.3072062122292979	0.39796991193468617	0.34847329537903793	0.2858474483092562	0.34164375199232144	0.47444951714650874
f14ppB	0.19074167438957548	0.19552908816025222	0.3021776801409833	0.28774106765782714	0.23090192723087966	0.34004415729533094	0.12713648131209865	0.24572467643218315	0.24930495588724882	0.23445292520902028	0.21421123073307125	0.2851680623010082	0.09083630842476059	0.11740491261119296	0.1659102985488044	0.13719723684864876	0.13964277625304822	0.0	0.08635286864745846	0.036450728618634354	0.11715970352986485	0.05514091159543996	0.14355627124109865	0.1121724493224514	0.15179309655412626	0.1809685431742556	0.1389858920844924	0.19172678390322984	0.28249048360861817	0.23299386705296993	0.17036801998318812	0.22616432366625341	0.35897008882044074
f1pp	0.27709254303603387	0.28187995680671063	0.3885285487874417	0.3740919363042856	0.31725279587733807	0.42639502594178935	0.21348734995855706	0.33207554507864157	0.33565582453370724	0.3208037938554787	0.30056209937952966	0.37151893094746663	0.177187177071219	0.20375578125765137	0.2522611671952628	0.22354810549510717	0.22599364489950663	0.08635286864745846	0.0	0.10067717494311954	0.20351057217632326	0.14149178024189837	0.22990713988755707	0.1985233179689098	0.23814396520058467	0.26731941182071395	0.22533676073095082	0.2780776525496882	0.3688413522550765	0.31934473569942834	0.25671888862964654	0.3125151923127118	0.44532095746689915
f4pp	0.22719040300720977	0.23197781677788654	0.3386264087586176	0.32418979627546146	0.267350655848514	0.37649288591296526	0.16358520992973297	0.28217340504981747	0.28575368450488314	0.2709016538266546	0.25065995935070556	0.32161679091864254	0.12728503704239488	0.15385364122882725	0.2023590271664387	0.17364596546628308	0.17609150487068254	0.036450728618634354	0.10067717494311954	0.0	0.15360843214749914	0.09158964021307425	0.18000499985873297	0.1486211779400857	0.18824182517176058	0.21741727179188988	0.17543462070212673	0.22817551252086415	0.31893921222625243	0.26944259567060425	0.20681674860082244	0.2626130522838877	0.39541881743807505
f6ppB	0.275259746635976	0.2800471604066528	0.38669575238738385	0.37225913990422776	0.3154199994772802	0.4245622295417315	0.21165455355849921	0.3302427486785837	0.3338230281336494	0.31897099745542085	0.2987293029794718	0.3696861345474088	0.17535438067116116	0.20638022771166145	0.2548856136492729	0.23019359245153348	0.23263913185593293	0.11715970352986485	0.20351057217632326	0.15360843214749914	0.0	0.13965898384184053	0.22807434348749922	0.19669052156885194	0.23631116880052683	0.2654866154206561	0.22350396433089298	0.27624485614963035	0.3670085558550187	0.3175119392993705	0.2548860922295887	0.31068239591265395	0.4434881610668413
