	w10pp	f16ppB	w9pp	s24pp	s1pp	f9pp	w3pp	f22ppA	f16ppA	w4pp	w30pp	f22ppB	f18pp	f24pp	w20pp	f14ppA	f19pp	s16pp	w18pp	w7pp	f20ppB	f4pp	f2pp	S15Hp	w21pp	f32pp	f21pp	f30pp	f25pp	f1pp	f7pp	f14ppB	w12pp	f17ppA	530295	w6pp
w30pp	0.34078676434417615	0.33437420698802456	0.22965082774880133	0.3789420329468042	0.29780406401457665	0.2712621358750974	0.3182385058086526	0.2649810957061583	0.25362149657714567	0.2738477303181087	0.0	0.25828908667904904	0.31232153998296536	0.2648953140941466	0.33615788326080087	0.3138671813613552	0.2893414123421398	0.4188528634039049	0.3028534350234977	0.3338737239881383	0.35263738438216313	0.30000185798396617	0.3397046465546214	0.3274796615620207	0.3765611891840267	0.35309706397219215	0.34059917272670837	0.34466294093548744	0.3390347484391515	0.3390062089343382	0.27307845079300863	0.2204906354356725	0.3044525937030618	0.37572640374195887	0.4376034902370661	0.3463729552734317
f22ppB	0.2159395890969144	0.2095270317407628	0.11795893040728359	0.26725013560528643	0.1861121666730589	0.15957023853357968	0.20654660846713485	0.15328919836464056	0.14192959923562792	0.21645585415991972	0.25828908667904904	0.0	0.1874743647357036	0.14004813884688483	0.21131070801353913	0.18902000611409348	0.16449423709487804	0.29400568815664313	0.17800625977623594	0.2090265487408765	0.2277902091349014	0.17515468273670437	0.2148574713073596	0.2026324863147589	0.2517140139367649	0.2282498887249304	0.21575199747944657	0.2198157656882257	0.2141875731918897	0.21415903368707645	0.14823127554574683	0.09564346018841073	0.17960541845580008	0.2508792284946971	0.3127563149898043	0.22152578002616993
f18pp	0.2613947761976139	0.2549822188414623	0.17199138371119993	0.32128258890920275	0.24014461997697523	0.213602691837496	0.26057906177105117	0.20732165166855687	0.19596205253954424	0.27048830746383606	0.31232153998296536	0.1874743647357036	0.0	0.1717711655442347	0.24303373471088902	0.2207430328114433	0.19621726379222787	0.33946087525734264	0.22346144687693548	0.2544817358415761	0.2732453962356009	0.22060986983740394	0.26031265840805917	0.24808767341545845	0.29716920103746447	0.2737050758256299	0.26120718458014613	0.2652709527889252	0.25964276029258926	0.25961422078777596	0.1936864626464464	0.14109864728911026	0.22506060555649962	0.29633441559539664	0.35821150209050384	0.2669809671268695
f24pp	0.21396855030879516	0.20755599295264354	0.12456515782238113	0.27385636302038396	0.19271839408815644	0.16617646594867722	0.21315283588223238	0.1598954257797381	0.14853582665072546	0.22306208157501728	0.2648953140941466	0.14004813884688483	0.1717711655442347	0.0	0.1652002675688244	0.1429095656693787	0.13652509929368034	0.29203464936852386	0.1760352209881167	0.2070555099527573	0.22581917034678212	0.17318364394858515	0.2128864325192404	0.20066144752663967	0.24974297514864569	0.22627884993681113	0.21378095869132735	0.21784472690010642	0.21221653440377047	0.21218799489895718	0.14626023675762762	0.09367242140029149	0.17763437966768084	0.24890818970657788	0.31078527620168506	0.2195547412380507
w20pp	0.2852311194754495	0.2788185621192979	0.19582772698903544	0.34511893218703826	0.2639809632548108	0.23743903511533154	0.28441540504888674	0.23115799494639241	0.21979839581737975	0.2943246507416716	0.33615788326080087	0.21131070801353913	0.24303373471088902	0.1652002675688244	0.0	0.16373639150717445	0.20778766846033464	0.36329721853517816	0.247297790154771	0.2783180791194116	0.2970817395134364	0.24444621311523945	0.2841490016858947	0.27192401669329397	0.3210055443153	0.29754141910346543	0.28504352785798165	0.2891072960667608	0.2834791035704248	0.28345056406561153	0.21752280592428191	0.1649349905669458	0.24889694883433516	0.3201707588732322	0.38204784536833936	0.290817310404705
f14ppA	0.2629404175760038	0.2565278602198522	0.17353702508958976	0.3228282302875926	0.2416902613553651	0.21514833321588583	0.26212470314944103	0.20886729304694673	0.1975076939179341	0.27203394884222587	0.3138671813613552	0.18902000611409348	0.2207430328114433	0.1429095656693787	0.16373639150717445	0.0	0.18549696656088896	0.3410065166357325	0.22500708825532534	0.25602737721996593	0.27479103761399076	0.22215551121579377	0.26185829978644903	0.2496333147938483	0.29871484241585433	0.2752507172040198	0.262752825958536	0.26681659416731507	0.2611884016709791	0.2611598621661658	0.19523210402483623	0.14264428866750012	0.22660624693488945	0.2978800569737865	0.3597571434688937	0.26852660850525933
f19pp	0.23841464855678834	0.23200209120063675	0.14901125607037433	0.2983024612683772	0.21716449233614965	0.1906225641966704	0.2375989341302256	0.1843415240277313	0.17298192489871866	0.24750817982301046	0.2893414123421398	0.16449423709487804	0.19621726379222787	0.13652509929368034	0.20778766846033464	0.18549696656088896	0.0	0.31648074761651707	0.2004813192361099	0.23150160820075047	0.2502652685947753	0.19762974219657833	0.23733253076723357	0.22510754577463285	0.2741890733966389	0.25072494818480434	0.23822705693932053	0.24229082514809963	0.23666263265176365	0.23663409314695039	0.1707063350056208	0.11811851964828468	0.20208047791567402	0.27335428795457106	0.33523137444967827	0.2440008394860439
s16pp	0.3619921275475947	0.3555795701914431	0.2785227071321394	0.42781391233014227	0.34667594339791474	0.3201340152584355	0.3671103851919907	0.3138529750894964	0.30249337596048376	0.3770196308847755	0.4188528634039049	0.29400568815664313	0.33946087525734264	0.29203464936852386	0.36329721853517816	0.3410065166357325	0.31648074761651707	0.0	0.18832528397864046	0.31080942706389747	0.32957308745792235	0.2769375610597254	0.31664034963038057	0.32125368403152815	0.3703352116535341	0.35462941490065647	0.34213152365517263	0.34619529186395176	0.34056709936761576	0.3405385598628025	0.2746108017214729	0.2220229863641368	0.31025329007744035	0.39693176694537746	0.4588088534404846	0.36757831847685024
w18pp	0.24599269916718752	0.2395801418110359	0.16252327875173223	0.3118144839497351	0.23067651501750758	0.20413458687802832	0.2511109568115835	0.19785354670908922	0.18649394758007656	0.26102020250436836	0.3028534350234977	0.17800625977623594	0.22346144687693548	0.1760352209881167	0.247297790154771	0.22500708825532534	0.2004813192361099	0.18832528397864046	0.0	0.19480999868349033	0.2135736590775152	0.16093813267931822	0.20064092124997343	0.205254255651121	0.254335783273127	0.2386299865202493	0.22613209527476547	0.2301958634835446	0.2245676709872086	0.22453913148239535	0.15861137334106573	0.10602355798372963	0.19425386169703315	0.28093233856497024	0.3428094250600774	0.251578890096443
w7pp	0.2770129881318281	0.2706004307756765	0.19354356771637282	0.3428347729143757	0.2616968039821481	0.23515487584266892	0.28213124577622406	0.2288738356737298	0.21751423654471713	0.29204049146900896	0.3338737239881383	0.2090265487408765	0.2544817358415761	0.2070555099527573	0.2783180791194116	0.25602737721996593	0.23150160820075047	0.31080942706389747	0.19480999868349033	0.0	0.22292518573609002	0.17028965933789303	0.20999244790854826	0.23627454461576153	0.28535607223776754	0.26965027548488985	0.25715238423940606	0.2612161524481852	0.2555879599518492	0.25555942044703595	0.18963166230570633	0.1370438469483702	0.22527415066167375	0.31195262752961084	0.373829714024718	0.2825991790610836
