	s31pp	w10pp	s10pp	S12Hp	530451	w16pp	s16pp	s29pp	S21H1	s9pp	w18pp	s21pp	530055	s12pp	s20pp	S13Hp	s13pp	F7H1	s24pp	S3Hp	S27H1	w11pp	s7pp	S9H1	s1pp	s11pp	s25pp	s19pp	S14Hp	s32pp	S8Hp	S26Hp	s26pp	s22pp	S22Hp	S18H1	S20H1	S11Hp	w15pp	w27pp	s27pp	w4pp	S16H2	s4pp	f16ppA	530331	f8pp	f18pp	F6H1	s3pp	f21pp	f30pp	f14ppB	s14pp	w14pp	f25pp	S19H1	f4pp	f6ppB	w6pp	S1Hp	F23HpA	S4Hp	s18pp	w13pp	s30pp	s17pp	s15pp	w30pp	s2pp	s28pp	S28Hp
w18pp	0.28744833130655223	0.2829453908653132	0.2829453908653132	0.2857172627898282	0.2922861055905297	0.19061487120921278	0.18253467273341684	0.2581792994436229	0.25735374002998246	0.20655780709728144	0.0	0.19076617207736837	0.2405931949197173	0.09774515564076694	0.20055150338921093	0.32754180171625324	0.31444521851009943	0.3077512812311218	0.2797509093512545	0.3732288481862983	0.3069553340950378	0.27107648423708963	0.33067196649632935	0.3865993317184991	0.33512511713183635	0.269428336932764	0.22300139239134845	0.23255701730424128	0.3450916605577252	0.33608677063810943	0.371618562712278	0.36412779482915625	0.4203659101580996	0.3599460336196366	0.40523636285128845	0.40481346263748763	0.39295943204964795	0.37534349232730313	0.3567422820496209	0.39012017725900267	0.38738904385878836	0.32766908317675325	0.5182835414222613	0.35636603958693597	0.3789710215622405	0.7680496695879041	0.3135751283400896	0.38923450394365416	0.4595073748284214	0.3461827925277804	0.4369556225817808	0.48793783655729184	0.44436843945597815	0.4682656950298831	0.4916346003972796	0.448037103753957	0.46971972130623146	0.46201852357675055	0.5275524906812747	0.5124423112978965	0.560861364006685	0.44824659911135556	0.46798534591017193	0.4226529288009582	0.3940019193295681	0.28259386955048316	0.3418918825850748	0.3682332626160659	0.3033647910664559	0.22079352919100512	0.2767153228117985	0.29524925618804115
s21pp	0.3626864992313177	0.3581835587900786	0.3581835587900786	0.36095543071459363	0.36752427351529515	0.2658530391339783	0.2577728406581823	0.3334174673683884	0.3325919079547479	0.2817959750220469	0.19076617207736837	0.0	0.27643457967974666	0.17298332356553242	0.2757896713139764	0.4027799696410187	0.3896833864348649	0.38298944915588723	0.35498907727601997	0.44846701611106377	0.38219350201980323	0.3463146521618551	0.4059101344210948	0.46183749964326454	0.4103632850566018	0.3446665048575295	0.29823956031611387	0.30779518522900673	0.4203298284824907	0.4113249385628749	0.44685673063704345	0.4393659627539217	0.49560407808286505	0.43518420154440207	0.4804745307760539	0.4800516305622531	0.4681975999744134	0.4505816602520686	0.43198044997438634	0.4653583451837681	0.4626272117835538	0.4029072511015187	0.5935217093470266	0.4316042075117014	0.45420918948700595	0.8432878375126696	0.38881329626485506	0.4644726718684196	0.5347455427531869	0.42142096045254585	0.5121937905065462	0.5631760044820573	0.5196066073807436	0.5435038629546485	0.566872768322045	0.5232752716787225	0.544957889230997	0.537256691501516	0.6027906586060403	0.587680479222662	0.6360995319314504	0.523484767036121	0.5432235138349374	0.4978910967257237	0.4692400872543335	0.3578320374752486	0.41713005050984026	0.4434714305408314	0.37860295899122137	0.29603169711577054	0.35195349073656396	0.3704874241128066
530055	0.41251352207366665	0.4080105816324276	0.4080105816324276	0.4107824535569426	0.4173512963576441	0.3156800619763272	0.30759986350053126	0.3832444902107373	0.3824189307970969	0.33162299786439586	0.2405931949197173	0.27643457967974666	0.0	0.22281034640788136	0.3256166941563253	0.45260699248336766	0.43951040927721385	0.4328164719982362	0.40481610011836894	0.49829403895341273	0.4320205248621522	0.39614167500420405	0.45573715726344377	0.5116645224856136	0.46019030789895077	0.39449352769987844	0.34806658315846284	0.3576222080713557	0.47015685132483964	0.46115196140522385	0.4966837534793924	0.48919298559627067	0.545431100925214	0.48501122438675104	0.5303015536184028	0.529878653404602	0.5180246228167624	0.5004086830944176	0.4818074728167353	0.5151853680261171	0.5124542346259028	0.45273427394386767	0.6433487321893756	0.4814312303540504	0.5040362123293549	0.8931148603550185	0.438640319107204	0.5142996947107685	0.5845725655955358	0.4712479832948948	0.5620208133488952	0.6130030273244063	0.5694336302230926	0.5933308857969974	0.616699791164394	0.5731022945210714	0.5947849120733459	0.587083714343865	0.6526176814483893	0.637507502065011	0.6859265547737994	0.57331178987847	0.5930505366772864	0.5477181195680727	0.5190671100966825	0.4076590603175976	0.4669570733521892	0.49329845338318035	0.42842998183357034	0.3458587199581195	0.4017805135789129	0.4203144469551556
s12pp	0.2140099203394228	0.20950697989818373	0.20950697989818373	0.21227885182269873	0.2188476946234003	0.1515068014451982	0.14342660296940227	0.21907122967960832	0.2182456702659679	0.16744973733326687	0.09774515564076694	0.17298332356553242	0.22281034640788136	0.0	0.12711309242208152	0.2541033907491238	0.24100680754297	0.23431287026399233	0.20631249838412508	0.29979043721916887	0.23351692312790834	0.1976380732699602	0.2572335555291999	0.3131609207513697	0.2616867061647069	0.19598992596563464	0.14956298142421903	0.15911860633711186	0.2716532495905958	0.26264835967098	0.29818015174514856	0.2906893838620268	0.3469274991909702	0.2865076226525072	0.33179795188415906	0.3313750516703582	0.31952102108251856	0.3019050813601737	0.28330387108249144	0.3166817662918733	0.3139506328916589	0.25423067220962386	0.44484513045513185	0.2829276286198066	0.30553261059511105	0.6946112586207747	0.24013671737296022	0.3157960929765248	0.38606896386129197	0.27274438156065095	0.36351721161465134	0.4144994255901624	0.3709300284888487	0.3948272840627537	0.41819618943015013	0.37459869278682756	0.3962813103391021	0.3885801126096211	0.4541140797141454	0.4390039003307671	0.4874229530395555	0.3748081881442261	0.3945469349430425	0.34921451783382884	0.3205635083624387	0.20915545858335374	0.26845347161794536	0.2947948516489365	0.22992638009932648	0.14735511822387568	0.20327691184466903	0.2218108452209117
s20pp	0.2665707025727087	0.26206776213146965	0.26206776213146965	0.26483963405598465	0.2714084768566862	0.2543131491936422	0.24623295071784623	0.3218775774280523	0.32105201801441186	0.27025608508171084	0.20055150338921093	0.2757896713139764	0.3256166941563253	0.12711309242208152	0.0	0.3066641729824097	0.2935675897762559	0.28687365249727825	0.258873280617411	0.3523512194524548	0.28607770536119426	0.25019885550324605	0.30979433776248577	0.36572170298465556	0.3142474883979928	0.24855070819892053	0.20212376365750492	0.21167938857039775	0.3242140318238817	0.31520914190426585	0.3507409339784345	0.3432501660953127	0.3994882814242561	0.33906840488579304	0.3843587341174449	0.38393583390364405	0.3720818033158044	0.35446586359345955	0.3358646533157773	0.36924254852515914	0.36651141512494484	0.3067914544429098	0.4974059126884177	0.33548841085309244	0.3580933928283969	0.7471720408540605	0.29269749960624614	0.36835687520981064	0.4386297460945779	0.3253051637939368	0.41607799384793726	0.4670602078234483	0.4234908107221346	0.44738806629603955	0.47075697166343605	0.4271594750201135	0.44884209257238794	0.441140894842907	0.5066748619474313	0.491564682564053	0.5399837352728414	0.42736897037751204	0.4471077171763284	0.4017753000671147	0.3731242905957246	0.26171624081663963	0.3210142538512313	0.34735563388222235	0.2824871623326124	0.1999159004571616	0.255837694077955	0.27437162745419763
S13Hp	0.36172275194250747	0.3572198115012684	0.3572198115012684	0.3599916834257834	0.36656052622648494	0.38130344752068446	0.37322324904488857	0.4488678757550946	0.4480423163414542	0.3972463834087532	0.32754180171625324	0.4027799696410187	0.45260699248336766	0.2541033907491238	0.3066641729824097	0.0	0.07121328782918498	0.2544116803709716	0.22641130849110433	0.3198892473261481	0.2536157332348876	0.30187363979812576	0.3614691220573655	0.4173964872795352	0.3659222726928725	0.30022549249380015	0.25379854795238455	0.2633541728652774	0.37588881611876135	0.36688392619914556	0.4024157182733141	0.3949249503901924	0.4511630657191357	0.39074318918067275	0.43603351841232457	0.43561061819852376	0.4237565876106841	0.40614064788833926	0.387539437610657	0.4209173328200388	0.4181861994198245	0.3584662387377894	0.5490806969832973	0.3871631951479721	0.4097681771232766	0.7988468251489402	0.34437228390112573	0.4200316595046903	0.49030453038945754	0.3769799480888165	0.4677527781428169	0.518734992118328	0.4751655950170143	0.4990628505909192	0.5224317559583157	0.4788342593149931	0.5005168768672676	0.4928156791377867	0.558349646242311	0.5432394668589327	0.5916585195677211	0.4790437546723917	0.49878250147120806	0.45345008436199435	0.4247990748906042	0.3133910251115193	0.37268903814611093	0.39903041817710205	0.33416194662749205	0.2515906847520412	0.30751247837283463	0.3260464117490773
s13pp	0.34862616873635366	0.3441232282951146	0.3441232282951146	0.3468951002196296	0.35346394302033113	0.36820686431453065	0.36012666583873476	0.4357712925489408	0.4349457331353004	0.38414980020259937	0.31444521851009943	0.3896833864348649	0.43951040927721385	0.24100680754297	0.2935675897762559	0.07121328782918498	0.0	0.24131509716481778	0.2133147252849505	0.3067926641199943	0.24051915002873375	0.28877705659197195	0.34837253885121167	0.4042999040733814	0.35282568948671866	0.28712890928764634	0.24070196474623076	0.2502575896591236	0.36279223291260754	0.35378734299299175	0.3893191350671603	0.38182836718403856	0.4380664825129819	0.37764660597451893	0.42293693520617076	0.42251403499236995	0.41066000440453027	0.39304406468218545	0.3744428544045032	0.407820749613885	0.4050896162136707	0.34536965553163557	0.5359841137771435	0.3740666119418183	0.3966715939171228	0.7857502419427864	0.3312757006949719	0.4069350762985365	0.4772079471833037	0.3638833648826627	0.4546561949366631	0.5056384089121742	0.46206901181086046	0.4859662673847654	0.5093351727521619	0.4657376761088393	0.4874202936611138	0.47971909593163287	0.5452530630361572	0.5301428836527788	0.5785619363615673	0.4659471714662379	0.48568591826505425	0.44035350115584054	0.4117024916844504	0.3002944419053655	0.3595924549399571	0.38593383497094824	0.32106536342133823	0.23849410154588743	0.2944158951666808	0.31294982854292347
F7H1	0.341932231457376	0.33742929101613695	0.33742929101613695	0.34020116294065195	0.3467700057413535	0.36151292703555304	0.35343272855975705	0.42907735526996316	0.4282517958563227	0.37745586292362165	0.3077512812311218	0.38298944915588723	0.4328164719982362	0.23431287026399233	0.28687365249727825	0.2544116803709716	0.24131509716481778	0.0	0.09076538175349019	0.184243320588534	0.11796980649727346	0.28208311931299423	0.34167860157223395	0.39760596679440374	0.346131752207741	0.28043497200866874	0.2340080274672531	0.24356365238014593	0.3560982956336299	0.34709340571401404	0.38262519778818266	0.3751344299050609	0.43137254523400426	0.3709526686955412	0.4162429979271931	0.41582009771339223	0.4039660671255526	0.38635012740320773	0.3677489171255255	0.4011268123349073	0.398395678934693	0.33867571825265796	0.5292901764981659	0.3673726746628406	0.3899776566381451	0.7790563046638088	0.3245817634159943	0.4002411390195588	0.47051400990432607	0.357189427603685	0.44796225765768544	0.4989444716331965	0.4553750745318828	0.47927233010578774	0.5026412354731842	0.45904373882986166	0.4807263563821361	0.4730251586526552	0.5385591257571795	0.5234489463738012	0.5718679990825897	0.4592532341872602	0.4789919809860766	0.4336595638768629	0.4050085544054728	0.2936005046263878	0.35289851766097946	0.37923989769197053	0.3143714261423606	0.23180016426690978	0.28772195788770316	0.3062558912639458
s24pp	0.31393185957750874	0.3094289191362697	0.3094289191362697	0.3122007910607847	0.31876963386148627	0.3335125551556858	0.3254323566798898	0.4010769833900959	0.40025142397645547	0.3494554910437544	0.2797509093512545	0.35498907727601997	0.40481610011836894	0.20631249838412508	0.258873280617411	0.22641130849110433	0.2133147252849505	0.09076538175349019	0.0	0.10601362965662753	0.06071218295882849	0.254082747433127	0.3136782296923667	0.3696055949145365	0.31813138032787375	0.2524346001288015	0.20600765558738585	0.21556328050027868	0.3280979237537626	0.3190930338341468	0.3546248259083154	0.34713405802519365	0.403372173354137	0.34295229681567396	0.38824262604732585	0.387819725833525	0.37596569524568535	0.3583497555233405	0.33974854524565823	0.37312644045504006	0.37039530705482576	0.3106753463727907	0.5012898046182986	0.33937230278297337	0.36197728475827784	0.7510559327839414	0.29658139153612706	0.37224076713969156	0.4425136380244588	0.32918905572381774	0.4199618857778182	0.47094409975332924	0.42737470265201555	0.4512719582259205	0.474640863593317	0.4310433669499944	0.45272598450226886	0.44502478677278795	0.5105587538773122	0.4954485744939339	0.5438676272027223	0.43125286230739296	0.45099160910620933	0.4056591919969956	0.37700818252560553	0.26560013274652056	0.3248981457811122	0.35123952581210327	0.2863710542624933	0.20379979238704252	0.2597215860078359	0.27825551938407855
S3Hp	0.40740979841255254	0.4029068579713135	0.4029068579713135	0.4056787298958285	0.41224757269653	0.4269904939907295	0.41891029551493364	0.4945549222251397	0.49372936281149926	0.44293342987879825	0.3732288481862983	0.44846701611106377	0.49829403895341273	0.29979043721916887	0.3523512194524548	0.3198892473261481	0.3067926641199943	0.184243320588534	0.10601362965662753	0.0	0.1541901217938723	0.3475606862681708	0.40715616852741054	0.4630835337495803	0.41160931916291754	0.3459125389638452	0.2994855944224296	0.30904121933532247	0.4215758625888064	0.4125709726691906	0.4481027647433592	0.44061199686023744	0.4968501121891808	0.4364302356507178	0.48172056488236964	0.4812976646685688	0.46944363408072914	0.4518276943583843	0.4332264840807021	0.46660437929008386	0.46387324588986956	0.40415328520783445	0.5947677434533425	0.43285024161801716	0.4554552235933217	0.8445338716189853	0.3900593303711708	0.46571870597473536	0.5359915768595026	0.4226669945588616	0.513439824612862	0.564422038588373	0.5208526414870593	0.5447498970609643	0.5681188024283608	0.5245213057850382	0.5462039233373126	0.5385027256078317	0.6040366927123559	0.5889265133289777	0.6373455660377662	0.5247308011424368	0.5444695479412531	0.4991371308320394	0.47048612136064927	0.35907807158156435	0.418376084616156	0.4447174646471471	0.3798489930975371	0.2972777312220863	0.3531995248428797	0.37173345821912235
