	w1pp	w23pp	f19pp	w14pp	S18H1	S19H1	F3H1	S3Hp	S23Hp	S30H1	S25Hp	S16H2	S1Hp	F14H1A	S17H1	S13Hp	F22H1A	w32pp	w3pp	w10pp	w16pp	w29pp	f24pp	w17pp	s28pp	f20ppA	f12ppB	w24pp	w11pp	w8pp	f2pp	w19pp	w26pp
S25Hp	0.5157774742403218	0.4834034986195186	0.4837167070351862	0.507645226646984	0.3586685000892475	0.36886810365818834	0.40014590179239906	0.413436482492103	0.3984122251948935	0.30578038094338766	0.0	0.42954881619326135	0.3395836280999635	0.34531741585858533	0.5883666776731794	0.3958729576794827	0.3984750775633756	0.5138362272401725	0.5047715882446511	0.5016664658714394	0.5179928626296346	0.5135978162660247	0.5298279042176715	0.5442800834503503	0.5383429198830094	0.53645430257972	0.5303926611389211	0.4959292525092366	0.5060414484690616	0.5005967580199616	0.4859438291017416	0.5309354349761016	0.48722978940950035
S16H2	0.5616885785939978	0.5293146029731945	0.5296278113888622	0.5535563310006599	0.40457960444292346	0.4147792080118643	0.446057006146075	0.4593475868457789	0.4443233295485694	0.36578640090415104	0.42954881619326135	0.0	0.38549473245363947	0.3912285202122613	0.6342777820268554	0.4417840620331587	0.44438618191705154	0.5597473315938486	0.550682692598327	0.5475775702251153	0.5639039669833107	0.5595089206197007	0.5757390085713474	0.5901911878040262	0.5842540242366854	0.582365406933396	0.5763037654925971	0.5418403568629125	0.5519525528227376	0.5465078623736376	0.5318549334554176	0.5768465393297776	0.5331408937631762
S1Hp	0.3981635499215874	0.3657895743007842	0.3661027827164518	0.3900313023282495	0.24105457577051304	0.2512541793394539	0.3259460148822947	0.33923659558199865	0.3242123382847891	0.2758212128108532	0.3395836280999635	0.38549473245363947	0.0	0.12111927675178177	0.3641685385663758	0.2109213664656569	0.2673748724120106	0.3962223029214381	0.38715766392591666	0.38405254155270496	0.40037893831090027	0.39598389194729033	0.4122139798989371	0.4266661591316158	0.42072899556427495	0.41884037826098564	0.4127787368201867	0.3783153281905022	0.3884275241503272	0.3829828337012272	0.3683299047830072	0.4133215106573672	0.36961586509076594
F14H1A	0.40389733768020925	0.371523362059406	0.3718365704750736	0.39576509008687133	0.2467883635291349	0.2569879670980757	0.33167980264091657	0.34497038334062047	0.32994612604341095	0.281555000569475	0.34531741585858533	0.3912285202122613	0.12111927675178177	0.0	0.3387304521433529	0.21665515422427875	0.2731086601706324	0.40195609068005994	0.39289145168453843	0.3897863293113268	0.4061127260695221	0.40171767970591216	0.4179477676575589	0.43239994689023764	0.4264627833228968	0.4245741660196075	0.4185125245788085	0.384049115949124	0.39416131190894904	0.38871662145984903	0.3740636925416291	0.41905529841598904	0.37534965284938776
S17H1	0.6469465994948033	0.614572623874	0.6148858322896676	0.6388143519014653	0.48983762534372893	0.5000372289126698	0.5747290644555106	0.5880196451552145	0.572995387858005	0.5246042623840691	0.5883666776731794	0.6342777820268554	0.3641685385663758	0.3387304521433529	0.0	0.4597044160388728	0.5161579219852265	0.6450053524946541	0.6359407134991325	0.6328355911259209	0.6491619878841162	0.6447669415205062	0.660997029472153	0.6754492087048316	0.6695120451374907	0.6676234278342015	0.6615617863934026	0.627098377763718	0.6372105737235431	0.631765883274443	0.617112954356223	0.6621045602305831	0.6183989146639817
S13Hp	0.4544528795011066	0.42207890388030334	0.42239211229597096	0.44632063190776866	0.29734390535003224	0.3075435089189731	0.38223534446181395	0.39552592516151786	0.3805016678643083	0.3321105423903724	0.3958729576794827	0.4417840620331587	0.2109213664656569	0.21665515422427875	0.4597044160388728	0.0	0.3236642019915298	0.4525116325009573	0.4434469935054358	0.4403418711322241	0.4566682678904194	0.4522732215268095	0.46850330947845625	0.482955488711135	0.4770183251437941	0.4751297078405048	0.46906806639970583	0.43460465777002133	0.4447168537298464	0.43927216328074636	0.42461923436252635	0.4696108402368864	0.4259051946702851
F22H1A	0.4570549993849995	0.42468102376419625	0.4249942321798639	0.4489227517916616	0.2999460252339251	0.31014562880286595	0.38483746434570676	0.3981280450454107	0.3831037877482012	0.33471266227426527	0.3984750775633756	0.44438618191705154	0.2673748724120106	0.2731086601706324	0.5161579219852265	0.3236642019915298	0.0	0.4551137523848502	0.44604911338932873	0.44294399101611703	0.45927038777431234	0.4548753414107024	0.47110542936234917	0.4855576085950279	0.479620445027687	0.4777318277243977	0.47167018628359875	0.43720677765391425	0.4473189736137393	0.4418742831646393	0.42722135424641927	0.4722129601207793	0.428507314554178
w32pp	0.12053120092487069	0.09536788889688132	0.09568109731254895	0.11960961692434666	0.3722203462332481	0.38241994980218896	0.5001986140225038	0.5134891947222077	0.49846493742499814	0.4500738119510622	0.5138362272401725	0.5597473315938486	0.3962223029214381	0.40195609068005994	0.6450053524946541	0.4525116325009573	0.4551137523848502	0.0	0.08191812658998718	0.0788130042167755	0.09513940097497078	0.1183515429505736	0.13458163090222036	0.14903381013489908	0.14309664656755822	0.14120802926426892	0.13514638782346994	0.10068297919378544	0.11079517515361048	0.10535048470451047	0.09069755578629046	0.13568916166065048	0.09198351609404916
w3pp	0.11146656192934917	0.08630324990135982	0.08661645831702745	0.11054497792882516	0.3631557072377266	0.3733553108066675	0.4911339750269823	0.5044245557266862	0.48940029842947663	0.44100917295554076	0.5047715882446511	0.550682692598327	0.38715766392591666	0.39289145168453843	0.6359407134991325	0.4434469935054358	0.44604911338932873	0.08191812658998718	0.0	0.06418824005522948	0.08051463681342477	0.1092869039550521	0.12551699190669885	0.13996917113937757	0.1340320075720367	0.13214339026874744	0.12608174882794845	0.09161834019826394	0.10173053615808898	0.09628584570898897	0.08163291679076896	0.12662452266512897	0.08291887709852766
w10pp	0.1083614395561375	0.08319812752814815	0.08351133594381578	0.10743985555561349	0.36005058486451497	0.3702501884334558	0.4880288526537706	0.5013194333534745	0.486295176056265	0.43790405058232906	0.5016664658714394	0.5475775702251153	0.38405254155270496	0.3897863293113268	0.6328355911259209	0.4403418711322241	0.44294399101611703	0.0788130042167755	0.06418824005522948	0.0	0.06250913351672323	0.10618178158184043	0.12241186953348719	0.13686404876616592	0.13092688519882506	0.12903826789553574	0.12297662645473678	0.08851321782505227	0.09862541378487731	0.0931807233357773	0.0785277944175573	0.12351940029191731	0.07981375472531599
w16pp	0.1246878363143328	0.09952452428634342	0.09983773270201107	0.12376625231380878	0.37637698162271027	0.3865765851916511	0.5043552494119659	0.5176458301116698	0.5026215728144603	0.45423044734052437	0.5179928626296346	0.5639039669833107	0.40037893831090027	0.4061127260695221	0.6491619878841162	0.4566682678904194	0.45927038777431234	0.09513940097497078	0.08051463681342477	0.06250913351672323	0.0	0.12250817834003572	0.13873826629168248	0.1531904455243612	0.14725328195702034	0.14536466465373105	0.1393030232129321	0.10483961458324756	0.1149518105430726	0.10950712009397259	0.09485419117575258	0.1398457970501126	0.09614015148351128
w29pp	0.11150347090715995	0.09512947792273349	0.09544268633840114	0.11937120595019884	0.37198193525910034	0.3821815388280412	0.499960203048356	0.5132507837480599	0.49822652645085036	0.44983540097691443	0.5135978162660247	0.5595089206197007	0.39598389194729033	0.40171767970591216	0.6447669415205062	0.4522732215268095	0.4548753414107024	0.1183515429505736	0.1092869039550521	0.10618178158184043	0.12250817834003572	0.0	0.05589012429715198	0.0854589405460128	0.07952177697867194	0.07763315967538266	0.07157151823458369	0.05673525683022395	0.07418737520128171	0.0687426847521817	0.07195174175490204	0.11694334762926206	0.07323770206266074
f24pp	0.12773355885880672	0.11135956587438026	0.1116727742900479	0.1356012939018456	0.3882120232107471	0.39841162677968794	0.5161902910000027	0.5294808716997066	0.5144566144024971	0.4660654889285612	0.5298279042176715	0.5757390085713474	0.4122139798989371	0.4179477676575589	0.660997029472153	0.46850330947845625	0.47110542936234917	0.13458163090222036	0.12551699190669885	0.12241186953348719	0.13873826629168248	0.05589012429715198	0.0	0.10168902849765957	0.0957518649303187	0.09386324762702943	0.08780160618623045	0.07296534478187072	0.09041746315292848	0.08497277270382847	0.08818182970654881	0.13317343558090883	0.0894677900143075
