	f1pp	f30pp	f3pp	f8pp	f28pp	f12ppA	f12ppB	f22ppA	f22ppB	f31pp	f24pp	f26pp	f29pp	f11pp	f25pp	f16ppA	f16ppB	f2pp	f7pp	f23ppA	f23ppB	f18pp	f32pp	f6ppB	f20ppB	f6ppA	f10pp	f4pp	f13pp	f15pp	f21pp	f14ppB	f19pp	f14ppA	f9pp	f17ppA	w17pp
f26pp	0.503357162934646	0.49553078488009566	0.47541167293478914	0.4331595677354126	0.40271134856624824	0.5683636969469155	0.5626496802705634	0.49273416448642876	0.49273416448642876	0.46792850562973076	0.457627587066753	0.0	0.969169740588384	1.2607094120999123	1.21890538864855	1.2174350876464692	1.2267189415471436	0.3442978938180529	0.39510281036739503	0.39364176006818874	0.39489792444066757	0.42364918137629104	0.4174981120060168	0.4174991120065168	0.4174991120065168	0.41919387932359303	0.49170302254751624	0.49007173928612185	0.5042637869530706	0.5050045653015238	0.4948944501697943	0.5086218381391463	0.5081440640169221	0.4983051817710073	0.49649853606198724	0.49649853606198724	0.5000071797582629
f29pp	1.258654334191647	1.2508279561370965	1.2307088441917902	1.1884567389924134	1.158008519823249	1.3236608682039162	1.3179468515275643	1.2480313357434296	1.2480313357434296	1.2232256768867318	1.212924758323754	0.969169740588384	0.0	0.37555890145658216	0.33375487800521964	0.332284577003139	0.3415684309038134	1.099595065075054	1.150399981624396	1.1489389313251896	1.1501950956976685	1.1789463526332917	1.1727952832630175	1.1727962832635177	1.1727962832635177	1.1744910505805939	1.2470001938045172	1.2453689105431227	1.2595609582100715	1.2603017365585247	1.2501916214267952	1.2639190093961472	1.263441235273923	1.2536023530280083	1.2517957073189883	1.2517957073189883	1.255304351015264
f11pp	1.5501940057031753	1.542367627648625	1.5222485157033185	1.4799964105039418	1.4495481913347774	1.6152005397154445	1.6094865230390927	1.539571007254958	1.539571007254958	1.5147653483982602	1.5044644298352823	1.2607094120999123	0.37555890145658216	0.0	0.488662496777468	0.4871921957753874	0.49647604967606174	1.3911347365865823	1.4419396531359243	1.440478602836718	1.441734767209197	1.47048602414482	1.464334954774546	1.464335954775046	1.464335954775046	1.4660307220921223	1.5385398653160456	1.536908582054651	1.5511006297216	1.551841408070053	1.5417312929383236	1.5554586809076756	1.5549809067854514	1.5451420245395366	1.5433353788305166	1.5433353788305166	1.5468440225267923
f25pp	1.508389982251813	1.5005636041972625	1.4804444922519562	1.4381923870525795	1.407744167883415	1.5733965162640824	1.5676824995877303	1.4977669838035956	1.4977669838035956	1.4729613249468976	1.46266040638392	1.21890538864855	0.33375487800521964	0.488662496777468	0.0	0.0014723010030806695	0.010758154904755074	1.34933071313522	1.400135629684562	1.3986745793853557	1.3999307437578346	1.4286820006934577	1.4225309313231835	1.4225319313236837	1.4225319313236837	1.42422669864076	1.4967358418646832	1.4951045586032887	1.5092966062702375	1.5100373846186907	1.4999272694869612	1.5136546574563132	1.513176883334089	1.5033380010881743	1.5015313553791543	1.5015313553791543	1.50503999907543
f16ppA	1.5069196812497323	1.4990933031951819	1.4789741912498755	1.4367220860504988	1.4062738668813344	1.5719262152620015	1.5662121985856496	1.496296682801515	1.496296682801515	1.4714910239448171	1.4611901053818392	1.2174350876464692	0.332284577003139	0.4871921957753874	0.0014723010030806695	0.0	0.009287853902674462	1.3478604121331392	1.3986653286824813	1.397204278383275	1.3984604427557539	1.427211699691377	1.4210606303211029	1.421061630321603	1.421061630321603	1.4227563976386792	1.4952655408626025	1.493634257601208	1.5078263052681569	1.50856708361661	1.4984569684848805	1.5121843564542325	1.5117065823320084	1.5018677000860936	1.5000610543770736	1.5000610543770736	1.5035696980733493
f16ppB	1.5162035351504066	1.5083771570958562	1.4882580451505498	1.446005939951173	1.4155577207820087	1.581210069162676	1.575496052486324	1.5055805367021893	1.5055805367021893	1.4807748778454912	1.4704739592825136	1.2267189415471436	0.3415684309038134	0.49647604967606174	0.010758154904755074	0.009287853902674462	0.0	1.3571442660338136	1.4079491825831556	1.4064881322839493	1.4077442966564282	1.4364955535920514	1.4303444842217772	1.4303454842222774	1.4303454842222774	1.4320402515393535	1.5045493947632769	1.5029181115018824	1.5171101591688312	1.5178509375172844	1.5077408223855548	1.5214682103549069	1.5209904362326827	1.511151553986768	1.509344908277748	1.509344908277748	1.5128535519740236
f2pp	0.2462510118891093	0.23842463383455897	0.21830552188925242	0.17605341668987587	0.14560519752071152	0.31125754590137866	0.3055435292250267	0.23562801344089201	0.23562801344089201	0.21082235458419402	0.20052143602121625	0.3442978938180529	1.099595065075054	1.3911347365865823	1.34933071313522	1.3478604121331392	1.3571442660338136	0.0	0.07100546850730266	0.06954441820809633	0.07080058258057519	0.1665430303307543	0.16039196096048006	0.16039296096098007	0.16039296096098007	0.1620877282780563	0.2345968715019795	0.2329655882405851	0.24715763590753387	0.24789841425598713	0.23778829912425756	0.2515156870936096	0.25103791297138545	0.24119903072547058	0.23939238501645055	0.23939238501645055	0.24290102871272623
f7pp	0.29705592843845136	0.289229550383901	0.2691104384385945	0.22685833323921797	0.19641011407005363	0.3620624624507208	0.3563484457743688	0.2864329299902342	0.2864329299902342	0.2616272711335361	0.25132635257055835	0.39510281036739503	1.150399981624396	1.4419396531359243	1.400135629684562	1.3986653286824813	1.4079491825831556	0.07100546850730266	0.0	0.03390028476744906	0.035156449139927916	0.2173479468800964	0.21119687750982216	0.21119787751032218	0.21119787751032218	0.2128926448273984	0.2854017880513216	0.2837705047899272	0.297962552456876	0.2987033308053292	0.28859321567359963	0.3023206036429517	0.30184282952072755	0.29200394727481266	0.2901973015657926	0.2901973015657926	0.29370594526206834
f23ppA	0.29559487813924507	0.28776850008469473	0.2676493881393882	0.22539728294001168	0.19494906377084734	0.3606014121515145	0.35488739547516246	0.28497187969102783	0.28497187969102783	0.26016622083432983	0.24986530227135206	0.39364176006818874	1.1489389313251896	1.440478602836718	1.3986745793853557	1.397204278383275	1.4064881322839493	0.06954441820809633	0.03390028476744906	0.0	0.0017843789509659346	0.21588689658089005	0.20973582721061584	0.20973682721111586	0.20973682721111586	0.2114315945281921	0.2839407377521153	0.2823094544907209	0.2965015021576697	0.2972422805061229	0.28713216537439334	0.3008595533437454	0.30038177922152126	0.29054289697560637	0.2887362512665863	0.2887362512665863	0.29224489496286205
f23ppB	0.2968510425117239	0.28902466445717356	0.26890555251186704	0.2266534473124905	0.19620522814332617	0.3618575765239933	0.35614355984764134	0.28622804406350666	0.28622804406350666	0.2614223852068087	0.2511214666438309	0.39489792444066757	1.1501950956976685	1.441734767209197	1.3999307437578346	1.3984604427557539	1.4077442966564282	0.07080058258057519	0.035156449139927916	0.0017843789509659346	0.0	0.21714306095336894	0.2109919915830947	0.21099299158359472	0.21099299158359472	0.21268775890067093	0.28519690212459414	0.28356561886319975	0.2977576665301485	0.2984984448786017	0.2883883297468722	0.30211571771622425	0.3016379435940001	0.2917990613480852	0.28999241563906514	0.28999241563906514	0.2935010593353409
