	f15pp	w11pp	f1pp	w1pp	w14pp	f7pp	s24pp	f19pp	w9pp	f6ppB	f22ppB	w16pp	w19pp	f2pp	f25pp	f16ppB	w25pp	f16ppA	f24pp	w18pp	w12pp	w23pp	S16H2	w7pp	w10pp	w32pp	f22ppA	S10H1	w31pp	w28pp	f4pp	S2Hp	w17pp	w4pp	w2pp	f13pp	w13pp	w6pp	f20ppA	f6ppA	w20pp	w22pp	f32pp	f14ppA	f11pp	w21pp	w3pp	w29pp	f10pp	w24pp	f12ppB	w15pp	w26pp	w8pp	f8pp
f22ppB	0.3076634623853505	0.3310108920213779	0.259600542241609	0.2448516118127791	0.2057786246041266	0.20466011169614962	0.2879299343036673	0.23449486051020335	0.2579604561416997	0.20244643316782793	0.0	0.2809375374152665	0.2678443623015859	0.26774180800950886	0.28138397926485076	0.2763691488643207	0.28831246633281304	0.25261915887605946	0.18984429784241358	0.24611110653415258	0.28194835636111965	0.2904251995939457	0.45696812232898887	0.3516192030759333	0.23751783094899964	0.34776921547846873	0.33282845207790535	0.41702388183945627	0.3372934714007937	0.3419327970459707	0.3254820941681589	0.4358483686982766	0.2783341616362723	0.36323302636748067	0.26513448741295736	0.29452324149931214	0.29111326196637094	0.2861979490176743	0.2811815229782606	0.34394448973863084	0.2725353066196783	0.3437959783092014	0.3038503083841227	0.30666035495930277	0.30427339077432547	0.3241356252378546	0.2571447969440004	0.29549169661844166	0.3253129086911026	0.21425840178513963	0.25089243765556657	0.3252411892540307	0.2633413425126578	0.25367841347260567	0.23105886425966732
w16pp	0.30927961967944145	0.3326270493154688	0.27508248560227333	0.2603335551734435	0.22126056796479093	0.23610455072706604	0.33801205545787993	0.284576981664416	0.30804257729591233	0.2525285543220405	0.2809375374152665	0.0	0.21333244696446912	0.2448923258589904	0.2585344971143323	0.2535196667138022	0.2654629841822946	0.22976967672554097	0.19146045513650453	0.2477272638282435	0.2835645136552106	0.2920413568880367	0.4585842796230798	0.3532353603700243	0.23913398824309057	0.3493853727725597	0.33444460937199627	0.4186400391335472	0.3389096286948846	0.3435489543400616	0.32709825146224986	0.43746452599236757	0.27995031893036326	0.3648491836615716	0.26675064470704835	0.2961393987934031	0.2927294192604619	0.2878141063117653	0.2827976802723515	0.3455606470327218	0.2741514639137692	0.3454121356032923	0.30546646567821367	0.30827651225339375	0.30588954806841645	0.3257517825319456	0.2587609542380913	0.2971078539125326	0.32692906598519356	0.2158745590792306	0.2525085949496575	0.3268573465481217	0.26495749980674876	0.2552945707666966	0.23267502155375827
w19pp	0.29618644456576093	0.3195338742017883	0.2619893104885928	0.24724038005976293	0.2081673928511104	0.22301137561338552	0.32491888034419947	0.27148380655073545	0.29494940218223176	0.23943537920836	0.2678443623015859	0.21333244696446912	0.0	0.23179915074530988	0.24544132200065175	0.2404264916001217	0.25236980906861406	0.21667650161186044	0.178367280022824	0.23463408871456298	0.27047133854153005	0.2789481817743561	0.44549110450939927	0.34014218525634377	0.22604081312941005	0.3362921976588792	0.32135143425831575	0.40554686401986667	0.3258164535812041	0.3304557792263811	0.31400507634856933	0.42437135087868705	0.2668571438166827	0.3517560085478911	0.2536574695933678	0.28304622367972254	0.27963624414678134	0.2747209311980847	0.26970450515867106	0.33246747191904125	0.26105828880008874	0.33231896048961185	0.2923732905645331	0.29518333713971323	0.29279637295473593	0.312658607418265	0.2456677791244108	0.2840146787988521	0.313835890871513	0.20278138396555007	0.23941541983597697	0.31376417143444113	0.2518643246930682	0.2422013956530161	0.21958184644007775
f2pp	0.29608389027368387	0.3194313199097112	0.2618867561965157	0.24713782576768584	0.20806483855903335	0.22290882132130843	0.32481632605212235	0.2713812522586584	0.2948468478901547	0.23933282491628294	0.26774180800950886	0.2448923258589904	0.23179915074530988	0.0	0.2322445592183924	0.22722972881786233	0.23917304628635472	0.20347973882960108	0.17826472573074692	0.23453153442248592	0.270368784249453	0.27884562748227903	0.44538855021732215	0.3400396309642667	0.22593825883733298	0.3361896433668021	0.32124887996623863	0.40544430972778955	0.325713899289127	0.33035322493430397	0.3139025220564923	0.42426879658661	0.2667545895246056	0.35165345425581396	0.2535549153012907	0.2829436693876455	0.2795336898547043	0.27461837690600766	0.26960195086659394	0.3323649176269642	0.2609557345080116	0.33221640619753473	0.29227073627245603	0.29508078284763617	0.29269381866265887	0.31255605312618795	0.24556522483233373	0.283912124506775	0.3137333365794359	0.20267882967347298	0.2393128655438999	0.31366161714236407	0.2517617704009911	0.242098841360939	0.21947929214800066
f25pp	0.3097260615290257	0.33307349116505314	0.27552892745185764	0.26077999702302773	0.22170700981437524	0.23655099257665033	0.33845849730746425	0.28502342351400023	0.3084890191454966	0.25297499617162483	0.28138397926485076	0.2585344971143323	0.24544132200065175	0.2322445592183924	0.0	0.1964414163023893	0.20838473377088168	0.20717721501596292	0.19190689698608882	0.24817370567782782	0.2840109555047949	0.29248779873762093	0.4590307214726641	0.35368180221960854	0.23958043009267488	0.34983181462214397	0.3348910512215806	0.4190864809831315	0.3393560705444689	0.3439953961896459	0.3275446933118341	0.4379109678419518	0.2803967607799475	0.3652956255111559	0.2671970865566326	0.2965858406429874	0.2931758611100462	0.28826054816134955	0.28324412212193584	0.3460070888823061	0.2745979057633535	0.3458585774528766	0.30591290752779793	0.308722954102978	0.3063359899180007	0.32619822438152984	0.2592073960876756	0.2975542957621169	0.3273755078347778	0.21632100092881487	0.2529550367992418	0.32730378839770596	0.265403941656333	0.2557410126162809	0.23312146340334255
f16ppB	0.30471123112849563	0.32805866076452306	0.27051409705132756	0.25576516662249765	0.21669217941384517	0.23153616217612025	0.33344366690693417	0.28000859311347015	0.3034741887449665	0.24796016577109475	0.2763691488643207	0.2535196667138022	0.2404264916001217	0.22722972881786233	0.1964414163023893	0.0	0.17990132671430023	0.20216238461543284	0.18689206658555874	0.24315887527729774	0.2789961251042648	0.28747296833709085	0.454015891072134	0.34866697181907846	0.2345655996921448	0.3448169842216139	0.3298762208210505	0.4140716505826014	0.33434124014393884	0.33898056578911584	0.32252986291130403	0.43289613744142175	0.27538193037941744	0.36028079511062583	0.2621822561561025	0.2915710102424573	0.2881610307095161	0.28324571776081947	0.27822929172140576	0.340992258481776	0.26958307536282344	0.34084374705234655	0.30089807712726785	0.30370812370244793	0.3013211595174706	0.32118339398099977	0.25419256568714554	0.2925394653615868	0.32236067743424773	0.2113061705282848	0.24794020639871173	0.3222889579971759	0.26038911125580294	0.2507261822157508	0.22810663300281248
w25pp	0.31665454859698805	0.3400019782330154	0.2824574145198199	0.26770848409099	0.22863549688233753	0.24347947964461264	0.3453869843754266	0.29195191058196257	0.3154175062134589	0.2599034832395871	0.28831246633281304	0.2654629841822946	0.25236980906861406	0.23917304628635472	0.20838473377088168	0.17990132671430023	0.0	0.2141057020839252	0.19883538405405113	0.2551021927457901	0.29093944257275717	0.2994162858055832	0.4659592085406264	0.3606102892875709	0.24650891716063716	0.3567603016901063	0.34181953828954287	0.4260149680510938	0.3462845576124312	0.3509238832576082	0.33447318037979645	0.44483945490991417	0.2873252478479098	0.3722241125791182	0.27412557362459494	0.30351432771094966	0.30010434817800846	0.29518903522931184	0.2901726091898982	0.35293557595026837	0.28152639283131586	0.35278706452083897	0.3128413945957602	0.31565144117094035	0.31326447698596305	0.33312671144949213	0.2661358831556379	0.30448278283007923	0.3343039949027401	0.22324948799677719	0.2598835238672041	0.33423227546566825	0.2723324287242953	0.26266949968424325	0.24004995047130487
f16ppA	0.28096124114023446	0.30430867077626184	0.2467641070630663	0.23201517663423643	0.19294218942558394	0.20778617218785903	0.30969367691867294	0.256258603125209	0.2797241987567053	0.22421017578283353	0.25261915887605946	0.22976967672554097	0.21667650161186044	0.20347973882960108	0.20717721501596292	0.20216238461543284	0.2141057020839252	0.0	0.16314207659729754	0.21940888528903651	0.2552461351160036	0.26372297834882963	0.4302659010838728	0.3249169818308173	0.21081560970388358	0.3210669942333527	0.3061262308327893	0.3903216605943402	0.3105912501556776	0.3152305758008546	0.29877987292304287	0.4091461474531606	0.2516319403911562	0.3365308051223646	0.23843226616784133	0.2678210202541961	0.2644110407212549	0.25949572777255825	0.25447930173314454	0.3172422684935148	0.24583308537456222	0.3170937570640853	0.2771480871390066	0.27995813371418676	0.27757116952920946	0.29743340399273854	0.23044257569888432	0.26878947537332565	0.2986106874459865	0.1875561805400236	0.2241902164104505	0.29853896800891466	0.23663912126754175	0.22697619222748963	0.20435664301455128
f24pp	0.2031359113589131	0.22648334099494047	0.18398924602942043	0.16924031560059055	0.13016732839193806	0.14501131115421317	0.24691881588502707	0.19348374209156308	0.2169493377230594	0.16143531474918765	0.18984429784241358	0.19146045513650453	0.178367280022824	0.17826472573074692	0.19190689698608882	0.18689206658555874	0.19883538405405113	0.16314207659729754	0.0	0.09808781481269674	0.13392506463966383	0.14240190787248988	0.32070585102666405	0.2153569317736085	0.10125555964667479	0.21150694417614394	0.1965661807755805	0.28076161053713145	0.20103120009846884	0.20567052574364583	0.18921982286583408	0.29958609739595177	0.14207189033394746	0.22697075506515582	0.12887221611063254	0.17466005287366387	0.17125007334072267	0.16633476039202605	0.16131833435261234	0.22408130111298258	0.15267211799403005	0.22393278968355312	0.18398711975847443	0.2021328039328654	0.1997458397478881	0.2196080742114172	0.15261724591756298	0.19096414559200425	0.22078535766466517	0.10973085075870223	0.14636488662912917	0.22071363822759332	0.15881379148622038	0.14915086244616826	0.12653131323322991
w18pp	0.25940272005065207	0.28275014968667944	0.2402560547211594	0.22550712429232955	0.18643413708367707	0.20127811984595215	0.30318562457676607	0.24975055078330205	0.2732161464147984	0.21770212344092665	0.24611110653415258	0.2477272638282435	0.23463408871456298	0.23453153442248592	0.24817370567782782	0.24315887527729774	0.2551021927457901	0.21940888528903651	0.09808781481269674	0.0	0.1319070410943627	0.1823585035771957	0.376972659718403	0.2716237404653475	0.15752236833841377	0.2677737528678829	0.25283298946731947	0.3370284192288704	0.2572980087902078	0.2619373344353848	0.24548663155757305	0.35585290608769077	0.19833869902568643	0.2832375637568948	0.18513902480237152	0.23092686156540287	0.22751688203246168	0.22260156908376505	0.21758514304435134	0.2803481098047216	0.20893892668576902	0.2801995983752921	0.24025392845021343	0.25839961262460437	0.25601264843962707	0.2758748829031562	0.20888405460930196	0.24723095428374325	0.2770521663564042	0.1659976594504412	0.20263169532086814	0.2769804469193323	0.21508060017795938	0.20541767113790727	0.1827981219249689
w12pp	0.29523996987761914	0.31858739951364656	0.27609330454812653	0.2613443741192966	0.22227138691064413	0.23711536967291924	0.33902287440373313	0.2855878006102691	0.3090533962417655	0.2535393732678937	0.28194835636111965	0.2835645136552106	0.27047133854153005	0.270368784249453	0.2840109555047949	0.2789961251042648	0.29093944257275717	0.2552461351160036	0.13392506463966383	0.1319070410943627	0.0	0.2181957534041628	0.4128099095453701	0.30746099029231455	0.19335961816538086	0.30361100269485	0.2886702392942866	0.3728656690558375	0.29313525861717493	0.2977745842623519	0.2813238813845401	0.39169015591465783	0.23417594885265353	0.3190748135838619	0.2209762746293386	0.26676411139236994	0.26335413185942874	0.2584388189107321	0.2534223928713184	0.31618535963168864	0.2447761765127361	0.3160368482022592	0.2760911782771805	0.29423686245157143	0.29184989826659413	0.31171213273012327	0.24472130443626905	0.2830682041107103	0.31288941618337124	0.2018349092774083	0.23846894514783523	0.3128176967462994	0.25091785000492645	0.24125492096487433	0.21863537175193598
w23pp	0.3037168131104452	0.3270642427464726	0.2845701477809526	0.26982121735212267	0.23074823014347018	0.2455922129057453	0.3474997176365592	0.29406464384309516	0.3175302394745915	0.26201621650071977	0.2904251995939457	0.2920413568880367	0.2789481817743561	0.27884562748227903	0.29248779873762093	0.28747296833709085	0.2994162858055832	0.26372297834882963	0.14240190787248988	0.1823585035771957	0.2181957534041628	0.0	0.42128675277819616	0.3159378335251406	0.2018364613982069	0.312087845927676	0.29714708252711264	0.38134251228866356	0.301612101850001	0.306251427495178	0.28980072461736617	0.4001669991474839	0.24265279208547957	0.32755165681668796	0.22945311786216466	0.275240954625196	0.2718309750922548	0.26691566214355816	0.26189923610414445	0.3246622028645147	0.25325301974556214	0.32451369143508524	0.28456802151000654	0.3027137056843975	0.3003267414994202	0.3201889759629493	0.2531981476690951	0.29154504734353637	0.3213662594161973	0.21031175251023435	0.24694578838066128	0.32129453997912544	0.2593946932377525	0.24973176419770038	0.22711221498476203
S16H2	0.47025973584548836	0.49360716548151573	0.4511130705159957	0.43636414008716584	0.39729115287851335	0.4121351356407884	0.5140426403716023	0.46060756657813834	0.4840731622096347	0.42855913923576294	0.45696812232898887	0.4585842796230798	0.44549110450939927	0.44538855021732215	0.4590307214726641	0.454015891072134	0.4659592085406264	0.4302659010838728	0.32070585102666405	0.376972659718403	0.4128099095453701	0.42128675277819616	0.0	0.43739735239932426	0.33976630920039347	0.4500176937298626	0.43507693032929917	0.5192723600908501	0.4558861021665651	0.4605254278117421	0.4440747249339304	0.554440999464048	0.39692679240204376	0.4818256571332521	0.38372711817872884	0.44178387736023916	0.43837389782729796	0.43345858487860134	0.42844215883918757	0.49120512559955787	0.4197959424806053	0.49105661417012836	0.4511109442450497	0.46925662841944066	0.46686966423446336	0.4867318986979925	0.4197410704041382	0.4580879700785795	0.48790918215124046	0.3768546752452775	0.4134887111157044	0.4878374627141686	0.42593761597279567	0.4162746869327435	0.3936551377198052
w7pp	0.36491081659243285	0.3882582462284602	0.3457641512629402	0.3310152208341103	0.2919422336254578	0.3067862163877329	0.40869372111854685	0.35525864732508283	0.37872424295657914	0.3232102199827074	0.3516192030759333	0.3532353603700243	0.34014218525634377	0.3400396309642667	0.35368180221960854	0.34866697181907846	0.3606102892875709	0.3249169818308173	0.2153569317736085	0.2716237404653475	0.30746099029231455	0.3159378335251406	0.43739735239932426	0.0	0.23441738994733796	0.3446687744768071	0.32972801107624367	0.41392344083779453	0.35053718291350966	0.35517650855868665	0.3387258056808749	0.44909208021099256	0.2915778731489883	0.37647673788019664	0.2783781989256734	0.3364349581071836	0.3330249785742424	0.3281096656255458	0.3230932395861321	0.3858562063465023	0.3144470232275498	0.3857076949170729	0.34576202499199415	0.36390770916638515	0.36152074498140785	0.38138297944493693	0.3143921511510827	0.35273905082552404	0.3825602628981849	0.271505755992222	0.3081397918626489	0.38248854346111305	0.3205886967197401	0.31092576767968805	0.28830621846674964
w10pp	0.25080944446549913	0.2741568741015265	0.23166277913600647	0.21691384870717662	0.17784086149852413	0.1926848442607992	0.29459234899161313	0.2411572751981491	0.2646228708296455	0.20910884785577372	0.23751783094899964	0.23913398824309057	0.22604081312941005	0.22593825883733298	0.23958043009267488	0.2345655996921448	0.24650891716063716	0.21081560970388358	0.10125555964667479	0.15752236833841377	0.19335961816538086	0.2018364613982069	0.33976630920039347	0.23441738994733796	0.0	0.215072355745419	0.20013159234485556	0.2843270221064065	0.23643581078657594	0.24107513643175293	0.22462443355394118	0.33499070808405884	0.17747650102205456	0.2623753657532629	0.16427682679873964	0.22233358598024994	0.21892360644730874	0.2140082934986121	0.2089918674591984	0.27175483421956864	0.20034565110061608	0.2716063227901392	0.2316606528650605	0.24980633703945143	0.24741937285447413	0.26728160731800327	0.20029077902414902	0.23863767869859032	0.26845889077125124	0.15740438386528827	0.1940384197357152	0.2683871713341794	0.20648732459280644	0.19682439555275433	0.17420484633981595
w32pp	0.3610608289949683	0.38440825863099565	0.3419141636654756	0.3271652332366457	0.2880922460279932	0.3029362287902683	0.40484373352108227	0.35140865972761826	0.37487425535911456	0.3193602323852428	0.34776921547846873	0.3493853727725597	0.3362921976588792	0.3361896433668021	0.34983181462214397	0.3448169842216139	0.3567603016901063	0.3210669942333527	0.21150694417614394	0.2677737528678829	0.30361100269485	0.312087845927676	0.4500176937298626	0.3446687744768071	0.215072355745419	0.0	0.30230399753096504	0.38649942729251596	0.3466871953160451	0.3513265209612221	0.3348758180834103	0.445242092613528	0.28772788555152373	0.37262675028273207	0.2745282113282088	0.332584970509719	0.3291749909767778	0.3242596780280812	0.31924325198866754	0.38200621874903773	0.3105970356300852	0.38185770731960833	0.3419120373945296	0.3600577215689206	0.35767075738394327	0.37753299184747235	0.31054216355361813	0.34888906322805946	0.3787102753007203	0.2676557683947574	0.3042898042651843	0.3786385558636485	0.31673870912227553	0.30707578008222347	0.28445623086928506
f22ppA	0.34612006559440484	0.3694674952304322	0.3269734002649122	0.3122244698360823	0.27315148262742983	0.2879954653897049	0.3899029701205188	0.3364678963270548	0.3599334919585512	0.3044194689846794	0.33282845207790535	0.33444460937199627	0.32135143425831575	0.32124887996623863	0.3348910512215806	0.3298762208210505	0.34181953828954287	0.3061262308327893	0.1965661807755805	0.25283298946731947	0.2886702392942866	0.29714708252711264	0.43507693032929917	0.32972801107624367	0.20013159234485556	0.30230399753096504	0.0	0.30053805941703643	0.33174643191548164	0.33638575756065864	0.3199350546828469	0.4303013292129646	0.27278712215096024	0.3576859868821686	0.2595874479276453	0.31764420710915564	0.31423422757621444	0.3093189146275178	0.30430248858810405	0.36706545534847435	0.2956562722295218	0.36691694391904484	0.3269712739939662	0.34511695816835714	0.34272999398337983	0.36259222844690897	0.2956014001530547	0.33394829982749596	0.36376951190015694	0.25271500499419397	0.2893490408646209	0.3636977924630851	0.30179794572171215	0.29213501668166	0.2695154674687217
