	w9pp	f26pp	f2pp	f12ppA	f1pp	w12pp	f7pp	f21pp	w8pp	f29pp	f16ppA	f19pp	f8pp	s23pp	f6ppA	f30pp	f4pp	w3pp	S15Hp	f9pp	w10pp	w21pp	f16ppB	f24pp	f22ppA	f17ppA	w6pp	f25pp	f14ppB	f14ppA
f16ppA	0.19093675850336964	0.2679261475451795	0.22674865085968754	0.27300143528269694	0.2855070616022612	0.2836520686470686	0.23756742524285485	0.2381155974429312	0.34154084141885593	0.2543845527378483	0.0	0.22205511860726326	0.26298460181689304	0.4516916906510712	0.2590496623622554	0.24859947845740582	0.254512888607895	0.24695951686220013	0.4467989410290771	0.26745304639623896	0.35558829520962904	0.26645518978076815	0.25446606339885025	0.2612843090826018	0.2337282559611965	0.2752919343812599	0.2657078587140721	0.25841260589322684	0.16023336825618878	0.35609262482144827
f19pp	0.19883633319615962	0.27582572223796953	0.2429484984003445	0.2892012828233539	0.3017069091429182	0.29985191618772555	0.25376727278351185	0.25431544498358816	0.35774068895951294	0.2705844002785053	0.22205511860726326	0.0	0.270884176509683	0.4595912653438612	0.26694923705504536	0.25649905315019583	0.262412463300685	0.2548590915549901	0.45469851572186704	0.27535262108902897	0.36348786990241905	0.2743547644735581	0.26236563809164026	0.2691838837753918	0.24162783065398652	0.2831915090740499	0.2736074334068621	0.2663121805860168	0.16813294294897874	0.3639921995142382
f8pp	0.22806041901810067	0.30504980805991055	0.28387798160997424	0.3301307660329837	0.34263639235254795	0.34078139939735536	0.2946967559931416	0.29524492819321796	0.3986701721691427	0.3115138834881351	0.26298460181689304	0.270884176509683	0.0	0.462282758084656	0.2696407297958402	0.28572313897213686	0.29163654912262604	0.2840831773769312	0.4839226015438081	0.30457670691097005	0.39271195572436013	0.3035788502954992	0.2915897239135813	0.29840796959733284	0.27085191647592755	0.3124155948959909	0.30283151922880314	0.2955362664079579	0.19735702877091982	0.3932162853361793
s23pp	0.4167675078522788	0.4937568968940887	0.47258507044415243	0.5188378548671618	0.5313434811867261	0.5294884882315335	0.4834038448273198	0.4839520170273961	0.5873772610033209	0.5002209723223132	0.4516916906510712	0.4595912653438612	0.462282758084656	0.0	0.4288654255188049	0.474430227806315	0.48034363795680424	0.4727902662111093	0.6726296903779863	0.49328379574514813	0.5814190445585382	0.49228593912967733	0.4802968127477595	0.48711505843151104	0.4595590053101057	0.501122683730169	0.4915386080629813	0.484243355242136	0.38606411760509796	0.5819233741703574
f6ppA	0.22412547956346304	0.3011148686052729	0.2799430421553366	0.32619582657834606	0.3387014528979103	0.3368464599427177	0.29076181653850397	0.2913099887385803	0.39473523271450506	0.30757894403349745	0.2590496623622554	0.26694923705504536	0.2696407297958402	0.4288654255188049	0.0	0.2817881995174992	0.2877016096679884	0.28014823792229354	0.4799876620891705	0.3006417674563324	0.3887770162697225	0.29964391084086156	0.28765478445894366	0.2944730301426952	0.2669169770212899	0.3084806554413533	0.2988965797741655	0.29160132695332025	0.1934220893162822	0.3892813458815417
f30pp	0.19248857227020508	0.26947796131201496	0.2694928582504871	0.3157456426734965	0.32825126899306073	0.32639627603786814	0.2803116326336544	0.28085980483373074	0.38428504880965547	0.29712876012864786	0.24859947845740582	0.25649905315019583	0.28572313897213686	0.474430227806315	0.2817881995174992	0.0	0.23950604143883714	0.23195266969314224	0.4317920938600192	0.2524481992281812	0.34058344804157126	0.2514503426127103	0.23946121623079245	0.246279461914544	0.21872340879313867	0.26028708721320204	0.25070301154601426	0.243407758725169	0.16178518202302422	0.3576444385882837
f4pp	0.1984019824206943	0.27539137146250414	0.27540626840097626	0.32165905282398566	0.33416467914354997	0.3323096861883573	0.2862250427841436	0.2867732149842199	0.3901984589601447	0.30304217027913705	0.254512888607895	0.262412463300685	0.29163654912262604	0.48034363795680424	0.2877016096679884	0.23950604143883714	0.0	0.21971422370312854	0.41955364787000554	0.25836160937867036	0.34649685819206044	0.25736375276319956	0.24537462638128166	0.2521928720650332	0.22463681894362791	0.2662004973636912	0.25661642169650345	0.24932116887565822	0.1676985921735134	0.36355784873877295
w3pp	0.1908486106749994	0.26783799971680927	0.26785289665528134	0.3141056810782908	0.32661130739785504	0.32475631444266245	0.2786716710384487	0.27921984323852506	0.3826450872144498	0.2954887985334422	0.24695951686220013	0.2548590915549901	0.2840831773769312	0.4727902662111093	0.28014823792229354	0.23195266969314224	0.21971422370312854	0.0	0.4021180584784491	0.25080823763297544	0.3389434864463655	0.24981038101750463	0.23782125463558676	0.24463950031933832	0.217083447197933	0.25864712561799635	0.24906304995080858	0.24176779712996332	0.16014522042781854	0.356004476993078
S15Hp	0.3906880348418763	0.4676774238836862	0.4676923208221583	0.5139451052451678	0.526450731564732	0.5245957386095395	0.47851109520532564	0.479059267405402	0.5824845113813267	0.4953282227003191	0.4467989410290771	0.45469851572186704	0.4839226015438081	0.6726296903779863	0.4799876620891705	0.4317920938600192	0.41955364787000554	0.4021180584784491	0.0	0.4506476617998524	0.5387829106132425	0.4496498051843816	0.43766067880246373	0.4444789244862153	0.41692287136480993	0.4584865497848733	0.4489024741176855	0.44160722129684027	0.3599846445946955	0.555843901159955
f9pp	0.21134214020903824	0.28833152925084815	0.2883464261893202	0.33459921061232967	0.34710483693189387	0.34524984397670133	0.2991652005724875	0.29971337277256394	0.4031386167484886	0.31598232806748106	0.26745304639623896	0.27535262108902897	0.30457670691097005	0.49328379574514813	0.3006417674563324	0.2524481992281812	0.25836160937867036	0.25080823763297544	0.4506476617998524	0.0	0.24125490333343608	0.19268359956315892	0.24173011720275556	0.2485483628865071	0.2209923097651018	0.2625559881851651	0.25297191251797735	0.24567665969713212	0.18063874996185736	0.37649800652711685
