	f8pp	f30pp	w1pp	f1pp	s1pp	w10pp	f10pp	w3pp	w2pp	f2pp	w13pp	f17ppA	f14ppB	f20ppB	w4pp	w20pp	S13Hp	f6ppB	S20H1	f6ppA	w6pp	w8pp	f14ppA	f32pp	S27H1	w19pp	S26Hp	F6H1	f13pp	f16ppA	f26pp	f31pp	f18pp	w18pp	f21pp	w17pp	f12ppA	s25pp	f9pp	w9pp	F14H1A	w26pp	S9H1	530295	S1Hp	w14pp	f29pp	w27pp	w15pp	f7pp	f4pp	f15pp	w11pp	f11pp	f12ppB	f19pp	f23ppA	f24pp	F7H1	f25pp	w16pp	f16ppB	f22ppB	w23pp	w12pp	f22ppA	S22Hp	S18H1
w13pp	0.14541607923161426	0.15180057073408693	0.1716621116620657	0.21434335814870686	0.22372955986686482	0.15147788533412423	0.18039690123724256	0.13428295518995567	0.16353665161410802	0.15121770276485108	0.0	0.10720228659342469	0.10095771911669316	0.17353945377665145	0.19374063918111142	0.19089906742841597	0.2852343525429252	0.19227092443490262	0.2670561993275704	0.20081997761660478	0.2038814450327842	0.19373193157368637	0.17688560680368928	0.13440497103894083	0.28395122324901007	0.24084446376987664	0.2993453497346873	0.27874675919693265	0.13432064484063894	0.23063755896242985	0.1736562037625652	0.1658791534688652	0.19558599785684566	0.17155897061503464	0.1738675562032913	0.22826535730806988	0.23457514748730204	0.16688107726590426	0.15059174642289605	0.1692819944491802	0.24300209447477003	0.22484621808745894	0.2763929636516479	0.28609208526194657	0.28718187054059635	0.24207397619721963	0.1850135439381926	0.1950402771756551	0.2328783924816661	0.15135825596234348	0.17724105156662381	0.1558497380843882	0.1800102636644264	0.1938281358923648	0.16819977643948705	0.20483367437218883	0.23245725881305432	0.14953518951106906	0.24094845829272546	0.153048095312708	0.19141617846983036	0.1414597042610682	0.14952290751122083	0.1460308976138705	0.20690477130975893	0.1664791912422528	0.20976649406090542	0.25366907178088094
f17ppA	0.142090315882164	0.14847480738463664	0.16833634831261543	0.21101759479925658	0.22040379651741454	0.14815212198467398	0.17707113788779233	0.13095719184050542	0.16021088826465776	0.14789193941540085	0.10720228659342469	0.0	0.0976319557672429	0.1702136904272012	0.19041487583166117	0.18757330407896572	0.2819085891934749	0.18894516108545237	0.2637304359781201	0.19749421426715452	0.20055568168333393	0.19040616822423612	0.17355984345423903	0.13107920768949058	0.2806254598995598	0.2375187004204264	0.296019586385237	0.27542099584748236	0.13099488149118868	0.2273117956129796	0.17033044041311493	0.16255339011941494	0.1922602345073954	0.16823320726558438	0.17054179285384105	0.22493959395861962	0.2312493841378518	0.163555313916454	0.1472659830734458	0.16595623109972996	0.23967633112531977	0.2215204547380087	0.2730672003021976	0.2827663219124963	0.28385610719114607	0.23874821284776937	0.18168778058874235	0.19171451382620486	0.22955262913221586	0.14803249261289322	0.17391528821717356	0.15252397473493795	0.17668450031497615	0.19050237254291455	0.1648740130900368	0.20150791102273857	0.22913149546360406	0.1462094261616188	0.2376226949432752	0.14972233196325774	0.1880904151203801	0.13813394091161793	0.14619714416177057	0.14270513426442027	0.20357900796030867	0.16315342789280252	0.20644073071145513	0.2503433084314307
f14ppB	0.12444828720419862	0.1308327787066713	0.15069431963465008	0.19337556612129123	0.2027617678394492	0.1305100933067086	0.15942910920982695	0.11331516316254006	0.1425688595866924	0.13024991073743547	0.10095771911669316	0.0976319557672429	0.0	0.1290947666754973	0.14929595207995724	0.1464543803272618	0.240789665441771	0.14782623733374847	0.2226115122264162	0.15637529051545063	0.15943675793163004	0.1492872444725322	0.13244091970253513	0.08996028393778668	0.23950653614785586	0.19639977666872246	0.2549006626335331	0.23430207209577844	0.08987595773948479	0.18619287186127567	0.12921151666141104	0.12143446636771105	0.1511413107556915	0.1271142835138805	0.12942286910213716	0.1838206702069157	0.19013046038614786	0.12243639016475011	0.1061470593217419	0.12483730734802606	0.19855740737361588	0.18040153098630476	0.23194827655049371	0.2416473981607924	0.24273718343944214	0.19762928909606547	0.14056885683703846	0.15059559007450096	0.18843370538051193	0.10691356886118933	0.13279636446546966	0.11140505098323406	0.13556557656327226	0.14938344879121065	0.1237550893383329	0.16038898727103465	0.18801257171190017	0.10509050240991491	0.1965037711915713	0.10860340821155384	0.1469714913686762	0.09701501715991404	0.12156332471930176	0.1250631055864549	0.1859369792823433	0.14551139921483716	0.18879870203348978	0.23270127975346533
f20ppB	0.19703002186415697	0.2034145133666296	0.2232760542946084	0.2659573007812496	0.27534350249940753	0.20309182796666692	0.23201084386978527	0.18589689782249838	0.2151505942466507	0.2028316453973938	0.17353945377665145	0.1702136904272012	0.1290947666754973	0.0	0.18807995116026077	0.18523837940756532	0.27957366452207455	0.186610236414052	0.26139551130671973	0.19515928959575415	0.19822075701193356	0.18807124355283572	0.17122491878283866	0.1287442830180902	0.2893143206204746	0.24620756114134115	0.3047084471061518	0.28410985656839716	0.13968374221210347	0.23600065633389436	0.1790193011340297	0.17124225084032973	0.20094909522831017	0.17692206798649918	0.19060975271077935	0.2450075538155579	0.25131734399479005	0.1836232737733923	0.16733394293038406	0.18602419095666825	0.2597442909822581	0.24158841459494695	0.29313516015913593	0.3028342817694346	0.30392406704808433	0.2588161727047077	0.20175574044568062	0.21178247368314312	0.24962058898915412	0.16810045246983152	0.19398324807411185	0.17259193459187624	0.19675246017191445	0.21057033239985284	0.1849419729469751	0.22157587087967684	0.24919945532054238	0.16627738601855707	0.2576906548002135	0.169790291820196	0.21268942582882863	0.16273295162006646	0.19414505937926008	0.1976448402464132	0.25851871394230164	0.21809313387479548	0.2613804366934481	0.30528301441342365
w4pp	0.2172312072686169	0.22361569877108955	0.24347723969906832	0.2861584861857095	0.29554468790386745	0.2232930133711269	0.25221202927424524	0.20609808322695833	0.23535177965111065	0.22303283080185374	0.19374063918111142	0.19041487583166117	0.14929595207995724	0.18807995116026077	0.0	0.17727102540239156	0.27160631051690076	0.1786428824088782	0.253428157301546	0.1871919355905804	0.1902534030067598	0.1939689295972825	0.17712260482728545	0.134641969062537	0.3095155060249345	0.2664087465458011	0.3249096325106118	0.3043110419728571	0.15988492761656342	0.2562018417383543	0.19922048653848967	0.19144343624478966	0.22115028063277015	0.1971232533909591	0.21081093811523927	0.26520873922001786	0.27151852939925003	0.20382445917785225	0.18753512833484404	0.2062253763611282	0.279945476386718	0.26178959999940693	0.31333634556359585	0.32303546717389453	0.3241252524525443	0.2790173581091676	0.2219569258501406	0.2319836590876031	0.2698217743936141	0.18830163787429147	0.2141844334785718	0.1927931199963362	0.21695364557637437	0.23077151780431276	0.20514315835143504	0.24177705628413682	0.2694006407250023	0.18647857142301705	0.27789184020467345	0.18999147722465598	0.23289061123328858	0.18293413702452638	0.21434624478372005	0.21784602565087313	0.27871989934676156	0.23829431927925543	0.28158162209790805	0.32548419981788357
w20pp	0.21438963551592144	0.2207741270183941	0.24063566794637287	0.28331691443301404	0.292703116151172	0.22045144161843144	0.24937045752154977	0.20325651147426288	0.2325102078984152	0.2201912590491583	0.19089906742841597	0.18757330407896572	0.1464543803272618	0.18523837940756532	0.17727102540239156	0.0	0.20441934814330714	0.15235897621459815	0.22714425110726594	0.16090802939630033	0.16396949681247974	0.19112735784458706	0.17428103307459	0.13180039730984155	0.30667393427223905	0.26356717479310565	0.3220680607579163	0.30146947022016163	0.15704335586386797	0.25336026998565886	0.19637891478579422	0.1886018644920942	0.2183087088800747	0.19428168163826365	0.20796936636254382	0.2623671674673224	0.2686769576465546	0.2009828874251568	0.1846935565821486	0.20338380460843275	0.27710390463402257	0.2589480282467115	0.3104947738109004	0.3201938954211991	0.32128368069984886	0.27617578635647216	0.21911535409744515	0.22914208733490765	0.26698020264091865	0.18546006612159602	0.21134286172587635	0.18995154824364074	0.21411207382367892	0.22792994605161732	0.2023015865987396	0.23893548453144137	0.26655906897230686	0.1836369996703216	0.275050268451978	0.18714990547196053	0.23004903948059313	0.18009256527183093	0.2115046730310246	0.21500445389817768	0.2758783275940661	0.23545274752655998	0.2787400503452126	0.3226426280651882
S13Hp	0.3087249206304306	0.3151094121329033	0.33497095306088204	0.3776521995475232	0.3870384012656812	0.3147867267329406	0.3437057426360589	0.29759179658877205	0.32684549301292437	0.31452654416366743	0.2852343525429252	0.2819085891934749	0.240789665441771	0.27957366452207455	0.27160631051690076	0.20441934814330714	0.0	0.24669426132910738	0.32147953622177516	0.25524331451080956	0.25830478192698897	0.2854626429590963	0.26861631818909926	0.22613568242435078	0.4010092193867483	0.3579024599076148	0.4164033458724255	0.39580475533467085	0.25137864097837714	0.34769555510016803	0.2907141999003034	0.28293714960660343	0.31264399399458387	0.2886169667527729	0.30230465147705304	0.35670245258183164	0.3630122427610638	0.295318172539666	0.27902884169665776	0.297719089722942	0.3714391897485318	0.35328331336122065	0.40483005892540963	0.4145291805357083	0.4156189658143581	0.3705110714709814	0.3134506392119544	0.3234773724494169	0.3613154877554279	0.2797953512361052	0.3056781468403856	0.28428683335814997	0.30844735893818814	0.32226523116612654	0.2966368717132488	0.3332707696459506	0.3608943540868161	0.2779722847848308	0.3693855535664872	0.2814851905864697	0.32438432459510236	0.27442785038634016	0.3058399581455338	0.30933973901268685	0.3702136127085753	0.32978803264106915	0.37307533545972177	0.41697791317969735
f6ppB	0.21576149252240812	0.22214598402488075	0.24200752495285954	0.28468877143950067	0.2940749731576586	0.22182329862491806	0.2507423145280364	0.20462836848074953	0.23388206490490188	0.22156311605564494	0.19227092443490262	0.18894516108545237	0.14782623733374847	0.186610236414052	0.1786428824088782	0.15235897621459815	0.24669426132910738	0.0	0.20252387186257695	0.13628765015161137	0.13934911756779078	0.19249921485107374	0.17565289008107665	0.13317225431632823	0.3080457912787257	0.26493903179959233	0.32343991776440295	0.3028413272266483	0.15841521287035462	0.25473212699214554	0.19775077179228087	0.18997372149858088	0.21968056588656135	0.19565353864475032	0.2093412233690305	0.26373902447380904	0.2700488146530412	0.20235474443164347	0.18606541358863524	0.20475566161491943	0.27847576164050925	0.26031988525319816	0.3118666308173871	0.32156575242768576	0.3226555377063355	0.27754764336295884	0.2204872111039318	0.2305139443413943	0.26835205964740527	0.18683192312808267	0.21271471873236303	0.19132340525012742	0.2154839308301656	0.229301803058104	0.20367344360522627	0.24030734153792802	0.26793092597879353	0.18500885667680825	0.2764221254584647	0.18852176247844718	0.2314208964870798	0.1814644222783176	0.21287653003751122	0.21637631090466436	0.2772501846005528	0.23682460453304663	0.2801119073516992	0.32401448507167485
S20H1	0.29054676741507585	0.2969312589175485	0.3167927998455273	0.35947404633216845	0.3688602480503264	0.29660857351758585	0.32552758942070414	0.2794136433734173	0.3086673397975696	0.29634839094831267	0.2670561993275704	0.2637304359781201	0.2226115122264162	0.26139551130671973	0.253428157301546	0.22714425110726594	0.32147953622177516	0.20252387186257695	0.0	0.19526455996388237	0.19832602738006178	0.2672844897437415	0.25043816497374444	0.20795752920899602	0.38283106617139345	0.33972430669226006	0.3982251926570707	0.37762660211931603	0.23320048776302238	0.32951740188481327	0.27253604668494863	0.2647589963912486	0.2944658407792291	0.27043881353741805	0.2841264982616982	0.3385242993664768	0.344834089545709	0.2771400193243112	0.260850688481303	0.27954093650758716	0.353261036533177	0.3351051601458659	0.3866519057100548	0.39635102732035354	0.39744081259900327	0.3523329182556266	0.29527248599659955	0.30529921923406206	0.34313733454007306	0.26161719802075045	0.28749999362503076	0.26610868014279515	0.2902692057228333	0.3040870779507717	0.278458718497894	0.3150926164305958	0.34271620087146126	0.259794131569476	0.3512074003511324	0.26330703737111494	0.30620617137974754	0.25624969717098534	0.287661804930179	0.2911615857973321	0.3520354594932205	0.3116098794257144	0.354897182244367	0.3987997599643426
f6ppA	0.22431054570411024	0.2306950372065829	0.25055657813456167	0.29323782462120285	0.3026240263393608	0.23037235180662025	0.2592913677097386	0.21317742166245168	0.242431118086604	0.2301121692373471	0.20081997761660478	0.19749421426715452	0.15637529051545063	0.19515928959575415	0.1871919355905804	0.16090802939630033	0.25524331451080956	0.13628765015161137	0.19526455996388237	0.0	0.1016852498779308	0.2010482680327759	0.18420194326277883	0.1417213074980304	0.31659484446042785	0.2734880849812945	0.33198897094610513	0.31139038040835043	0.1669642660520568	0.2632811801738477	0.20629982497398303	0.19852277468028307	0.2282296190682635	0.2042025918264525	0.21789027655073268	0.2722880776555112	0.2785978678347434	0.21090379761334563	0.1946144667703374	0.21330471479662158	0.2870248148222114	0.2688689384349003	0.32041568399908926	0.33011480560938794	0.33120459088803766	0.286096696544661	0.22903626428563395	0.23906299752309645	0.27690111282910745	0.19538097630978485	0.22126377191406518	0.19987245843182957	0.22403298401186778	0.23785085623980617	0.21222249678692842	0.24885639471963017	0.2764799791604957	0.1935579098585104	0.28497117864016686	0.19707081566014933	0.23996994966878196	0.1900134754600198	0.2214255832192134	0.22492536408636649	0.2857992377822549	0.24537365771474878	0.2886609605334014	0.3325635382533769
