	s15pp	s17pp	s23pp	s26pp	s12pp	s27pp	s32pp	S6Hp	s2pp	s10pp	s28pp	s25pp	s19pp	F16H1	S1Hp	s29pp	S30H1	F29H1	F14H1B	F23HpA	S27H1	S17H1	s24pp	S26Hp	S13Hp	S28Hp	S16H2	F22HpB	F1H1	F22H1A	S22Hp	S4Hp	s21pp	s24H1	F8H1	S8Hp	S2Hp	S12Hp	S11Hp	F32H1	31450	S21H1	F6H1	S20H1	S10H1	S7Hp	S15Hp	S31Hp	S25Hp	S23Hp	S19H1	F14H1A	31360	530394	31343	w30pp
s28pp	0.13671652163799908	0.14876634772579084	0.1367322390393677	0.1373116080552788	0.07078517474438413	0.07257151026801266	0.07149398349334117	0.094018606761212	0.07582992999175107	0.09761983839049218	0.0	0.18926535039391973	0.20439218210183865	0.3072661906902387	0.33710702019475636	0.2395457468664371	0.2759065535469114	0.27310904141435666	0.34049351541315737	0.35188060133180804	0.3651568376859902	0.36469916869545577	0.3638325539910594	0.29571453290451793	0.6123630654729909	0.4868353514656284	0.609995427779133	0.6246280598409955	0.5882770819081004	0.6018754364420771	0.6707011820536064	0.6990483001080202	0.7057318517506577	0.6915295536771899	0.6381246665227774	0.7592830874572057	0.6976450726879447	0.607996715489383	0.6917516621583475	0.6928762028786019	0.6945860067713113	0.6587288528383825	0.6578245451530788	0.6564002481487542	0.6916706886277436	0.3664960952626811	0.28544408791007675	0.3301475236465647	0.34118741891244864	0.36498124455936665	0.34312009581762487	0.3362297834881888	0.36528305912285697	0.30419142761454504	0.2864140281824556	0.10238484035220077
s25pp	0.2453241382297005	0.25737396431749227	0.2453398556310691	0.24591922464698024	0.24155261455681926	0.24333895008044776	0.24226142330577627	0.2647860465736471	0.24659736980418617	0.2683872782029273	0.18926535039391973	0.0	0.2223447002130273	0.32521870880142734	0.355059538305945	0.25749826497762573	0.2938590716581	0.2910615595255453	0.358446033524346	0.3698331194429967	0.38310935579717886	0.3826516868066444	0.38178507210224805	0.3136670510157066	0.6303155835841796	0.5047878695768171	0.6279479458903217	0.642580577952184	0.606229600019289	0.6198279545532657	0.688653700164795	0.7170008182192089	0.7236843698618463	0.7094820717883785	0.6560771846339661	0.7772356055683944	0.7155975907991334	0.6259492336005716	0.7097041802695361	0.7108287209897906	0.7125385248825	0.6766813709495711	0.6757770632642675	0.6743527662599429	0.7096232067389323	0.38444861337386976	0.3033966060212654	0.34810004175775333	0.3591399370236373	0.3829337626705553	0.3610726139288135	0.35418230159937747	0.3832355772340456	0.3221439457257337	0.30436654629364424	0.21099245694390217
s19pp	0.2604509699376194	0.27250079602541116	0.26046668733898803	0.2610460563548992	0.25667944626473815	0.2584657817883667	0.2573882550136952	0.279912878281566	0.2617242015121051	0.28351410991084625	0.20439218210183865	0.2223447002130273	0.0	0.24462620233187043	0.2744670318363881	0.17690575850806878	0.2132665651885431	0.2423313216596367	0.3097157956584374	0.3211028815770881	0.33437911793127023	0.33392144894073583	0.3330548342363394	0.264936813149798	0.5815853457182709	0.4560576317109084	0.579217708024413	0.5938503400862755	0.5574993621533804	0.5710977166873571	0.6399234622988864	0.6682705803533002	0.6749541319959377	0.6607518339224699	0.6073469467680574	0.7285053677024858	0.6668673529332247	0.5772189957346631	0.6609739424036275	0.6620984831238819	0.6638082870165913	0.6279511330836625	0.6270468253983588	0.6256225283940342	0.6608929688730236	0.33571837550796113	0.25466636815535676	0.29936980389184475	0.31040969915772865	0.33420352480464666	0.3123423760629049	0.30545206373346884	0.334505339368137	0.2734137078598251	0.25563630842773566	0.2261192886518211
F16H1	0.36332497852601947	0.37537480461381123	0.36334069592738805	0.3639200649432992	0.3595534548531382	0.3613397903767667	0.36026226360209523	0.3827868868699661	0.36459821010050514	0.38638811849924626	0.3072661906902387	0.32521870880142734	0.24462620233187043	0.0	0.18070219468231752	0.24757577068714248	0.2839365773676168	0.3452053302480368	0.41258980424683744	0.4239768901654881	0.4372531265196703	0.43679545752913584	0.4359288428247395	0.36781082173819807	0.684459354306671	0.5589316402993085	0.6820917166128131	0.6967243486746755	0.6603733707417805	0.6739717252757572	0.7427974708872864	0.7711445889417002	0.7778281405843377	0.76362584251087	0.7102209553564575	0.8313793762908858	0.7697413615216248	0.6800930043230632	0.7638479509920275	0.7649724917122819	0.7666822956049913	0.7308251416720625	0.7299208339867588	0.7284965369824342	0.7637669774614236	0.4385923840963612	0.3575403767437568	0.4022438124802448	0.4132837077461287	0.4370775333930467	0.41521638465130495	0.4083260723218689	0.4373793479565371	0.3762877164482252	0.35851031701613567	0.32899329724022114
S1Hp	0.39316580803053713	0.40521563411832884	0.39318152543190577	0.39376089444781687	0.3893942843576559	0.3911806198812844	0.3901030931066129	0.41262771637448376	0.3944390396050228	0.4162289480037639	0.33710702019475636	0.355059538305945	0.2744670318363881	0.18070219468231752	0.0	0.27741660019166015	0.3137774068721344	0.3750461597525544	0.44243063375135505	0.4538177196700058	0.4670939560241879	0.4666362870336535	0.46576967232925715	0.39765165124271573	0.7143001838111886	0.5887724698038261	0.7119325461173307	0.7265651781791931	0.6902142002462981	0.7038125547802748	0.772638300391804	0.800985418446218	0.8076689700888553	0.7934666720153876	0.7400617848609752	0.8612202057954035	0.7995821910261425	0.7099338338275808	0.7936887804965451	0.7948133212167996	0.7965231251095091	0.7606659711765802	0.7597616634912765	0.7583373664869519	0.7936078069659414	0.46843321360087886	0.38738120624827443	0.4320846419847625	0.4431245372506464	0.4669183628975644	0.44505721415582256	0.4381669018263865	0.4672201774610547	0.40612854595274284	0.38835114652065333	0.3588341267447388
s29pp	0.29560453470221787	0.30765436079000963	0.29562025210358645	0.2961996211194976	0.2918330110293366	0.2936193465529651	0.29254181977829363	0.3150664430461645	0.29687776627670354	0.31866767467544466	0.2395457468664371	0.25749826497762573	0.17690575850806878	0.24757577068714248	0.27741660019166015	0.0	0.1744921630481403	0.27748488642423513	0.3448693604230358	0.3562564463416865	0.36953268269586864	0.36907501370533424	0.3682083990009378	0.3000903779143964	0.6167389104828693	0.4912111964755069	0.6143712727890114	0.6290039048508739	0.5926529269179788	0.6062512814519555	0.6750770270634848	0.7034241451178986	0.7101076967605361	0.6959053986870684	0.6425005115326559	0.7636589324670842	0.7020209176978232	0.6123725604992615	0.6961275071682259	0.6972520478884803	0.6989618517811897	0.6631046978482609	0.6622003901629572	0.6607760931586326	0.696046533637622	0.37087194027255954	0.28981993291995517	0.33452336865644317	0.34556326392232706	0.36935708956924507	0.3474959408275033	0.34060562849806725	0.36965890413273544	0.3085672726244235	0.29078987319233407	0.26127285341641954
S30H1	0.3319653413826922	0.3440151674704839	0.3319810587840608	0.3325604277999719	0.3281938177098109	0.32998015323343943	0.32890262645876794	0.35142724972663875	0.33323857295717785	0.3550284813559189	0.2759065535469114	0.2938590716581	0.2132665651885431	0.2839365773676168	0.3137774068721344	0.1744921630481403	0.0	0.31384569310470944	0.3812301671035101	0.3926172530221608	0.40589348937634295	0.4054358203858085	0.40456920568141214	0.3364511845948707	0.6530997171633437	0.5275720031559812	0.6507320794694857	0.6653647115313481	0.6290137335984531	0.6426120881324299	0.7114378337439591	0.7397849517983729	0.7464685034410103	0.7322662053675426	0.6788613182131301	0.8000197391475584	0.7383817243782974	0.6487333671797358	0.7324883138487002	0.7336128545689545	0.735322658461664	0.6994655045287351	0.6985611968434314	0.6971368998391069	0.7324073403180963	0.40723274695303385	0.3261807396004295	0.3708841753369175	0.38192407060280137	0.4057178962497194	0.3838567475079776	0.37696643517854156	0.40601971081320976	0.3449280793048978	0.3271506798728083	0.29763366009689385
F29H1	0.32916782925013743	0.34121765533792914	0.32918354665150606	0.32976291566741717	0.3253963055772562	0.3271826411008847	0.3261051143262132	0.34862973759408405	0.3304410608246231	0.3522309692233642	0.27310904141435666	0.2910615595255453	0.2423313216596367	0.3452053302480368	0.3750461597525544	0.27748488642423513	0.31384569310470944	0.0	0.3433221678962971	0.35470925381494783	0.36798549016912996	0.36752782117859556	0.3666612064741992	0.2985431853876578	0.6151917179561307	0.4896640039487682	0.6128240802622728	0.6274567123241352	0.5911057343912401	0.6047040889252169	0.6735298345367462	0.70187695259116	0.7085605042337975	0.6943582061603297	0.6409533190059172	0.7621117399403455	0.7004737251710845	0.6108253679725228	0.6945803146414873	0.6957048553617416	0.6974146592544511	0.6615575053215222	0.6606531976362185	0.659228900631894	0.6944993411108834	0.3693247477458209	0.2882727403932165	0.33297617612970454	0.34401607139558843	0.36780989704250644	0.3459487483007646	0.33905843597132856	0.36811171160599676	0.3070200800976849	0.2892426806655954	0.2948361479643391
F14H1B	0.39655230324893814	0.4086021293367299	0.3965680206503067	0.3971473896662179	0.3927807795760569	0.3945671150996854	0.3934895883250139	0.41601421159288476	0.3978255348234238	0.41961544322216493	0.34049351541315737	0.358446033524346	0.3097157956584374	0.41258980424683744	0.44243063375135505	0.3448693604230358	0.3812301671035101	0.3433221678962971	0.0	0.10934062777237079	0.12261686412655295	0.12215919513601853	0.12129258043162214	0.27343981887273133	0.5900883514412043	0.46456063743384185	0.5877207137473464	0.602353345809209	0.5660023678763138	0.5796007224102906	0.6484264680218197	0.6767735860762336	0.6834571377188711	0.6692548396454033	0.6158499524909908	0.7370083734254191	0.6753703586561581	0.5857220014575966	0.6694769481265609	0.6706014888468153	0.6723112927395247	0.6364541388065958	0.6355498311212922	0.6341255341169676	0.669395974595957	0.34422138123089446	0.2631693738782901	0.3078728096147781	0.318912704880662	0.34270653052758	0.3208453817858382	0.31395506945640217	0.36512149299402075	0.3424465199522119	0.3246691205201224	0.3622206219631398
F23HpA	0.4079393891675888	0.4199892152553806	0.4079551065689574	0.40853447558486855	0.40416786549470757	0.40595420101833607	0.4048766742436646	0.42740129751153544	0.4092126207420745	0.4310025291408156	0.35188060133180804	0.3698331194429967	0.3211028815770881	0.4239768901654881	0.4538177196700058	0.3562564463416865	0.3926172530221608	0.35470925381494783	0.10934062777237079	0.0	0.0158163420127915	0.015358673022257073	0.014492058317860676	0.28482690479138206	0.6014754373598551	0.4759477233524926	0.5991077996659971	0.6137404317278596	0.5773894537949645	0.5909878083289413	0.6598135539404705	0.6881606719948843	0.6948442236375217	0.680641925564054	0.6272370384096416	0.7483954593440698	0.6867574445748088	0.5971090873762472	0.6808640340452116	0.6819885747654659	0.6836983786581754	0.6478412247252466	0.6469369170399429	0.6455126200356184	0.6807830605146077	0.3556084671495452	0.27455645979694077	0.3192598955334288	0.3302997907993127	0.3540936164462307	0.3322324677044889	0.32534215537505284	0.3765085789126715	0.35383360587086266	0.33605620643877315	0.3736077078817905
