	S30H1	F23HpA	531414	F14H1A	S12Hp	F6H1	S16H2	31300	F7H1	31452	S21H1	S1Hp	S13Hp	S19H1	S28Hp	s24H1	S31Hp	S26Hp	S6Hp	S9H1	S25Hp	F29H1	F14H1B	S22Hp	S17H1
S21H1	0.44995316608196756	0.36461704412643203	0.4620595815050608	0.42125833278385777	0.3955084258212251	0.4151911402494249	0.3953133617975361	0.45911433315005423	0.3590004336270314	0.39109519784731783	0.0	0.23908461197382724	0.4133813418378459	0.41062865064339127	0.48656533641049426	0.6036618866470544	0.41969631271866925	0.3679623316420434	0.6295524907454894	0.3995556111671448	0.48424706929913763	0.6787073969068562	0.3635990433777706	0.3980523426502056	0.42939846172754725
S1Hp	0.4018639415663693	0.31652781961083376	0.41397035698946255	0.3731691082682595	0.3474192013056268	0.3671019157338266	0.34722413728193785	0.41102510863445596	0.31091120911143316	0.34300597333171956	0.23908461197382724	0.0	0.3652921173222477	0.362539426127793	0.438476111894896	0.5555726621314562	0.371607088203071	0.3198731071264451	0.5814632662298911	0.3514663866515465	0.4361578447835394	0.630618172391258	0.31550981886217233	0.34996311813460734	0.381309237211949
S13Hp	0.47647691287022154	0.39114079091468607	0.48858332829331486	0.4477820795721118	0.4220321726094791	0.4417148870376789	0.42183710858579015	0.4856380799383082	0.3855241804152854	0.41761894463557186	0.4133813418378459	0.3652921173222477	0.0	0.3610188942857894	0.43695558005289237	0.5540521302894525	0.3700865563610674	0.3555096051465192	0.6170997642499652	0.3871028846716206	0.47179434280361343	0.666254670411332	0.3901227901660247	0.4245760894384596	0.45592220851580123
S19H1	0.4737242216757669	0.38838809972023136	0.48583063709886015	0.4450293883776571	0.4192794814150244	0.4389621958432242	0.41908441739133545	0.48288538874385356	0.3827714892208307	0.41486625344111716	0.41062865064339127	0.362539426127793	0.3610188942857894	0.0	0.263838927563912	0.38093547780047216	0.3357672844504599	0.35275691395206454	0.6143470730555105	0.38435019347716587	0.4690416516091588	0.6635019792168773	0.38737009897156993	0.42182339824400494	0.4531695173213466
S28Hp	0.5496609074428699	0.46432478548733436	0.5617673228659632	0.5209660741447601	0.4952161671821274	0.5148988816103273	0.49502110315843845	0.5588220745109566	0.4587081749879337	0.49080293920822016	0.48656533641049426	0.438476111894896	0.43695558005289237	0.263838927563912	0.0	0.26485288421085645	0.41170397021756283	0.4286935997191675	0.6902837588226134	0.4602868792442688	0.5449783373762618	0.7394386649839803	0.4633067847386729	0.49776008401110794	0.5291062030884496
s24H1	0.66675745767943	0.5814213357238944	0.6788638731025233	0.6380626243813202	0.6123127174186875	0.6319954318468874	0.6121176533949986	0.6759186247475167	0.5758047252244939	0.6078994894447803	0.6036618866470544	0.5555726621314562	0.5540521302894525	0.38093547780047216	0.26485288421085645	0.0	0.5288005204541231	0.5457901499557276	0.8073803090591736	0.577383429480829	0.662074887612822	0.8565352152205404	0.5804033349752331	0.614856634247668	0.6462027533250096
S31Hp	0.48279188375104487	0.39745576179550934	0.49489829917413813	0.4540970504529351	0.4283471434903024	0.4480298579185022	0.42815207946661343	0.49195305081913154	0.3918391512961087	0.42393391551639514	0.41969631271866925	0.371607088203071	0.3700865563610674	0.3357672844504599	0.41170397021756283	0.5288005204541231	0.0	0.3618245760273425	0.6234147351307885	0.39341785555244385	0.47810931368443677	0.6725696412921552	0.3964377610468479	0.4308910603192829	0.46223717939662456
S26Hp	0.431057902674419	0.3457217807188835	0.4431643180975123	0.4023630693763092	0.37661316241367654	0.3962958768418764	0.37641809838998763	0.4402190697425057	0.3401051702194829	0.37219993443976934	0.3679623316420434	0.3198731071264451	0.3555096051465192	0.35275691395206454	0.4286935997191675	0.5457901499557276	0.3618245760273425	0.0	0.42403603650355104	0.29419246306986147	0.3788839212018543	0.5733442488095728	0.3447037799702221	0.37915707924265707	0.4105031983199987
S6Hp	0.692648061777865	0.6073119398223294	0.7047544772009583	0.6639532284797552	0.6382033215171226	0.6578860359453224	0.6380082574934336	0.7018092288459516	0.6016953293229289	0.6337900935432152	0.6295524907454894	0.5814632662298911	0.6170997642499652	0.6143470730555105	0.6902837588226134	0.8073803090591736	0.6234147351307885	0.42403603650355104	0.0	0.5557826221733074	0.6404740803053003	0.8349344079130188	0.6062939390736681	0.640747238346103	0.6720933574234447
S9H1	0.4626511821995204	0.37731506024398487	0.47475759762261366	0.4339563489014106	0.4082064419387779	0.4278891563669777	0.40801137791508896	0.47181234926760707	0.3716984497445842	0.40379321396487067	0.3995556111671448	0.3514663866515465	0.3871028846716206	0.38435019347716587	0.4602868792442688	0.577383429480829	0.39341785555244385	0.29419246306986147	0.5557826221733074	0.0	0.3634523275067286	0.5579126551144471	0.37629705949532344	0.41075035876775845	0.4420964778451001
S25Hp	0.5473426403315133	0.4620065183759778	0.5594490557546066	0.5186478070334035	0.49289790007077083	0.5125806144989706	0.49270283604708187	0.5565038073995999	0.45638990787657713	0.4884846720968636	0.48424706929913763	0.4361578447835394	0.47179434280361343	0.4690416516091588	0.5449783373762618	0.662074887612822	0.47810931368443677	0.3788839212018543	0.6404740803053003	0.3634523275067286	0.0	0.47583375388631266	0.4609885176273164	0.4954418168997513	0.526787935977093
F29H1	0.7418029679392317	0.6564668459836962	0.753909383362325	0.713108134641122	0.6873582276784893	0.7070409421066891	0.6871631636548003	0.7509641350073185	0.6508502354842957	0.6829449997045821	0.6787073969068562	0.630618172391258	0.666254670411332	0.6635019792168773	0.7394386649839803	0.8565352152205404	0.6725696412921552	0.5733442488095728	0.8349344079130188	0.5579126551144471	0.47583375388631266	0.0	0.6554488452350349	0.6899021445074698	0.7212482635848114
F14H1B	0.36837484660200925	0.2830387246464738	0.3804812620251026	0.3396800133038995	0.3139301063412668	0.33361282076946663	0.3137350423175779	0.3775360136700959	0.27742211414707313	0.3095168783673596	0.3635990433777706	0.31550981886217233	0.3901227901660247	0.38737009897156993	0.4633067847386729	0.5804033349752331	0.3964377610468479	0.3447037799702221	0.6062939390736681	0.37629705949532344	0.4609885176273164	0.6554488452350349	0.0	0.3164740231702473	0.34782014224758895
S22Hp	0.23514272008026255	0.14980659812472705	0.24724913550335584	0.2064478867821528	0.21710194978593927	0.2887405094447516	0.26886273099286284	0.36641552329099814	0.2663016237679754	0.2983963879882618	0.3980523426502056	0.34996311813460734	0.4245760894384596	0.42182339824400494	0.49776008401110794	0.614856634247668	0.4308910603192829	0.37915707924265707	0.640747238346103	0.41075035876775845	0.4954418168997513	0.6899021445074698	0.3164740231702473	0.0	0.2145880157258422
S17H1	0.12912594547857292	0.10787169654537503	0.24005486935780163	0.1992536206365986	0.24844806886328089	0.32008662852209324	0.3002088500702045	0.3977616423683398	0.297647742845317	0.3297425070656034	0.42939846172754725	0.381309237211949	0.45592220851580123	0.4531695173213466	0.5291062030884496	0.6462027533250096	0.46223717939662456	0.4105031983199987	0.6720933574234447	0.4420964778451001	0.526787935977093	0.7212482635848114	0.34782014224758895	0.2145880157258422	0.0
