	f6ppA	w11pp	w25pp	w26pp	w13pp	w9pp	f24pp	w10pp	w14pp	w16pp	w23pp	S17H1	S14Hp	f4pp	F16H1	S26Hp	S2Hp	S9H1	F7H1	S18H1	S15Hp	530451	f10pp	w19pp	w8pp	f25pp	w24pp	w20pp
w23pp	1.2627570618385686	1.1789944683938733	1.2974931113677894	1.268643354204917	1.2481352128843364	1.3085237489020387	1.1794988748805317	0.10885650689966214	0.09229448529632063	0.09813553918145312	0.0	0.09825597497205775	0.07829489978525285	0.15770637436340013	0.15709558373071605	0.1355433394434532	0.30033741216429766	0.27478369202176045	0.3577135772209105	0.5171765112802642	0.8156317359677743	1.0998816843534416	1.200098778477018	1.273373022745074	1.2483046920560184	1.2540516299200104	1.194475623023105	1.2062213079747608
S17H1	1.2078989466726984	1.124136353228003	1.2426349962019192	1.2137852390390467	1.1932770977184661	1.2536656337361687	1.1246407597146617	0.053998391733791756	0.03743637013045025	0.06147173375820033	0.09825597497205775	0.0	0.021895814269148016	0.10284825919752973	0.10223746856484567	0.08068522427758282	0.24547929699842733	0.2199255768558901	0.30285546205504016	0.46231839611439385	0.7607736208019039	1.0450235691875713	1.1452406633111478	1.2185149075792037	1.193446576890148	1.1991935147541402	1.1396175078572348	1.1513631928088905
S14Hp	1.1879378714858935	1.1041752780411982	1.2226739210151143	1.1938241638522418	1.1733160225316612	1.2337045585493636	1.1046796845278566	0.03403731654698686	0.01747529494364536	0.04151065857139544	0.07829489978525285	0.021895814269148016	0.0	0.08288718401072484	0.08227639337804077	0.06072414909077793	0.22551822181162243	0.1999645016690852	0.28289438686823526	0.44235732092758895	0.740812545615099	1.0250624940007664	1.125279588124343	1.1985538323923988	1.1734855017033432	1.1792324395673353	1.11965643267043	1.1314021176220856
f4pp	1.2623484571574446	1.1785858637127493	1.2970845066866654	1.268234749523793	1.2477266082032124	1.3081151442209147	1.1790902701994077	0.10844790221853805	0.09336140799776524	0.12092213314954268	0.15770637436340013	0.10284825919752973	0.08288718401072484	0.0	0.15668697904959195	0.13513473476232912	0.29992880748317363	0.27437508734063637	0.35730497253978644	0.5167679065991401	0.8152231312866501	1.0994730796723176	1.199690173795894	1.2729644180639499	1.2478960873748943	1.2536430252388864	1.194067018341981	1.2058127032936368
F16H1	1.2149042624288648	1.1311416689841696	1.2496403119580857	1.2207905547952131	1.2002824134746326	1.2606709494923352	1.1316460754708282	0.093487872436049	0.09275061736508117	0.12031134251685863	0.15709558373071605	0.10223746856484567	0.08227639337804077	0.15668697904959195	0.0	0.08769054003374946	0.25248461275459394	0.22693089261205673	0.3098607778112068	0.46932371187056043	0.7677789365580705	1.0520288849437378	1.1522459790673143	1.2255202233353701	1.2004518926463146	1.2061988305103066	1.1466228236134013	1.158368508565057
S26Hp	1.164089017085022	1.0803264236403267	1.1988250666142428	1.1699753094513703	1.1494671681307898	1.209855704148492	1.080830830126985	0.07193562814878615	0.07119837307781834	0.09875909822959578	0.1355433394434532	0.08068522427758282	0.06072414909077793	0.13513473476232912	0.08769054003374946	0.0	0.201669367410751	0.17611564726821377	0.25904553246736384	0.41850846652671747	0.7169636912142275	1.001213639599895	1.1014307337234714	1.1747049779915273	1.1496366473024717	1.1553835851664638	1.0958075782695584	1.1075532632212142
S2Hp	1.150692485814166	1.0669298923694708	1.1854285353433869	1.1565787781805144	1.1360706368599338	1.1964591728776361	1.0674342988561292	0.23672970086963066	0.23599244579866283	0.2635531709504403	0.30033741216429766	0.24547929699842733	0.22551822181162243	0.29992880748317363	0.25248461275459394	0.201669367410751	0.0	0.038098820599960455	0.24564900119650798	0.40511193525586164	0.7035671599433717	0.9878171083290389	1.0880342024526155	1.1613084467206714	1.1362401160316158	1.1419870538956078	1.0824110469987025	1.0941567319503582
S9H1	1.125138765671629	1.0413761722269337	1.1598748152008498	1.1310250580379775	1.1105169167173967	1.170905452735099	1.041880578713592	0.21117598072709343	0.2104387256561256	0.23799945080790302	0.27478369202176045	0.2199255768558901	0.1999645016690852	0.27437508734063637	0.22693089261205673	0.17611564726821377	0.038098820599960455	0.0	0.22009528105397078	0.37955821511332444	0.6780134398008345	0.9622633881865018	1.0624804823100784	1.1357547265781343	1.1106863958890787	1.1164333337530707	1.0568573268561654	1.0686030118078211
F7H1	1.1373883655125399	1.0536257720678446	1.1721244150417607	1.1432746578788882	1.1227665165583076	1.18315505257601	1.054130178554503	0.2941058659262435	0.29336861085527566	0.3209293360070531	0.3577135772209105	0.30285546205504016	0.28289438686823526	0.35730497253978644	0.3098607778112068	0.25904553246736384	0.24564900119650798	0.22009528105397078	0.0	0.3918078149542353	0.6902630396417454	0.9745129880274127	1.0747300821509893	1.1480043264190452	1.1229359957299896	1.1286829335939816	1.0691069266970763	1.080852611648732
S18H1	1.094440680646798	1.0106780872021026	1.1291767301760187	1.1003269730131464	1.0798188316925657	1.1402073677102682	1.0111824936887612	0.4535687999855972	0.4528315449146293	0.4803922700664067	0.5171765112802642	0.46231839611439385	0.44235732092758895	0.5167679065991401	0.46932371187056043	0.41850846652671747	0.40511193525586164	0.37955821511332444	0.3918078149542353	0.0	0.6473153547760035	0.9315653031616707	1.0317823972852476	1.1050566415533032	1.0799883108642478	1.08573524872824	1.0261592418313346	1.03790492678299
S15Hp	0.7099033168171919	0.6261407233724966	0.7446393663464128	0.7157896091835404	0.6952814678629597	0.7556700038806622	0.6266451298591552	0.7520240246731072	0.7512867696021394	0.7788474947539168	0.8156317359677743	0.7607736208019039	0.740812545615099	0.8152231312866501	0.7677789365580705	0.7169636912142275	0.7035671599433717	0.6780134398008345	0.6902630396417454	0.6473153547760035	0.0	0.547027939332065	0.6472450334556417	0.7205192777236974	0.6954509470346419	0.7011978848986339	0.6416218780017287	0.6533675629533842
530451	0.4044370721682589	0.3206744787235637	0.43917312169748	0.4103233645346076	0.3898152232140269	0.4502037592317294	0.3211788852102224	1.0362739730587747	1.0355367179878068	1.063097443139584	1.0998816843534416	1.0450235691875713	1.0250624940007664	1.0994730796723176	1.0520288849437378	1.001213639599895	0.9878171083290389	0.9622633881865018	0.9745129880274127	0.9315653031616707	0.547027939332065	0.0	0.34177878880670876	0.41505303307476454	0.38998470238570904	0.395731640249701	0.3361556333527957	0.3479013183044512
f10pp	0.16088410975037593	0.0771215163056807	0.23184206619566217	0.20299230903278975	0.18248416771220904	0.3049639154302166	0.1759390414087097	1.1364910671823512	1.1357538121113833	1.1633145372631606	1.200098778477018	1.1452406633111478	1.125279588124343	1.199690173795894	1.1522459790673143	1.1014307337234714	1.0880342024526155	1.0624804823100784	1.0747300821509893	1.0317823972852476	0.6472450334556417	0.34177878880670876	0.0	0.13304197547628405	0.146431739967826	0.15217867783181796	0.09260267093491267	0.10434835588656823
w19pp	0.2341583540184317	0.15039576057373646	0.3051163104637179	0.2762665533008455	0.25575841198026483	0.3782381596982724	0.24921328567676543	1.209765311450407	1.209028056379439	1.2365887815312164	1.273373022745074	1.2185149075792037	1.1985538323923988	1.2729644180639499	1.2255202233353701	1.1747049779915273	1.1613084467206714	1.1357547265781343	1.1480043264190452	1.1050566415533032	0.7205192777236974	0.41505303307476454	0.13304197547628405	0.0	0.21970598423588178	0.22545292209987372	0.16587691520296843	0.177622600154624
w8pp	0.18907974732858465	0.1053171538838894	0.2800479797746624	0.25119822261179	0.23069008129120933	0.3531698290092169	0.22414495498770992	1.1846969807613514	1.1839597256903835	1.2115204508421609	1.2483046920560184	1.193446576890148	1.1734855017033432	1.2478960873748943	1.2004518926463146	1.1496366473024717	1.1362401160316158	1.1106863958890787	1.1229359957299896	1.0799883108642478	0.6954509470346419	0.38998470238570904	0.146431739967826	0.21970598423588178	0.0	0.13972128699686737	0.0801452800999621	0.13254399346477694
f25pp	0.19482668519257662	0.11106409174788137	0.2857949176386544	0.256945160475782	0.23643701915520127	0.35891676687320884	0.2298918928517019	1.1904439186253435	1.1897066635543756	1.217267388706153	1.2540516299200104	1.1991935147541402	1.1792324395673353	1.2536430252388864	1.2061988305103066	1.1553835851664638	1.1419870538956078	1.1164333337530707	1.1286829335939816	1.08573524872824	0.7011978848986339	0.395731640249701	0.15217867783181796	0.22545292209987372	0.13972128699686737	0.0	0.06963984592149247	0.13829093132876888
w24pp	0.13525067829567133	0.051488084850976085	0.22621891074174907	0.19736915357887666	0.17686101225829598	0.29934075997630355	0.1703158859547966	1.1308679117284381	1.1301306566574703	1.1576913818092476	1.194475623023105	1.1396175078572348	1.11965643267043	1.194067018341981	1.1466228236134013	1.0958075782695584	1.0824110469987025	1.0568573268561654	1.0691069266970763	1.0261592418313346	0.6416218780017287	0.3361556333527957	0.09260267093491267	0.16587691520296843	0.0801452800999621	0.06963984592149247	0.0	0.07871492443186362
w20pp	0.09112825727986865	0.04391384639529026	0.23796459569340464	0.20911483853053223	0.18860669720995155	0.31108644492795906	0.18206157090645217	1.1426135966800939	1.141876341609126	1.1694370667609033	1.2062213079747608	1.1513631928088905	1.1314021176220856	1.2058127032936368	1.158368508565057	1.1075532632212142	1.0941567319503582	1.0686030118078211	1.080852611648732	1.03790492678299	0.6533675629533842	0.3479013183044512	0.10434835588656823	0.177622600154624	0.13254399346477694	0.13829093132876888	0.07871492443186362	0.0
