	31450	S7Hp	S17H1	S27H1	S30H1	F32H1	31232	S15Hp	S19H1	S10H1	530055	S13Hp	S25Hp	S23Hp	31328	S4Hp	530154	31009	S26Hp	S16H2	31379	31021	F7H1	F29H1	S29H1	S12Hp	S14Hp	S9H1	S28Hp	S18H1	31160	F8H1	F1H1	F6H1	S2Hp	31700	S31Hp	31219	S6Hp	530331	31300	530451	F3H1	F14H1A	F23HpA	S22Hp	S3Hp	S11Hp	31512	31519	31452	530119	530075	F22HpB	31071	F16H1	S1Hp	S8Hp	31236	530394	31428	531414	31749	530050	S21H1
530055	0.4138377213080313	0.20052181997387503	0.2804500697779092	0.27524984074010844	0.32740911031488784	0.24072652324937072	0.17524666907353292	0.18230266489337843	0.16660914548792247	0.130378582813302	0.0	0.16223125504948877	0.16949029688688905	0.13799818941606862	0.1845351269547767	0.1722158856397945	0.3276797657392661	0.27938807231261736	0.2438430561738912	0.2561880071702912	0.3243951918531473	0.2566334285822727	0.30539613517250386	0.2563564998081028	0.26298966901221416	0.24901154517550383	0.3129923999807165	0.33414026705044375	0.237033508581408	0.285856250568236	0.33491726026769114	0.34874708375530816	0.3366394077243729	0.3222942595144242	0.3194714789518547	0.26039375256114716	0.22943920425212488	0.34427247651259624	0.29126601015816694	0.33945044201749114	0.3426169996631574	0.2921406320356027	0.2644202408078048	0.3026776955286138	0.2622934487372232	0.24368436762347445	0.34057550463175046	0.2684348740895195	0.33315335033321747	0.27119066469085445	0.3197208548331577	0.352719629080929	0.24186594584492838	0.3184719050494425	0.32791317402694875	0.3057117669126823	0.33643596219088534	0.26347164242271615	0.29491293926223405	0.35071121539689043	0.4440897038585757	0.34998161269501454	0.45578656768264103	0.409655821478372	0.40752782262385356
S13Hp	0.4327283674731512	0.2194124661389949	0.2993407159430291	0.2941404869052283	0.34629975648000766	0.2596171694144906	0.1941373152386528	0.20119331105849833	0.18549979165304234	0.14926922897842188	0.16223125504948877	0.0	0.13854559127639338	0.1568888355811885	0.20342577311989657	0.19110653180491438	0.346570411904386	0.29827871847773724	0.26273370233901105	0.2750786533354111	0.3432858380182672	0.2755240747473926	0.32428678133762373	0.2752471459732227	0.28188031517733403	0.2679021913406237	0.3318830461458364	0.3530309132155636	0.25592415474652785	0.30474689673335587	0.353807906432811	0.36763772992042804	0.35553005388949277	0.34118490567954407	0.33836212511697455	0.27928439872626704	0.24832985041724476	0.3631631226777161	0.3101566563232868	0.358341088182611	0.36150764582827727	0.3110312782007225	0.2833108869729247	0.32156834169373366	0.2811840949023431	0.2625750137885943	0.35946615079687033	0.28732552025463937	0.35204399649833734	0.29008131085597433	0.33861150099827764	0.37161027524604884	0.26075659201004825	0.3373625512145624	0.3468038201920686	0.32460241307780213	0.3553266083560052	0.28236228858783596	0.3138035854273539	0.36960186156201025	0.46298035002369553	0.3688722588601344	0.47467721384776085	0.4285464676434918	0.4264184687889734
S25Hp	0.4399874093105515	0.22667150797639518	0.30659975778042936	0.3013995287426286	0.353558798317408	0.26687621125189087	0.20139635707605308	0.2084523528958986	0.19275883349044265	0.15652827081582216	0.16949029688688905	0.13854559127639338	0.0	0.16414787741858877	0.21068481495729685	0.19836557364231466	0.35382945374178626	0.3055377603151375	0.2699927441764114	0.2823376951728114	0.35054487985566746	0.2827831165847929	0.331545823175024	0.282506187810623	0.2891393570147343	0.275161233178024	0.33914208798323664	0.3602899550529639	0.2631831965839282	0.31200593857075615	0.3610669482702113	0.3748967717578283	0.36278909572689305	0.34844394751694435	0.34562116695437484	0.2865434405636673	0.25558889225464504	0.3704221645151164	0.3174156981606871	0.3656001300200113	0.36876668766567755	0.31829032003812285	0.29056992881032495	0.32882738353113394	0.28844313673974337	0.2698340556259946	0.3667251926342706	0.29458456209203965	0.3593030383357376	0.2973403526933746	0.34587054283567786	0.3788693170834492	0.26801563384744853	0.34462159305196266	0.3540628620294689	0.33186145491520247	0.3625856501934055	0.2896213304252363	0.3210626272647542	0.3768609033994106	0.47023939186109587	0.3761313006975347	0.4819362556851612	0.43580550948089214	0.4336775106263737
S23Hp	0.33980637645696077	0.12649047512280442	0.2064187249268386	0.20121849588903784	0.2533777654638172	0.1666951783983001	0.1012153242224623	0.10827132004230781	0.11040253413821646	0.07417197146359598	0.13799818941606862	0.1568888355811885	0.16414787741858877	0.0	0.11050378210370604	0.09818454078872386	0.2536484208881955	0.20535672746154673	0.16981171132282058	0.18215666231922062	0.2503638470020767	0.18260208373120212	0.23136479032143326	0.1823251549570322	0.18895832416114353	0.17498020032443318	0.23896105512964588	0.2601089221993731	0.16300216373033738	0.21182490571716536	0.26088591541662054	0.2747157389042375	0.2626080628733023	0.24826291466335357	0.24544013410078405	0.18636240771007653	0.15540785940105425	0.27024113166152564	0.21723466530709631	0.26541909716642054	0.26858565481208674	0.21810928718453204	0.1903888959567342	0.22864635067754316	0.18826210388615255	0.16965302277240385	0.2665441597806798	0.19440352923844884	0.2591220054821468	0.19715931983978383	0.2456895099820871	0.27868828422985836	0.16783460099385775	0.2444405601983719	0.25388182917587815	0.23168042206161166	0.26240461733981474	0.18944029757164552	0.22088159441116345	0.2766798705458198	0.37005835900750506	0.27595026784394394	0.3817552228315705	0.3356244766273014	0.33349647777278296
31328	0.36184598912973787	0.14853008779558158	0.22845833759961576	0.223258108561815	0.27541737813659434	0.18873479107107724	0.12325493689523945	0.1402135207384531	0.1569394716769245	0.12070890900230405	0.1845351269547767	0.20342577311989657	0.21068481495729685	0.11050378210370604	0.0	0.12022415346150103	0.2756880335609726	0.2273963401343239	0.19185132399559773	0.20419627499199777	0.27240345967485385	0.20464169640397928	0.2534044029942104	0.20436476762980935	0.21099793683392068	0.19701981299721033	0.26100066780242304	0.2821485348721503	0.18504177640311453	0.23386451838994252	0.28292552808939764	0.2967553515770147	0.2846476755460794	0.2703025273361307	0.26747974677356123	0.2084020203828537	0.1774474720738314	0.29228074433430273	0.23927427797987347	0.28745870983919763	0.29062526748486395	0.2401488998573092	0.21242850862951135	0.25068596335032034	0.2103017165589297	0.191692635445181	0.288583772453457	0.216443141911226	0.281161618154924	0.21919893251256098	0.26772912265486426	0.3007278969026355	0.1898742136666349	0.26648017287114906	0.2759214418486553	0.2537200347343888	0.2844442300125919	0.21147991024442267	0.2429212070839406	0.298719483218597	0.39209797168028226	0.2979898805167211	0.4037948355043476	0.35766408930007854	0.3555360904455601
S4Hp	0.33957452371786695	0.12625862238371063	0.20618687218774479	0.20098664314994405	0.2531459127247234	0.1664633256592063	0.1009834714833685	0.12789427942347092	0.14462023036194233	0.10838966768732186	0.1722158856397945	0.19110653180491438	0.19836557364231466	0.09818454078872386	0.12022415346150103	0.0	0.2534165681491017	0.20512487472245294	0.16957985858372682	0.1819248095801268	0.2501319942629829	0.1823702309921083	0.23113293758233944	0.1820933022179384	0.18872647142204974	0.17474834758533941	0.2387292023905521	0.25987706946027933	0.1627703109912436	0.21159305297807157	0.2606540626775267	0.27448388616514374	0.2623762101342085	0.24803106192425978	0.24520828136169026	0.18613055497098274	0.15517600666196046	0.2700092789224318	0.21700281256800252	0.2651872444273267	0.268353802072993	0.21787743444543825	0.1901570432176404	0.22841449793844937	0.1880302511470588	0.16942117003331003	0.26631230704158604	0.19417167649935507	0.25889015274305305	0.19692746710069003	0.24545765724299332	0.2784564314907646	0.16760274825476396	0.24420870745927808	0.25364997643678433	0.2314485693225179	0.2621727646007209	0.18920844483255173	0.22064974167206966	0.276448017806726	0.3698265062684113	0.2757184151048502	0.38152337009247667	0.33539262388820756	0.33326462503368914
530154	0.45801656224878057	0.24470066091462428	0.32462891071865846	0.3194286816808577	0.37158795125563704	0.28490536419011997	0.21942551001428218	0.2833581595229425	0.3000841104614139	0.2638535477867935	0.3276797657392661	0.346570411904386	0.35382945374178626	0.2536484208881955	0.2756880335609726	0.2534165681491017	0.0	0.3047381813784652	0.28802189711464043	0.3003668481110405	0.36857403279389656	0.300812269523022	0.3495749761132531	0.3005353407488521	0.3071685099529634	0.2931903861162531	0.3571712409214658	0.378319107991193	0.28121234952215723	0.33003509150898525	0.3790961012084404	0.3929259246960574	0.38081824866512215	0.36647310045517345	0.36365031989260393	0.3045725935018964	0.27361804519287414	0.3884513174533455	0.3354448510989162	0.3836292829582404	0.38679584060390665	0.3363194729763519	0.3085990817485541	0.34685653646936304	0.30647228967797246	0.2878632085642237	0.3847543455724997	0.31261371503026875	0.3773321912739667	0.3153695056316037	0.363899695773907	0.3968984700216782	0.28604478678567763	0.36265074599019176	0.372092014967698	0.3498906078534315	0.3806148031316346	0.30765048336346534	0.3390917802029833	0.39489005633763963	0.4882685447993249	0.3941604536357638	0.49996540862339023	0.4538346624191212	0.45170666356460276
31009	0.4097248688221319	0.19640896748797554	0.2763372172920097	0.27113698825420895	0.3232962578289883	0.23661367076347123	0.17113381658763344	0.2350664660962938	0.2517924170347652	0.21556185436014472	0.27938807231261736	0.29827871847773724	0.3055377603151375	0.20535672746154673	0.2273963401343239	0.20512487472245294	0.3047381813784652	0.0	0.23973020368799172	0.25207515468439173	0.3202823393672478	0.25252057609637324	0.30128328268660437	0.25224364732220333	0.25887681652631467	0.24489869268960435	0.30887954749481705	0.33002741456454426	0.23292065609550852	0.2817433980823365	0.33080440778179165	0.3446342312694087	0.3325265552384734	0.3181814070285247	0.3153586264659552	0.2562809000752477	0.2253263517662254	0.34015962402669675	0.28715315767226746	0.33533758953159165	0.3385041471772579	0.28802777954970316	0.26030738832190536	0.2985648430427143	0.2581805962513237	0.23957151513757496	0.33646265214585097	0.26432202160362	0.329040497847318	0.26707781220495497	0.3156080023472583	0.3486067765950295	0.2377530933590289	0.314359052563543	0.32380032154104926	0.30159891442678277	0.33232310970498585	0.2593587899368166	0.29080008677633457	0.3465983629109909	0.43997685137267617	0.34586876020911506	0.4516737151967416	0.4055429689924725	0.4034149701379541
S26Hp	0.3498546351644449	0.1365387338302886	0.2164669836343228	0.21126675459652206	0.2634260241713014	0.17674343710578427	0.12348387717589557	0.19952144995756765	0.21624740089603908	0.18001683822141856	0.2438430561738912	0.26273370233901105	0.2699927441764114	0.16981171132282058	0.19185132399559773	0.16957985858372682	0.28802189711464043	0.23973020368799172	0.0	0.15039139840279658	0.246158578176808	0.17839681490593343	0.22715952149616456	0.19237341366451638	0.1990065828686277	0.1850284590319174	0.2490093138371301	0.2701571809068573	0.1730504224378216	0.22187316442464955	0.2709341741241047	0.2847639976117217	0.27265632158078645	0.25831117337083775	0.25548839280826824	0.19641066641756072	0.16545611810853844	0.2802893903690098	0.2272829240145805	0.2754673558739047	0.27863391351957095	0.22815754589201626	0.2004371546642184	0.23869460938502735	0.19831036259363677	0.17970128147988804	0.276592418488164	0.20445178794593305	0.269170264189631	0.207207578547268	0.2557377686895713	0.2887365429373426	0.17788285970134193	0.25448881890585606	0.26393008788336236	0.24172868076909587	0.27245287604729895	0.1994885562791297	0.23092985311864764	0.286728129253304	0.38010661771498927	0.2859985265514281	0.39180348153905464	0.3456727353347856	0.3435447364802672
S16H2	0.3621995861608449	0.14888368482668862	0.2288119346307228	0.22361170559292204	0.27577097516770144	0.1890883881021843	0.13582882817229558	0.2118664009539677	0.2285923518924391	0.1923617892178186	0.2561880071702912	0.2750786533354111	0.2823376951728114	0.18215666231922062	0.20419627499199777	0.1819248095801268	0.3003668481110405	0.25207515468439173	0.15039139840279658	0.0	0.258503529173208	0.19074176590233344	0.23950447249256457	0.20471836466091642	0.21135153386502775	0.1973734100283174	0.2613542648335301	0.28250213190325735	0.18539537343422158	0.2342181154210496	0.28327912512050474	0.29710894860812176	0.2850012725771865	0.2706561243672378	0.2678333438046683	0.20875561741396076	0.17780106910493848	0.29263434136540983	0.23962787501098054	0.28781230687030473	0.290978864515971	0.24050249688841624	0.2127821056606184	0.2510395603814274	0.21065531359003678	0.19204623247628805	0.28893736948456405	0.21679673894233306	0.28151521518603106	0.21955252954366805	0.2680827196859713	0.30108149393374256	0.19022781069774197	0.2668337699022561	0.27627503887976235	0.2540736317654959	0.28479782704369894	0.21183350727552971	0.24327480411504765	0.299073080249704	0.3924515687113893	0.29834347754782814	0.4041484325354546	0.3580176863311856	0.35588968747666716
