	s9pp	s7pp	s22pp	s17pp	s27pp	s19pp	s24pp	s25pp	s18pp	s14pp	s6pp	w27pp	w6pp	s29pp	s28pp	f3pp	s16pp	s26pp	s30pp	w30pp	s3pp	s31pp	s13pp	w12pp	s32pp	s11pp	s12pp	s1pp	s2pp	s23pp	s4pp	s20pp	s15pp
s3pp	0.5150962331088688	0.6530458943195869	0.6259361116059317	0.6027232927890925	0.6039806557222688	0.5094344671027694	0.5368304405833164	0.540039717402952	0.40529494215825956	0.2320336753917192	0.16286109815258842	0.3610732920110418	0.28981179621868414	0.19442306405089105	0.22207000013691008	0.30192740580814853	0.2776219651548581	0.26136188706444646	0.13045484981448183	0.12882397311941218	0.0	0.2148256783514685	0.33697189934524224	0.4499485281012334	0.24471517608531201	0.280582161226586	0.27722677372974186	0.3087274622019786	0.3712619896898623	0.5873683417001552	0.42863262253368856	0.598327775187714	0.6401938514956605
s31pp	0.36131197771617757	0.49926163892689573	0.4721518562132405	0.4489390373964014	0.45019640032957764	0.35565021171007827	0.3830461851906252	0.38625546201026084	0.2515106867655685	0.15648945728407135	0.15480539557180034	0.3939904870214577	0.32272899122910004	0.22734025906130698	0.254987195147326	0.33484460081856443	0.310539160165274	0.29427908207486236	0.2071591608668071	0.20552828417173746	0.2148256783514685	0.0	0.13578292533772277	0.2961642727085423	0.0909309206926209	0.1267979058338949	0.12344251833705078	0.15494320680928747	0.21747773429717118	0.4335840863074641	0.2748483671409975	0.44454351979502277	0.4864095961029694
s13pp	0.4834581987099513	0.6214078599206695	0.5942980772070143	0.5710852583901752	0.5723426213233513	0.47779643270385197	0.505192406184399	0.5084016830040345	0.37365690775934224	0.2786356782778451	0.2769516165655741	0.5161367080152315	0.4448752122228738	0.3494864800550807	0.37713341614109974	0.4569908218123382	0.43268538115904775	0.4164253030686361	0.32930538186058084	0.3276745051655112	0.33697189934524224	0.13578292533772277	0.0	0.418310493702316	0.21307714168639463	0.24894412682766864	0.2455887393308245	0.27708942780306123	0.3396239552909449	0.5557303073012378	0.3969945881347712	0.5666897407887965	0.6085558170967431
w12pp	0.5638671966968068	0.701816857907525	0.6747070751938697	0.6514942563770306	0.6527516193102069	0.5582054306907075	0.5856014041712545	0.5888106809908901	0.45406590574619765	0.3916123070338362	0.3899282453215652	0.6291133367712226	0.557851840978865	0.4624631088110719	0.49011004489709087	0.5699674505683293	0.5456620099150389	0.5294019318246272	0.442282010616572	0.44065113392150235	0.4499485281012334	0.2961642727085423	0.418310493702316	0.0	0.27578834466641194	0.32935312481452406	0.32599773731767995	0.3574984257899167	0.4200329532778004	0.6361393052880933	0.47740358612162664	0.647098738775652	0.6889648150835986
s32pp	0.3586338446808854	0.49658350589160355	0.46947372317794833	0.4462609043611092	0.44751826729428545	0.3529720786747861	0.38036805215533304	0.38357732897496866	0.24883255373027627	0.18637895501791485	0.18469489330564384	0.42387998475530125	0.35261848896294357	0.2572297567951505	0.28487669288116946	0.36473409855240796	0.3404286578991175	0.3241685798087059	0.2370486586006506	0.23541778190558096	0.24471517608531201	0.0909309206926209	0.21307714168639463	0.27578834466641194	0.0	0.1241197727986027	0.12076438530175856	0.15226507377399526	0.21479960126187897	0.43090595327217185	0.27217023410570523	0.4418653867597306	0.4837314630676772
s11pp	0.3449236535556738	0.48287331476639195	0.45576353205273673	0.43255071323589767	0.4338080761690738	0.3392618875495744	0.36665786103012143	0.36986713784975705	0.2351223626050647	0.22224594015918886	0.22056187844691785	0.45974696989657526	0.3884854741042176	0.2930967419364245	0.32074367802244347	0.40060108369368197	0.37629564304039154	0.3600355649499799	0.2729156437419246	0.271284767046855	0.280582161226586	0.1267979058338949	0.24894412682766864	0.32935312481452406	0.1241197727986027	0.0	0.10705419417654698	0.13855488264878366	0.20108941013666737	0.4171957621469603	0.25846004298049363	0.428155195634519	0.4700212719424656
s12pp	0.274975411990746	0.41292507320146415	0.38581529048780894	0.3626024716709698	0.36385983460414606	0.2693136459846467	0.29670961946519364	0.29991889628482926	0.16517412104013693	0.21889055266234472	0.21720649095007372	0.45639158239973115	0.3851300866073734	0.2897413544395803	0.3173882905255993	0.39724569619683786	0.3729402555435474	0.3566801774531358	0.26956025624508045	0.26792937955001084	0.27722677372974186	0.12344251833705078	0.2455887393308245	0.32599773731767995	0.12076438530175856	0.10705419417654698	0.0	0.06860664108385592	0.1311411685717396	0.3472475205820325	0.18851180141556587	0.3582069540695912	0.40007303037753783
s1pp	0.2242828145139451	0.36223247572466327	0.33512269301100805	0.311909874194169	0.3131672371273452	0.2186210485078458	0.24601702198839276	0.24922629880802838	0.16360418055947662	0.25039124113458144	0.24870717942231044	0.4878922708719679	0.41663077507961016	0.32124204291181707	0.34888897899783605	0.4287463846690746	0.4044409440157842	0.38818086592537254	0.3010609447173172	0.2994300680222476	0.3087274622019786	0.15494320680928747	0.27708942780306123	0.3574984257899167	0.15226507377399526	0.13855488264878366	0.06860664108385592	0.0	0.08044857109493872	0.2965549231052316	0.13781920393876498	0.3075143565927903	0.34938043290073695
s2pp	0.24596622673485435	0.3839158879455725	0.3568061052319173	0.33359328641507824	0.33485064934825437	0.24030446072875503	0.267700434209302	0.2709097110289376	0.22613870804736033	0.31292576862246513	0.31124170691019415	0.5504267983598516	0.47916530256749384	0.38377657039970076	0.41142350648571974	0.4912809121569583	0.46697547150366786	0.4507153934132562	0.3635954722052009	0.36196459551013127	0.3712619896898623	0.21747773429717118	0.3396239552909449	0.4200329532778004	0.21479960126187897	0.20108941013666737	0.1311411685717396	0.08044857109493872	0.0	0.3182383353261409	0.1595026161596742	0.32919776881369955	0.3710638451216462
s23pp	0.35760617250009946	0.49555583371081763	0.4684460509971624	0.4452332321803233	0.44649059511349953	0.35194440649400016	0.3793403799745471	0.38254965679418274	0.44224506005765324	0.5290321206327581	0.5273480589204871	0.7665331503701445	0.6952716545777867	0.5998829224099936	0.6275298584960126	0.7073872641672512	0.6830818235139607	0.6668217454235491	0.5797018242154938	0.5780709475204242	0.5873683417001552	0.4335840863074641	0.5557303073012378	0.6361393052880933	0.43090595327217185	0.4171957621469603	0.3472475205820325	0.2965549231052316	0.3182383353261409	0.0	0.24101991011549498	0.44083771457894466	0.4827037908868913
s4pp	0.19887045333363285	0.336820114544351	0.3097103318306958	0.2864975130138567	0.28775487594703286	0.1932086873275335	0.2206046608080805	0.22381393762771612	0.2835093408911866	0.3702964014662914	0.3686123397540204	0.6077974312036778	0.5365359354113202	0.441147203243527	0.468794139329546	0.5486515450007845	0.5243461043474942	0.5080860262570825	0.42096610504902715	0.41933522835395753	0.42863262253368856	0.2748483671409975	0.3969945881347712	0.47740358612162664	0.27217023410570523	0.25846004298049363	0.18851180141556587	0.13781920393876498	0.1595026161596742	0.24101991011549498	0.0	0.28210199541247805	0.3239680717204247
s20pp	0.10371903111965822	0.3733806498578991	0.3462708671442439	0.3877278646943755	0.38898522762755167	0.2944390390080523	0.32183501248859925	0.32504428930823487	0.4532044935452119	0.5399915541203167	0.5383074924080458	0.7774925838577033	0.7062310880653454	0.6108423558975524	0.6384892919835714	0.71834669765481	0.6940412570015194	0.6777811789111079	0.5906612577030526	0.5890303810079829	0.598327775187714	0.44454351979502277	0.5666897407887965	0.647098738775652	0.4418653867597306	0.428155195634519	0.3582069540695912	0.3075143565927903	0.32919776881369955	0.44083771457894466	0.28210199541247805	0.0	0.10159790860383282
s15pp	0.14558510742760483	0.41524672616584574	0.3881369434521905	0.4295939410023221	0.4308513039354983	0.33630511531599894	0.3637010887965459	0.3669103656161815	0.49507056985315856	0.5818576304282633	0.5801735687159923	0.8193586601656498	0.748097164373292	0.652708432205499	0.680355368291518	0.7602127739627565	0.735907333309466	0.7196472552190545	0.6325273340109991	0.6308964573159295	0.6401938514956605	0.4864095961029694	0.6085558170967431	0.6889648150835986	0.4837314630676772	0.4700212719424656	0.40007303037753783	0.34938043290073695	0.3710638451216462	0.4827037908868913	0.3239680717204247	0.10159790860383282	0.0
