	31160	F7H1	S26Hp	F23HpA	S15Hp	S23Hp	S17H1	S28Hp	31267	F6H1	S18H1	S13Hp	S19H1	S6Hp	530295	S3Hp	S9H1	S4Hp	S20H1	F14H1B
S18H1	0.39900122303760127	0.42156846246372326	0.4412168751618949	0.4338770631321781	0.4108141252462377	0.44069097667294654	0.49111999292327546	0.4422275068775562	0.43504654816500155	0.37212147654788297	0.0	0.1550035995287632	0.37068027254018254	0.4256389586266014	0.42811333354678516	0.36431150317370353	0.47293702018169437	0.46477938256708173	0.4647946251876397	0.3288573605023153
S13Hp	0.31919933760083297	0.34176657702695495	0.3614149897251266	0.3540751776954098	0.3310122398094694	0.3608890912361783	0.4113181074865072	0.3624256214407879	0.3552446627282333	0.29231959111111466	0.1550035995287632	0.0	0.29087838710341424	0.3458370731898331	0.34831144811001685	0.2845096177369353	0.3931351347449261	0.38497749713031343	0.3849927397508714	0.24905547506554698
S19H1	0.4493430139801459	0.4719102534062679	0.49155866610443955	0.4842188540747227	0.4611559161887823	0.4910327676154912	0.5414617838658201	0.4925692978201008	0.4853883391075462	0.4224632674904276	0.37068027254018254	0.29087838710341424	0.0	0.47598074956914604	0.4784551244893298	0.4146532941162482	0.523278811124239	0.5151211735096264	0.5151364161301843	0.37919915144485994
S6Hp	0.43939496182497545	0.46196220125109744	0.4816106139492691	0.47427080191955223	0.45120786403361185	0.4810847154603207	0.5315137317106496	0.4826212456649303	0.4754402869523757	0.42934525780086674	0.4256389586266014	0.3458370731898331	0.47598074956914604	0.0	0.46850707233415934	0.4047052419610777	0.5133307589690685	0.5051731213544559	0.5051883639750139	0.36925109928968947
530295	0.3537958549195802	0.3763630943457022	0.39601150704387383	0.4178609552875978	0.39479801740165743	0.4246748688283663	0.4751038850786953	0.4262113990329759	0.46114125232023795	0.4318196327210505	0.42811333354678516	0.34831144811001685	0.4784551244893298	0.46850707233415934	0.0	0.2958026165089724	0.4044281335169633	0.3962704959023506	0.39628573852290855	0.2836519923842942
S3Hp	0.28999402454649864	0.31256126397262063	0.33220967667079226	0.3540591249145162	0.3309961870285758	0.36087303845528473	0.41130205470561365	0.36240956865989427	0.3973394219471563	0.36801780234796894	0.36431150317370353	0.2845096177369353	0.4146532941162482	0.4047052419610777	0.2958026165089724	0.0	0.2886803799960946	0.2805227423814819	0.3082609351268468	0.21985016201121266
S9H1	0.3986195415544895	0.42118678098061146	0.4408351936787831	0.4626846419225071	0.4396217040365667	0.46949855546327557	0.5199275717136045	0.47103508566788516	0.5059649389551472	0.4766433193559598	0.47293702018169437	0.3931351347449261	0.523278811124239	0.5133307589690685	0.4044281335169633	0.2886803799960946	0.0	0.32021160923486597	0.4168864521348377	0.3284756790192035
S4Hp	0.3904619039398768	0.4130291433659988	0.4326775560641704	0.4545270043078944	0.431464066421954	0.4613409178486629	0.5117699340989919	0.46287744805327247	0.4978073013405345	0.4684856817413471	0.46477938256708173	0.38497749713031343	0.5151211735096264	0.5051731213544559	0.3962704959023506	0.2805227423814819	0.32021160923486597	0.0	0.408728814520225	0.3203180414045908
S20H1	0.39047714656043475	0.41304438598655674	0.4326927986847284	0.45454224692845235	0.43147930904251197	0.46135616046922084	0.5117851767195498	0.46289269067383043	0.4978225439610925	0.46850092436190505	0.4647946251876397	0.3849927397508714	0.5151364161301843	0.5051883639750139	0.39628573852290855	0.3082609351268468	0.4168864521348377	0.408728814520225	0.0	0.32033328402514877
F14H1B	0.23680527046416316	0.25937250989028515	0.2790209225884568	0.31860498224312794	0.29554204435718756	0.32541889578389643	0.3758479120342254	0.326955425988506	0.3618852792757681	0.3325636596765807	0.3288573605023153	0.24905547506554698	0.37919915144485994	0.36925109928968947	0.2836519923842942	0.21985016201121266	0.3284756790192035	0.3203180414045908	0.32033328402514877	0.0
