	f7pp	w24pp	w14pp	F3H1	F6H1	f4pp	S2Hp	F1H1	S9H1	F7H1	F16H1	w25pp	s28pp	S28Hp	S27H1	f8pp	w17pp	F8H1	S14Hp	S13Hp	S1Hp	F32H1	F23HpA	s24H1	S11Hp	w23pp	f21pp	S12Hp	w3pp	S8Hp	S4Hp	F22HpB	S26Hp	S22Hp	31300	S18H1	S29H1	S19H1	f6ppA	530451	w13pp	s29pp	w20pp	f16ppA	f16ppB	w16pp	f32pp	f25pp	S3Hp	F14H1A	S15Hp	s24pp	f31pp	f6ppB	f24pp	S17H1	F14H1B	S7Hp	f1pp	f12ppB	w11pp
F16H1	0.2912118002666171	0.2772992852789813	0.29115284582122586	0.3824042379120358	0.380481476096479	0.2557602703646019	0.3335352734795294	0.38438594777738977	0.28368266071116266	0.24396661791982885	0.0	0.26247953923065176	0.29529159742692357	0.32461655052345184	0.3127696569185561	0.24351146470070137	0.27785132077887364	0.3779004753289206	0.3485542201318804	0.3694843399744431	0.29744725708764375	0.3613642273093972	0.3689217396497264	0.39254911966512307	0.3561137202852412	0.3233742311926814	0.2961257733171451	0.23165373916502832	0.27239588259244074	0.279115056116315	0.3193616755088907	0.40877969580998114	0.4702722730988885	0.6098345336638585	0.6303413398798169	0.3632679235901657	0.40013474328004917	0.42253054022850933	0.2787082494998569	0.384281784429204	0.3238824518519447	0.34363309324652047	0.3005167616142329	0.32327643439390547	0.3341508568856705	0.3376710346354254	0.33957592461706654	0.3080034634476645	0.38647643027463385	0.3586547448895141	0.36526949149325794	0.36977577699276865	0.29444229715658343	0.28806676463584296	0.2667787501891351	0.35363435709502866	0.374723700478101	0.360516099066132	0.30483953783419704	0.2820182396691999	0.3032356095300702
w25pp	0.21867392254126652	0.2047614075536307	0.2186149680958753	0.30986636018668523	0.3079435983711284	0.18322239263925133	0.2609973957541788	0.3118480700520392	0.25025121362088626	0.2586110118093097	0.26247953923065176	0.0	0.19813687239831612	0.22746182549484434	0.21561493188994862	0.1709735869753508	0.20531344305352306	0.30536259760357004	0.2760163424065299	0.29694646224909255	0.22490937936229316	0.2888263495840466	0.2963838619243759	0.3200112419397725	0.2835758425598906	0.2508363534673308	0.22358789559179457	0.15911586143967774	0.19985800486709018	0.2065771783909644	0.2468237977835402	0.3362418180846306	0.39773439537353794	0.537296655938508	0.5578034621544663	0.29073004586481516	0.3275968655546986	0.34999266250315875	0.2061703717745063	0.3117439067038535	0.25134457412659417	0.2710952155211699	0.22797888388888238	0.25073855666855493	0.2616129791603199	0.2651331569100749	0.267038046891716	0.2354655857223139	0.3139385525492833	0.2861168671641635	0.29273161376790735	0.29723789926741806	0.22190441943123287	0.21552888691049243	0.19424087246378455	0.2810964793696781	0.3021858227527504	0.28797822134078144	0.2323016601088465	0.20948036194384934	0.2306977318047197
s28pp	0.2514859807375383	0.2375734657499025	0.2514270262921471	0.34267841838295704	0.3407556565674002	0.21603445083552317	0.2938094539504506	0.344660128248311	0.28306327181715807	0.29142307000558154	0.29529159742692357	0.19813687239831612	0.0	0.12831904506416042	0.21248455845867673	0.20378564517162262	0.23812550124979487	0.33817465579984185	0.3088284006028017	0.32975852044536436	0.25772143755856497	0.32163840778031844	0.3291959201206477	0.35282330013604435	0.3163879007561624	0.2836484116636026	0.2563999537880664	0.19192791963594957	0.232670063063362	0.2393892365872362	0.279635855979812	0.36905387628090236	0.43054645356980975	0.5701087141347798	0.5906155203507382	0.32354210406108697	0.3604089237509704	0.3828047206994306	0.23898242997077812	0.3445559649001253	0.2841566323228659	0.30390727371744175	0.2607909420851542	0.2835506148648267	0.29442503735659176	0.29794521510634664	0.2998501050879878	0.2682776439185857	0.34675061074555513	0.3189289253604354	0.32554367196417916	0.33004995746368987	0.2547164776275047	0.24834094510676424	0.22705293066005636	0.31390853756594994	0.3349978809490223	0.32079027953705325	0.2651137183051183	0.24229242014012115	0.2635097900009915
S28Hp	0.2808109338340666	0.26689841884643073	0.28075197938867535	0.37200337147948526	0.3700806096639284	0.2453594039320514	0.3231344070469788	0.3739850813448392	0.31238822491368634	0.32074802310210976	0.32461655052345184	0.22746182549484434	0.12831904506416042	0.0	0.24180951155520497	0.23311059826815086	0.26745045434632314	0.3674996088963701	0.33815335369933	0.35908347354189263	0.2870463906550932	0.35096336087684665	0.35852087321717596	0.38214825323257257	0.3457128538526907	0.3129733647601308	0.2857249068845946	0.22125287273247782	0.26199501615989024	0.2687141896837645	0.30896080907634027	0.39837882937743063	0.45987140666633797	0.599433667231308	0.6199404734472663	0.35286705715761524	0.3897338768474986	0.41212967379595883	0.2683073830673064	0.3738809179966536	0.3134815854193942	0.33323222681396997	0.29011589518168246	0.31287556796135496	0.32374999045312	0.3272701682028749	0.3291750581845161	0.29760259701511393	0.3760755638420834	0.3482538784569636	0.3548686250607074	0.3593749105602181	0.28404143072403293	0.27766589820329246	0.2563778837565846	0.34323349066247816	0.3643228340455505	0.35011523263358146	0.2944386714016466	0.2716173732366494	0.2928347430975197
S27H1	0.26896404022917086	0.25505152524153507	0.26890508578377964	0.3601564778745896	0.35823371605903276	0.2335125103271557	0.31128751344208316	0.36213818773994355	0.3005413313087906	0.30890112949721404	0.3127696569185561	0.21561493188994862	0.21248455845867673	0.24180951155520497	0.0	0.22126370466325515	0.2556035607414274	0.3556527152914744	0.3263064600944342	0.34723657993699686	0.27519949705019753	0.339116467271951	0.3466739796122802	0.37030135962767685	0.33386596024779497	0.30112647115523516	0.2738780132796989	0.2094059791275821	0.2501481225549945	0.25686729607886877	0.2971139154714445	0.3865319357725349	0.4480245130614423	0.5875867736264123	0.6080935798423707	0.34102016355271947	0.37788698324260295	0.4002827801910631	0.2564604894624107	0.3620340243917578	0.3016346918144985	0.32138533320907425	0.2782690015767867	0.30102867435645925	0.31190309684822426	0.3154232745979792	0.3173281645796203	0.2857557034102183	0.36422867023718764	0.3364069848520679	0.3430217314558117	0.3475280169553224	0.2721945371191372	0.26581900459839675	0.2445309901516889	0.33138659705758244	0.3524759404406548	0.3382683390286858	0.2825917777967508	0.2597704796317537	0.280987849492624
f8pp	0.1710186305107033	0.15710611552306747	0.1709596760653121	0.26221106815612205	0.2602883063405652	0.14795058862159222	0.22572559173651963	0.27657626603438	0.23128313909093587	0.23964293727935929	0.24351146470070137	0.1709735869753508	0.20378564517162262	0.23311059826815086	0.22126370466325515	0.0	0.12794574212717602	0.227994896677223	0.1986486414801828	0.21957876132274545	0.1475416784359461	0.21145864865769953	0.21901616099802879	0.24264354101342545	0.20620814163354356	0.1734686525409837	0.1462201946654475	0.10224141906909236	0.15220271283652698	0.1589218863604012	0.19916850575297695	0.28858652605406737	0.3500791033429747	0.4896413639079447	0.5101481701239031	0.24307475383425192	0.27994157352413535	0.30233737047259557	0.1585150797439431	0.26408861467329026	0.20368928209603093	0.2234399234906067	0.18032359185831914	0.2030832646379917	0.2139576871297567	0.21747786487951165	0.21938275486115277	0.18781029369175067	0.2662832605187201	0.23846157513360033	0.24507632173734412	0.24958260723685483	0.17424912740066967	0.1678735948799292	0.14658558043322134	0.2334411873391149	0.25453053072218723	0.24032292931021823	0.18464636807828327	0.16182506991328613	0.18304243977415646
w17pp	0.20535848658887557	0.19144597160123974	0.20529953214348434	0.2965509242342943	0.29462816241873746	0.18229044469976446	0.2600654478146919	0.31091612211255226	0.26562299516910814	0.27398279335753156	0.27785132077887364	0.20531344305352306	0.23812550124979487	0.26745045434632314	0.2556035607414274	0.12794574212717602	0.0	0.22537370759883102	0.1960274524017908	0.21695757224435347	0.14492048935755408	0.23628466106397747	0.24384217340430672	0.26746955341970335	0.23103415403982147	0.19829466494726167	0.17104620707172544	0.13658127514726462	0.18654256891469922	0.19326174243857347	0.23350836183114923	0.3229263821322396	0.384418959421147	0.523981219986117	0.5444880262020754	0.27741460991242417	0.31428142960230765	0.3366772265507678	0.19285493582211538	0.2984284707514625	0.23802913817420318	0.25777977956877896	0.21466344793649142	0.23742312071616395	0.24829754320792896	0.2518177209576839	0.253722610939325	0.22215014976992295	0.30062311659689234	0.2728014312117726	0.2794161778155164	0.28392246331502713	0.20858898347884192	0.20221345095810145	0.1809254365113936	0.26778104341728715	0.2888703868003595	0.2746627853883905	0.21898622415645555	0.19616492599145838	0.2173822958523287
F8H1	0.30540764113892255	0.2914951261512867	0.3053486866935313	0.3966000787843412	0.3946773169687844	0.28233959924981145	0.3601146023647389	0.4109652766625993	0.3656721497191551	0.37403194790757854	0.3779004753289206	0.30536259760357004	0.33817465579984185	0.3674996088963701	0.3556527152914744	0.227994896677223	0.22537370759883102	0.0	0.2760868747612423	0.29701699460380493	0.22497991171700554	0.3363338156140244	0.34389132795435373	0.36751870796975034	0.33108330858986845	0.29834381949730865	0.2710953616217724	0.2366304296973116	0.2865917234647462	0.29331089698862045	0.33355751638119624	0.4229755366822866	0.48446811397119394	0.624030374536164	0.6445371807521223	0.3774637644624712	0.4143305841523546	0.4367263811008148	0.29290409037216236	0.39847762530150954	0.33807829272425016	0.35782893411882594	0.31471260248653843	0.33747227526621093	0.34834669775797594	0.3518668755077309	0.35377176548937206	0.3221993043199699	0.4006722711469394	0.37285058576181956	0.37946533236556335	0.38397161786507406	0.3086381380288889	0.30226260550814843	0.28097459106144057	0.3678301979673341	0.38891954135040646	0.37471193993843743	0.31903537870650256	0.2962140805415054	0.3174314504023757
S14Hp	0.27606138594188234	0.26214887095424655	0.2760024314964912	0.3672538235873011	0.36533106177174424	0.2529933440527713	0.3307683471676987	0.3816190214655591	0.3363258945221149	0.3446856927105384	0.3485542201318804	0.2760163424065299	0.3088284006028017	0.33815335369933	0.3263064600944342	0.1986486414801828	0.1960274524017908	0.2760868747612423	0.0	0.23848863633699213	0.16645155345019275	0.3069875604169843	0.3145450727573135	0.33817245277271013	0.3017370533928283	0.26899756430026844	0.24174910642473224	0.20728417450027142	0.257245468267706	0.26396464179158025	0.30421126118415603	0.39362928148524645	0.4551218587741538	0.5946841193391238	0.6151909255550821	0.348117509265431	0.3849843289553144	0.4073801259037746	0.26355783517512216	0.36913137010446934	0.30873203752721	0.32848267892178573	0.2853663472894982	0.3081260200691708	0.31900044256093574	0.32252062031069073	0.32442551029233185	0.29285304912292975	0.37132601594989917	0.34350433056477936	0.3501190771685232	0.3546253626680339	0.2792918828318487	0.2729163503111083	0.25162833586440037	0.3384839427702939	0.35957328615336626	0.3453656847413973	0.28968912350946235	0.2668678253444652	0.28808519520533554
S13Hp	0.296991505784445	0.2830789907968092	0.29693255133905383	0.38818394342986373	0.3862611816143069	0.27392346389533395	0.35169846701026136	0.40254914130812175	0.3572560143646776	0.36561581255310105	0.3694843399744431	0.29694646224909255	0.32975852044536436	0.35908347354189263	0.34723657993699686	0.21957876132274545	0.21695757224435347	0.29701699460380493	0.23848863633699213	0.0	0.10901605650093817	0.32791768025954693	0.3354751925998762	0.3591025726152728	0.32266717323539096	0.2899276841428311	0.2626792262672949	0.22821429434283408	0.27817558811026866	0.2848947616341429	0.3251413810267187	0.4145594013278091	0.47605197861671644	0.6156142391816865	0.6361210453976448	0.36904762910799366	0.4059144487978771	0.42831024574633725	0.2844879550176848	0.390061489947032	0.32966215736977267	0.3494127987643484	0.3062964671320609	0.32905613991173344	0.3399305624034984	0.3434507401532534	0.3453556301348945	0.3137831689654924	0.3922561357924618	0.364434450407342	0.37104919701108585	0.37555548251059656	0.30022200267441135	0.29384647015367094	0.272558455706963	0.3594140626128566	0.3805034059959289	0.36629580458395994	0.310619243352025	0.28779794518702784	0.3090153150478982
