	31749	530119	530258	S9H1	31512	531414	31557	s24H1	S31Hp	S30H1	f20ppA	f16ppA	f1pp	f8pp	f4pp	f21pp	31071	530074	S19H1	S3Hp	31219	530055	31379	S13Hp	31267
f16ppA	0.4619549388153155	0.4545224563558788	0.45165954141747006	0.4527597587426693	0.4770589911741855	0.4957062204842624	0.5198747718238458	0.4466844362736737	0.4478627412902799	0.4258625902775197	0.06253288207506068	0.0	0.11056170359382697	0.08966346690653182	0.12451091763655657	0.134347566615885	0.4285969031363082	0.6396018284403929	0.6970652247242483	0.4062673189164024	0.46358836386081637	0.4615663674468828	0.43396065900656333	0.48936867702308107	0.44637150333907105
f1pp	0.43833892715946016	0.4309064447000234	0.4280435297616147	0.42914374708681396	0.4534429795183301	0.472090208828407	0.4962587601679904	0.42306842461781835	0.42424672963442456	0.40224657862166435	0.05152071113601812	0.11056170359382697	0.0	0.0530287157953379	0.08787616652536265	0.09771281550469109	0.40498089148045285	0.6159858167845376	0.6734492130683929	0.382651307260547	0.439972352204961	0.4379503557910274	0.41034464735070797	0.4657526653672257	0.4227554916832157
f8pp	0.417440690472165	0.41000820801272825	0.4071452930743195	0.40824551039951884	0.43254474283103495	0.45119197214111184	0.47536052348069524	0.4021701879305232	0.40334849294712943	0.3813483419343692	0.030622474448722972	0.08966346690653182	0.0530287157953379	0.0	0.05204639172592528	0.061883040705253724	0.38408265479315773	0.5950875800972424	0.6525509763810977	0.3617530705732519	0.4190741155176658	0.41705211910373224	0.3894464106634128	0.4448544286799305	0.4018572549959205
f4pp	0.45228814120218974	0.444855658742753	0.4419927438043443	0.44309296112954355	0.4673921935610597	0.4860394228711366	0.51020797421072	0.437017638660548	0.4381959436771542	0.41619579266439394	0.06546992517874772	0.12451091763655657	0.08787616652536265	0.05204639172592528	0.0	0.08778859120569882	0.41893010552318244	0.6299350308272671	0.6873984271111224	0.3966005213032766	0.4539215662476906	0.451899569833757	0.4242938613934376	0.47970187940995535	0.4367047057259453
f21pp	0.4621247901815182	0.45469230772208147	0.45182939278367273	0.452929610108872	0.47722884254038817	0.49587607185046506	0.5200446231900484	0.44685428763987645	0.44803259265648265	0.4260324416437224	0.07530657415807616	0.134347566615885	0.09771281550469109	0.061883040705253724	0.08778859120569882	0.0	0.4287667545025109	0.6397716798065956	0.6972350760904509	0.40643717028260506	0.46375821522701904	0.46173621881308546	0.43413051037276607	0.4895385283892838	0.44654135470527373
31071	0.34789145626199114	0.3404589738025544	0.3375960588641457	0.33869627618934495	0.3629955086208611	0.381642737930938	0.4058112892705214	0.3326209537203494	0.3337992587369556	0.31179910772419533	0.36955591067849936	0.4285969031363082	0.40498089148045285	0.38408265479315773	0.41893010552318244	0.4287667545025109	0.0	0.5014127598543554	0.5588761561382107	0.2680782503303648	0.34952488130749193	0.3475028848935584	0.31989717645323895	0.3753051944697567	0.33230802078574667
530074	0.5588963815660758	0.5514638991066392	0.5486009841682304	0.5497012014934297	0.5740004339249458	0.5926476632350227	0.6168162145746061	0.543625879024434	0.5448041840410403	0.52280403302828	0.580560835982584	0.6396018284403929	0.6159858167845376	0.5950875800972424	0.6299350308272671	0.6397716798065956	0.5014127598543554	0.0	0.14797083753511642	0.44146739370247046	0.5605298066115767	0.5585078101976431	0.5309021017573237	0.5863101197738414	0.5433129460898314
S19H1	0.6163597778499311	0.6089272953904945	0.6060643804520858	0.607164597777285	0.6314638302088011	0.650111059518878	0.6742796108584614	0.6010892753082894	0.6022675803248956	0.5802674293121354	0.6380242322664393	0.6970652247242483	0.6734492130683929	0.6525509763810977	0.6873984271111224	0.6972350760904509	0.5588761561382107	0.14797083753511642	0.0	0.4989307899863258	0.617993202895432	0.6159712064814984	0.588365498041179	0.6437735160576967	0.6007763423736867
S3Hp	0.3255618720420853	0.3181293895826486	0.31526647464423985	0.3163666919694391	0.3406659244009553	0.3593131537110322	0.3834817050506156	0.31029136950044356	0.31146967451704977	0.2894695235042895	0.3472263264585935	0.4062673189164024	0.382651307260547	0.3617530705732519	0.3966005213032766	0.40643717028260506	0.2680782503303648	0.44146739370247046	0.4989307899863258	0.0	0.3271952970875861	0.3251733006736526	0.2975675922333331	0.35297561024985086	0.30997843656584084
31219	0.32737948046646187	0.31994699800702514	0.3170840830686164	0.3555625298499585	0.3798617622814747	0.3985089915915516	0.422677542931135	0.34948720738096295	0.35066551239756916	0.32866536138480895	0.40454737140300745	0.46358836386081637	0.439972352204961	0.4190741155176658	0.4539215662476906	0.46375821522701904	0.34952488130749193	0.5605298066115767	0.617993202895432	0.3271952970875861	0.0	0.3024186086969705	0.27481290025665106	0.3302209182731688	0.3117960449902174
530055	0.3253574840525283	0.31792500159309156	0.3150620866546828	0.353540533436025	0.3778397658675411	0.396486995177618	0.42065554651720144	0.34746521096702937	0.3486435159836356	0.3266433649708753	0.4025253749890739	0.4615663674468828	0.4379503557910274	0.41705211910373224	0.451899569833757	0.46173621881308546	0.3475028848935584	0.5585078101976431	0.6159712064814984	0.3251733006736526	0.3024186086969705	0.0	0.21729286406786846	0.30165563664071693	0.3097740485762838
31379	0.2977517756122089	0.29031929315277216	0.28745637821436343	0.32593482499570553	0.3502340574272217	0.3688812867372986	0.393049838076882	0.3198595025267099	0.3210378075433161	0.2990376565305559	0.37491966654875447	0.43396065900656333	0.41034464735070797	0.3894464106634128	0.4242938613934376	0.43413051037276607	0.31989717645323895	0.5309021017573237	0.588365498041179	0.2975675922333331	0.27481290025665106	0.21729286406786846	0.0	0.27404992820039753	0.2821683401359644
S13Hp	0.3531597936287266	0.3457273111692899	0.34286439623088116	0.38134284301222326	0.4056420754437394	0.4242893047538163	0.4484578560933997	0.37526752054322765	0.37644582555983386	0.35444567454707365	0.4303276845652722	0.48936867702308107	0.4657526653672257	0.4448544286799305	0.47970187940995535	0.4895385283892838	0.3753051944697567	0.5863101197738414	0.6437735160576967	0.35297561024985086	0.3302209182731688	0.30165563664071693	0.27404992820039753	0.0	0.33757635815248216
31267	0.2293378349333565	0.28504374881846456	0.2821808338800558	0.33834566932821325	0.3626449017597294	0.3812921310698063	0.4054606824093897	0.33227034685921764	0.33344865187582384	0.31144850086306364	0.3873305108812622	0.44637150333907105	0.4227554916832157	0.4018572549959205	0.4367047057259453	0.44654135470527373	0.33230802078574667	0.5433129460898314	0.6007763423736867	0.30997843656584084	0.3117960449902174	0.3097740485762838	0.2821683401359644	0.33757635815248216	0.0
