	f6ppA	w23pp	S22Hp	w26pp	w14pp	f12ppA	w9pp	w24pp	S14Hp	w28pp	w17pp
f6ppA	0.0	0.6163491102927687	0.511816723107321	0.4592521257484251	0.3697848351729389	0.3960282987607573	0.5677850867793066	0.525424410020467	1.4602692315589119	0.5478866025989937	0.43670539104063205
w23pp	0.6163491102927687	0.0	0.3726693931171038	0.38948550741826515	0.41242297500022723	0.4936675008846263	0.6654242889031756	0.623063612144336	1.5579084336827806	0.6455258047228627	0.534344593164501
S22Hp	0.511816723107321	0.3726693931171038	0.0	0.2849531202328174	0.3078905878147794	0.3891351136991784	0.5608919017177278	0.5185312249588881	1.4533760464973329	0.5409934175374148	0.4298122059790532
w26pp	0.4592521257484251	0.38948550741826515	0.2849531202328174	0.0	0.25532599045588356	0.33657051634028257	0.5083273043588319	0.4659666275999923	1.4008114491384371	0.4884288201785189	0.37724760862015727
w14pp	0.3697848351729389	0.41242297500022723	0.3078905878147794	0.25532599045588356	0.0	0.24710322576479635	0.4188600137833457	0.37649933702450605	1.3113441585629508	0.39896152960303266	0.287780318044671
f12ppA	0.3960282987607573	0.4936675008846263	0.3891351136991784	0.33657051634028257	0.24710322576479635	0.0	0.41622634947184217	0.37386567271300253	1.3087104942514474	0.3963278652915292	0.28514665373316755
w9pp	0.5677850867793066	0.6654242889031756	0.5608919017177278	0.5083273043588319	0.4188600137833457	0.41622634947184217	0.0	0.42770607662871135	1.4416945218485369	0.5293118928886187	0.418130681330257
w24pp	0.525424410020467	0.623063612144336	0.5185312249588881	0.4659666275999923	0.37649933702450605	0.37386567271300253	0.42770607662871135	0.0	1.3993338450896973	0.48695121612977904	0.3757700045714174
S14Hp	1.4602692315589119	1.5579084336827806	1.4533760464973329	1.4008114491384371	1.3113441585629508	1.3087104942514474	1.4416945218485369	1.3993338450896973	0.0	1.2320128342502448	1.2431705392413661
w28pp	0.5478866025989937	0.6455258047228627	0.5409934175374148	0.4884288201785189	0.39896152960303266	0.3963278652915292	0.5293118928886187	0.48695121612977904	1.2320128342502448	0.0	0.3307879102814481
w17pp	0.43670539104063205	0.534344593164501	0.4298122059790532	0.37724760862015727	0.287780318044671	0.28514665373316755	0.418130681330257	0.3757700045714174	1.2431705392413661	0.3307879102814481	0.0
