	s25pp	s28pp	s7pp	s30pp	w4pp	s26pp	s1pp	s24pp	s29pp	f25pp	s27pp
s25pp	0.0	0.6792171542409979	1.088544690188513	1.0335428848231278	0.8409399938408895	0.41477374947107176	0.5968369903104311	0.2303572454251277	0.35352697362148205	0.3717969613540527	0.31402777854046526
s28pp	0.6792171542409979	0.0	0.885436545645159	0.830434740279774	0.6378318492975356	0.7829085121059232	0.9649717529452826	0.5984920080599792	0.7216617362563335	0.7813104274342505	0.8019716908713805
s7pp	1.088544690188513	0.885436545645159	0.0	0.5296614241500347	0.5997065359266331	1.1922360480534382	1.3742992888927976	1.0078195440074942	1.1309892722038486	1.1906379633817656	1.2112992268188956
s30pp	1.0335428848231278	0.830434740279774	0.5296614241500347	0.0	0.5447047305612481	1.1372342426880533	1.3192974835274125	0.9528177386421092	1.0759874668384635	1.1356361580163805	1.1562974214535107
w4pp	0.8409399938408895	0.6378318492975356	0.5997065359266331	0.5447047305612481	0.0	0.9446313517058147	1.1266945925451741	0.7602148476598707	0.883384575856225	0.943033267034142	0.9636945304712721
s26pp	0.41477374947107176	0.7829085121059232	1.1922360480534382	1.1372342426880533	0.9446313517058147	0.0	0.4187822665468643	0.2991329009449897	0.42230262914134403	0.5168670226643244	0.5375282861014543
s1pp	0.5968369903104311	0.9649717529452826	1.3742992888927976	1.3192974835274125	1.1266945925451741	0.4187822665468643	0.0	0.48119614178434905	0.6043658699807034	0.6989302635036837	0.7195915269408137
s24pp	0.2303572454251277	0.5984920080599792	1.0078195440074942	0.9528177386421092	0.7602148476598707	0.2991329009449897	0.48119614178434905	0.0	0.1972299304042185	0.33245051861838026	0.3531117820555103
s29pp	0.35352697362148205	0.7216617362563335	1.1309892722038486	1.0759874668384635	0.883384575856225	0.42230262914134403	0.6043658699807034	0.1972299304042185	0.0	0.4556202468147346	0.47628151025186466
f25pp	0.3717969613540527	0.7813104274342505	1.1906379633817656	1.1356361580163805	0.943033267034142	0.5168670226643244	0.6989302635036837	0.33245051861838026	0.4556202468147346	0.0	0.4945514979844353
s27pp	0.31402777854046526	0.8019716908713805	1.2112992268188956	1.1562974214535107	0.9636945304712721	0.5375282861014543	0.7195915269408137	0.3531117820555103	0.47628151025186466	0.4945514979844353	0.0
