	S31Hp	S19H1	530055	w1pp	f10pp	w19pp	w15pp	w32pp	f28pp	f13pp	w21pp	f24pp	w25pp	w31pp	f11pp	w22pp	w28pp	f12ppB	w17pp	w29pp	w12pp	f30pp	f26pp	f2pp	w11pp	w18pp	w23pp	f15pp	w8pp	f17ppB	w13pp	w10pp	w3pp	w26pp	f14ppA	w27pp	w2pp	f12ppA	31009
w21pp	0.945750017687863	0.9746768569070415	0.9871572309979226	0.10787566747123797	0.07960318867091858	0.09333956479413535	0.121581335226428	0.1070211660616576	0.10694855026384563	0.08474779979934084	0.0	0.05806703287979756	0.08455008517598155	0.07574849449559812	0.10285224127597042	0.0876190361743045	0.12245594856106923	0.12463114764784733	0.13591201975416417	0.11376879785229757	0.10872260550375185	0.14884380314470336	0.1054388586234242	0.11514282730672072	0.144508433566704	0.1304811557783787	0.10210350547345132	0.12866863048937882	0.1299530221533506	0.12215984673240883	0.09659970164899562	0.09537456133137678	0.10975431686950612	0.09662762598197967	0.10839996684585208	0.1182612081326734	0.13364013531889113	0.11683388859704325	0.9224546513137712
f24pp	0.8919471395034747	0.9208739787226532	0.9333543528135343	0.05407278928684966	0.025800310486530253	0.03953668660974702	0.06777845704203966	0.053218287877269274	0.05314567207945731	0.030944921614952527	0.05806703287979756	0.0	0.030747206991593227	0.02194561631120979	0.049049363091582115	0.03381615798991618	0.06865307037668092	0.07082826946345902	0.08210914156977585	0.05996591966790925	0.05491972731936352	0.09504092496031505	0.05163598043903589	0.061339949122332406	0.09070555538231567	0.0766782775939904	0.04830062728906301	0.07486575230499048	0.0761501439689623	0.06835696854802051	0.04279682346460731	0.041571683146988475	0.055951438685117816	0.042824747797591364	0.054597088661463775	0.0644583299482851	0.07983725713450282	0.06303101041265494	0.8686517731293829
w25pp	0.9018497242211465	0.930776563440325	0.9432569375312061	0.06397537400452141	0.035702895204202	0.049439271327418766	0.07768104175971141	0.06312087259494102	0.06851733445842259	0.046316583993917804	0.08455008517598155	0.030747206991593227	0.0	0.025234545326678764	0.05895194780925386	0.04371874270758794	0.07855565509435267	0.08073085418113077	0.09201172628744761	0.06986850438558101	0.06482231203703528	0.10494350967798681	0.06153856515670764	0.07124253384000416	0.10060814009998743	0.08658086231166216	0.05820321200673476	0.08476833702266225	0.08605272868663405	0.07825955326569227	0.052699408182279056	0.05147426786466023	0.06585402340278956	0.05272733251526312	0.06449967337913554	0.07436091466595685	0.08973984185217458	0.07293359513032668	0.8785543578470547
w31pp	0.8930481335407631	0.9219749727599416	0.9344553468508227	0.05517378332413797	0.026901304523818566	0.04063768064703534	0.06887945107932798	0.05431928191455759	0.05971574377803916	0.037514993313534375	0.07574849449559812	0.02194561631120979	0.025234545326678764	0.0	0.05015035712887042	0.034917152027204496	0.06975406441396922	0.07192926350074733	0.08321013560706417	0.06106691370519756	0.056020721356651836	0.09614191899760337	0.0527369744763242	0.06244094315962072	0.09180654941960399	0.07777927163127872	0.04940162132635132	0.0759667463422788	0.07725113800625061	0.06945796258530883	0.043897817501895614	0.04267267718427679	0.05705243272240613	0.04392574183487968	0.055698082698752094	0.0655593239855734	0.08093825117179114	0.06413200444994324	0.8697527671666713
f11pp	0.8877443651174729	0.9166712043366514	0.9291515784275325	0.04987001490084778	0.03088822928619478	0.0524727269714111	0.08071449740370375	0.06615432823893336	0.08681949055841148	0.0646187400939067	0.10285224127597042	0.049049363091582115	0.05895194780925386	0.05015035712887042	0.0	0.02691567877810179	0.06445029599067904	0.06662549507745714	0.07790636718377397	0.05576314528190737	0.05071695293336165	0.09083815057431319	0.04743320605303401	0.05713717473633054	0.08650278099631381	0.07247550320798854	0.04409785290306113	0.07066297791898862	0.07194736958296043	0.06415419416201865	0.03859404907860543	0.0373689087609866	0.05174866429911594	0.03862197341158949	0.050394314275461906	0.06025555556228322	0.07563448274850096	0.05882823602665306	0.8644489987433811
w22pp	0.872511160015807	0.9014379992349855	0.9139183733258666	0.03463680979918186	0.01565502418452885	0.03723952186974517	0.06548129230203782	0.05092112313726743	0.07158628545674554	0.04938553499224077	0.0876190361743045	0.03381615798991618	0.04371874270758794	0.034917152027204496	0.02691567877810179	0.0	0.04921709088901311	0.05139228997579121	0.06267316208210805	0.04052994018024145	0.03548374783169572	0.07560494547264726	0.03220000095136809	0.041903969634664605	0.07126957589464789	0.05724229810632261	0.028864647801395207	0.05542977281732269	0.056714164481294495	0.048920989060352714	0.023360843976939504	0.022135703659320674	0.036515459197450015	0.023388768309923563	0.035161109173795974	0.0450223504606173	0.06040127764683502	0.04359503092498713	0.8492157936417152
w28pp	0.9000411231641166	0.928967962383295	0.9414483364741761	0.06216677294749148	0.05049193657129358	0.07207643425650989	0.10031820468880255	0.08575803552403216	0.10642319784351027	0.0842224473790055	0.12245594856106923	0.06865307037668092	0.07855565509435267	0.06975406441396922	0.06445029599067904	0.04921709088901311	0.0	0.04443592584353134	0.05571679794984818	0.033573576047981585	0.04940317652018409	0.08952437416113562	0.046119429639856456	0.05582339832315297	0.08518900458313625	0.07116172679481098	0.042784076489883575	0.06934920150581106	0.07063359316978286	0.06284041774884108	0.05089080712524913	0.0496656668076303	0.06404542234575963	0.05091873145823319	0.0626910723221056	0.07255231360892692	0.08793124079514465	0.07112499407329675	0.8767457567900248
f12ppB	0.9022163222508947	0.9311431614700731	0.9436235355609542	0.06434197203426958	0.052667135658071684	0.07425163334328799	0.10249340377558065	0.08793323461081026	0.10859839693028837	0.0863976464657836	0.12463114764784733	0.07082826946345902	0.08073085418113077	0.07192926350074733	0.06662549507745714	0.05139228997579121	0.04443592584353134	0.0	0.0514168182924538	0.03574677513375963	0.05157837560696219	0.09169957324791372	0.04829462872663456	0.057998597409931074	0.08736420366991435	0.07333692588158908	0.04495927557666168	0.07152440059258916	0.07280879225656096	0.06501561683561918	0.05306600621202723	0.0518408658944084	0.06622062143253774	0.05309393054501129	0.06486627140888371	0.07472751269570502	0.09010643988192275	0.07330019316007486	0.8789209558768029
w17pp	0.9134971943572116	0.94242403357639	0.9549044076672711	0.07562284414058643	0.06394800776438851	0.08553250544960483	0.11377427588189748	0.0992141067171271	0.1198792690366052	0.09767851857210044	0.13591201975416417	0.08210914156977585	0.09201172628744761	0.08321013560706417	0.07790636718377397	0.06267316208210805	0.05571679794984818	0.0514168182924538	0.0	0.04702764724007646	0.06285924771327903	0.10298044535423057	0.05957550083295139	0.06927946951624792	0.09864507577623119	0.08461779798790592	0.05624014768297851	0.082805272698906	0.08408966436287779	0.07629648894193602	0.06434687831834407	0.06312173800072524	0.07750149353885458	0.06437480265132813	0.07614714351520054	0.08600838480202186	0.1013873119882396	0.0845810652663917	0.8902018279831198
w29pp	0.8913539724553449	0.9202808116745234	0.9327611857654045	0.05347962223871982	0.04180478586252192	0.06338928354773823	0.09163105398003088	0.0770708848152605	0.0977360471347386	0.07553529667023384	0.11376879785229757	0.05996591966790925	0.06986850438558101	0.06106691370519756	0.05576314528190737	0.04052994018024145	0.033573576047981585	0.03574677513375963	0.04702764724007646	0.0	0.040716025811412426	0.08083722345236397	0.03743227893108479	0.047136247614381316	0.07650185387436459	0.06247457608603932	0.03409692578111191	0.0606620507970394	0.061946442461011206	0.054153267040069425	0.04220365641647747	0.040978516098858636	0.05535827163698798	0.042231580749461525	0.054003921613333936	0.06386516290015526	0.07924409008637298	0.0624378433645251	0.8680586060812531
