	f7pp	f25pp	w24pp	f22ppB	w28pp	f32pp	f30pp	f9pp	w25pp	w8pp	w1pp	F7H1	w13pp	f13pp	w27pp	w4pp	w19pp	w14pp	S2Hp	f19pp	w16pp	f22ppA	w29pp	w11pp	w23pp	w15pp	w3pp	f2pp	f16ppA	f4pp	f12ppB	f24pp	f14ppA	f23ppA	w9pp	f6ppB	f21pp	f11pp	w17pp	f20ppA	f1pp	f8pp	f14ppB
w1pp	0.48036585282062283	0.4182946692306323	0.3650017949087988	0.322851097657853	0.34637057569155394	0.3733060880756269	0.3195526230340892	0.44327098226281303	0.32136523325302985	0.2119181486845092	0.0	0.38732492150143233	0.19554270144947264	0.27560608525435326	0.25102391577955385	0.22579838973312955	0.356740278814882	0.3276732992230877	0.4551398977306863	0.37813932698482655	0.3575843385607916	0.30891010745843317	0.4354696214079348	0.3908356955836648	0.3481082054682726	0.4590078537675253	0.2561058846541523	0.2949442731269878	0.4953918276627558	0.2905921226249782	0.3123736259753401	0.33657062843272284	0.39280038068822964	0.45052269949730794	0.46322604795659894	0.3852576988702418	0.5090306746130734	0.38261665828533775	0.6099889068737381	0.34367926469188287	0.3473025805389371	0.42767528393178605	0.45800715005183934
F7H1	0.6594162225613607	0.5973450389713701	0.5440521646495365	0.5019014673985909	0.5254209454322918	0.5523564578163647	0.498602992774827	0.6223213520035509	0.5004156029937676	0.390968518425247	0.38732492150143233	0.0	0.37459307119021046	0.45465645499509105	0.43007428552029164	0.40484875947386734	0.5357906485556198	0.5067236689638255	0.6341902674714242	0.5571896967255643	0.5366347083015294	0.4879604771991709	0.6145199911486726	0.5698860653244027	0.5271585752090103	0.638058223508263	0.43515625439489014	0.4739946428677256	0.6744421974034935	0.469642492365716	0.49142399571607787	0.5156209981734606	0.5718507504289674	0.6295730692380457	0.6422764176973367	0.5643080686109796	0.6880810443538111	0.5616670280260755	0.7890392766144758	0.5227296344326207	0.5263529502796749	0.6067256536725238	0.6370575197925771
w13pp	0.4256223501908131	0.3635511666008226	0.3102582922789891	0.26810759502804327	0.29162707306174424	0.31856258544581717	0.2648091204042795	0.3885274796330033	0.26662173062322014	0.1571746460546995	0.19554270144947264	0.37459307119021046	0.0	0.22086258262454353	0.19628041314974412	0.1710548871033198	0.30199677618507226	0.272929796593278	0.40039639510087655	0.3233958243550168	0.3028408359309819	0.2541666048286234	0.3807261187781251	0.33609219295385506	0.29336470283846283	0.4042643511377155	0.2013623820243426	0.24020077049717803	0.44064832503294604	0.23584861999516846	0.25763012334553037	0.28182712580291314	0.3380568780584199	0.3957791968674982	0.4084825453267892	0.3305141962404321	0.4542871719832636	0.327873155655528	0.5552454042439283	0.2889357620620731	0.2925590779091274	0.37293178130197635	0.4032636474220296
f13pp	0.4723504987224886	0.41027931513249805	0.35698644081066455	0.3148357435597188	0.3383552215934197	0.3652907339774926	0.31153726893595496	0.4352556281646788	0.3133498791548956	0.20390279458637495	0.27560608525435326	0.45465645499509105	0.22086258262454353	0.0	0.2430085616814196	0.2177830356349953	0.34872492471674776	0.31965794512495344	0.44712454363255205	0.3701239728866923	0.34956898446265733	0.3008947533602989	0.4274542673098006	0.38282034148553057	0.34009285137013834	0.45099249966939103	0.24809053055601807	0.28692891902885354	0.48737647356462155	0.28257676852684394	0.3043582718772058	0.3285552743345886	0.3847850265900954	0.4425073453991737	0.4552106938584647	0.37724234477210755	0.5010153205149391	0.3746013041872035	0.6019735527756038	0.3356639105937486	0.33928722644080284	0.4196599298336518	0.4499917959537051
w27pp	0.4178604444954852	0.3557892609054947	0.3024963865836612	0.2603456893327154	0.2838651673664163	0.31080067975048925	0.2570472147089516	0.3807655739376754	0.2588598249278922	0.17615594200444706	0.25102391577955385	0.43007428552029164	0.19628041314974412	0.2430085616814196	0.0	0.11347316844353475	0.2942348704897444	0.26516789089795006	0.3926344894055487	0.31563391865968893	0.29507893023565396	0.24640469913329552	0.3729642130827972	0.3283302872585272	0.28560279714313497	0.39650244544238766	0.1936004763290147	0.23243886480185016	0.4328864193376182	0.22808671429984057	0.24986821765020245	0.2740652201075852	0.330294972363092	0.3880172911721703	0.4007206396314613	0.3227522905451042	0.44652526628793576	0.32011124996020013	0.5474834985486005	0.28117385636674525	0.28479717221379947	0.36516987560664843	0.39550174172670166
w4pp	0.39263491844906084	0.33056373485907037	0.2772708605372369	0.2351201632862911	0.258639641319992	0.28557515370406494	0.23182168866252728	0.35554004789125115	0.23363429888146792	0.15093041595802276	0.22579838973312955	0.40484875947386734	0.1710548871033198	0.2177830356349953	0.11347316844353475	0.0	0.26900934444332003	0.23994236485152576	0.3674089633591244	0.29040839261326457	0.26985340418922965	0.2211791730868712	0.3477386870363729	0.3031047612121029	0.2603772710967106	0.37127691939596336	0.1683749502825904	0.20721333875542586	0.40766089329119387	0.20286118825341626	0.22464269160377814	0.2488396940611609	0.30506944631666766	0.36279176512574596	0.37549511358503695	0.2975267644986799	0.4212997402415114	0.29488572391377577	0.5222579725021761	0.25594833032032094	0.25957164616737516	0.3399443495602241	0.37027621568027735
w19pp	0.4965109730107546	0.43443978942076406	0.38114691509893056	0.33899621784798484	0.36251569588168575	0.38945120826575863	0.335697743224221	0.45941610245294484	0.3375103534431616	0.2818723050397752	0.356740278814882	0.5357906485556198	0.30199677618507226	0.34872492471674776	0.2942348704897444	0.26900934444332003	0.0	0.26924576419378676	0.3967123627013854	0.3612088113472077	0.3406538229231728	0.29197959182081434	0.41853910577031606	0.373905179946046	0.33117768983065377	0.4420773381299065	0.2722510048442841	0.31108939331711954	0.5115369478528875	0.30673724281510995	0.32851874616547183	0.3527157486228546	0.40894550087836135	0.46666781968743964	0.47937116814673064	0.40140281906037356	0.5251757948032051	0.39876177847546945	0.6261340270638698	0.3598243848820146	0.36344770072906885	0.4438204041219178	0.47415227024197104
w14pp	0.4674439934189603	0.4053728098289698	0.3520799355071363	0.3099292382561905	0.3334487162898914	0.36038422867396436	0.3066307636324267	0.43034912286115057	0.30844337385136733	0.2528053254479809	0.3276732992230877	0.5067236689638255	0.272929796593278	0.31965794512495344	0.26516789089795006	0.23994236485152576	0.26924576419378676	0.0	0.27033845443933224	0.33214183175541345	0.3115868433313785	0.26291261222902007	0.3894721261785217	0.3448382003542517	0.3021107102388595	0.4130103585381122	0.2431840252524898	0.28202241372532527	0.4824699682610933	0.27767026322331567	0.29945176657367756	0.3236487690310603	0.3798785212865671	0.43760084009564537	0.45030418855493637	0.3723358394685793	0.4961088152114108	0.3696947988836752	0.5970670474720756	0.33075740529022035	0.3343807211372746	0.41475342453012354	0.44508529065017677
S2Hp	0.5949105919265589	0.5328394083365684	0.4795465340147349	0.4373958367637891	0.4609153147974901	0.48785082718156303	0.4340973621400253	0.5578157213687491	0.4359099723589659	0.3802719239555795	0.4551398977306863	0.6341902674714242	0.40039639510087655	0.44712454363255205	0.3926344894055487	0.3674089633591244	0.3967123627013854	0.27033845443933224	0.0	0.45960843026301207	0.4390534418389771	0.3903792107366187	0.5169387246861203	0.4723047988618504	0.4295773087464581	0.5404769570457109	0.3706506237600884	0.4094890122329239	0.6099365667686919	0.4051368617309143	0.4269183650812762	0.45111536753865894	0.5073451197941657	0.565067438603244	0.577770787062535	0.4998024379761779	0.6235754137190095	0.49716139739127385	0.7245336459796742	0.45822400379781897	0.4618473196448732	0.5422200230377221	0.5725518891577754
f19pp	0.5179100211806992	0.45583883759070865	0.40254596326887515	0.36039526601792937	0.38391474405163034	0.4108502564357033	0.35709679139416556	0.4808151506228894	0.35890940161310614	0.3032713532097197	0.37813932698482655	0.5571896967255643	0.3233958243550168	0.3701239728866923	0.31563391865968893	0.29040839261326457	0.3612088113472077	0.33214183175541345	0.45960843026301207	0.0	0.34139483733624765	0.29272060623388924	0.4192801201833909	0.37464619435912094	0.33191870424372866	0.4428183525429814	0.29365005301422864	0.3324884414870641	0.5329359960228321	0.32813629098505454	0.3499177943354164	0.3741147967927992	0.430344549048306	0.4880668678573843	0.5007702163166753	0.42280186723031815	0.5465748429731497	0.4201608266454141	0.6475330752338144	0.3812234330519592	0.38484674889901344	0.4652194522918624	0.4955513184119157
w16pp	0.4973550327566642	0.4352838491666737	0.3819909748448402	0.33984027759389446	0.36335975562759537	0.39029526801166825	0.3365418029701306	0.46026016219885446	0.3383544131890712	0.2827163647856848	0.3575843385607916	0.5366347083015294	0.3028408359309819	0.34956898446265733	0.29507893023565396	0.26985340418922965	0.3406538229231728	0.3115868433313785	0.4390534418389771	0.34139483733624765	0.0	0.13895414576734733	0.28531783835519164	0.24068391253092164	0.2790357384234722	0.389935386722725	0.2730950645901937	0.31193345306302916	0.5123810075987971	0.30758130256101957	0.32936280591138145	0.3535598083687642	0.40978956062427097	0.46751187943334926	0.48021522789264026	0.4022468788062832	0.5260198545491147	0.3996058382213791	0.6269780868097794	0.36066844462792425	0.36429176047497847	0.44466446386782743	0.47499632998788066
f22ppA	0.4486808016543058	0.38660961806431526	0.33331674374248177	0.291166046491536	0.3146855245252369	0.3416210369093098	0.2878675718677722	0.411585931096496	0.28968018208671276	0.23404213368332633	0.30891010745843317	0.4879604771991709	0.2541666048286234	0.3008947533602989	0.24640469913329552	0.2211791730868712	0.29197959182081434	0.26291261222902007	0.3903792107366187	0.29272060623388924	0.13895414576734733	0.0	0.2366436072528332	0.1920096814285632	0.23036150732111377	0.3412611556203665	0.22442083348783526	0.2632592219606707	0.46370677649643877	0.25890707145866115	0.28068857480902304	0.3048855772664058	0.36111532952191255	0.41883764833099085	0.43154099679028185	0.3535726477039247	0.4773456234467563	0.35093160711902066	0.578303855707421	0.3119942135255658	0.31561752937262005	0.39599023276546896	0.4263220988855223
w29pp	0.5752403156038075	0.513169132013817	0.4598762576919834	0.4177255604410377	0.4412450384747386	0.4681805508588115	0.41442708581727383	0.5381454450459977	0.41623969603621447	0.36060164763282804	0.4354696214079348	0.6145199911486726	0.3807261187781251	0.4274542673098006	0.3729642130827972	0.3477386870363729	0.41853910577031606	0.3894721261785217	0.5169387246861203	0.4192801201833909	0.28531783835519164	0.2366436072528332	0.0	0.16805024013225434	0.3569210212706154	0.46782066956986823	0.35098034743733697	0.3898187359101724	0.5902662904459404	0.3854665854081628	0.4072480887585247	0.43144509121590746	0.4876748434714142	0.5453971622804925	0.5581005107397835	0.4801321616534264	0.603905137396258	0.4774911210685223	0.7048633696569226	0.4385537274750675	0.4421770433221217	0.5225497467149707	0.5528816128350239
w11pp	0.5306063897795374	0.4685352061895469	0.4152423318677134	0.37309163461676764	0.3966111126504686	0.42354662503454155	0.36979315999300383	0.49351151922172765	0.3716057702119444	0.31596772180855803	0.3908356955836648	0.5698860653244027	0.33609219295385506	0.38282034148553057	0.3283302872585272	0.3031047612121029	0.373905179946046	0.3448382003542517	0.4723047988618504	0.37464619435912094	0.24068391253092164	0.1920096814285632	0.16805024013225434	0.0	0.3122870954463455	0.4231867437455982	0.3063464216130669	0.3451848100859024	0.5456323646216704	0.3408326595838928	0.3626141629342547	0.38681116539163746	0.44304091764714426	0.5007632364562226	0.5134665849155136	0.4354982358291564	0.559271211571988	0.43285719524425237	0.6602294438326527	0.3939198016507975	0.3975431174978517	0.47791582089070067	0.508247687010754
w23pp	0.48787889966414516	0.42580771607415463	0.37251484175232114	0.3303641445013754	0.3538836225350763	0.3808191349191492	0.3270656698776116	0.4507840291063354	0.3288782800965522	0.27324023169316575	0.3481082054682726	0.5271585752090103	0.29336470283846283	0.34009285137013834	0.28560279714313497	0.2603772710967106	0.33117768983065377	0.3021107102388595	0.4295773087464581	0.33191870424372866	0.2790357384234722	0.23036150732111377	0.3569210212706154	0.3122870954463455	0.0	0.3804572536292059	0.2636189314976747	0.3024573199705101	0.5029048745062781	0.2981051694685005	0.3198866728188624	0.34408367527624517	0.4003134275317519	0.4580357463408302	0.4707390948001212	0.39277074571376414	0.5165437214565957	0.39012970512886	0.6175019537172604	0.3511923115354052	0.3548156273824594	0.4351883307753084	0.4655201968953616
w15pp	0.5987785479633979	0.5367073643734074	0.4834144900515739	0.4412637928006281	0.4647832708343291	0.491718783218402	0.4379653181768643	0.5616836774055881	0.4397779283958049	0.3841398799924185	0.4590078537675253	0.638058223508263	0.4042643511377155	0.45099249966939103	0.39650244544238766	0.37127691939596336	0.4420773381299065	0.4130103585381122	0.5404769570457109	0.4428183525429814	0.389935386722725	0.3412611556203665	0.46782066956986823	0.4231867437455982	0.3804572536292059	0.0	0.3745185797969274	0.41335696826976287	0.6138045228055309	0.40900481776775327	0.43078632111811516	0.4549833235754979	0.5112130758310047	0.568935394640083	0.581638743099374	0.5036703940130169	0.6274433697558485	0.5010293534281128	0.7284016020165132	0.46209195983465795	0.46571527568171217	0.5460879790745612	0.5764198451946144
