	f12ppB	f4pp	f6ppB	f29pp	f9pp	f2pp	S6Hp	w6pp	S1Hp	S15Hp	f18pp	f1pp	f23ppA	f8pp	f12ppA	f15pp	f21pp	w3pp	w16pp	F14H1B	f16ppB	f16ppA	f32pp	w9pp	f22ppA	f31pp	S18H1	S13Hp	f30pp	f20ppB	f22ppB	f17ppA	f13pp	f6ppA	F7H1
f18pp	0.2490307805743286	0.24063437863130283	0.31356981894034863	0.31009991810811266	0.22267401973817894	0.33678951193908313	0.3686288767807389	0.3069587398483537	0.3644307875084948	0.3122353424214446	0.0	0.2250103251746039	0.30440178841381493	0.2289954118186045	0.23148497747560687	0.30253620805781833	0.26168006249891573	0.2657426213078292	0.3809838204117285	0.43991793032815274	0.3389495250960476	0.2981992699321375	0.31158258900916125	0.33932878695602914	0.3269013007769021	0.2668092149202381	0.35045833364701956	0.32131279056100914	0.3805258004193259	0.4159972594052951	0.3909492200778781	0.2848184903545964	0.2863213046522648	0.2863490824479612	0.3348662948578971
f1pp	0.2169509289497133	0.2382599567333476	0.3111953970423934	0.30772549621015743	0.22029959784022374	0.3344150900411279	0.36625445488278374	0.3045843179503985	0.3620563656105396	0.39338664386703687	0.2250103251746039	0.0	0.23955256896661808	0.16414619237140762	0.1994051258509916	0.27045635643320304	0.22960021087430044	0.23366276968321392	0.3489039687871132	0.40783807870353744	0.3068696734714323	0.2661194183075222	0.27950273738454595	0.30724893533141384	0.2948214491522868	0.23472936329562283	0.31837848202240426	0.28923293893639385	0.3484459487947106	0.3839174077806798	0.3588693684532628	0.25273863872998115	0.25424145302764956	0.25426923082334596	0.30278644323328185
f23ppA	0.29634239218892433	0.31765141997255864	0.39058686028160444	0.3871169594493685	0.2996910610794348	0.413806553280339	0.4456459181219948	0.3839757811896095	0.44144782884975065	0.4727781071062479	0.30440178841381493	0.23955256896661808	0.0	0.1981987519748059	0.2787965890902026	0.3498478196724141	0.30899167411351147	0.31305423292242496	0.42829543202632425	0.4872295419427485	0.3862611367106433	0.34551088154673326	0.358894200623757	0.3866403985706249	0.37421291239149784	0.31412082653483386	0.3977699452616153	0.3686244021756049	0.4278374120339216	0.4633088710198908	0.4382608316924738	0.3321301019691921	0.33363291626686054	0.33366069406255694	0.38217790647249283
f8pp	0.2209360155937139	0.2422450433773482	0.315180483686394	0.3117105828541581	0.22428468448422434	0.33840017668512856	0.37023954152678434	0.3085694045943991	0.3660414522545402	0.39737173051103747	0.2289954118186045	0.16414619237140762	0.1981987519748059	0.0	0.2033902124949922	0.27444144307720364	0.23358529751830104	0.23764785632721452	0.3528890554311138	0.41182316534753804	0.3108547601154329	0.27010450495152283	0.28348782402854655	0.31123402197541444	0.2988065357962874	0.23871444993962343	0.32236356866640486	0.29321802558039445	0.3524310354387112	0.3879024944246804	0.3628544550972634	0.25672372537398175	0.25822653967165016	0.2582543174673465	0.30677152987728246
f12ppA	0.2222858505115931	0.24473460903435057	0.3176700493433964	0.31420014851116046	0.2267742501412267	0.34088974234213093	0.37272910718378677	0.31105897025140145	0.36853101791154264	0.3998612961680399	0.23148497747560687	0.1994051258509916	0.2787965890902026	0.2033902124949922	0.0	0.1790949160270087	0.19716120026436623	0.20122375907327972	0.316464958177179	0.37539906809360324	0.2744306628614981	0.23368040769758802	0.24706372677461175	0.27480992472147964	0.2623824385423526	0.20229035268568862	0.28593947141247006	0.25679392832645964	0.3160069381847764	0.3514783971707456	0.3264303578433286	0.23486962430305003	0.23637243860071844	0.23640021639641481	0.28491742880635074
f15pp	0.2933370810938046	0.31578583961656204	0.38872127992560784	0.3852513790933719	0.2978254807234382	0.4119409729243424	0.44378033776599823	0.3821102008336129	0.4395822484937541	0.47091252675025136	0.30253620805781833	0.27045635643320304	0.3498478196724141	0.27444144307720364	0.1790949160270087	0.0	0.26821243084657764	0.27227498965549113	0.3875161887593904	0.44645029867581465	0.34548189344370955	0.30473163827979943	0.31811495735682316	0.3458611553036911	0.33343366912456407	0.27334158326790003	0.3569907019946815	0.3278451589086711	0.38705816876698784	0.422529627752957	0.39748158842554004	0.30592085488526144	0.30742366918292985	0.30745144697862625	0.35596865938856215
f21pp	0.2524809355349019	0.27492969405765944	0.3478651343667052	0.34439523353446927	0.2569693351645356	0.3710848273654398	0.40292419220709563	0.3412540552747103	0.39872610293485145	0.4300563811913487	0.26168006249891573	0.22960021087430044	0.30899167411351147	0.23358529751830104	0.19716120026436623	0.26821243084657764	0.0	0.1035308009783931	0.2778197503847298	0.33675386030115395	0.23578545506904885	0.19503519990513876	0.20841851898216252	0.2361647169290304	0.2531393754504291	0.19304728959376508	0.27669640832054654	0.24755086523453612	0.30676387509285286	0.342235334078822	0.31718729475140506	0.26506470932635884	0.26656752362402725	0.26659530141972365	0.31511251382965955
w3pp	0.2565434943438154	0.2789922528665729	0.35192769317561867	0.34845779234338276	0.26103189397344906	0.3751473861743533	0.4069867510160091	0.3453166140836238	0.40278866174376493	0.4341189400002622	0.2657426213078292	0.23366276968321392	0.31305423292242496	0.23764785632721452	0.20122375907327972	0.27227498965549113	0.1035308009783931	0.0	0.28188230919364327	0.34081641911006744	0.23984801387796237	0.19909775871405228	0.212481077791076	0.24022727573794392	0.25720193425934257	0.1971098484026786	0.28075896712946	0.25161342404344966	0.31082643390176634	0.3462978928877355	0.32124985356031854	0.2691272681352723	0.27063008243294073	0.27065786022863714	0.31917507263857303
w16pp	0.3717846934477147	0.3942334519704722	0.46716889227951797	0.46369899144728205	0.37627309307734835	0.4903885852782526	0.5222279501199084	0.4605578131875231	0.5180298608476642	0.5493601391041615	0.3809838204117285	0.3489039687871132	0.42829543202632425	0.3528890554311138	0.316464958177179	0.3875161887593904	0.2778197503847298	0.28188230919364327	0.0	0.3576921231462609	0.2567237179141558	0.24958475953678452	0.2629680786138083	0.32553851514465604	0.37244313336324186	0.3123510475065779	0.3960001662333593	0.36685462314734896	0.42606763300566564	0.4615390919916348	0.43649105266421784	0.3843684672391716	0.38587128153684	0.38589905933253643	0.4344162717424723
F14H1B	0.430718803364139	0.45316756188689644	0.5261030021959423	0.5226331013637063	0.4352072029937726	0.5493226951946768	0.5811620600363326	0.5194919231039473	0.5769639707640886	0.6082942490205858	0.43991793032815274	0.40783807870353744	0.4872295419427485	0.41182316534753804	0.37539906809360324	0.44645029867581465	0.33675386030115395	0.34081641911006744	0.3576921231462609	0.0	0.2414973997109012	0.3085188694532087	0.3219021885302325	0.38447262506108026	0.4313772432796661	0.37128515742300205	0.45493427614978355	0.42578873306377313	0.48500174292208986	0.520473201908059	0.49542516258064206	0.44330257715559584	0.44480539145326425	0.44483316924896066	0.49335038165889655
