	f22ppA	w21pp	w28pp	f14ppA	w15pp	f6ppB	f1pp	f16ppB	w9pp	f32pp	w16pp	f17ppA	f20ppB	f16ppA	f28pp	f3pp	f26pp	f19pp	f18pp	f15pp	f31pp	f30pp	f7pp	f25pp	f8pp	f4pp	f6ppA	s15pp	S1Hp	w17pp	f11pp	f21pp	f12ppB	f14ppB	s2pp	s1pp	s3pp	w3pp	w4pp	f29pp	f12ppA	f13pp	f9pp	w18pp	w12pp	w6pp
w16pp	0.4817916904278816	0.45505870776614604	0.4651101045310672	0.48518143416864196	0.49441995939495836	0.3667297975247704	0.3627203133231519	0.27415882504264655	0.39146378931255177	0.34835448024653953	0.0	0.233234781241031	0.3686895145986786	0.30374699525170756	0.44017615270058474	0.5792188454035794	0.49513880797113957	0.5757576015854033	0.5379667267751234	0.6693573853068954	0.5760156774519936	0.7598166496192621	0.5830715342196351	0.6044150851599679	0.5634811612781037	0.5630079916477884	0.5819056525847237	0.7356446550448555	0.7402737603805966	0.6574670846559751	0.657655815847325	0.41202821804873224	0.4363771843845445	0.42614979188623553	0.6573594781114471	0.5650489406021872	0.5664301464598731	0.4838110289503094	0.41334113061729993	0.4656818911367275	0.40306979963506867	0.3817293483487206	0.4162071183776309	0.4353442717505834	0.4905921574182634	0.4594644792562741
f17ppA	0.424196900582947	0.39746391792121144	0.4075153146861326	0.42758664432370735	0.43682516955002376	0.3091350076798358	0.3051255234782173	0.21656403519771195	0.3338689994676171	0.2907596904016049	0.233234781241031	0.0	0.2801866213370582	0.21524410199008714	0.3516732594389643	0.4907159521419589	0.40663591470951915	0.48725470832378287	0.449463833513503	0.580854492045275	0.4875127841903732	0.6713137563576417	0.4945686409580146	0.5159121918983474	0.4749782680164833	0.474505098386168	0.49340275932310323	0.6471417617832351	0.6517708671189761	0.5689641913943547	0.5691529225857046	0.3235253247871118	0.34787429112292406	0.3685550020413009	0.5997646882665125	0.5074541507572525	0.5088353566149384	0.4262162391053748	0.35574634077236533	0.4080871012917929	0.34547500979013407	0.324134558503786	0.3586123285326963	0.3777494819056488	0.4329973675733288	0.4018696894113395
f20ppB	0.5596516339405946	0.532918651278859	0.5429700480437802	0.563041377681355	0.5722799029076713	0.4445897410374834	0.4405802568358649	0.3520187685553595	0.46932373282526474	0.4262144237592525	0.3686895145986786	0.2801866213370582	0.0	0.26314036886487835	0.39956952631375553	0.53861221901675	0.4545321815843103	0.535150975198574	0.49736010038829415	0.6287507589200662	0.5354090510651643	0.7192100232324329	0.5424649078328058	0.5638084587731386	0.5228745348912744	0.5224013652609591	0.5412990261978944	0.6950380286580263	0.6996671339937673	0.6168604582691459	0.6170491894604958	0.37142159166190303	0.3957705579977152	0.5040097353989486	0.7352194216241601	0.6429088841149002	0.6442900899725861	0.5616709724630224	0.4912010741300129	0.5435418346494405	0.48092974314778164	0.45958929186143355	0.4940670618903439	0.5132042152632963	0.5684521009309764	0.5373244227689871
f16ppA	0.49470911459362354	0.467976131931888	0.47802752869680915	0.4980988583343839	0.5073373835607002	0.37964722169051235	0.37563773748889384	0.2870762492083885	0.4043812134782937	0.36127190441228146	0.30374699525170756	0.21524410199008714	0.26314036886487835	0.0	0.2655944399052321	0.40463713260822665	0.320557095175787	0.4011758887900506	0.36338501397977085	0.49477567251154275	0.40143396465664094	0.5852349368239095	0.40848982142428236	0.4298333723646153	0.38889944848275115	0.38842627885243586	0.4073239397893711	0.561062942249503	0.5656920475852439	0.4828853718606225	0.4830741030519724	0.23744650525337965	0.2617954715891919	0.43906721605197746	0.6702769022771891	0.5779663647679292	0.579347570625615	0.49672845311605135	0.42625855478304187	0.4785993153024694	0.4159872238008106	0.3946467725144625	0.42912454254337284	0.4482616959163253	0.5035095815840054	0.472381903422016
f28pp	0.6311382720425006	0.6044052893807651	0.6144566861456864	0.6345280157832611	0.6437665410095774	0.5160763791393895	0.512066894937771	0.42350540665726566	0.5408103709271709	0.49770106186115864	0.44017615270058474	0.3516732594389643	0.39956952631375553	0.2655944399052321	0.0	0.45165845243698866	0.367578415004549	0.4481972086188126	0.41040633380853286	0.5417969923403048	0.44845528448540295	0.6322562566526716	0.45551114125304437	0.4768546921933773	0.43592076831151316	0.43544759868119787	0.4543452596181331	0.608084262078265	0.612713367414006	0.5299066916893845	0.5300954228807344	0.2844678250821417	0.30881679141795393	0.5754963735008547	0.8067060597260662	0.7143955222168064	0.7157767280744922	0.6331576105649286	0.562687712231919	0.6150284727513466	0.5524163812496878	0.5310759299633396	0.56555369999225	0.5846908533652024	0.6399387390328825	0.6088110608708931
f3pp	0.7701809647454952	0.7434479820837597	0.753499378848681	0.7735707084862556	0.782809233712572	0.6551190718423842	0.6511095876407655	0.5625480993602603	0.6798530636301654	0.6367437545641532	0.5792188454035794	0.4907159521419589	0.53861221901675	0.40463713260822665	0.45165845243698866	0.0	0.28969671734809155	0.37031551096235527	0.3325246361520754	0.4639152946838474	0.3705735868289456	0.5543745589962141	0.377629443596587	0.3989729945369198	0.3580390706550557	0.3575659010247404	0.37646356196167563	0.5302025644218076	0.5348316697575486	0.4520249940329272	0.45221372522427705	0.24703938662873776	0.33809634560934826	0.7145390662038491	0.9457487524290608	0.8534382149198008	0.8548194207774866	0.772200303267923	0.7017304049349136	0.754071165454341	0.6914590739526822	0.6701186226663343	0.7045963926952445	0.7237335460681971	0.7789814317358771	0.7478537535738877
f26pp	0.6861009273130555	0.65936794465132	0.6694193414162413	0.6894906710538159	0.6987291962801323	0.5710390344099444	0.5670295502083258	0.4784680619278205	0.5957730261977257	0.5526637171317135	0.49513880797113957	0.40663591470951915	0.4545321815843103	0.320557095175787	0.367578415004549	0.28969671734809155	0.0	0.2556843855581006	0.21789351074782076	0.3492841692795927	0.2559424614246909	0.43974343359195955	0.2629983181923323	0.28434186913266524	0.2434079452508011	0.2429347756204858	0.261832436557421	0.415571439017553	0.4202005443532939	0.3373938686286725	0.33758259982002237	0.16295934919629806	0.25401630817690857	0.6304590287714095	0.8616687149966211	0.7693581774873611	0.770739383345047	0.6881202658354834	0.6176503675024738	0.6699911280219014	0.6073790365202426	0.5860385852338945	0.6205163552628048	0.6396535086357573	0.6949013943034373	0.663773716141448
f19pp	0.7667197209273192	0.7399867382655837	0.750038135030505	0.7701094646680796	0.779347989894396	0.6516578280242081	0.6476483438225895	0.5590868555420843	0.6763918198119894	0.6332825107459772	0.5757576015854033	0.48725470832378287	0.535150975198574	0.4011758887900506	0.4481972086188126	0.37031551096235527	0.2556843855581006	0.0	0.22817184523174197	0.35956250376351395	0.26622079590861214	0.45002176807588073	0.27327665267625356	0.2946202036165864	0.2536862797347223	0.253213110104407	0.2721107710413422	0.4258497735014742	0.43047887883721514	0.3476722031125937	0.3478609343039436	0.24357814281056173	0.33463510179117223	0.7110778223856731	0.9422875086108847	0.8499769711016247	0.8513581769593106	0.768739059449747	0.6982691611167375	0.750609921636165	0.6879978301345062	0.6666573788481582	0.7011351488770685	0.720272302250021	0.775520187917701	0.7443925097557117
f18pp	0.7289288461170393	0.7021958634553038	0.712247260220225	0.7323185898577997	0.7415571150841161	0.6138669532139283	0.6098574690123096	0.5212959807318044	0.6386009450017095	0.5954916359356973	0.5379667267751234	0.449463833513503	0.49736010038829415	0.36338501397977085	0.41040633380853286	0.3325246361520754	0.21789351074782076	0.22817184523174197	0.0	0.2396342091734922	0.14629250131859042	0.33009347348585905	0.15334835808623182	0.1746919090265647	0.13375798514470055	0.13328481551438526	0.1521824764513205	0.3059214789114525	0.3105505842471934	0.227743908522572	0.2279326397139219	0.2057872680002819	0.2968442269808924	0.6732869475753933	0.9044966338006049	0.812186096291345	0.8135673021490308	0.7309481846394672	0.6604782863064577	0.7128190468258853	0.6502069553242265	0.6288665040378784	0.6633442740667886	0.6824814274397412	0.7377293131074212	0.7066016349454318
f15pp	0.8603195046488111	0.8335865219870756	0.8436379187519969	0.8637092483895715	0.8729477736158879	0.7452576117457	0.7412481275440814	0.6526866392635762	0.7699916035334814	0.7268822944674692	0.6693573853068954	0.580854492045275	0.6287507589200662	0.49477567251154275	0.5417969923403048	0.4639152946838474	0.3492841692795927	0.35956250376351395	0.2396342091734922	0.0	0.2490737700814962	0.43287474224876477	0.2561296268491376	0.27747317778947045	0.23653925390760633	0.23606608427729103	0.25496374521422627	0.4087027476743582	0.4133318530100992	0.3305251772854778	0.3307139084768277	0.33717792653205386	0.42823488551266436	0.804677606107165	1.0358872923323768	0.9435767548231166	0.9449579606808025	0.8623388431712389	0.7918689448382294	0.8442097053576569	0.7815976138559981	0.7602571625696501	0.7947349325985604	0.813872085971513	0.869119971639193	0.8379922934772036
