	31071	31219	31129	530052	31750	31328	530295	530258	530451	530444	31600	31512	31343	530075	530055	31714	31300	530163	w21pp	w14pp	w32pp	f20ppB	f17ppA	w23pp	f15pp	f21pp	f8pp	f19pp	f7pp	f14ppB	f1pp	f2pp	F22H1A	S28Hp	31537	530368	31267	31637	S1Hp	530331	31360	530315	F7H1	31766	31700	31519	31160	S19H1	31428
31071	0.0	0.05113540256654762	0.15503463623848993	0.17412642197594622	0.31437658269795016	0.2980016475828011	0.3056977432544307	0.33714537164189035	0.3603724891048718	0.23427537256150927	0.3433287091121629	0.3160248793625211	0.3546220884808987	0.32786284280939815	0.36283991000026866	0.33289430068287323	0.3133364347527062	0.3259867572800459	0.3731827718854729	0.3833917445339897	0.3977295731464923	0.39300401957221454	0.3934543563411732	0.39243232506546777	0.39093122625319576	0.3905181521036308	0.39514252865125293	0.40007721797043455	0.3881971900286414	0.3871555331001808	0.37919352636523196	0.3786125268127158	0.508637302941299	0.3411444644052536	0.37294747982676285	0.3492658535211346	0.3550367386530829	0.36603807284924633	0.3542276286437978	0.3835166032933252	0.3523682605759402	0.35523256454544094	0.36123890024574445	0.33166233106175214	0.23861217619340394	0.2960595265616292	0.26207945835081925	0.04363094747543429	0.031539422111034214
31219	0.05113540256654762	0.0	0.14924900903160432	0.1683407947690606	0.3085909554910645	0.2922160203759155	0.2999121160475451	0.3313597444350047	0.35458686189798616	0.22848974535462366	0.33754308190527726	0.31023925215563547	0.3488364612740131	0.3220772156025125	0.357054282793383	0.3271086734759876	0.3075508075458206	0.32020113007316026	0.36739714467858725	0.3776061173271041	0.3919439459396067	0.3872183923653289	0.38766872913428757	0.38664669785858213	0.3851455990463101	0.38473252489674514	0.3893569014443673	0.3942915907635489	0.38241156282175576	0.38136990589329517	0.3734078991583463	0.37282689960583015	0.5028516757344135	0.33535883719836795	0.3671618526198772	0.34348022631424896	0.34925111144619725	0.3602524456423607	0.3484420014369122	0.3777309760864396	0.34658263336905454	0.3494469373385553	0.3554532730388588	0.3258767038548665	0.23282654898651833	0.29027389935474357	0.2562938311439336	0.054906204046158064	0.042814678681757985
31129	0.15503463623848993	0.14924900903160432	0.0	0.15072111412731265	0.3227344568041043	0.30635952168895525	0.31405561736058485	0.3455032457480445	0.3687303632110259	0.24263324666766342	0.35168658321831703	0.3243827534686753	0.36297996258705284	0.3362207169155523	0.3711977841064228	0.34125217478902736	0.32169430885886036	0.3343446313862	0.381540645991627	0.39174961864014385	0.40608744725264645	0.40136189367836866	0.40181223044732733	0.4007901991716219	0.3992891003593499	0.3988760262097849	0.40350040275740706	0.4084350920765887	0.3965550641347955	0.39551340720633493	0.3875514004713861	0.3869704009188699	0.5169951770474532	0.3495023385114077	0.381305353932917	0.3576237276272887	0.363394612759237	0.37439594695540046	0.36258550274995194	0.39187447739947934	0.3607261346820943	0.36359043865159507	0.3695967743518986	0.34002020516790626	0.2469700502995581	0.30441740066778333	0.2704373324569734	0.15880543771810038	0.1467139123537003
530052	0.17412642197594622	0.1683407947690606	0.15072111412731265	0.0	0.3418262425415606	0.32545130742641154	0.33314740309804114	0.36459503148550076	0.3878221489484822	0.2617250324051197	0.3707783689557733	0.3434745392061316	0.38207174832450913	0.35531250265300857	0.3902895698438791	0.36034396052648365	0.34078609459631665	0.3534364171236563	0.4006324317290833	0.41084140437760014	0.42517923299010274	0.42045367941582495	0.4209040161847836	0.4198819849090782	0.4183808860968062	0.4179678119472412	0.42259218849486335	0.42752687781404497	0.4156468498722518	0.4146051929437912	0.4066431862088424	0.4060621866563262	0.5360869627849094	0.368594124248864	0.40039713967037327	0.376715513364745	0.3824863984966933	0.39348773269285675	0.38167728848740823	0.41096626313693563	0.3798179204195506	0.38268222438905136	0.3886885600893549	0.35911199090536255	0.2660618360370144	0.3235091864052396	0.28952911819442967	0.17789722345555667	0.16580569809115658
31750	0.31437658269795016	0.3085909554910645	0.3227344568041043	0.3418262425415606	0.0	0.25226936401119293	0.2599654596828226	0.3642786200224257	0.3875057374854072	0.2614086209420447	0.3704619574926983	0.34315812774305654	0.38175533686143415	0.3549960911899335	0.38997315838080404	0.3600275490634086	0.3404696831332416	0.35312000566058127	0.40031602026600827	0.4105249929145251	0.4248628215270277	0.4201372679527499	0.4205876047217086	0.41956557344600315	0.4180644746337312	0.41765140048416616	0.4222757770317883	0.42721046635096993	0.41533043840917677	0.4142887814807162	0.4063267747457674	0.40574577519325117	0.5357705513218345	0.36827771278578897	0.40008072820729823	0.37639910190167	0.38216998703361826	0.3931713212297817	0.3813608770243332	0.4106498516738606	0.3795015089564756	0.3823658129259764	0.38837214862627983	0.3587955794422875	0.26574542457393935	0.3231927749421646	0.3382079113033153	0.3181473841775606	0.3060558588131605
31328	0.2980016475828011	0.2922160203759155	0.30635952168895525	0.32545130742641154	0.25226936401119293	0.0	0.11658478856563148	0.3479036849072767	0.37113080237025814	0.24503368582689566	0.35408702237754924	0.32678319262790745	0.36538040174628506	0.3386211560747845	0.37359822326565506	0.34365261394825963	0.32409474801809257	0.33674507054543223	0.38394108515085923	0.39415005779937606	0.40848788641187866	0.4037623328376009	0.40421266960655955	0.4031906383308541	0.4016895395185821	0.4012764653690172	0.4059008419166393	0.4108355312358209	0.39895550329402774	0.39791384636556715	0.3899518396306183	0.3893708400781022	0.5193956162066854	0.35190277767063993	0.38370579309214925	0.36002416678652094	0.3657950519184693	0.3767963861146327	0.36498594190918415	0.3942749165587116	0.3631265738413265	0.3659908778108273	0.3719972135111308	0.3424206443271385	0.2493704894587903	0.3068178398270156	0.32183297618816625	0.3017724490624116	0.28968092369801146
530295	0.3056977432544307	0.2999121160475451	0.31405561736058485	0.33314740309804114	0.2599654596828226	0.11658478856563148	0.0	0.3555997805789063	0.37882689804188774	0.25272978149852526	0.36178311804917884	0.3344792882995371	0.3730764974179147	0.3463172517464141	0.3812943189372846	0.3513487096198892	0.33179084368972217	0.34444116621706183	0.39163718082248883	0.40184615347100566	0.41618398208350826	0.4114584285092305	0.41190876527818915	0.4108867340024837	0.40938563519021176	0.4089725610406467	0.4135969375882689	0.4185316269074505	0.40665159896565733	0.40560994203719675	0.39764793530224796	0.39706693574973173	0.5270917118783149	0.35959887334226953	0.3914018887637788	0.36772026245815054	0.3734911475900988	0.3844924817862623	0.37268203758081375	0.40197101223034115	0.37082266951295617	0.37368697348245694	0.3796933091827604	0.3501167399987681	0.2570665851304199	0.31451393549864515	0.32952907185979585	0.3094685447340412	0.29737701936964106
530258	0.33714537164189035	0.3313597444350047	0.3455032457480445	0.36459503148550076	0.3642786200224257	0.3479036849072767	0.3555997805789063	0.0	0.28736042432590936	0.2169721287369121	0.3260254652875657	0.29872163553792397	0.3373188446563016	0.31055959898480096	0.34553666617567147	0.31559105685827604	0.324996266270379	0.33764658879771864	0.38484260340314563	0.39505157605166247	0.40938940466416507	0.4046638510898873	0.40511418785884595	0.4040921565831405	0.40259105777086857	0.4021779836213035	0.4068023601689257	0.4117370494881073	0.39985702154631414	0.39881536461785355	0.39085335788290476	0.39027235833038854	0.5202971344589717	0.35280429592292634	0.3846073113444356	0.36092568503880734	0.36669657017075563	0.3776979043669191	0.36588746016147056	0.39517643481099796	0.3858655439451708	0.3887298479146716	0.3947361836149751	0.36515961443098277	0.2721094595626346	0.3295568099308599	0.3609767002472555	0.3409161731215008	0.3288246477571007
530451	0.3603724891048718	0.35458686189798616	0.3687303632110259	0.3878221489484822	0.3875057374854072	0.37113080237025814	0.37882689804188774	0.28736042432590936	0.0	0.24019924619989355	0.34925258275054716	0.3219487530009054	0.360545962119283	0.3337867164477824	0.3687637836386529	0.3388181743212575	0.3482233837333604	0.3608737062607001	0.4080697208661271	0.4182786935146439	0.4326165221271465	0.42789096855286873	0.4283413053218274	0.42731927404612197	0.42581817523385	0.425405101084285	0.43002947763190713	0.43496416695108875	0.4230841390092956	0.422042482080835	0.4140804753458862	0.41349947579337	0.5435242519219532	0.3760314133859078	0.40783442880741705	0.3841528025017888	0.3899236876337371	0.40092502182990053	0.389114577624452	0.4184035522739794	0.40909266140815226	0.41195696537765303	0.41796330107795654	0.3883867318939642	0.29533657702561605	0.35278392739384135	0.38420381771023693	0.36414329058448225	0.35205176522008214
530444	0.23427537256150927	0.22848974535462366	0.24263324666766342	0.2617250324051197	0.2614086209420447	0.24503368582689566	0.25272978149852526	0.2169721287369121	0.24019924619989355	0.0	0.16807308909785754	0.14076925934821574	0.17936646846659338	0.15260722279509276	0.18758428998596333	0.1576386806685679	0.22212626718999792	0.23477658971733759	0.2819726043227646	0.29218157697128144	0.306519405583784	0.30179385200950626	0.30224418877846493	0.3012221575027595	0.2997210586904875	0.2993079845409225	0.3039323610885446	0.3088670504077262	0.2969870224659331	0.2959453655374725	0.2879833588025237	0.2874023592500075	0.4174271353785908	0.24993429684254528	0.2817373122640546	0.2580556859584263	0.2638265710903746	0.274827905286538	0.2630174610810895	0.29230643573061693	0.2829955448647898	0.28585984883429055	0.29186618453459406	0.26228961535060175	0.16923946048225358	0.22668681085047881	0.25810670116687445	0.23804617404111972	0.22595464867671966
