	f11pp	w1pp	f12ppA	w8pp	w28pp	f2pp	f4pp	31300	S9H1	f17ppB	w23pp	w24pp	w11pp	f30pp	w22pp	f31pp	w16pp	f16ppA	f1pp	w13pp	w3pp	w12pp	w31pp	w32pp	f23ppB	f6ppA	f14ppB	f15pp	f10pp	f8pp	w26pp	f26pp	w10pp	w17pp	S20H1	w20pp	w18pp	S21H1	w9pp	w29pp	w19pp	w27pp	f7pp	f21pp
w23pp	0.11244811257833297	0.0985835097712573	0.10337630603811086	0.15348018928855284	0.1310004345789962	0.13763435094098875	0.13776007679059407	1.0672834717648363	1.04282198219238	0.06220768274083447	0.0	0.06711311600426381	0.06219203551407293	0.08851693982417849	0.10933525899204138	0.1040325296657787	0.11779880251297589	0.11496724395745599	0.13468417914029313	0.10299836894401146	0.10363860951640298	0.1077462343242404	0.11194180218062565	0.11059928470421523	0.12105394809414671	0.13087099790562876	0.10263285476858608	0.1264226889205889	0.06258709203003525	0.08821492369308355	0.13116829227177476	0.14214400605754626	0.11347007156718837	0.11883298634408841	0.19184625179734383	0.12876404845853906	0.10849384571253928	0.20824540316803397	0.13709252842545988	0.11153274696783319	0.10059304153801027	0.16367508901498007	0.1035559331429627	0.10781603536589182
w24pp	0.14742799113043764	0.13356338832336195	0.13835618459021554	0.1884600678406575	0.1659803131311009	0.17261422949309344	0.17273995534269876	1.102263350316941	1.0778018607444848	0.09718756129293916	0.06711311600426381	0.0	0.09717191406617762	0.12349681837628318	0.1443151375441461	0.13901240821788338	0.15277868106508058	0.14994712250956066	0.1696640576923978	0.13797824749611615	0.13861848806850768	0.14272611287634507	0.14692168073273032	0.14557916325631992	0.1560338266462514	0.16585087645773344	0.13761273332069077	0.1614025674726936	0.09756697058213994	0.12319480224518824	0.16614817082387945	0.17712388460965095	0.14844995011929307	0.1538128648961931	0.22682613034944854	0.16374392701064375	0.14347372426464397	0.2432252817201387	0.17207240697756454	0.14651262551993788	0.13557292009011496	0.19865496756708473	0.13853581169506737	0.1427959139179965
w11pp	0.10474698640779748	0.0908823836007218	0.09567517986757537	0.14577906311801736	0.12329930840846072	0.12993322477045327	0.13005895062005857	1.059582345594301	1.0351208560218446	0.06849403482151117	0.06219203551407293	0.09717191406617762	0.0	0.07106472779016648	0.09188304695802937	0.0963314034952432	0.1100976763424404	0.1072661177869205	0.12698305296975765	0.09529724277347595	0.09593748334586749	0.1000451081537049	0.10424067601009016	0.10289815853367974	0.11335282192361122	0.12316987173509326	0.09493172859805057	0.11872156275005341	0.054885965859499765	0.08051379752254806	0.12346716610123927	0.13444287988701076	0.10576894539665288	0.11113186017355292	0.18414512562680835	0.12106292228800357	0.10079271954200378	0.2005442769974985	0.12939140225492438	0.1038316207972977	0.09289191536747476	0.15597396284444456	0.09585480697242721	0.10011490919535633
f30pp	0.131071890717903	0.11720728791082734	0.1220000841776809	0.1721039674281229	0.14962421271856624	0.1562581290805588	0.1563838549301641	1.0859072499044065	1.06144576033195	0.09481893913161672	0.08851693982417849	0.12349681837628318	0.07106472779016648	0.0	0.11037746410963507	0.12265630780534875	0.13642258065254595	0.13359102209702606	0.15330795727986318	0.12162214708358152	0.12226238765597304	0.12637001246381047	0.13056558032019572	0.1292230628437853	0.13967772623371677	0.1494947760451988	0.12125663290815614	0.14504646706015895	0.0812108701696053	0.10683870183265361	0.14979207041134482	0.16076778419711632	0.13209384970675841	0.13745676448365846	0.21047002993691388	0.14738782659810912	0.12711762385210934	0.22686918130760403	0.15571630656502994	0.13015652510740325	0.11921681967758033	0.18229886715455013	0.12217971128253274	0.12643981350546185
w22pp	0.15189020988576593	0.13802560707869024	0.1428184033455438	0.1929222865959858	0.17044253188642916	0.17707644824842173	0.17720217409802702	1.1067255690722693	1.082264079499813	0.11563725829947963	0.10933525899204138	0.1443151375441461	0.09188304695802937	0.11037746410963507	0.0	0.14347462697321167	0.15724089982040884	0.15440934126488895	0.1741262764477261	0.1424404662514444	0.14308070682383595	0.14718833163167336	0.1513838994880586	0.15004138201164818	0.1604960454015797	0.1703130952130617	0.14207495207601903	0.16586478622802187	0.10202918933746821	0.1276570210005165	0.1706103895792077	0.1815861033649792	0.15291216887462133	0.15827508365152138	0.2312883491047768	0.16820614576597204	0.14793594301997223	0.24768750047546695	0.17653462573289283	0.15097484427526614	0.14003513884544322	0.20311718632241302	0.14299803045039566	0.14725813267332477
f31pp	0.131861626275935	0.11799702346885933	0.1227898197357129	0.17289370298615486	0.15041394827659826	0.1570478646385908	0.15717359048819612	1.0866969854624384	1.0622354958899822	0.11033452897321692	0.1040325296657787	0.13901240821788338	0.0963314034952432	0.12265630780534875	0.14347462697321167	0.0	0.10086545189521684	0.09803389333969692	0.12668195119746412	0.09499614100118245	0.09651958355338613	0.10780758195202363	0.11907432245201702	0.11773180497560659	0.12818646836553807	0.1380035181770201	0.10976537503997744	0.13355520919198027	0.0820006057276373	0.1076284373906856	0.15058180596937681	0.16155751975514832	0.13288358526479044	0.13824650004169048	0.2112597654949459	0.1481775621561411	0.12790735941014134	0.22765891686563605	0.1565060421230619	0.13094626066543524	0.12000655523561232	0.1830886027125821	0.12296944684056474	0.12722954906349387
w16pp	0.1456278991231322	0.13176329631605654	0.1365560925829101	0.1866599758333521	0.16418022112379543	0.170814137485788	0.1709398633353933	1.1004632583096357	1.0760017687371792	0.12410080182041412	0.11779880251297589	0.15277868106508058	0.1100976763424404	0.13642258065254595	0.15724089982040884	0.10086545189521684	0.0	0.09212761951974191	0.1404482240446613	0.10876241384837965	0.11028585640058333	0.12157385479922081	0.13284059529921421	0.1314980778228038	0.14195274121273527	0.1517697910242173	0.12353164788717463	0.14732148203917744	0.0957668785748345	0.1213947102378828	0.164348078816574	0.1753237926023455	0.1466498581119876	0.15201277288888765	0.22502603834214308	0.1619438350033383	0.14167363225733853	0.24142518971283322	0.17027231497025913	0.14471253351263244	0.13377282808280952	0.19685487555977932	0.13673571968776194	0.14099582191069104
f16ppA	0.1427963405676123	0.12893173776053662	0.1337245340273902	0.18382841727783217	0.16134866256827554	0.16798257893026808	0.1681083047798734	1.0976316997541158	1.0731702101816594	0.12126924326489422	0.11496724395745599	0.14994712250956066	0.1072661177869205	0.13359102209702606	0.15440934126488895	0.09803389333969692	0.09212761951974191	0.0	0.1376166654891414	0.10593085529285973	0.10745429784506341	0.1187422962437009	0.1300090367436943	0.1286665192672839	0.13912118265721535	0.14893823246869742	0.12070008933165473	0.14448992348365755	0.0929353200193146	0.1185631516823629	0.16151652026105412	0.17249223404682562	0.14381829955646772	0.14918121433336776	0.22219447978662318	0.1591122764478184	0.1388420737018186	0.23859363115731333	0.1674407564147392	0.14188097495711255	0.1309412695272896	0.1940233170042594	0.13390416113224204	0.13816426335517115
f1pp	0.16251327575044944	0.14864867294337375	0.15344146921022733	0.2035453524606693	0.1810655977511127	0.18769951411310523	0.18782523996271056	1.1173486349369528	1.0928871453644966	0.14098617844773137	0.13468417914029313	0.1696640576923978	0.12698305296975765	0.15330795727986318	0.1741262764477261	0.12668195119746412	0.1404482240446613	0.1376166654891414	0.0	0.09655003650752178	0.12717123302790057	0.13845923142653804	0.14972597192653142	0.14838345445012102	0.1588381178400525	0.16865516765153454	0.14041702451449187	0.1642068586664947	0.11265225520215173	0.13828008686520005	0.18123345544389124	0.19220916922966275	0.16353523473930487	0.1688981495162049	0.24191141496946034	0.17882921163065554	0.15855900888465577	0.2583105663401505	0.18715769159757634	0.16159791013994967	0.15065820471012675	0.21374025218709652	0.15362109631507917	0.1578811985380083
w13pp	0.13082746555416774	0.11696286274709208	0.12175565901394565	0.17185954226438763	0.149379787554831	0.15601370391682357	0.15613942976642886	1.0856628247406712	1.0612013351682148	0.10930036825144968	0.10299836894401146	0.13797824749611615	0.09529724277347595	0.12162214708358152	0.1424404662514444	0.09499614100118245	0.10876241384837965	0.10593085529285973	0.09655003650752178	0.0	0.0954854228316189	0.10677342123025638	0.11804016173024977	0.11669764425383936	0.12715230764377083	0.13696935745525288	0.1087312143182102	0.132521048470213	0.08096644500587005	0.10659427666891835	0.14954764524760955	0.16052335903338105	0.13184942454302317	0.13721233931992322	0.21022560477317864	0.14714340143437388	0.12687319868837407	0.2266247561438688	0.15547188140129467	0.12991209994366798	0.11897239451384506	0.18205444199081486	0.1219352861187975	0.1261953883417266
