	31267	S1Hp	w13pp	f14ppB	S20H1	f17ppA	f1pp	f7pp	f2pp	w17pp	f12ppA	f31pp	f22ppB	f16ppA	f26pp	w3pp	s3pp	f25pp	w9pp	f8pp	f13pp	f30pp	w1pp	w21pp	f16ppB	f29pp	w6pp	f32pp	f18pp	f6ppA	f15pp	f3pp	f12ppB	f4pp	w7pp	f21pp	S6Hp	S16H2	530295
f12ppA	0.6072538528320841	0.6352399254341667	0.1359091084848878	0.07553970602525283	0.21858729683790645	0.13792872702792766	0.16121469280034312	0.10557732428101954	0.15241711098190014	0.126465560288432	0.0	0.12614969116823127	0.12786738936581368	0.13357425243409063	0.16512582910534507	0.17869656036205336	0.27772861782283464	0.14752108892483634	0.12419633428891436	0.153052587692246	0.16577964506866555	0.1374671047756154	0.22400086818915657	0.1495661203849446	0.14001361642743332	0.13639183355056533	0.13563504856281436	0.1343534758708213	0.14351461650443054	0.15348388552247066	0.1456539242092069	0.14152333869753497	0.1902931181194259	0.1911758424168928	0.21725671407220562	0.16570138348117774	0.5831205858351349	0.658008548061644	0.6333264993145554
f31pp	0.6172376848650236	0.6452237574671063	0.15877376496352008	0.0984043625038851	0.24145195331653874	0.16079338350655994	0.1840793492789754	0.12844198075965182	0.17528176746053242	0.1493302167670643	0.12614969116823127	0.0	0.10433760058017397	0.11004446364845091	0.17510966113828452	0.18868039239499282	0.28771244985577404	0.1575049209577758	0.1341801663218538	0.16303641972518546	0.175763477101605	0.14745093680855487	0.23398470022209603	0.15954995241788406	0.14999744846037277	0.1463756655835048	0.1456188805957538	0.14433730790376076	0.15349844853737	0.16346771755541012	0.15563775624214635	0.15150717073047443	0.20027695015236535	0.20115967444983227	0.22724054610514507	0.1756852155141172	0.5931044178680744	0.6679923800945834	0.6433103313474948
f22ppB	0.618955383062606	0.6469414556646886	0.16049146316110247	0.10012206070146751	0.24316965151412112	0.16251108170414236	0.1857970474765578	0.1301596789572342	0.1769994656581148	0.1510479149646467	0.12786738936581368	0.10433760058017397	0.0	0.07234088510756014	0.1768273593358669	0.1903980905925752	0.28943014805335643	0.15922261915535818	0.1358978645194362	0.16475411792276784	0.1774811752991874	0.14916863500613725	0.2357023984196784	0.16126765061546644	0.15171514665795516	0.14809336378108717	0.1473365787933362	0.14605500610134314	0.15521614673495238	0.1651854157529925	0.15735545443972873	0.1532248689280568	0.20199464834994774	0.20287737264741465	0.22895824430272746	0.17740291371169958	0.5948221160656568	0.6697100782921658	0.6450280295450772
f16ppA	0.6246622461308828	0.6526483187329655	0.1661983262293794	0.10582892376974445	0.24887651458239807	0.1682179447724193	0.19150391054483473	0.13586654202551116	0.18270632872639175	0.15675477803292365	0.13357425243409063	0.11004446364845091	0.07234088510756014	0.0	0.18253422240414385	0.19610495366085215	0.2951370111216334	0.16492948222363513	0.14160472758771314	0.17046098099104479	0.18318803836746433	0.1548754980744142	0.24140926148795536	0.1669745136837434	0.1574220097262321	0.15380022684936412	0.15304344186161314	0.1517618691696201	0.16092300980322932	0.17089227882126945	0.16306231750800568	0.15893173199633376	0.20770151141822468	0.2085842357156916	0.2346651073710044	0.18310977677997653	0.6005289791339337	0.6754169413604427	0.6507348926133542
f26pp	0.6388165710329512	0.6668026436350338	0.19774990290063388	0.13738050044099892	0.28042809125365253	0.19976952144367377	0.2230554872160892	0.16741811869676562	0.21425790539764622	0.1883063547041781	0.16512582910534507	0.17510966113828452	0.1768273593358669	0.18253422240414385	0.0	0.15375808205274621	0.25279013951352747	0.12258261061552916	0.1182478619595675	0.14710411536289913	0.17582838337383574	0.14751584308078564	0.23404960649432677	0.15961485869011482	0.15006235473260354	0.14644057185573556	0.16719776676368153	0.16591619407168848	0.17507733470529768	0.1850466037233378	0.17721664241007407	0.17308605689840215	0.22185583632029304	0.22273856061775998	0.2488194322730728	0.1972641016820449	0.614683304036002	0.6895712662625111	0.6648892175154225
w3pp	0.6523873022896596	0.6803733748917422	0.21132063415734217	0.1509512316977072	0.2939988225103608	0.21334025270038204	0.2366262184727975	0.18098884995347392	0.22782863665435452	0.20187708596088638	0.17869656036205336	0.18868039239499282	0.1903980905925752	0.19610495366085215	0.15375808205274621	0.0	0.15295047331827866	0.10540907585439509	0.1318185932162758	0.16067484661960743	0.18939911463054404	0.1610865743374939	0.24762033775103504	0.1731855899468231	0.1636330859893118	0.16001130311244383	0.1807684980203898	0.17948692532839677	0.18864806596200598	0.1986173349800461	0.19078737366678233	0.18665678815511044	0.23542656757700137	0.23630929187446825	0.26239016352978106	0.2108348329387532	0.6282540352927104	0.7031419975192195	0.6784599487721309
s3pp	0.7514193597504408	0.7794054323525235	0.3103526916181234	0.24998328915848844	0.39303087997114206	0.3123723101611633	0.3356582759335788	0.28002090741425517	0.32686069411513574	0.30090914342166764	0.27772861782283464	0.28771244985577404	0.28943014805335643	0.2951370111216334	0.25279013951352747	0.15295047331827866	0.0	0.20444113331517633	0.23085065067705704	0.25970690408038866	0.2884311720913253	0.26011863179827516	0.3466523952118163	0.27221764740760435	0.26266514345009306	0.2590433605732251	0.27980055548117105	0.278518982789178	0.28768012342278726	0.29764939244082733	0.2898194311275636	0.2856888456158917	0.3344586250377826	0.3353413493352495	0.3614222209905623	0.30986689039953447	0.7272860927534917	0.8021740549800007	0.7774920062329121
f25pp	0.6212118308524425	0.6491979034545251	0.18014516272012515	0.11977576026049015	0.2628233510731438	0.182164781263165	0.20545074703558047	0.14981337851625687	0.1966531652171375	0.17070161452366933	0.14752108892483634	0.1575049209577758	0.15922261915535818	0.16492948222363513	0.12258261061552916	0.10540907585439509	0.20444113331517633	0.0	0.10064312177905875	0.1294993751823904	0.158223643193327	0.12991110290027685	0.216444866313818	0.14201011850960604	0.1324576145520948	0.12883583167522678	0.14959302658317275	0.14831145389117972	0.15747259452478896	0.16744186354282908	0.15961190222956528	0.1554813167178934	0.20425109613978432	0.2051338204372512	0.231214692092564	0.17965936150153616	0.5970785638554933	0.6719665260820024	0.6472844773349138
w9pp	0.5978870762165205	0.6258731488186031	0.15682040808420317	0.09645100562456818	0.23949859643722182	0.15884002662724303	0.1821259923996585	0.12648862388033488	0.1733284105812155	0.14737685988774737	0.12419633428891436	0.1341801663218538	0.1358978645194362	0.14160472758771314	0.1182478619595675	0.1318185932162758	0.23085065067705704	0.10064312177905875	0.0	0.0821792509066791	0.134898888557405	0.1065863482643549	0.19312011167789603	0.11868536387368409	0.1091328599161728	0.10551107703930482	0.1262682719472508	0.12498669925525775	0.13414783988886697	0.1441171089069071	0.13628714759364333	0.1321565620819714	0.18092634150386233	0.18180906580132924	0.20788993745664205	0.15633460686561418	0.5737538092195713	0.6486417714460804	0.6239597226989918
f8pp	0.6267433296198521	0.6547294022219348	0.1856766614875348	0.12530725902789983	0.26835484984055347	0.18769628003057467	0.21098224580299013	0.15534487728366653	0.20218466398454715	0.17623311329107902	0.153052587692246	0.16303641972518546	0.16475411792276784	0.17046098099104479	0.14710411536289913	0.16067484661960743	0.25970690408038866	0.1294993751823904	0.0821792509066791	0.0	0.16375514196073665	0.13544260166768654	0.2219763650812277	0.14754161727701573	0.13798911331950448	0.13436733044263646	0.15512452535058244	0.15384295265858938	0.16300409329219862	0.17297336231023874	0.16514340099697497	0.16101281548530305	0.20978259490719398	0.2106653192046609	0.2367461908599737	0.18519086026894582	0.602610062622903	0.677498024849412	0.6528159761023234
