	F32H1	w30pp	s6pp	S2Hp	s30pp	s18pp	s27pp	s24pp	s29pp	F23HpA	s3pp	S1Hp	s19pp	s25pp	s26pp	s7pp	s4pp	s28pp	s8pp	s24H1	s32pp	S26Hp	S3Hp	s12pp	s21pp	s15pp	F6H1	S23Hp	F14H1B	S4Hp	S8Hp	s9pp	S22Hp	F7H1	S7Hp	F1H1	F29H1	S15Hp	S28Hp	s22pp	S19H1	s2pp	s17pp	s14pp	s13pp	s20pp	s23pp	s31pp	s1pp	F8H1	S9H1	s10pp	S20H1	S18H1
s3pp	0.35810634134229435	0.34602044223761247	0.32847613108985735	0.38036164566088543	0.28365016170855345	0.24216179763573442	0.12966530233091217	0.13343656854116928	0.04450226212582767	0.028014937136145862	0.0	0.02614876664637649	0.14010078251525643	0.08280069196874644	0.24930220659805347	0.2354328055495098	0.2810166170156658	0.21538851471779766	0.31875963458670453	0.2929135257596539	0.29262717589093373	0.22088529281511227	0.19519771398129743	0.2817258716533044	0.34336331114149726	0.41545576529635175	0.7972559450092617	0.9091378270642705	1.0134416900959557	0.7036071523514427	0.7081491044895101	0.5772576018802019	0.5237790343025263	0.5272508991813084	0.4594073931670834	0.5164141672539202	0.5122934087032277	0.47794977935595323	0.46948426626718276	0.11188486618534871	0.2124089516214634	0.17717014950524335	0.1177487363459955	0.09311429218370852	0.13569393286503234	0.24512940196224955	0.33196993168878386	0.32214328550647664	0.27802667900997713	0.37000230585831395	0.3612611001211781	0.37949997840106403	0.34797736609940283	0.38355596790887136
S1Hp	0.37829881243968405	0.36621291333500217	0.34866860218724705	0.4005541167582751	0.30384263280594315	0.2623542687331241	0.1498577734283019	0.153629039638559	0.0646947332232174	0.048207408233535594	0.02614876664637649	0.0	0.16029325361264615	0.10299316306613618	0.26949467769544316	0.2556252766468995	0.3012090881130555	0.23558098581518738	0.33895210568409423	0.3131059968570436	0.31281964698832343	0.241077763912502	0.21539018507868715	0.3019183427506941	0.36355578223888696	0.43564823639374145	0.8174484161066514	0.9293302981616602	1.0336341611933455	0.7237996234488324	0.7283415755868998	0.5974500729775917	0.543971505399916	0.5474433702786982	0.4795998642644731	0.53660663835131	0.5324858798006175	0.4981422504533429	0.48967673736457246	0.13207733728273846	0.23260142271885315	0.1973626206026331	0.13794120744338523	0.11330676328109826	0.15588640396242207	0.2653218730596393	0.35216240278617356	0.34233575660386634	0.2982191501073668	0.3901947769557037	0.3814535712185678	0.39969244949845373	0.3681698371967925	0.40374843900626106
s19pp	0.46168666464430697	0.4496007655396251	0.43205645439186996	0.48394196896289804	0.38723048501056606	0.34574212093774703	0.23324562563292484	0.23701689184318195	0.14808258542784034	0.1361281637045771	0.14010078251525643	0.16029325361264615	0.0	0.08459142953795423	0.2644834028637684	0.25061400181522475	0.2961978132813808	0.2305697109835126	0.3339408308524195	0.3080947220253688	0.30780837215664864	0.23606648908082722	0.21037891024701239	0.29690706791901933	0.3585445074072122	0.4306369615620667	0.8124371412749766	0.9243190233299854	1.0286228863616707	0.7187883486171576	0.723330300755225	0.5924387981459168	0.5389602305682412	0.5424320954470233	0.47458858943279836	0.5315953635196352	0.5274746049689426	0.4931309756216682	0.4846654625328977	0.21546518948736137	0.31598927492347606	0.280750472807256	0.2213290596480082	0.1966946154857212	0.239274256167045	0.3487097252642622	0.43555025499079647	0.42572360880848925	0.38160700231198974	0.47358262916032656	0.46484142342319074	0.48308030170307664	0.45155768940141544	0.487136291210884
s25pp	0.40438657409779705	0.39230067499311516	0.37475636384536004	0.4266418784163881	0.32993039446405614	0.2884420303912371	0.17594553508641486	0.17971680129667197	0.09078249488133036	0.0788280731580671	0.08280069196874644	0.10299316306613618	0.08459142953795423	0.0	0.20718331231725845	0.19331391126871478	0.2388977227348708	0.1732696204370026	0.2766407403059095	0.25079463147885883	0.25050828161013866	0.17876639853431725	0.1530788197005024	0.23960697737250936	0.30124441686070225	0.37333687101555674	0.7551370507284666	0.8670189327834754	0.9713227958151607	0.6614882580706476	0.666030210208715	0.5351387075994068	0.48166014002173124	0.4851320049005134	0.4172884988862884	0.47429527297312524	0.4701745144224327	0.4358308850751582	0.42736537198638774	0.1581650989408514	0.2586891843769661	0.22345038226074604	0.16402896910149822	0.13939452493921123	0.18197416562053503	0.2914096347177523	0.37825016444428655	0.36842351826197933	0.3243069117654798	0.4162825386138167	0.4075413328766808	0.4257802111565667	0.3942575988549055	0.42983620066437406
s26pp	0.5708880887271041	0.5588021896224221	0.541257878474667	0.5931433930456951	0.49643190909336316	0.4549435450205441	0.3424470497157219	0.346218315925979	0.2572840095106374	0.24532958778737413	0.24930220659805347	0.26949467769544316	0.2644834028637684	0.20718331231725845	0.0	0.018224724676014294	0.19407645761730352	0.12844835531943533	0.2318194751883422	0.28078507509089756	0.28049872522217745	0.2720000716017834	0.24631249276796857	0.33284065043997557	0.39447808992816835	0.4665705440830229	0.8483707237959328	0.9602526058509415	1.0645564688826268	0.7547219311381137	0.7592638832761811	0.6283723806668731	0.5748938130891974	0.5783656779679796	0.5105221719537545	0.5675289460405915	0.5634081874898988	0.5290645581426243	0.5205990450538539	0.3246666135701584	0.42519069900627315	0.38995189689005305	0.33053048373080524	0.30589603956851824	0.3484756802498421	0.4579111493470593	0.5447516790735936	0.5349250328912863	0.49080842639478683	0.5827840532431237	0.5740428475059878	0.5922817257858737	0.5607591134842125	0.5963377152936811
s7pp	0.5570186876785604	0.5449327885738785	0.5273884774261234	0.5792739919971515	0.4825625080448195	0.44107414397200045	0.3285776486671782	0.33234891487743534	0.2434146084620937	0.23146018673883045	0.2354328055495098	0.2556252766468995	0.25061400181522475	0.19331391126871478	0.018224724676014294	0.0	0.18020705656875985	0.11457895427089165	0.2179500741397985	0.2669156740423539	0.2666293241736337	0.25813067055323974	0.2324430917194249	0.31897124939143184	0.38060868887962473	0.4527011430344792	0.8345013227473891	0.9463832048023979	1.0506870678340832	0.7408525300895701	0.7453944822276375	0.6145029796183293	0.5610244120406538	0.5644962769194359	0.49665277090521087	0.5536595449920477	0.5495387864413552	0.5151951570940807	0.5067296440053102	0.31079721252161474	0.4113212979577294	0.3760824958415094	0.31666108268226156	0.29202663851997457	0.33460627920129843	0.4440417482985156	0.5308822780250498	0.5210556318427426	0.47693902534624316	0.56891465219458	0.5601734464574442	0.5784123247373301	0.5468897124356689	0.5824683142451375
s4pp	0.6026024991447164	0.5905166000400345	0.5729722888922794	0.6248578034633074	0.5281463195109755	0.4866579554381565	0.37416146013333423	0.3779327263435914	0.28899841992824976	0.2770439982049865	0.2810166170156658	0.3012090881130555	0.2961978132813808	0.2388977227348708	0.19407645761730352	0.18020705656875985	0.0	0.12293552167590469	0.22630664154481153	0.3124994855085099	0.3122131356397898	0.30371448201939577	0.27802690318558093	0.36455506085758793	0.4261925003457807	0.49828495450063526	0.8800851342135452	0.9919670162685539	1.0962708793002391	0.7864363415557261	0.7909782936937935	0.6600867910844854	0.6066082235068098	0.6100800883855919	0.5422365823713668	0.5992433564582038	0.5951225979075112	0.5607789685602367	0.5523134554714663	0.3563810239877708	0.4569051094238855	0.4216663073076654	0.3622448941484176	0.3376104499861306	0.38019009066745446	0.48962555976467165	0.5764660894912059	0.5666394433088987	0.5225228368123992	0.614498463660736	0.6057572579236001	0.623996136203486	0.5924735239018248	0.6280521257112934
s28pp	0.5369743968468482	0.5248884977421663	0.5073441865944112	0.5592297011654394	0.4625182172131073	0.4210298531402883	0.30853335783546604	0.3123046240457232	0.22337031763038157	0.2114158959071183	0.21538851471779766	0.23558098581518738	0.2305697109835126	0.1732696204370026	0.12844835531943533	0.11457895427089165	0.12293552167590469	0.0	0.10763143542439643	0.24687138321064178	0.2465850333419216	0.23808637972152757	0.21239880088771274	0.29892695855971974	0.36056439804791257	0.43265685220276706	0.814457031915677	0.9263389139706858	1.030642777002371	0.720808239257858	0.7253501913959254	0.5944586887866172	0.5409801212089416	0.5444519860877237	0.4766084800734987	0.5336152541603356	0.529494495609643	0.49515086626236854	0.48668535317359807	0.29075292168990263	0.3912770071260173	0.35603820500979727	0.2966167918505494	0.27198234768826246	0.31456198836958627	0.42399745746680345	0.5108379871933377	0.5010113410110305	0.456894734514531	0.5488703613628678	0.5401291556257319	0.5583680339056178	0.5268454216039566	0.5624240234134252
s8pp	0.6403455167157551	0.6282596176110732	0.6107153064633181	0.6626008210343461	0.5658893370820142	0.5244009730091952	0.41190447770437294	0.4156757439146301	0.32674143749928847	0.3147870157760252	0.31875963458670453	0.33895210568409423	0.3339408308524195	0.2766407403059095	0.2318194751883422	0.2179500741397985	0.22630664154481153	0.10763143542439643	0.0	0.35024250307954863	0.34995615321082846	0.3414574995904344	0.3157699207566196	0.4022980784286266	0.4639355179168194	0.536027972071674	0.9178281517845838	1.0297100338395926	1.1340138968712778	0.8241793591267648	0.8287213112648322	0.697829808655524	0.6443512410778485	0.6478231059566306	0.5799795999424056	0.6369863740292424	0.6328656154785499	0.5985219861312754	0.590056473042505	0.3941240415588095	0.4946481269949242	0.4594093248787041	0.3999879117194563	0.3753534675571693	0.41793310823849317	0.5273685773357104	0.6142091070622446	0.6043824608799374	0.5602658543834379	0.6522414812317747	0.6435002754946388	0.6617391537745247	0.6302165414728635	0.6657951432823321
s24H1	0.6144994078887045	0.6024135087840226	0.5848691976362674	0.6367547122072955	0.5400432282549635	0.49855486418214456	0.3860583688773223	0.38982963508757945	0.30089532867223784	0.28894090694897456	0.2929135257596539	0.3131059968570436	0.3080947220253688	0.25079463147885883	0.28078507509089756	0.2669156740423539	0.3124994855085099	0.24687138321064178	0.35024250307954863	0.0	0.02497470509228211	0.3156113907633838	0.28992381192956895	0.37645196960157595	0.4380894090897688	0.5101818632446233	0.8919820429575331	1.003863925012542	1.1081677880442273	0.7983332502997141	0.8028752024377815	0.6719836998284734	0.6185051322507978	0.62197699712958	0.5541334911153549	0.6111402652021918	0.6070195066514993	0.5726758773042248	0.5642103642154543	0.36827793273175885	0.4688020181678736	0.4335632160516535	0.3741418028924057	0.3495073587301187	0.39208699941144254	0.5015224685086598	0.588362998235194	0.5785363520528868	0.5344197455563873	0.6263953724047241	0.6176541666675882	0.6358930449474741	0.6043704326458129	0.6399490344552815
