	F1H1	S7Hp	S4Hp	s24pp	31328	S31Hp	S2Hp	s2pp	31750	F29H1	31450	S30H1	s12pp	s24H1	S29H1	F22HpB	F23HpA	S11Hp	S8Hp	S10H1	S26Hp	S6Hp	531414	s25pp	31379	31236	S25Hp	S21H1
31450	0.5137886975124665	0.5043380895559002	0.5001681790018553	0.5003447085608008	0.34867304671826427	0.30406456181844455	0.36050942912406236	0.3619662889125826	0.3357461473189782	0.34915275913259836	0.0	0.25068661878264276	0.22929063959303914	0.34019204959794214	0.49249978525635274	0.4939425684726241	0.47586533314138885	0.5153501538462937	0.5090122865798368	0.5090242037165765	0.526743743294492	0.5257911743398014	0.544896102744724	0.5344820664777428	0.5181593306164767	0.515345613718131	0.499832493844526	0.5160411333001909
S30H1	0.49999640765314896	0.4905457996965827	0.48637588914253777	0.48655241870148336	0.33488075685894675	0.2902722719591271	0.3467171392647449	0.34817399905326507	0.32195385745966076	0.3353604692732809	0.25068661878264276	0.0	0.21549834973372162	0.32639975973862456	0.4787074953970353	0.4801502786133066	0.4620730432820714	0.5015578639869762	0.49521999672051936	0.49523191385725907	0.5129514534351746	0.5119988844804839	0.5311038128854065	0.5206897766184253	0.5043670407571592	0.5015533238588136	0.48604020398520853	0.5022488434408734
s12pp	0.4151642441137304	0.4057136361571641	0.4015437256031192	0.4017202551620648	0.2500485933195282	0.20544010841970853	0.2618849757253263	0.26334183551384654	0.2371216939202422	0.2505283057338623	0.22929063959303914	0.21549834973372162	0.0	0.24156759619920604	0.3938753318576167	0.39531811507388803	0.3772408797426528	0.4167257004475576	0.4103878331811008	0.4103997503178405	0.428119289895756	0.42716672094106534	0.44627164934598795	0.4358576130790067	0.41953487721774063	0.416721160319395	0.40120804044578995	0.4174166799014548
s24H1	0.46328965431412394	0.4538390463575577	0.44966913580351275	0.44984566536245835	0.3390722546981485	0.2944637697983288	0.3509086371039466	0.35236549689246677	0.32614535529886246	0.3395519671124826	0.34019204959794214	0.32639975973862456	0.24156759619920604	0.0	0.44200074205801027	0.4434435252742816	0.42536628994304637	0.46485111064795115	0.45851324338149435	0.458525160518234	0.47624470009614955	0.4752921311414589	0.4943970595463816	0.4839830232794003	0.46766028741813426	0.4648465705197886	0.4493334506461835	0.4655420901018484
S29H1	0.24258905029517036	0.2331384423386041	0.22896853178455917	0.22914506134350476	0.4913799903565591	0.44677150545673944	0.5032163727623573	0.5046732325508775	0.4784530909572731	0.49185970277089325	0.49249978525635274	0.4787074953970353	0.3938753318576167	0.44200074205801027	0.0	0.004335559716622237	0.03220886790769216	0.23151499407240567	0.23781263936254077	0.23782455649928044	0.25554409607719597	0.2545915271225053	0.27369645552742794	0.2632824192604467	0.24695968339918065	0.244145966500835	0.22863284662722994	0.2448414860828948
F22HpB	0.2440318335114417	0.23458122555487543	0.2304113150008305	0.2305878445597761	0.49282277357283044	0.4482142886730108	0.5046591559786286	0.5061160157671488	0.47989587417354446	0.4933024859871646	0.4939425684726241	0.4801502786133066	0.39531811507388803	0.4434435252742816	0.004335559716622237	0.0	0.03365165112396352	0.232957777288677	0.2392554225788121	0.2392673397155518	0.2569868792934673	0.25603431033877666	0.27513923874369933	0.26472520247671805	0.248402466615452	0.24558874971710637	0.2300756298435013	0.24628426929916614
F23HpA	0.22595459818020647	0.2165039902236402	0.21233407966959528	0.21251060922854087	0.4747455382415952	0.43013705334177554	0.48658192064739336	0.4880387804359136	0.4618186388423092	0.47522525065592935	0.47586533314138885	0.4620730432820714	0.3772408797426528	0.42536628994304637	0.03220886790769216	0.03365165112396352	0.0	0.21488054195744175	0.22117818724757687	0.22119010438431652	0.23890964396223208	0.23795707500754143	0.25706200341246405	0.24664796714548282	0.23032523128421672	0.22751151438587108	0.21199839451226604	0.2282070339679309
S11Hp	0.26543941888511124	0.255988810928545	0.25181890037450005	0.25199542993344565	0.5142303589465	0.4696218740466803	0.5260667413522981	0.5275236011408184	0.501303459547214	0.5147100713608341	0.5153501538462937	0.5015578639869762	0.4167257004475576	0.46485111064795115	0.23151499407240567	0.232957777288677	0.21488054195744175	0.0	0.26066300795248165	0.2606749250892213	0.27839446466713685	0.2774418957124462	0.2965468241173689	0.2861327878503876	0.26981005198912156	0.2669963350907759	0.2514832152171708	0.2676918546728357
S8Hp	0.24409230554674743	0.23464169759018116	0.23047178703613624	0.23064831659508184	0.5078924916800431	0.4632840067802235	0.5197288740858413	0.5211857338743615	0.4949655922807572	0.5083722040943773	0.5090122865798368	0.49521999672051936	0.4103878331811008	0.45851324338149435	0.23781263936254077	0.2392554225788121	0.22117818724757687	0.26066300795248165	0.0	0.0007780025043998589	0.13378369285416097	0.13283112389947033	0.15193605230439297	0.1415220160374117	0.18694478859691455	0.1841310716985689	0.19446926888411648	0.24634474133447187
S10H1	0.2441042226834871	0.23465361472692084	0.23048370417287595	0.23066023373182148	0.5079044088167829	0.46329592391696317	0.519740791222581	0.5211976510111013	0.49497750941749685	0.508384121231117	0.5090242037165765	0.49523191385725907	0.4103997503178405	0.458525160518234	0.23782455649928044	0.2392673397155518	0.22119010438431652	0.2606749250892213	0.0007780025043998589	0.0	0.13379560999090065	0.13284304103621	0.15194796944113265	0.1415339331741514	0.1869567057336542	0.18414298883530858	0.19448118602085618	0.24635665847121155
S26Hp	0.26182376226140264	0.25237315430483637	0.24820324375079145	0.24837977330973704	0.5256239483946984	0.4810154634948787	0.5374603308004966	0.5389171905890168	0.5126970489954124	0.5261036608090326	0.526743743294492	0.5129514534351746	0.428119289895756	0.47624470009614955	0.25554409607719597	0.2569868792934673	0.23890964396223208	0.27839446466713685	0.13378369285416097	0.13379560999090065	0.0	0.003475296638699588	0.022582225044622282	0.11999937760705799	0.20467624531156975	0.2018625284132241	0.21220072559877168	0.2640761980491271
S6Hp	0.260871193306712	0.2514205853501457	0.2472506747961008	0.2474272043550464	0.5246713794400077	0.4800628945401881	0.5365077618458058	0.5379646216343261	0.5117444800407218	0.5251510918543418	0.5257911743398014	0.5119988844804839	0.42716672094106534	0.4752921311414589	0.2545915271225053	0.25603431033877666	0.23795707500754143	0.2774418957124462	0.13283112389947033	0.13284304103621	0.003475296638699588	0.0	0.021629656089931636	0.11904680865236734	0.2037236763568791	0.20090995945853346	0.21124815664408103	0.26312362909443643
531414	0.2799761217116346	0.2705255137550684	0.26635560320102347	0.266532132759969	0.5437763078449304	0.49916782294511075	0.5556126902507286	0.5570695500392487	0.5308494084456444	0.5442560202592646	0.544896102744724	0.5311038128854065	0.44627164934598795	0.4943970595463816	0.27369645552742794	0.27513923874369933	0.25706200341246405	0.2965468241173689	0.15193605230439297	0.15194796944113265	0.022582225044622282	0.021629656089931636	0.0	0.13815173705728997	0.22282860476180172	0.2200148878634561	0.2303530850490037	0.28222855749935905
s25pp	0.2695620854446534	0.2601114774880871	0.2559415669340422	0.2561180964929878	0.5333622715779491	0.48875378667812946	0.5451986539837472	0.5466555137722675	0.5204353721786632	0.5338419839922832	0.5344820664777428	0.5206897766184253	0.4358576130790067	0.4839830232794003	0.2632824192604467	0.26472520247671805	0.24664796714548282	0.2861327878503876	0.1415220160374117	0.1415339331741514	0.11999937760705799	0.11904680865236734	0.13815173705728997	0.0	0.2124145684948205	0.20960085159647485	0.21993904878202242	0.2718145212323778
31379	0.2532393495833873	0.24378874162682104	0.23961883107277615	0.2397953606317217	0.517039535716683	0.47243105081686343	0.5288759181224812	0.5303327779110014	0.5041126363173971	0.5175192481310172	0.5181593306164767	0.5043670407571592	0.41953487721774063	0.46766028741813426	0.24695968339918065	0.248402466615452	0.23032523128421672	0.26981005198912156	0.18694478859691455	0.1869567057336542	0.20467624531156975	0.2037236763568791	0.22282860476180172	0.2124145684948205	0.0	0.006591091751111654	0.20361631292075635	0.2554917853711117
31236	0.25042563268504164	0.2409750247284754	0.2368051141744305	0.23698164373337605	0.5142258188183374	0.4696173339185178	0.5260622012241356	0.5275190610126558	0.5012989194190515	0.5147055312326716	0.515345613718131	0.5015533238588136	0.416721160319395	0.4648465705197886	0.244145966500835	0.24558874971710637	0.22751151438587108	0.2669963350907759	0.1841310716985689	0.18414298883530858	0.2018625284132241	0.20090995945853346	0.2200148878634561	0.20960085159647485	0.006591091751111654	0.0	0.20080259602241074	0.2526780684727661
S25Hp	0.2349125128114366	0.22546190485487033	0.2212919943008254	0.221468523859771	0.49871269894473236	0.4541042140449127	0.5105490813505306	0.5120059411390507	0.4857857995454464	0.4991924113590665	0.499832493844526	0.48604020398520853	0.40120804044578995	0.4493334506461835	0.22863284662722994	0.2300756298435013	0.21199839451226604	0.2514832152171708	0.19446926888411648	0.19448118602085618	0.21220072559877168	0.21124815664408103	0.2303530850490037	0.21993904878202242	0.20361631292075635	0.20080259602241074	0.0	0.23716494859916104
S21H1	0.002745383440354414	0.09951910589392748	0.17043945254077336	0.17061598209971895	0.5149213384003972	0.47031285350057755	0.5267577208061954	0.5282145805947156	0.5019944390011113	0.5154010508147314	0.5160411333001909	0.5022488434408734	0.4174166799014548	0.4655420901018484	0.2448414860828948	0.24628426929916614	0.2282070339679309	0.2676918546728357	0.24634474133447187	0.24635665847121155	0.2640761980491271	0.26312362909443643	0.28222855749935905	0.2718145212323778	0.2554917853711117	0.2526780684727661	0.23716494859916104	0.0
