	s31pp	w31pp	w12pp	f29pp	w16pp	f25pp	w25pp	s14pp	w14pp	s24pp	w24pp	f24pp	w9pp	S18H1	f32pp	f19pp	s25pp	s27pp	w27pp	f11pp	w11pp	w32pp	f6ppB	s8pp	w8pp	w20pp	f6ppA	w6pp	s20pp	f21pp	f9pp	w13pp	S20H1	F14H1A	S9H1	S3Hp	f7pp	w18pp	s30pp	f22ppA	s3pp	w3pp	f2pp	s2pp	w2pp	w26pp	f13pp	f4pp	w4pp	f14ppA	f26pp	f10pp	f14ppB	S1Hp	F6H1	f8pp	w10pp	f23ppA	f16ppA	f31pp	s17pp	s1pp	w1pp	s28pp	w28pp	f28pp	w17pp	f15pp	w15pp	w29pp	s29pp	w23pp	s23pp
w24pp	0.24000846443817547	0.23079789173175566	0.18095876369915323	0.197630948890973	0.21987739183304905	0.14068053706777167	0.19644825869535557	0.24869226953176823	0.21636849909737144	0.13099776381845854	0.0	0.11104020940002729	0.1998490828174868	0.3175791137005609	0.20357440885871675	0.20345005924558596	0.2215484266033927	0.2453978321611088	0.25623690501919294	0.23157780400911013	0.1851547235267943	0.21812598434045197	0.22475340388013262	0.25652546803525356	0.2394952746477324	0.22819618659049765	0.2388102766396936	0.21210411933416207	0.2403960036836091	0.19259326946726119	0.19262126731104842	0.18456437329820602	0.2821357782744417	0.3075416466694696	0.34284801982051716	0.4170082556136755	0.19812409889873503	0.20181747947390308	0.2191892125248279	0.22864339181605114	0.2383449892876682	0.20555308752264145	0.2427585199821167	0.17957097562792212	0.17668699840469568	0.2067057796410603	0.19219867736643054	0.18459924344380715	0.18584637533762938	0.2068382964099144	0.17809208830733594	0.18501181665040903	0.20738917219693556	0.34178539847599576	0.3082475882443446	0.18184695199644313	0.2125293502165652	0.2404004541127798	0.22524849215394804	0.2139190621799943	0.24454474026608522	0.21755997148987807	0.19800578792183343	0.23171345980941552	0.22006169858473523	0.21656684822115235	0.15487915206789424	0.22295315944122135	0.1755852438736087	0.2083778551552098	0.17780254008572982	0.22440499230024358	0.24466992467915932
f24pp	0.19538758439066767	0.18617701168424783	0.1363378836516454	0.15301006884346516	0.1752565117855412	0.09605965702026384	0.1518273786478477	0.20407138948426037	0.17174761904986358	0.0863768837709507	0.11104020940002729	0.0	0.15522820276997895	0.27295823365305305	0.1589535288112089	0.1588291791980781	0.17692754655588483	0.20077695211360097	0.21161602497168513	0.1869569239616023	0.14053384347928644	0.17350510429294413	0.1801325238326248	0.21190458798774575	0.19487439460022454	0.1835753065429898	0.19418939659218576	0.16748323928665423	0.19577512363610128	0.14797238941975335	0.1480003872635406	0.13994349325069816	0.23751489822693383	0.26292076662196173	0.29822713977300935	0.3723873755661677	0.1535032188512272	0.15719659942639524	0.17456833247732007	0.18402251176854328	0.19372410924016037	0.1609322074751336	0.19813763993460887	0.13495009558041426	0.13206611835718784	0.16208489959355243	0.14757779731892268	0.13997836339629932	0.14122549529012152	0.16221741636240655	0.1334712082598281	0.1403909366029012	0.16276829214942773	0.29716451842848796	0.26362670819683676	0.1372260719489353	0.16790847016905736	0.19577957406527197	0.18062761210644018	0.16929818213248643	0.1999238602185774	0.17293909144237024	0.15338490787432557	0.18709257976190768	0.1754408185372274	0.1719459681736445	0.11025827202038639	0.1783322793937135	0.13096436382610083	0.16375697510770199	0.13318166003822202	0.17978411225273574	0.20004904463165146
w9pp	0.24087695813895732	0.2316663854325375	0.18182725739993508	0.19849944259175484	0.22990643939404753	0.15070958462877015	0.20647730625635405	0.2587213170927667	0.22639754665836992	0.15551561034494954	0.1998490828174868	0.15522820276997895	0.0	0.2712509053565384	0.15724620051469423	0.15712185090156344	0.17522021825937018	0.19906962381708632	0.20990869667517048	0.18524959566508764	0.13882651518277178	0.19398759513134467	0.20061501467102533	0.2323870788261463	0.21535688543862513	0.20405779738139035	0.2146718874305863	0.1879657301250548	0.2162576144745018	0.16845488025815392	0.16848287810194112	0.16691244216193646	0.2644838471381721	0.28988971553320003	0.32519608868424765	0.399356324477406	0.18047216776246547	0.18416554833763352	0.20816028534985545	0.2176144646410787	0.22731606211269575	0.194524160347669	0.23172959280714425	0.16854204845294968	0.16565807122972323	0.19567685246608785	0.1811697501914581	0.1735703162688347	0.17481744816265693	0.19580936923494197	0.1670631611323635	0.17398288947543658	0.19636024502196311	0.33075647130102337	0.2972186610693721	0.17081802482147068	0.20150042304159274	0.22937152693780735	0.2142195649789756	0.20289013500502184	0.23351581309111277	0.20653104431490563	0.18697686074686098	0.22068453263444307	0.20903277140976279	0.2055379210461799	0.15574764576867609	0.2238216531420032	0.17645373757439053	0.20924634885599164	0.17867103378651167	0.22527348600102542	0.24553841837994117
S18H1	0.3586069890220314	0.3493964163156116	0.2995572882830092	0.31622947347482894	0.34763647027712163	0.26843961551184425	0.3242073371394281	0.3764513479758408	0.34412757754144396	0.27324564122802364	0.3175791137005609	0.27295823365305305	0.2712509053565384	0.0	0.21265985973906723	0.2510470065273031	0.28314774406204224	0.3069971496197584	0.31783622247784254	0.29317712146775965	0.24675404098544385	0.31171762601441877	0.3183450455540994	0.3501171097092204	0.3330869163216992	0.32178782826446445	0.3324019183136604	0.3056957610081289	0.3339876453575759	0.286184911141228	0.2862129089850152	0.28464247304501056	0.3822138780212462	0.4076197464162741	0.4429261195673217	0.5170863553604801	0.29820219864553954	0.3018955792207076	0.3258903162329295	0.3353444955241528	0.3450460929957698	0.31225419123074305	0.3494596236902183	0.2862720793360237	0.2833881021127973	0.3134068833491619	0.2988997810745322	0.2913003471519088	0.292547479045731	0.31353940011801607	0.28479319201543757	0.29171292035851065	0.3140902759050372	0.4484865021840974	0.4149486919524462	0.2885480557045448	0.3192304539246668	0.3471015578208814	0.3319495958620497	0.3206201658880959	0.35124584397418684	0.3242610751979797	0.30470689162993503	0.33841456351751714	0.3267628022928369	0.32326795192925395	0.27347767665175016	0.3415516840250773	0.29418376845746463	0.32697637973906574	0.29640106466958577	0.3430035168840995	0.36326844926301527
f32pp	0.24460228418018726	0.23539171147376742	0.185552583441165	0.20222476863298477	0.23363176543527747	0.1544349106700001	0.21020263229758396	0.2624466431339966	0.23012287269959986	0.15924093638617948	0.20357440885871675	0.1589535288112089	0.15724620051469423	0.21265985973906723	0.0	0.13704230168545892	0.16914303922019808	0.19299244477791422	0.20383151763599838	0.17917241662591551	0.13274933614359968	0.1977129211725746	0.20434034071225526	0.23611240486737622	0.21908221147985504	0.20778312342262029	0.21839721347181623	0.1916910561662847	0.21998294051573175	0.17218020629938383	0.17220820414317106	0.1706377682031664	0.268209173179402	0.29361504157442997	0.32892141472547753	0.40308165051863587	0.18419749380369538	0.18789087437886343	0.21188561139108536	0.22133979068230863	0.23104138815392566	0.19824948638889892	0.23545491884837416	0.1722673744941796	0.16938339727095314	0.19940217850731778	0.18489507623268803	0.17729564231006462	0.17854277420388684	0.1995346952761719	0.1707884871735934	0.1777082155166665	0.20008557106319302	0.33448179734225325	0.30094398711060205	0.17454335086270062	0.20522574908282265	0.23309685297903726	0.21794489102020553	0.20661546104625175	0.23724113913234268	0.21025637035613554	0.1907021867880909	0.22440985867567298	0.21275809745099272	0.20926324708740981	0.159472971809906	0.2275469791832331	0.18017906361562044	0.21297167489722157	0.1823963598277416	0.22899881204225533	0.24926374442117105
f19pp	0.24447793456705647	0.23526736186063663	0.1854282338280342	0.20210041901985398	0.23350741582214668	0.1543105610568693	0.21007828268445317	0.26232229352086583	0.22999852308646906	0.15911658677304868	0.20345005924558596	0.1588291791980781	0.15712185090156344	0.2510470065273031	0.13704230168545892	0.0	0.16901868960706729	0.19286809516478343	0.2037071680228676	0.17904806701278472	0.1326249865304689	0.19758857155944382	0.20421599109912447	0.23598805525424543	0.21895786186672425	0.2076587738094895	0.21827286385868544	0.19156670655315391	0.21985859090260096	0.17205585668625303	0.17208385453004027	0.1705134185900356	0.2680848235662712	0.2934906919612992	0.32879706511234674	0.4029573009055051	0.18407314419056459	0.18776652476573263	0.21176126177795457	0.22121544106917784	0.23091703854079487	0.19812513677576812	0.23533056923524337	0.1721430248810488	0.16925904765782235	0.199277828894187	0.18477072661955724	0.17717129269693382	0.17841842459075605	0.1994103456630411	0.17066413756046261	0.1775838659035357	0.19996122145006223	0.33435744772912246	0.30081963749747126	0.17441900124956983	0.20510139946969186	0.23297250336590647	0.21782054140707474	0.20649111143312096	0.2371167895192119	0.21013202074300474	0.1905778371749601	0.2242855090625422	0.21263374783786193	0.20913889747427902	0.1593486221967752	0.2274226295701023	0.18005471400248965	0.21284732528409078	0.1822720102146108	0.22887446242912454	0.24913939480804026
s25pp	0.26257630192486325	0.2533657292184434	0.20352660118584098	0.22019878637766074	0.2516057831799534	0.17240892841467603	0.2281766500422599	0.28042066087867257	0.2480968904442758	0.17721495413085542	0.2215484266033927	0.17692754655588483	0.17522021825937018	0.28314774406204224	0.16914303922019808	0.16901868960706729	0.0	0.20270707352833173	0.2135461463864159	0.18888704537633302	0.1424639648940172	0.21568693891725055	0.2223143584569312	0.25408642261205217	0.23705622922453098	0.22575714116729623	0.23637123121649217	0.20966507391096065	0.2379569582604077	0.19015422404405977	0.190182221887847	0.18861178594784234	0.28618319092407796	0.3115890593191059	0.3468954324701535	0.4210556682633118	0.20217151154837132	0.20586489212353937	0.2298596291357613	0.23931380842698458	0.2490154058986016	0.21622350413357486	0.2534289365930501	0.19024139223885553	0.18735741501562908	0.21737619625199373	0.20286909397736397	0.19526966005474056	0.19651679194856278	0.21750871302084784	0.18876250491826935	0.19568223326134243	0.21805958880786896	0.3524558150869292	0.318918004855278	0.19251736860737656	0.2231997668274986	0.2510708707237132	0.23591890876488147	0.2245894787909277	0.2552151568770186	0.22823038810081148	0.20867620453276683	0.24238387642034892	0.23073211519566866	0.22723726483208576	0.17744698955458196	0.24552099692790907	0.1981530813602964	0.23094569264189754	0.20037037757241757	0.24697282978693133	0.26723776216584705
s27pp	0.28642570748257934	0.27721513477615956	0.2273760067435571	0.24404819193537686	0.2754551887376695	0.19625833397239217	0.25202605559997604	0.3042700664363887	0.27194629600199194	0.20106435968857156	0.2453978321611088	0.20077695211360097	0.19906962381708632	0.3069971496197584	0.19299244477791422	0.19286809516478343	0.20270707352833173	0.0	0.027170426455676737	0.20204707478033077	0.15562399429801493	0.2395363444749667	0.24616376401464735	0.2779358281697683	0.26090563478224715	0.24960654672501237	0.2602206367742083	0.2335144794686768	0.26180636381812383	0.2140036296017759	0.21403162744556314	0.21246119150555845	0.3100325964817941	0.33543846487682205	0.3707448380278696	0.44490507382102795	0.22602091710608746	0.2297142976812555	0.25370903469347744	0.26316321398470066	0.27286481145631775	0.24007290969129097	0.27727834215076624	0.21409079779657164	0.21120682057334522	0.24122560180970984	0.22671849953508008	0.2191190656124567	0.2203661975062789	0.24135811857856396	0.2126119104759855	0.21953163881905857	0.2419089943655851	0.37630522064464533	0.34276741041299413	0.2163667741650927	0.24704917238521473	0.27492027628142934	0.2597683143225976	0.2484388843486438	0.27906456243473476	0.2520797936585276	0.23252561009048295	0.26623328197806506	0.2545815207533848	0.25108667038980187	0.20129639511229808	0.26937040248562516	0.22200248691801253	0.25479509819961366	0.2242197831301337	0.27082223534464744	0.2910871677235632
w27pp	0.2972647803406635	0.2880542076342437	0.23821507960164126	0.254887264793461	0.28629426159575366	0.20709740683047634	0.2628651284580602	0.3151091392944729	0.2827853688600761	0.21190343254665572	0.25623690501919294	0.21161602497168513	0.20990869667517048	0.31783622247784254	0.20383151763599838	0.2037071680228676	0.2135461463864159	0.027170426455676737	0.0	0.21288614763841493	0.1664630671560991	0.25037541733305085	0.2570028368727315	0.28877490102785247	0.2717447076403313	0.26044561958309653	0.2710597096322925	0.24435355232676095	0.272645436676208	0.22484270245986007	0.2248707003036473	0.22330026436364261	0.32087166933987826	0.3462775377349062	0.3815839108859538	0.4557441466791121	0.23685998996417162	0.24055337053933967	0.2645481075515616	0.2740022868427848	0.2837038843144019	0.25091198254937513	0.2881174150088504	0.2249298706546558	0.2220458934314294	0.25206467466779403	0.23755757239316425	0.22995813847054086	0.23120527036436306	0.2521971914366481	0.22345098333406965	0.23037071167714274	0.25274806722366927	0.3871442935027295	0.3536064832710783	0.22720584702317687	0.2578882452432989	0.2857593491395135	0.2706073871806818	0.25927795720672797	0.28990363529281893	0.2629188665166118	0.2433646829485671	0.2770723548361492	0.26542059361146897	0.26192574324788603	0.21213546797038224	0.2802094753437093	0.2328415597760967	0.2656341710576978	0.23505885598821785	0.2816613082027316	0.30192624058164735
f11pp	0.27260567933058066	0.2633951066241609	0.21355597859155842	0.23022816378337818	0.2616351605856708	0.1824383058203935	0.23820602744797736	0.29045003828439003	0.25812626784999326	0.18724433153657288	0.23157780400911013	0.1869569239616023	0.18524959566508764	0.29317712146775965	0.17917241662591551	0.17904806701278472	0.18888704537633302	0.20204707478033077	0.21288614763841493	0.0	0.09658110483218867	0.22571631632296796	0.23234373586264864	0.2641158000177696	0.24708560663024842	0.23578651857301366	0.2464006086222096	0.21969445131667809	0.24798633566612513	0.2001836014497772	0.2002115992935644	0.19864116335355975	0.2962125683297954	0.3216184367248233	0.35692480987587094	0.4310850456690293	0.21220088895408878	0.21589426952925683	0.23988900654147877	0.249343185832702	0.25904478330431907	0.2262528815392923	0.26345831399876757	0.20027076964457297	0.19738679242134655	0.22740557365771116	0.2128984713830814	0.20529903746045802	0.20654616935428022	0.22753809042656528	0.1987918823239868	0.2057116106670599	0.22808896621358643	0.36248519249264666	0.32894738226099546	0.20254674601309403	0.23322914423321606	0.26110024812943067	0.24594828617059894	0.23461885619664513	0.2652445342827361	0.23825976550652894	0.21870558193848427	0.2524132538260664	0.24076149260138613	0.2372666422378032	0.1874763669602994	0.2555503743336265	0.20818245876601385	0.24097507004761498	0.210399754978135	0.25700220719264877	0.2772671395715645
