	f12ppA	F7H1	w30pp	S18H1	s22pp	w21pp	f13pp	f18pp	f8pp	f6ppA	F6H1	w6pp	f20ppB	f2pp	f28pp	s32pp	s28pp	s19pp	s24pp	s27pp	S1Hp	S15Hp	f15pp	f16ppB	S22Hp	S9H1	F23HpA	w10pp	f31pp	f9pp	f14ppB	f17ppA	f21pp	w16pp	w3pp	s3pp	s1pp
w6pp	0.3196212031726649	0.3408143988292037	0.3551227281213955	0.47537342396826715	0.2662939647291254	0.2814362386443611	0.222501151446906	0.2166663198820361	0.20424848378788207	0.17170275481251507	0.31416751874091786	0.0	0.2635017863791923	0.27746823159998074	0.23381923133991594	0.2789888053402101	0.23157763049531987	0.32747445561112015	0.322397939129298	0.3371533668199067	0.32979634220020915	0.25461432730521943	0.35168775983683626	0.31963837823123525	0.39893419712382333	0.40802600943136	0.3937253129151177	0.3165685389033758	0.2881033418283876	0.23708889256683102	0.22821481078437078	0.23748464165422672	0.25508772443214695	0.2978854265106132	0.2390603766804874	0.28485698409225646	0.2218198920415466
f20ppB	0.38909565858213796	0.4102888542386768	0.42459718353086856	0.5448478793777403	0.3357684201385985	0.3509106940538342	0.291975606856379	0.2861407752915091	0.27372293919735513	0.29566556123206766	0.43813032516047046	0.2635017863791923	0.0	0.160231874192078	0.2821064412265152	0.32727601522680927	0.27986484038191906	0.37576166549771933	0.391872394538771	0.40662782222937977	0.3992707976096822	0.32408878271469244	0.42116221524630926	0.38911283364070826	0.46840865253329633	0.4775004648408331	0.46319976832459075	0.38604299431284883	0.35757779723786065	0.306563347976304	0.29768926619384384	0.3069590970636997	0.32456217984161995	0.3673598819200863	0.30853483208996046	0.3543314395017295	0.2912943474510197
f2pp	0.4030621038029264	0.4242552994594652	0.438563628751657	0.5588143245985286	0.3497348653593869	0.3648771392746226	0.30594205207716746	0.30010722051229755	0.2876893844181435	0.30963200645285616	0.45209677038125895	0.27746823159998074	0.160231874192078	0.0	0.29607288644730356	0.34124246044759776	0.29383128560270755	0.38972811071850777	0.4058388397595595	0.42059426745016815	0.41323724283047064	0.33805522793548093	0.43512866046709775	0.40307927886149675	0.4823750977540848	0.49146691006162146	0.47716621354537914	0.4000094395336372	0.3715442424586491	0.3205297931970925	0.3116557114146322	0.32092554228448816	0.33852862506240844	0.3813263271408747	0.32250127731074885	0.3682978847225179	0.3052607926718081
f28pp	0.3594131035428616	0.3806062991994004	0.3949146284915922	0.5151653243384638	0.3060858650993221	0.3212281390145578	0.2622930518171027	0.2564582202522328	0.24404038415807877	0.26598300619279136	0.40844777012119415	0.23381923133991594	0.2821064412265152	0.29607288644730356	0.0	0.27427290594632225	0.22686173110143204	0.3227585562172323	0.3621898394994947	0.3769452671901034	0.3695882425704059	0.29440622767541613	0.39147966020703295	0.35943027860143195	0.43872609749402003	0.4478179098015567	0.4335172132853144	0.35636043927357247	0.32789524219858435	0.2768807929370277	0.2680067111545675	0.2772765420244234	0.29487962480234364	0.33767732688081	0.2788522770506841	0.32464888446245316	0.2616117924117433
s32pp	0.40458267754315574	0.42577587319969457	0.44008420249188634	0.5603348983387579	0.35125543909961626	0.36639771301485197	0.3074626258173968	0.30162779425252695	0.2892099581583729	0.3111525801930855	0.4536173441214883	0.2789888053402101	0.32727601522680927	0.34124246044759776	0.27427290594632225	0.0	0.21584538350120608	0.3137351258353167	0.4073594134997888	0.42211484119039755	0.4147578165707	0.3395758016757103	0.4366492342073271	0.4045998526017261	0.4838956714943142	0.49298748380185087	0.47868678728560854	0.4015300132738666	0.37306481619887844	0.32205036693732186	0.3131762851548616	0.32244611602471757	0.3400491988026378	0.38284690088110407	0.32402185105097825	0.3698184584627473	0.30678136641203746
s28pp	0.35717150269826553	0.37836469835480435	0.39267302764699613	0.5129237234938677	0.30384426425472605	0.31898653816996175	0.2600514509725066	0.25421661940763673	0.2417987833134827	0.2637414053481953	0.4062061692765981	0.23157763049531987	0.27986484038191906	0.29383128560270755	0.22686173110143204	0.21584538350120608	0.0	0.2663239509904265	0.3599482386548986	0.37470366634550734	0.3673466417258098	0.29216462683082006	0.3892380593624369	0.3571886777568359	0.43648449664942396	0.44557630895696065	0.4312756124407183	0.3541188384289764	0.3256536413539882	0.27463919209243165	0.2657651103099714	0.27503494117982735	0.2926380239577476	0.33543572603621385	0.27661067620608804	0.3224072836178571	0.25937019156714725
s19pp	0.45306832781406575	0.4742615234706046	0.48856985276279635	0.608820548609668	0.39974108937052627	0.414883363285762	0.35594827608830687	0.35011344452343696	0.3376956084292829	0.35963823046399557	0.5021029943923984	0.32747445561112015	0.37576166549771933	0.38972811071850777	0.3227585562172323	0.3137351258353167	0.2663239509904265	0.0	0.45584506377069883	0.47060049146130756	0.46324346684161	0.3880614519466203	0.4851348844782371	0.4530855028726361	0.5323813217652242	0.5414731340727609	0.5271724375565185	0.4500156635447766	0.42155046646978844	0.37053601720823187	0.36166193542577163	0.3709317662956276	0.3885348490735478	0.4313325511520141	0.37250750132188826	0.4183041087336573	0.35526701668294747
s24pp	0.38492747684356754	0.40612067250010636	0.42042900179229814	0.5406796976391698	0.33160023840002806	0.34674251231526376	0.32192689841170496	0.31609206684683505	0.303674230752681	0.3545617139821734	0.4970264779105762	0.322397939129298	0.391872394538771	0.4058388397595595	0.3621898394994947	0.4073594134997888	0.3599482386548986	0.45584506377069883	0.0	0.2912513183037336	0.28389429368403607	0.27985103828059055	0.4018610833012125	0.3698117016956115	0.4491075205881996	0.4581993328957363	0.44389863637949395	0.3818748125742784	0.3534096154992903	0.30239516623773366	0.2935210844552734	0.30279091532512936	0.3203939981030496	0.3631917001815159	0.30436665035139004	0.3501632577631591	0.28712616571244926
s27pp	0.39968290453417626	0.4208761001907151	0.43518442948290686	0.5554351253297785	0.3463556660906368	0.3614979400058725	0.33668232610231363	0.3308474945374438	0.31842965844328974	0.3693171416727821	0.511781905601185	0.3371533668199067	0.40662782222937977	0.42059426745016815	0.3769452671901034	0.42211484119039755	0.37470366634550734	0.47060049146130756	0.2912513183037336	0.0	0.17745594980545149	0.29460646597119927	0.41661651099182123	0.38456712938622023	0.4638629482788083	0.472954760586345	0.4586540640701027	0.39663024026488714	0.36816504318989896	0.3171505939283424	0.30827651214588214	0.3175463430157381	0.3351494257936583	0.3779471278721246	0.31912207804199877	0.3649186854537678	0.301881593403058
S1Hp	0.39232587991447876	0.4135190755710176	0.42782740486320936	0.548078100710081	0.3389986414709393	0.354140915386175	0.32932530148261613	0.3234904699177462	0.3110726338235922	0.3619601170530846	0.5044248809814874	0.32979634220020915	0.3992707976096822	0.41323724283047064	0.3695882425704059	0.4147578165707	0.3673466417258098	0.46324346684161	0.28389429368403607	0.17745594980545149	0.0	0.28724944135150177	0.4092594863721237	0.3772101047665227	0.4565059236591108	0.46559773596664744	0.4512970394504051	0.3892732156451896	0.36080801857020145	0.3097935693086449	0.3009194875261846	0.3101893183960405	0.3277924011739608	0.3705901032524271	0.3117650534223012	0.35756166083407026	0.2945245687833605
