	530167	31452	S30H1	31723	530050	31749	F29H1	530364	s24H1	31232	S13Hp	530394	S11Hp	31236	31112	s26pp	530295	31450	530258	31519	31537	530227	31637	s6pp	s20pp	S28Hp	S6Hp	F16H1	s21pp	s1pp	31557	31328	31750	31021	S25Hp
31519	0.3024231363625998	0.3506061763748409	0.3265689194052431	0.24582540016847665	0.268914962526782	0.39958725289960983	0.2892664515506848	0.3209040450639321	0.34545836435238886	0.3669915182395397	0.32522164262025416	0.2871114631732264	0.35651877068321114	0.28081921485635836	0.3525412599784207	0.3282062906257065	0.2565264241338777	0.19516978405728458	0.16412195800922796	0.0	0.27182293798829826	0.3341963359770115	0.33693127743243395	0.33790280108097903	0.34772362164532333	0.3814603309015118	0.17749652020721796	0.2903830466332658	0.30795114816917657	0.36360402337087355	0.3494415641906561	0.25318356304594	0.2800556976413173	0.28589336837362556	0.36126840005961947
31537	0.27431255855056663	0.32249559856280774	0.29845834159320983	0.2177148223564434	0.24080438471474877	0.37147667508757665	0.26115587373865157	0.2927934672518989	0.31734778654035567	0.3388809404275065	0.2971110648082209	0.25900088536119314	0.3284081928711779	0.2527086370443251	0.3244306821663875	0.3000957128136733	0.2334478254649457	0.19753884576271913	0.2683034578880402	0.27182293798829826	0.0	0.290228819616713	0.2929637610721354	0.2939352847206805	0.30375610528502484	0.33749281454121327	0.13352900384691943	0.26227246882123256	0.2798405703571434	0.3354934455588403	0.32133098637862284	0.22507298523390679	0.25194511982928414	0.25778279056159237	0.3331578222475863
530227	0.3366859565392799	0.384868996551521	0.36083173958192316	0.2800882203451567	0.3031777827034621	0.4338500730762899	0.3235292717273649	0.3551668652406122	0.3797211845290689	0.4012543384162197	0.35948446279693425	0.3213742833499064	0.39078159085989117	0.3150820350330384	0.38680408015510076	0.36246911080238653	0.29582122345365897	0.2599122437514324	0.3306768558767535	0.3341963359770115	0.290228819616713	0.0	0.24191669508378724	0.2428882187323323	0.25270903929667665	0.2864457485528651	0.18608361173012436	0.3246458668099459	0.34221396834585666	0.39786684354755364	0.3837043843673361	0.28744638322262006	0.3143185178179974	0.32015618855030564	0.3955312202362996
31637	0.3394208979947024	0.3876039380069435	0.3635666810373456	0.28282316180057915	0.3059127241588845	0.4365850145317124	0.3262642131827873	0.35790180669603466	0.38245612598449136	0.4039892798716422	0.36221940425235666	0.3241092248053289	0.3935165323153136	0.31781697648846086	0.38953902161052323	0.365204052257809	0.29855616490908143	0.26264718520685487	0.33341179733217596	0.33693127743243395	0.2929637610721354	0.24191669508378724	0.0	0.16027246857622496	0.17009328914056931	0.2038299983967578	0.1888185531855468	0.3273808082653683	0.3449489098012791	0.40060178500297605	0.38643932582275853	0.2901813246780425	0.3170534592734198	0.3228911300057281	0.398266161691722
s6pp	0.3403924216432474	0.3885754616554885	0.3645382046858906	0.2837946854491242	0.3068842478074295	0.4375565381802574	0.32723573683133234	0.3588733303445797	0.38342764963303644	0.40496080352018726	0.3631909279009017	0.3250807484538739	0.39448805596385866	0.3187885001370059	0.39051054525906825	0.3661755759063541	0.29952768855762646	0.2636187088553999	0.334383320980721	0.33790280108097903	0.2939352847206805	0.2428882187323323	0.16027246857622496	0.0	0.03202656568756748	0.15432449315370278	0.18979007683409185	0.32835233191391333	0.34592043344982415	0.4015733086515211	0.3874108494713036	0.29115284832658755	0.3180249829219649	0.32386265365427314	0.39923768534026705
s20pp	0.3502132422075917	0.3983962822198328	0.37435902525023496	0.29361550601346853	0.31670506837177387	0.4473773587446017	0.3370565573956767	0.368694150908924	0.39324847019738074	0.41478162408453156	0.37301174846524604	0.33490156901821827	0.404308876528203	0.32860932070135024	0.40033136582341255	0.3759963964706984	0.3093485091219708	0.27343952941974425	0.3442041415450653	0.34772362164532333	0.30375610528502484	0.25270903929667665	0.17009328914056931	0.03202656568756748	0.0	0.1641453137180471	0.19961089739843618	0.3381731524782577	0.35574125401416845	0.41139412921586543	0.39723167003564797	0.30097366889093186	0.3278458034863092	0.33368347421861744	0.40905850590461135
S28Hp	0.38394995146378025	0.43213299147602136	0.40809573450642345	0.327352215269657	0.35044177762796236	0.48111406800079026	0.3707932666518652	0.40243086016511254	0.4269851794535693	0.4485183333407201	0.40674845772143453	0.36863827827440676	0.4380455857843915	0.36234602995753873	0.4340680750796011	0.40973310572688687	0.3430852183781593	0.30717623867593274	0.37794085080125384	0.3814603309015118	0.33749281454121327	0.2864457485528651	0.2038299983967578	0.15432449315370278	0.1641453137180471	0.0	0.23334760665462467	0.3719098617344462	0.389477963270357	0.4451308384720539	0.4309683792918364	0.33471037814712035	0.36158251274249775	0.367420183474806	0.4427952151607999
S6Hp	0.1799861407694863	0.22816918078172743	0.20413192381212955	0.12338840457536311	0.14647796693366846	0.27715025730649634	0.1668294559575713	0.1984670494708186	0.22302136875927533	0.24455452264642616	0.20278464702714064	0.16467446758011284	0.2340817750900976	0.1583822192632448	0.23010426438530718	0.20576929503259297	0.1391214076838654	0.10321242798163885	0.1739770401069599	0.17749652020721796	0.13352900384691943	0.18608361173012436	0.1888185531855468	0.18979007683409185	0.19961089739843618	0.23334760665462467	0.0	0.1679460510401523	0.18551415257606307	0.24116702777776006	0.22700456859754253	0.13074656745282648	0.15761870204820383	0.1634563727805121	0.238831404466506
F16H1	0.27113749178572044	0.3193205317979616	0.2952832748283637	0.21453975559159727	0.2376293179499026	0.3683016083227305	0.25798080697380543	0.2896184004870528	0.3141727197755095	0.3357058736626603	0.2939359980433748	0.255825818596347	0.3252331261063317	0.24953357027947898	0.32125561540154135	0.3039663455459514	0.2520079341099133	0.21609895440768673	0.2868635665330078	0.2903830466332658	0.26227246882123256	0.3246458668099459	0.3273808082653683	0.32835233191391333	0.3381731524782577	0.3719098617344462	0.1679460510401523	0.0	0.20961692156531897	0.2652697967670159	0.3069064117288596	0.2218979184690606	0.24877005306443795	0.25460772379674623	0.32998275548274014
s21pp	0.28870559332163126	0.33688863333387237	0.3128513763642745	0.23210785712750803	0.2551974194858134	0.3858697098586413	0.27554890850971625	0.30718650202296355	0.33174082131142024	0.35327397519857107	0.3115040995792856	0.2733939201322578	0.3428012276422425	0.26710167181538974	0.3388237169374521	0.3215344470818622	0.26957603564582405	0.2336670559435975	0.3044316680689186	0.30795114816917657	0.2798405703571434	0.34221396834585666	0.3449489098012791	0.34592043344982415	0.35574125401416845	0.389477963270357	0.18551415257606307	0.20961692156531897	0.0	0.1816499225619792	0.32447451326477034	0.2394660200049714	0.26633815460034876	0.272175825332657	0.34755085701865096
s1pp	0.34435846852332824	0.39254150853556935	0.36850425156597144	0.287760732329205	0.31085029468751035	0.44152258506033826	0.3312017837114132	0.36283937722466053	0.3873936965131172	0.40892685040026805	0.3671569747809825	0.32904679533395476	0.39845410284393945	0.3227545470170867	0.3944765921391491	0.37718732228355917	0.32522891084752104	0.2893199311452945	0.36008454327061556	0.36360402337087355	0.3354934455588403	0.39786684354755364	0.40060178500297605	0.4015733086515211	0.41139412921586543	0.4451308384720539	0.24116702777776006	0.2652697967670159	0.1816499225619792	0.0	0.3801273884664673	0.29511889520666834	0.3219910298020457	0.327828700534354	0.4032037322203479
31557	0.3301960093431107	0.3783790493553518	0.3543417923857539	0.2735982731489875	0.29668783550729283	0.42736012588012073	0.31703932453119565	0.348676918044443	0.37323123733289976	0.3947643912200506	0.352994515600765	0.31488433615373723	0.384291643663722	0.3085920878368692	0.38031413295893157	0.3630248631033417	0.3110664516673035	0.27515747196507695	0.34592208409039804	0.3494415641906561	0.32133098637862284	0.3837043843673361	0.38643932582275853	0.3874108494713036	0.39723167003564797	0.4309683792918364	0.22700456859754253	0.3069064117288596	0.32447451326477034	0.3801273884664673	0.0	0.2809564360264509	0.3078285706218282	0.31366624135413645	0.38904127304013036
31328	0.2131906907926754	0.26137373080491655	0.23733647383531867	0.15659295459855221	0.17968251695685758	0.31035480732968546	0.2000340059807604	0.23167159949400773	0.2562259187824645	0.2777590726696153	0.23598919705032975	0.19787901760330195	0.2672863251132867	0.19158676928643392	0.2633088144084963	0.2667668619586256	0.21480845052258746	0.1788994708203609	0.249664082945682	0.25318356304594	0.22507298523390679	0.28744638322262006	0.2901813246780425	0.29115284832658755	0.30097366889093186	0.33471037814712035	0.13074656745282648	0.2218979184690606	0.2394660200049714	0.29511889520666834	0.2809564360264509	0.0	0.19082325207139295	0.1966609228037012	0.2720359544896951
31750	0.17963389932928406	0.2551885562754903	0.2311512993058924	0.15040778006912597	0.17349734242743134	0.3041696328002592	0.19384883145133416	0.2254864249645815	0.2500407442530382	0.271573898140189	0.22980402252090348	0.1916938430738757	0.26110115058386046	0.18540159475700768	0.2869086125276916	0.29363899655400294	0.2416805851179648	0.20577160541573825	0.27653621754105934	0.2800556976413173	0.25194511982928414	0.3143185178179974	0.3170534592734198	0.3180249829219649	0.3278458034863092	0.36158251274249775	0.15761870204820383	0.24877005306443795	0.26633815460034876	0.3219910298020457	0.3078285706218282	0.19082325207139295	0.0	0.16310413134030982	0.23847916302630373
31021	0.09276736163652638	0.26102622700779854	0.23698897003820069	0.15624545080143426	0.17933501315973963	0.31000730353256745	0.19968650218364245	0.23132409569688975	0.25587841498534647	0.27741156887249724	0.23564169325321177	0.197531513806184	0.2669388213161687	0.19123926548931597	0.29274628325999985	0.29947666728631117	0.24751825585027307	0.2116092761480465	0.28237388827336757	0.28589336837362556	0.25778279056159237	0.32015618855030564	0.3228911300057281	0.32386265365427314	0.33368347421861744	0.367420183474806	0.1634563727805121	0.25460772379674623	0.272175825332657	0.327828700534354	0.31366624135413645	0.1966609228037012	0.16310413134030982	0.0	0.10086715909970506
S25Hp	0.1681423933225203	0.33640125869379245	0.3123640017241946	0.23162048248742817	0.25471004484573356	0.38538233521856136	0.2750615338696364	0.30669912738288363	0.3312534466713404	0.3527866005584912	0.3110167249392057	0.2729065454921779	0.34231385300216266	0.2666142971753099	0.36812131494599376	0.3748516989723051	0.322893287536267	0.2869843078340404	0.35774891995936153	0.36126840005961947	0.3331578222475863	0.3955312202362996	0.398266161691722	0.39923768534026705	0.40905850590461135	0.4427952151607999	0.238831404466506	0.32998275548274014	0.34755085701865096	0.4032037322203479	0.38904127304013036	0.2720359544896951	0.23847916302630373	0.10086715909970506	0.0
