	f15pp	f12ppA	f17ppA	f30pp	f4pp	f7pp	f3pp	f21pp	S20H1	f18pp	f25pp	f32pp	w30pp	f20ppB	f23ppB	f14ppB	f14ppA	w3pp	w14pp	f19pp	w16pp	w8pp	w4pp	w25pp	w17pp	w27pp	w15pp	w1pp	w19pp	w13pp	f16ppA	w18pp	f12ppB	f17ppB	f26pp	S18H1	f29pp	f10pp	f1pp	f2pp	f28pp	f6ppB	f16ppB	f22ppA	f13pp	s16pp	w9pp
f25pp	0.28720214757566065	0.2744218565379358	0.25054841176382525	0.3281057721108238	0.2669388249565833	0.257073684103852	0.2433058897198567	0.28579034166912415	0.3686609501827304	0.28411172724093253	0.0	0.23468636423886496	0.36896349657838634	0.27955753672985134	0.3178037108748588	0.27099040327646495	0.21127522856941564	0.25735153847533293	0.36444824107757506	0.35639372387053636	0.4125701128367502	0.3750164223495459	0.4795150817577873	0.48537973685610303	0.3979030847903775	0.5382751498882002	0.47046495489829365	0.3750811733504997	0.38118788521445757	0.402989469315556	0.3588093384417055	0.4089243539589788	0.38597014644513716	0.4459887855095301	0.30020471249177605	0.40500383879704116	0.32413832307814217	0.3975484290528013	0.3193799498224277	0.28279341960013427	0.33342827450325063	0.34819360768969343	0.3178912233955766	0.33465676490754737	0.31094071378113	0.40643770887605746	0.3841880579901197
f32pp	0.2556826993502814	0.24290240831255652	0.21902896353844598	0.29658632388544454	0.235419376731204	0.22555423587847273	0.2117864414944774	0.25427089344374487	0.3371415019573511	0.25259227901555326	0.23468636423886496	0.0	0.337444048353007	0.24803808850447204	0.28628426264947954	0.23947095505108568	0.17975578034403636	0.22583209024995365	0.3329287928521958	0.32487427564515714	0.38105066461137094	0.34349697412416663	0.447995633532408	0.45386028863072375	0.3663836365649982	0.506755701662821	0.4389455066729144	0.3435617251251204	0.3496684369890783	0.37147002109017674	0.3272898902163262	0.3774049057335995	0.35445069821975783	0.4144693372841508	0.26868526426639683	0.37348439057166183	0.29261887485276294	0.36602898082742197	0.2878605015970484	0.25127397137475505	0.3019088262778714	0.3166741594643141	0.2863717751701974	0.30313731668216803	0.2794212655557507	0.3749182606506781	0.35266860976474035
w30pp	0.3712615156167588	0.358481224579034	0.3346077798049234	0.41216514015192196	0.3509981929976814	0.34113305214495016	0.3273652577609548	0.3698497097102223	0.4527203182238285	0.3681710952820307	0.36896349657838634	0.337444048353007	0.0	0.333391149276619	0.3716373234216265	0.3248240158232326	0.29533459661051376	0.3414109065164311	0.4485076091186732	0.4404530919116345	0.49662948087784836	0.45907579039064406	0.5635744497988855	0.5694391048972012	0.48196245283147565	0.6223345179292984	0.5545243229393918	0.4591405413915978	0.4652472532555557	0.48704883735665416	0.44286870648280363	0.49298372200007695	0.4700295144862353	0.5300481535506283	0.3842640805328742	0.4890632068381393	0.4081976911192403	0.48160779709389945	0.4034393178635258	0.3668527876412324	0.4174876425443488	0.4322529757307916	0.4019505914366748	0.4187161329486455	0.3950000818222281	0.4904970769171556	0.46824742603121783
f20ppB	0.2818555557682238	0.2690752647304989	0.2452018199563884	0.322759180303387	0.2615922331491464	0.2517270922964152	0.23795929791241985	0.2804437498616873	0.3633143583752935	0.2787651354334957	0.27955753672985134	0.24803808850447204	0.333391149276619	0.0	0.25808810584602104	0.23541605597369758	0.20592863676197878	0.2520049466678961	0.3591016492701382	0.35104713206309957	0.40722352102931336	0.36966983054210906	0.47416848995035044	0.4800331450486662	0.39255649298294065	0.5329285580807634	0.4651183630908568	0.3697345815430628	0.3758412934070207	0.39764287750811916	0.35346274663426863	0.40357776215154195	0.38062355463770026	0.44064219370209323	0.29485812068433925	0.39965724698960425	0.31879173127070537	0.3922018372453644	0.3140333580149908	0.27744682779269747	0.32808168269581384	0.3428470158822565	0.31254463158813983	0.32931017310011046	0.3055941219736931	0.40109111706862055	0.3788414661826828
f23ppB	0.32010172991323127	0.30732143887550645	0.2834479941013959	0.3610053544483945	0.2998384072941539	0.2899732664414227	0.27620547205742735	0.3186899240066948	0.401560532520301	0.3170113095785032	0.3178037108748588	0.28628426264947954	0.3716373234216265	0.25808810584602104	0.0	0.2736622301187051	0.24417481090698628	0.2902511208129036	0.39734782341514574	0.38929330620810704	0.4454696951743209	0.40791600468711653	0.512414664095358	0.5182793191936736	0.4308026671279481	0.5711747322257709	0.5033645372358643	0.40798075568807035	0.4140874675520282	0.43588905165312664	0.3917089207792761	0.4418239362965495	0.4188697287827078	0.47888836784710076	0.3331042948293467	0.4379034211346118	0.35703790541571284	0.4304480113903719	0.3522795321599983	0.31569300193770494	0.3663278568408213	0.38109319002726405	0.3507908057331473	0.367556347245118	0.3438402961187006	0.4393372912136281	0.4170876403276903
f14ppB	0.2732884223148374	0.2605081312771126	0.236634686503002	0.31419204685000063	0.25302509969576004	0.24315995884302882	0.2293921644590335	0.27187661640830096	0.35474722492190713	0.27019800198010935	0.27099040327646495	0.23947095505108568	0.3248240158232326	0.23541605597369758	0.2736622301187051	0.0	0.19736150330859242	0.24343781321450975	0.3505345158167519	0.3424799986097132	0.39865638757592703	0.36110269708872267	0.4656013564969641	0.4714660115952798	0.38398935952955426	0.524361424627377	0.4565512296374704	0.3611674480896765	0.3672741599536343	0.3890757440547328	0.34489561318088224	0.3950106286981556	0.3720564211843139	0.4320750602487069	0.28629098723095286	0.3910901135362179	0.310224597817319	0.38363470379197806	0.30546622456160444	0.2688796943393111	0.31951454924242745	0.3342798824288702	0.30397749813475344	0.3207430396467241	0.29702698852030673	0.3925239836152342	0.37027433272929644
f14ppA	0.1583912846481709	0.14561099361044605	0.12173754883633547	0.2271243606740816	0.16595741351984106	0.1560922726671098	0.14232447828311445	0.1848089302323819	0.26767953874598815	0.18313031580419029	0.21127522856941564	0.17975578034403636	0.29533459661051376	0.20592863676197878	0.24417481090698628	0.19736150330859242	0.0	0.11223330307020485	0.21933000567244698	0.2112754884654083	0.26745187743162213	0.22989818694441783	0.3343968463526592	0.34026150145097495	0.2527848493852494	0.39315691448307216	0.32534671949316557	0.2299629379453716	0.23606964980932948	0.25787123391042793	0.2136911030365774	0.2638061185538507	0.24085191104000905	0.300870550104402	0.155086477086648	0.2598856033919131	0.1790200876730141	0.2524301936476732	0.1742617144172996	0.13767518419500618	0.18831203909912264	0.20307737228556538	0.17277498799144864	0.2058459019800576	0.1821298508536402	0.2776268459485677	0.2553771950626299
w3pp	0.20446759455408822	0.19168730351636337	0.1678138587422528	0.2732006705799989	0.21203372342575835	0.2021685825730271	0.18840078818903178	0.2308852401382992	0.3137558486519054	0.22920662571010758	0.25735153847533293	0.22583209024995365	0.3414109065164311	0.2520049466678961	0.2902511208129036	0.24343781321450975	0.11223330307020485	0.0	0.14351794728931955	0.13546343008228087	0.1916398190484947	0.1540861285612904	0.2585847879695317	0.26444944306784746	0.176972791002122	0.3173448560999447	0.24953466111003808	0.15415087956224416	0.16025759142620205	0.1820591755273005	0.1983608633447522	0.24847587886202552	0.22552167134818385	0.28554031041257677	0.13975623739482274	0.28163955042139327	0.20077403470249433	0.2741841406771534	0.19601566144677982	0.15942913122448638	0.23438834900503994	0.24915368219148268	0.21885129789736593	0.2519222118859749	0.22820616075955752	0.323703155854485	0.3014535049685472
w14pp	0.31156429715633027	0.29878400611860545	0.27491056134449493	0.380297373182241	0.31913042602800046	0.30926528517526924	0.2954974907912739	0.33798194274054133	0.42085255125414756	0.3363033283123497	0.36444824107757506	0.3329287928521958	0.4485076091186732	0.3591016492701382	0.39734782341514574	0.3505345158167519	0.21933000567244698	0.14351794728931955	0.0	0.22582683064202408	0.28200321960823793	0.24444952912103363	0.34894818852927495	0.3548128436275907	0.2673361915618652	0.4077082566596879	0.3398980616697813	0.2445142801219874	0.2506209919859453	0.27242257608704373	0.30545756594699436	0.3555725814642677	0.33261837395042604	0.3926370130148189	0.24685293999706492	0.38873625302363546	0.30787073730473646	0.3812808432793956	0.303112364049022	0.26652583382672856	0.34148505160728204	0.35625038479372484	0.32594800049960804	0.359018914488217	0.33530286336179965	0.4307998584567271	0.4085502075707893
f19pp	0.3035097799492916	0.2907294889115668	0.2668560441374562	0.37224285597520235	0.3110759088209618	0.30121076796823054	0.2874429735842352	0.3299274255335026	0.4127980340471089	0.328248811105311	0.35639372387053636	0.32487427564515714	0.4404530919116345	0.35104713206309957	0.38929330620810704	0.3424799986097132	0.2112754884654083	0.13546343008228087	0.22582683064202408	0.0	0.17658278656588683	0.1722088926909281	0.30564887941718266	0.3115135345154984	0.22403688244977293	0.3644089475475956	0.29659875255768897	0.2012149710098951	0.20732168287385297	0.22912326697495145	0.2974030487399557	0.347518064257229	0.32456385674338734	0.38458249580778026	0.23879842279002622	0.38068173581659676	0.2998162200976978	0.3732263260723569	0.29505784684198333	0.25847131661968986	0.3334305344002434	0.34819586758668614	0.3178934832925694	0.35096439728117834	0.32724834615476095	0.42274534124968843	0.40049569036375066
