	w2pp	s2pp	w4pp	s27pp	f8pp	S12Hp	s12pp	s18pp	s24pp	s19pp	s14pp	w14pp	s31pp	s29pp	s22pp	S26Hp	s26pp	s15pp	S15Hp	s20pp	s8pp
s14pp	0.531048125021089	0.5284418091174535	0.4930334188778599	0.4502022321373883	0.37611477523265496	0.6078029431605949	0.5956426195358665	0.5259446491407418	0.4637822940556872	0.3850888970798587	0.0	0.12151417308528475	0.4217624694893513	0.40479726293852125	0.5768516186222017	0.5206810802296012	0.5529647300135396	0.6236936796581418	0.5462153378930714	0.4389426067959218	0.5324464478937814
w14pp	0.5194996623822811	0.5168933464786456	0.48148495623905196	0.43865376949858037	0.36456631259384703	0.5962544805217871	0.5840941568970586	0.5143961865019339	0.4522338314168793	0.3735404344410508	0.12151417308528475	0.0	0.4102140068505434	0.3932488002997133	0.5653031559833939	0.5091326175907933	0.5414162673747316	0.6121452170193338	0.5346668752542636	0.42739414415711385	0.5208979852549736
s31pp	0.5205023485993301	0.5178960326956945	0.48248764245610093	0.4396564557156293	0.365568998810896	0.597257166738836	0.5850968431141075	0.5153988727189829	0.45323651763392825	0.4492879518898543	0.4217624694893513	0.4102140068505434	0.0	0.33817090320881915	0.5663058422004428	0.5101353038078422	0.5424189535917806	0.6131479032363828	0.5356695614713125	0.42839683037416276	0.5219006714720225
s29pp	0.5035371420485	0.5009308261448644	0.4655224359052708	0.42269124916479917	0.3486037922600659	0.5802919601880059	0.5681316365632775	0.49843366616815277	0.43627131108309813	0.43232274533902426	0.40479726293852125	0.3932488002997133	0.33817090320881915	0.0	0.5493406356496127	0.4931700972570122	0.5254537470409506	0.5961826966855528	0.5187043549204824	0.41143162382333276	0.5049354649211923
s22pp	0.6125149267255237	0.6099086108218883	0.5745002205822947	0.531669033841823	0.4575815769370897	0.6892697448650297	0.6771094212403013	0.6074114508451764	0.5452490957601219	0.6043771010227048	0.5768516186222017	0.5653031559833939	0.5663058422004428	0.5493406356496127	0.0	0.2909035291687359	0.4936436513278013	0.5643726009724035	0.4868942592073332	0.45417817565798835	0.6139132495982161
S26Hp	0.5563443883329232	0.5537380724292877	0.5183296821896941	0.4754984954492225	0.4014110385444892	0.6330992064724292	0.6209388828477007	0.551240912452576	0.4890785573675214	0.5482065626301043	0.5206810802296012	0.5091326175907933	0.5101353038078422	0.4931700972570122	0.2909035291687359	0.0	0.4374731129352008	0.5082020625798029	0.4307237208147327	0.39800763726538785	0.5577427112056157
s26pp	0.5886280381168616	0.586021722213226	0.5506133319736324	0.5077821452331608	0.4336946883284275	0.6653828562563675	0.653222532631639	0.5835245622365144	0.5213622071514598	0.5804902124140425	0.5529647300135396	0.5414162673747316	0.5424189535917806	0.5254537470409506	0.4936436513278013	0.4374731129352008	0.0	0.4726058967517235	0.3951275549866532	0.4302912870493262	0.590026360989554
s15pp	0.6593569877614638	0.6567506718578282	0.6213422816182346	0.578511094877763	0.5044236379730297	0.7361118059009697	0.7239514822762412	0.6542535118811166	0.592091156796062	0.6512191620586447	0.6236936796581418	0.6121452170193338	0.6131479032363828	0.5961826966855528	0.5643726009724035	0.5082020625798029	0.4726058967517235	0.0	0.3710220393642021	0.5010202366939284	0.6607553106341562
S15Hp	0.5818786459963934	0.579272330092758	0.5438639398531644	0.5010327531126927	0.4269452962079594	0.6586334641358994	0.646473140511171	0.5767751701160462	0.5146128150309917	0.5737408202935745	0.5462153378930714	0.5346668752542636	0.5356695614713125	0.5187043549204824	0.4868942592073332	0.4307237208147327	0.3951275549866532	0.3710220393642021	0.0	0.4235418949288581	0.5832769688690859
s20pp	0.4746059148992437	0.4719995989956082	0.4365912087560146	0.39376002201554294	0.31967256511080966	0.5513607330387497	0.5392004094140213	0.4695024390188965	0.4073400839338419	0.4664680891964248	0.4389426067959218	0.42739414415711385	0.42839683037416276	0.41143162382333276	0.45417817565798835	0.39800763726538785	0.4302912870493262	0.5010202366939284	0.4235418949288581	0.0	0.4760042377719361
s8pp	0.334446674343768	0.33184035844013254	0.3402436972796197	0.3561325196317949	0.33221649856630253	0.5978870767813359	0.5857267531566075	0.5160287827614827	0.45386642767642815	0.5599719302942845	0.5324464478937814	0.5208979852549736	0.5219006714720225	0.5049354649211923	0.6139132495982161	0.5577427112056157	0.590026360989554	0.6607553106341562	0.5832769688690859	0.4760042377719361	0.0
