	S31Hp	S14Hp	S29H1	S10H1	F22H1A	S4Hp	F3H1	S6Hp	S27H1	S22Hp	s24H1	F8H1	F23HpA	S19H1	S7Hp	S25Hp	F16H1	S3Hp	S13Hp	F22HpB	F14H1A	S1Hp	31450	S16H2	F1H1
S25Hp	0.30497239243275887	0.36478147334575606	0.44302669349332635	0.5497772925903208	0.5178832988580498	0.3329689438497857	0.3155387370897961	0.3674102101370646	0.3572945244877343	0.37781342631989356	0.3970721208105442	0.33050805525594856	0.34923038231109715	0.32951018588758985	0.26243059147738235	0.0	0.31389633898483255	0.2962057584977967	0.45433281277624904	0.3963383661524421	0.42928459506153316	0.4302066355129741	0.6726711543648292	0.6005704176313384	0.378103477692323
F16H1	0.38098245456016827	0.4407915354731654	0.5190367556207357	0.6257873547177302	0.5938933609854592	0.40897900597719505	0.3915487992172055	0.443420272264474	0.4333045866151437	0.4538234884473029	0.47308218293795357	0.4065181173833579	0.4252404444385065	0.4055202480149992	0.3384406536047917	0.31389633898483255	0.0	0.3722158206252061	0.5303428749036585	0.4723484282798516	0.5052946571889426	0.5062166976403835	0.7486812164922386	0.6765804797587479	0.4541135398197324
S3Hp	0.20119632498329443	0.2610054058962916	0.3392506260438619	0.4460012251408564	0.4141072314085854	0.2291928764003213	0.2117626696403317	0.2636341426876002	0.2535184570382699	0.2740373588704291	0.3164312593372275	0.24986719378263178	0.30096205308749324	0.281241856663986	0.23956312874982982	0.2962057584977967	0.3722158206252061	0.0	0.3505567453267846	0.29256229870297773	0.3255085276120688	0.3264305680635097	0.5688950869153648	0.4967943501818741	0.2743274102428586
S13Hp	0.26480186737461886	0.35259701640444	0.4308422365520103	0.5375928356490047	0.5056988419167339	0.36014200767061616	0.34271180091062653	0.417779912380415	0.4076642267310847	0.42818512856424396	0.47455831361567985	0.40799424806108414	0.4590891073659456	0.43936891094243835	0.3976901830282822	0.45433281277624904	0.5303428749036585	0.3505567453267846	0.0	0.30444616586137097	0.337392394770462	0.33831443522190296	0.580778954073758	0.5086782173402673	0.31025120517210025
F22HpB	0.20680742075081193	0.29460256978063315	0.37284778992820344	0.4795983890251979	0.44770439529292694	0.3021475610468093	0.28471735428681966	0.3597854657566081	0.3496697801072778	0.3701906819404371	0.416563866991873	0.34999980143727727	0.40109466074213873	0.3813744643186314	0.33969573640447526	0.3963383661524421	0.4723484282798516	0.29256229870297773	0.30444616586137097	0.0	0.190164020891724	0.1910860613431649	0.43355058019502	0.3614498434615293	0.2522567585482934
F14H1A	0.23975364965990298	0.3275487986897242	0.4057940188372945	0.512544617934289	0.480650624202018	0.33509378995590033	0.3176635831959107	0.3927316946656991	0.38261600901636883	0.40313691084952813	0.449510095900964	0.3829460303463683	0.4340408896512298	0.41432069322772247	0.3726419653135663	0.42928459506153316	0.5052946571889426	0.3255085276120688	0.337392394770462	0.190164020891724	0.0	0.17228641063479647	0.4147509294866516	0.3426501927531609	0.2852029874573844
S1Hp	0.24067569011134388	0.32847083914116504	0.40671605928873533	0.5134666583857298	0.4815726646534588	0.3360158304073412	0.31858562364735155	0.3936537351171401	0.3835380494678098	0.404058951300969	0.45043213635240487	0.38386807079780916	0.4349629301026706	0.41524273367916337	0.37356400576500726	0.4302066355129741	0.5062166976403835	0.3264305680635097	0.33831443522190296	0.1910860613431649	0.17228641063479647	0.0	0.3322369241887077	0.260136187455217	0.2861250279088253
31450	0.48314020896319904	0.5709353579930202	0.6491805781405905	0.755931177237585	0.724037183505314	0.5784803492591963	0.5610501424992067	0.6361182539689951	0.6260025683196648	0.6465234701528242	0.69289665520426	0.6263325896496643	0.6774274489545258	0.6577072525310185	0.6160285246168624	0.6726711543648292	0.7486812164922386	0.5688950869153648	0.580778954073758	0.43355058019502	0.4147509294866516	0.3322369241887077	0.0	0.48291355590199936	0.5285895467606805
S16H2	0.4110394722297083	0.4988346212595295	0.5770798414070998	0.6838304405040943	0.6519364467718233	0.5063796125257056	0.488949405765716	0.5640175172355044	0.5539018315861741	0.5744227334193335	0.6207959184707693	0.5542318529161736	0.6053267122210351	0.5856065157975278	0.5439277878833717	0.6005704176313384	0.6765804797587479	0.4967943501818741	0.5086782173402673	0.3614498434615293	0.3426501927531609	0.260136187455217	0.48291355590199936	0.0	0.4564888100271897
F1H1	0.18857253229069282	0.276367681320514	0.3546129014680843	0.46136350056507874	0.42946950683280777	0.2839126725866901	0.2664824658267005	0.34155057729648897	0.33143489164715867	0.35195579348031797	0.3983289785317538	0.3317649129771581	0.38285977228201956	0.3631395758585123	0.32146084794435614	0.378103477692323	0.4541135398197324	0.2743274102428586	0.31025120517210025	0.2522567585482934	0.2852029874573844	0.2861250279088253	0.5285895467606805	0.4564888100271897	0.0
