	f30pp	S3Hp	w9pp	f4pp	w17pp	w10pp	S4Hp	w22pp	s2pp	f2pp	w28pp	w11pp	f8pp	w8pp	f20ppA	w20pp	S13Hp	f7pp	F6H1	f6ppB	s24pp	s25pp	w27pp	s27pp	w18pp	w23pp	S2Hp	f14ppB	S14Hp	s24H1	f24pp	w24pp	w19pp	f16ppA	F8H1	f12ppB	f10pp
w28pp	0.33501170068397235	0.4702148475672515	0.32864212196852055	0.2875658583340178	0.33268239889490164	0.36700364695611787	0.4510408809835952	0.32025697275831894	0.2762518968057799	0.1950859131017454	0.0	0.3532027875717816	0.3539779291750417	0.3767115882519698	0.2819437438963082	0.4359482962924657	0.48106992144028093	0.24281387730953677	0.46837070013048454	0.28525614513320624	0.49643933019455627	0.39727335094753	0.4492383723169793	0.4467060744851342	0.3601491758487144	0.35905544321621763	0.46933005396987393	0.3619948793989237	0.47328641828381895	0.44076335938320366	0.3024675448514883	0.4005310332843778	0.3920079157109766	0.3618022719622329	0.44686210562199746	0.2782321269769686	0.29721584722251815
w11pp	0.33212516806706593	0.4673283149503451	0.32575558935161414	0.2846793257171114	0.3297958662779953	0.36411711433921146	0.44815434836668877	0.3665091404141365	0.4171094496909278	0.3359434659868933	0.3532027875717816	0.0	0.24118112916144702	0.2965765374975965	0.20180869314193484	0.35581324553809235	0.4009348706859076	0.19147346516852465	0.4170302879894724	0.2339157329921941	0.4747301990495266	0.3755642198025003	0.42752924117194957	0.4249969433401045	0.3384400447036847	0.337346312071188	0.4476209228248442	0.340285748253894	0.4515772871387893	0.41905422823817395	0.2807584137064586	0.3788219021393481	0.3891213830940702	0.3589157393453265	0.4439755730050911	0.27534559436006223	0.2943293146056118
f8pp	0.33290030967032597	0.4681034565536052	0.32653073095487417	0.28545446732037144	0.33057100788125526	0.36489225594247154	0.44892948996994886	0.3672842820173965	0.4178845912941878	0.3367186075901534	0.3539779291750417	0.24118112916144702	0.0	0.29735167910085647	0.20258383474519487	0.3565883871413524	0.40171001228916764	0.19224860677178468	0.4178054295927325	0.23469087459545412	0.4755053406527866	0.3763393614057604	0.42830438277520966	0.4257720849433646	0.33921518630694475	0.338121453674448	0.4483960644281043	0.3410608898571541	0.4523524287420493	0.41982936984143404	0.2815335553097187	0.37959704374260816	0.38989652469733027	0.35969088094858653	0.44475071460835114	0.2761207359633222	0.2951044562088718
w8pp	0.35563396874725417	0.49083711563053334	0.3492643900318024	0.30818812639729964	0.35330466695818347	0.3876259150193997	0.471663149046877	0.3900179410943247	0.440618250371116	0.3594522666670815	0.3767115882519698	0.2965765374975965	0.29735167910085647	0.0	0.2061029467384039	0.3601074991345614	0.4052291242823767	0.21498226584871286	0.44053908866966063	0.25742453367238227	0.4982389997297148	0.39907302048268856	0.4510380418521378	0.44850574402029275	0.36194884538387295	0.36085511275137616	0.47112972350503246	0.36379454893408225	0.4750860878189775	0.4425630289183622	0.30426721438664683	0.4023307028195363	0.4126301837742584	0.38242454002551474	0.4674843736852793	0.2988543950402504	0.31783811528579997
f20ppA	0.26086612439159257	0.39606927127487174	0.2544965456761408	0.21342028204163804	0.25853682260252187	0.2928580706637381	0.3768953046912154	0.2952500967386631	0.34585040601545436	0.2646844223114199	0.2819437438963082	0.20180869314193484	0.20258383474519487	0.2061029467384039	0.0	0.20462208151739353	0.2497437066652088	0.12021442149305123	0.34577124431399897	0.16265668931672067	0.4034711553740532	0.30430517612702696	0.3562701974964762	0.35373789966463115	0.2671810010282113	0.26608726839571456	0.37636187914937086	0.26902670457842065	0.3803182434633159	0.3477951845627006	0.20949937003098523	0.3075628584638747	0.3178623394185968	0.2876566956698531	0.3727165293296177	0.2040865506845888	0.2230702709301384
w20pp	0.41487067678775	0.5500738236710292	0.4085010980722982	0.36742483443779544	0.41254137499867927	0.44686262305989555	0.5308998570873729	0.44925464913482055	0.49985495841161187	0.4186889747075774	0.4359482962924657	0.35581324553809235	0.3565883871413524	0.3601074991345614	0.20462208151739353	0.0	0.3421525816441163	0.27421897388920874	0.4997757967101565	0.3166612417128782	0.5574757077702107	0.4583097285231844	0.5102747498926337	0.5077424520607886	0.4211855534243688	0.4200918207918721	0.5303664315455283	0.4230312569745781	0.5343227958594734	0.501799736958858	0.3635039224271427	0.46156741086003217	0.4718668918147543	0.44166124806601054	0.5267210817257751	0.3580911030807462	0.3770748233262958
S13Hp	0.4599923019355653	0.5951954488188445	0.45362272322011343	0.4125464595856107	0.4576630001464945	0.4919842482077108	0.5760214822351881	0.4943762742826358	0.5449765835594271	0.46381059985539264	0.48106992144028093	0.4009348706859076	0.40171001228916764	0.4052291242823767	0.2497437066652088	0.3421525816441163	0.0	0.31934059903702394	0.5448974218579717	0.3617828668606934	0.6025973329180259	0.5034313536709997	0.5553963750404489	0.5528640772086039	0.46630717857218407	0.4652134459396873	0.5754880566933436	0.46815288212239337	0.5794444210072887	0.5469213621066733	0.40862554757495795	0.5066890360078474	0.5169885169625695	0.4867828732138258	0.5718427068735904	0.40321272822856147	0.4221964484741111
f7pp	0.2217362578048211	0.35693940468810026	0.2153666790893693	0.17429041545486657	0.21940695601575042	0.2537282040769666	0.3377654381044439	0.25612023015189167	0.30672053942868294	0.22555455572464847	0.24281387730953677	0.19147346516852465	0.19224860677178468	0.21498226584871286	0.12021442149305123	0.27421897388920874	0.31934059903702394	0.0	0.2857891487358107	0.10267459373853234	0.3643412887872818	0.26517530954025553	0.3171403309097048	0.31460803307785973	0.22805113444143987	0.22695740180894314	0.33723201256259944	0.2298968379916492	0.34118837687654446	0.30866531797592917	0.17036950344421378	0.2684329918771033	0.27873247283182534	0.24852682908308166	0.33358666274284626	0.16495668409781736	0.18394040434336695
F6H1	0.4472930806257689	0.5824962275090481	0.44092350191031704	0.3998472382758143	0.44496377883669813	0.4792850268979144	0.5633222609253917	0.4816770529728394	0.5322773622496307	0.45111137854559624	0.46837070013048454	0.4170302879894724	0.4178054295927325	0.44053908866966063	0.34577124431399897	0.4997757967101565	0.5448974218579717	0.2857891487358107	0.0	0.27118424511523653	0.5898981116082296	0.4907321323612033	0.5426971537306525	0.5401648558988075	0.4536079572623877	0.4525142246298909	0.5627888353835472	0.45545366081259697	0.5667451996974922	0.5342221407968769	0.39592632626516155	0.49398981469805103	0.5042892956527731	0.4740836519040294	0.559143485563794	0.3905135069187651	0.4094972271643147
f6ppB	0.2641785256284906	0.39938167251176976	0.2578089469130388	0.21673268327853606	0.2618492238394199	0.2961704719006361	0.3802077059281134	0.2985624979755611	0.3491628072523524	0.26799682354831794	0.28525614513320624	0.2339157329921941	0.23469087459545412	0.25742453367238227	0.16265668931672067	0.3166612417128782	0.3617828668606934	0.10267459373853234	0.27118424511523653	0.0	0.4067835566109512	0.307617577363925	0.3595825987333742	0.35705030090152917	0.2704934022651093	0.2693996696326126	0.3796742803862689	0.27233910581531867	0.3836306447002139	0.3511075857995986	0.21281177126788325	0.31087525970077273	0.32117474065549484	0.2909690969067511	0.3760289305665157	0.20739895192148683	0.22638267216703642
s24pp	0.4753617106898406	0.6105648575731197	0.46899213197438877	0.42791586833988604	0.4730324089007699	0.5073536569619861	0.5913908909894634	0.5097456830369111	0.5603459923137024	0.479180008609668	0.49643933019455627	0.4747301990495266	0.4755053406527866	0.4982389997297148	0.4034711553740532	0.5574757077702107	0.6025973329180259	0.3643412887872818	0.5898981116082296	0.4067835566109512	0.0	0.4006472137647932	0.45261223513424237	0.4500799373023973	0.4116641148173909	0.41057038218489417	0.5667889547606093	0.45945378018965916	0.5707453190745544	0.538222260173939	0.39992644564222374	0.4979899340751132	0.5323579257168448	0.5021522819681011	0.5872121156278658	0.41858213698283686	0.4375658572283865
s25pp	0.3761957314428144	0.5113988783260935	0.3698261527273626	0.32874988909285985	0.37386642965374367	0.4081876777149599	0.4922249117424372	0.4105797037898849	0.4611800130666762	0.3800140293626417	0.39727335094753	0.3755642198025003	0.3763393614057604	0.39907302048268856	0.30430517612702696	0.4583097285231844	0.5034313536709997	0.26517530954025553	0.4907321323612033	0.307617577363925	0.4006472137647932	0.0	0.30477200270603	0.30223970487418494	0.31249813557036465	0.311404402937868	0.4676229755135831	0.3602878009426329	0.47157933982752814	0.43905628092691285	0.3007604663951975	0.39882395482808697	0.4331919464698186	0.40298630272107494	0.4880461363808395	0.3194161577358106	0.3383998779813602
w27pp	0.4281607528122636	0.5633638996955428	0.42179117409681177	0.38071491046230904	0.42583145102319286	0.46015269908440914	0.5441899331118865	0.46254472515933415	0.5131450344361255	0.431979050732091	0.4492383723169793	0.42752924117194957	0.42830438277520966	0.4510380418521378	0.3562701974964762	0.5102747498926337	0.5553963750404489	0.3171403309097048	0.5426971537306525	0.3595825987333742	0.45261223513424237	0.30477200270603	0.0	0.02771610825113058	0.3644631569398139	0.36336942430731717	0.5195879968830324	0.41225282231208216	0.5235443611969773	0.4910213022963621	0.3527254877646467	0.4507889761975362	0.48515696783926787	0.45495132409052413	0.5400111577502887	0.3713811791052598	0.3903648993508094
s27pp	0.42562845498041857	0.5608316018636977	0.4192588762649667	0.378182612630464	0.4232991531913478	0.4576204012525641	0.5416576352800414	0.4600124273274891	0.5106127366042804	0.4294467529002459	0.4467060744851342	0.4249969433401045	0.4257720849433646	0.44850574402029275	0.35373789966463115	0.5077424520607886	0.5528640772086039	0.31460803307785973	0.5401648558988075	0.35705030090152917	0.4500799373023973	0.30223970487418494	0.02771610825113058	0.0	0.36193085910796885	0.3608371264754721	0.5170556990511873	0.4097205244802371	0.5210120633651323	0.48848900446451704	0.35019318993280163	0.44825667836569116	0.4826246700074228	0.4524190262586791	0.5374788599184437	0.36884888127341475	0.38783260151896437
w18pp	0.3390715563439987	0.47427470322727794	0.3327019776285469	0.2916257139940442	0.336742254554928	0.3710635026161443	0.4551007366436216	0.37345552869106924	0.42405583796786056	0.3428898542638261	0.3601491758487144	0.3384400447036847	0.33921518630694475	0.36194884538387295	0.2671810010282113	0.4211855534243688	0.46630717857218407	0.22805113444143987	0.4536079572623877	0.2704934022651093	0.4116641148173909	0.31249813557036465	0.3644631569398139	0.36193085910796885	0.0	0.247687691397796	0.4304988004147675	0.3231636258438173	0.4344551647287125	0.40193210582809724	0.26363629129638183	0.36169977972927136	0.396067771371003	0.3658621276222593	0.4509219612820239	0.28229198263699495	0.30127570288254457
w23pp	0.337977823711502	0.47318097059478115	0.3316082449960502	0.29053198136154745	0.33564852192243133	0.3699697699836475	0.4540070040111248	0.37236179605857256	0.4229621053353638	0.34179612163132933	0.35905544321621763	0.337346312071188	0.338121453674448	0.36085511275137616	0.26608726839571456	0.4200918207918721	0.4652134459396873	0.22695740180894314	0.4525142246298909	0.2693996696326126	0.41057038218489417	0.311404402937868	0.36336942430731717	0.3608371264754721	0.247687691397796	0.0	0.4294050677822707	0.3220698932113205	0.4333614320962158	0.40083837319560045	0.2625425586638851	0.3606060470967746	0.39497403873850623	0.36476839498976255	0.44982822864952715	0.2811982500044983	0.30018197025004784
S2Hp	0.4482524344651583	0.5834555813484374	0.4418828557497064	0.4008065921152037	0.4459231326760875	0.4802443807373038	0.5642816147647811	0.4826364068122288	0.5332367160890201	0.45207073238498563	0.46933005396987393	0.4476209228248442	0.4483960644281043	0.47112972350503246	0.37636187914937086	0.5303664315455283	0.5754880566933436	0.33723201256259944	0.5627888353835472	0.3796742803862689	0.5667889547606093	0.4676229755135831	0.5195879968830324	0.5170556990511873	0.4304988004147675	0.4294050677822707	0.0	0.34217325701095347	0.45346479589584876	0.4795578364161672	0.34126202188445187	0.43932551031734135	0.5052486494921625	0.4750430057434188	0.5601028394031834	0.39147286075815446	0.4104565810037041
f14ppB	0.34091725989420807	0.47612040677748724	0.3345476811787563	0.29347141754425354	0.33858795810513737	0.3729092061663536	0.4569464401938309	0.3753012322412786	0.4259015415180699	0.3447355578140354	0.3619948793989237	0.340285748253894	0.3410608898571541	0.36379454893408225	0.26902670457842065	0.4230312569745781	0.46815288212239337	0.2298968379916492	0.45545366081259697	0.27233910581531867	0.45945378018965916	0.3602878009426329	0.41225282231208216	0.4097205244802371	0.3231636258438173	0.3220698932113205	0.34217325701095347	0.0	0.3088811965190528	0.372222661845217	0.23392684731350163	0.33199033574639114	0.3979134749212123	0.36770783117246864	0.4527676648322332	0.2841376861872043	0.30312140643275387
S14Hp	0.4522087987791033	0.5874119456623825	0.44583922006365145	0.4047629564291487	0.4498794969900326	0.48420074505124877	0.5682379790787261	0.48659277112617383	0.5371930804029651	0.45602709669893066	0.47328641828381895	0.4515772871387893	0.4523524287420493	0.4750860878189775	0.3803182434633159	0.5343227958594734	0.5794444210072887	0.34118837687654446	0.5667451996974922	0.3836306447002139	0.5707453190745544	0.47157933982752814	0.5235443611969773	0.5210120633651323	0.4344551647287125	0.4333614320962158	0.45346479589584876	0.3088811965190528	0.0	0.4835142007301122	0.34521838619839684	0.4432818746312864	0.5092050138061075	0.4789993700573638	0.5640592037171284	0.39542922507209954	0.41441294531764916
s24H1	0.419685739878488	0.5548888867617672	0.41331616116303616	0.3722398975285334	0.41735643808941725	0.45167768615063353	0.5357149201781108	0.45406971222555853	0.5046700215023499	0.42350403779831536	0.44076335938320366	0.41905422823817395	0.41982936984143404	0.4425630289183622	0.3477951845627006	0.501799736958858	0.5469213621066733	0.30866531797592917	0.5342221407968769	0.3511075857995986	0.538222260173939	0.43905628092691285	0.4910213022963621	0.48848900446451704	0.40193210582809724	0.40083837319560045	0.4795578364161672	0.372222661845217	0.4835142007301122	0.0	0.2773645708640655	0.375428059296955	0.47668195490549226	0.4464763111567485	0.5315361448165131	0.3629061661714842	0.3818898864170338
f24pp	0.28138992534677265	0.4165930722300518	0.27502034663132086	0.23394408299681813	0.27906062355770195	0.3133818716189182	0.3974191056463955	0.3157738976938432	0.3663742069706345	0.2852082232666	0.3024675448514883	0.2807584137064586	0.2815335553097187	0.30426721438664683	0.20949937003098523	0.3635039224271427	0.40862554757495795	0.17036950344421378	0.39592632626516155	0.21281177126788325	0.39992644564222374	0.3007604663951975	0.3527254877646467	0.35019318993280163	0.26363629129638183	0.2625425586638851	0.34126202188445187	0.23392684731350163	0.34521838619839684	0.2773645708640655	0.0	0.19434326255220966	0.3383861403737769	0.3081804966250332	0.39324033028479777	0.2246103516397689	0.24359407188531848
w24pp	0.3794534137796622	0.5146565606629414	0.37308383506421033	0.3320075714297076	0.3771241119905915	0.41144536005180765	0.49548259407928497	0.41383738612673265	0.464437695403524	0.3832717116994895	0.4005310332843778	0.3788219021393481	0.37959704374260816	0.4023307028195363	0.3075628584638747	0.46156741086003217	0.5066890360078474	0.2684329918771033	0.49398981469805103	0.31087525970077273	0.4979899340751132	0.39882395482808697	0.4507889761975362	0.44825667836569116	0.36169977972927136	0.3606060470967746	0.43932551031734135	0.33199033574639114	0.4432818746312864	0.375428059296955	0.19434326255220966	0.0	0.4364496288066664	0.4062439850579227	0.49130381871768725	0.32267384007265837	0.34165756031820804
w19pp	0.3513108996654238	0.48651404654870295	0.344941320949972	0.30386505731546926	0.3489815978763531	0.3833028459375693	0.4673400799650466	0.40531426855333147	0.4559145778301228	0.3747485941260883	0.3920079157109766	0.3891213830940702	0.38989652469733027	0.4126301837742584	0.3178623394185968	0.4718668918147543	0.5169885169625695	0.27873247283182534	0.5042892956527731	0.32117474065549484	0.5323579257168448	0.4331919464698186	0.48515696783926787	0.4826246700074228	0.396067771371003	0.39497403873850623	0.5052486494921625	0.3979134749212123	0.5092050138061075	0.47668195490549226	0.3383861403737769	0.4364496288066664	0.0	0.24869823514128234	0.4386204788085061	0.26999050016347714	0.31351504620396964
f16ppA	0.32110525591668004	0.4563084027999592	0.31473567720122825	0.2736594135667255	0.3187759541276094	0.35309720218882557	0.4371344362163029	0.37510862480458773	0.42570893408137905	0.3445429503773446	0.3618022719622329	0.3589157393453265	0.35969088094858653	0.38242454002551474	0.2876566956698531	0.44166124806601054	0.4867828732138258	0.24852682908308166	0.4740836519040294	0.2909690969067511	0.5021522819681011	0.40298630272107494	0.45495132409052413	0.4524190262586791	0.3658621276222593	0.36476839498976255	0.4750430057434188	0.36770783117246864	0.4789993700573638	0.4464763111567485	0.3081804966250332	0.4062439850579227	0.24869823514128234	0.0	0.40841483505976234	0.2397848564147334	0.2833094024552259
F8H1	0.4061650895764447	0.5413682364597239	0.39979551086099285	0.3587192472264901	0.40383578778737395	0.4381570358485902	0.5221942698760675	0.4601684584643524	0.5107687677411437	0.42960278403710916	0.44686210562199746	0.4439755730050911	0.44475071460835114	0.4674843736852793	0.3727165293296177	0.5267210817257751	0.5718427068735904	0.33358666274284626	0.559143485563794	0.3760289305665157	0.5872121156278658	0.4880461363808395	0.5400111577502887	0.5374788599184437	0.4509219612820239	0.44982822864952715	0.5601028394031834	0.4527676648322332	0.5640592037171284	0.5315361448165131	0.39324033028479777	0.49130381871768725	0.4386204788085061	0.40841483505976234	0.0	0.24905788901920003	0.3683692361149905
f12ppB	0.23753511093141577	0.37273825781469494	0.23116553221596398	0.19008926858146125	0.23520580914234507	0.2695270572035613	0.3535642912310386	0.29153847981932346	0.3421387890961147	0.2609728053920803	0.2782321269769686	0.27534559436006223	0.2761207359633222	0.2988543950402504	0.2040865506845888	0.3580911030807462	0.40321272822856147	0.16495668409781736	0.3905135069187651	0.20739895192148683	0.41858213698283686	0.3194161577358106	0.3713811791052598	0.36884888127341475	0.28229198263699495	0.2811982500044983	0.39147286075815446	0.2841376861872043	0.39542922507209954	0.3629061661714842	0.2246103516397689	0.32267384007265837	0.26999050016347714	0.2397848564147334	0.24905788901920003	0.0	0.1997392574699616
f10pp	0.19467332239791824	0.3298764692811974	0.2087987199500261	0.16772245631552335	0.2128389968764072	0.24716024493762342	0.33119747896510077	0.3105222000648731	0.36112250934166434	0.27995652563762985	0.29721584722251815	0.2943293146056118	0.2951044562088718	0.31783811528579997	0.2230702709301384	0.3770748233262958	0.4221964484741111	0.18394040434336695	0.4094972271643147	0.22638267216703642	0.4375658572283865	0.3383998779813602	0.3903648993508094	0.38783260151896437	0.30127570288254457	0.30018197025004784	0.4104565810037041	0.30312140643275387	0.41441294531764916	0.3818898864170338	0.24359407188531848	0.34165756031820804	0.31351504620396964	0.2833094024552259	0.3683692361149905	0.1997392574699616	0.0
