	f16ppA	f7pp	530295	S15Hp	530215	f31pp	f10pp	S16H2	w16pp	f18pp	f14ppB	f8pp	f25pp	f22ppB	31328	w9pp	f26pp	S13Hp	f23ppA	f4pp	f32pp	f30pp
f14ppB	0.21528229928770043	0.22097609959206915	0.7365871100652621	0.7745063262506588	0.4709761255414658	0.26065516252875254	0.29578696716267333	0.32612081022906114	0.2999196008277597	0.27419267015936566	0.0	0.10607653186836546	0.19148398769665587	0.23604380309899464	0.38511572232141245	0.3189450104752677	0.24735704302735806	0.2446995278506674	0.22648725771607048	0.26015068127553154	0.27399701827798495	0.35730045776932606
f8pp	0.14554356329831694	0.1512373636026857	0.6668483740758787	0.7047675902612754	0.4012373895520823	0.19091642653936905	0.22604823117328987	0.2563820742396777	0.23018086483837624	0.20445393416998217	0.10607653186836546	0.0	0.12174525170727236	0.16630506710961115	0.31537698633202893	0.2492062744858842	0.17761830703797457	0.1749607918612839	0.15674852172668702	0.19041194528614805	0.20425828228860146	0.28756172177994255
f25pp	0.18202063875711288	0.1877144390614816	0.7033254495346746	0.7412446657200713	0.43771446501087824	0.227393501998165	0.2625253066320858	0.2928591496984736	0.26665794029717216	0.24093100962877811	0.19148398769665587	0.12174525170727236	0.0	0.13665477585817573	0.3518540617908249	0.28568334994468014	0.21409538249677051	0.21143786732007985	0.19322559718548293	0.226889020744944	0.24073535774739743	0.3240387972387385
f22ppB	0.22658045415945166	0.23227425446382038	0.7478852649370133	0.7858044811224101	0.482274280413217	0.27195331740050377	0.30708512203442456	0.3374189651008124	0.31121775569951093	0.2854908250311169	0.23604380309899464	0.16630506710961115	0.13665477585817573	0.0	0.3964138771931637	0.3302431653470189	0.2586551978991093	0.25599768272241863	0.2377854125878217	0.27144883614728277	0.2852951731497362	0.3685986126410773
31328	0.3319565566232458	0.3376503569276145	0.8532613674008076	0.8911805835862043	0.5876503828770112	0.3773294198642979	0.4124612244982187	0.4427950675646065	0.4165938581633051	0.39086692749491103	0.38511572232141245	0.31537698633202893	0.3518540617908249	0.3964138771931637	0.0	0.30466407032387066	0.28623635917475454	0.3410690285846334	0.3228567584500365	0.3768249386110769	0.3906712756135303	0.4739747151048714
w9pp	0.26578584477710104	0.27147964508146977	0.7870906555546628	0.8250098717400596	0.5214796710308665	0.31115870801815315	0.34629051265207395	0.37662435571846176	0.3504231463171603	0.3246962156487663	0.3189450104752677	0.2492062744858842	0.28568334994468014	0.3302431653470189	0.30466407032387066	0.0	0.22006564732860978	0.27489831673848864	0.2566860466038917	0.31065422676493215	0.32450056376738556	0.4078040032587267
f26pp	0.19419787732919142	0.19989167763356014	0.7155026881067532	0.75342190429215	0.44989170358295677	0.23957074057024352	0.2747025452041643	0.30503638827055213	0.2788351788692507	0.25310824820085664	0.24735704302735806	0.17761830703797457	0.21409538249677051	0.2586551978991093	0.28623635917475454	0.22006564732860978	0.0	0.20331034929057903	0.18509807915598214	0.23906625931702252	0.25291259631947594	0.33621603581081705
S13Hp	0.19154036215250075	0.19723416245686948	0.7128451729300624	0.7507643891154592	0.4472341884062661	0.23691322539355286	0.27204503002747366	0.30237887309386147	0.27617766369256	0.250450733024166	0.2446995278506674	0.1749607918612839	0.21143786732007985	0.25599768272241863	0.3410690285846334	0.27489831673848864	0.20331034929057903	0.0	0.12658537262647424	0.23640874414033186	0.2502550811427853	0.3335585206341264
f23ppA	0.17332809201790386	0.17902189232227259	0.6946329027954656	0.7325521189808624	0.42902191827166924	0.21870095525895594	0.2538327598928768	0.28416660295926455	0.25796539355796316	0.23223846288956906	0.22648725771607048	0.15674852172668702	0.19322559718548293	0.2377854125878217	0.3228567584500365	0.2566860466038917	0.18509807915598214	0.12658537262647424	0.0	0.21819647400573497	0.23204281100818838	0.31534625049952947
f4pp	0.14643508026244056	0.17582407624263957	0.6914350867158326	0.7293543029012294	0.42582410219203615	0.21550313917932293	0.25063494381324375	0.28096878687963156	0.2547675774783301	0.22904064680993605	0.26015068127553154	0.19041194528614805	0.226889020744944	0.27144883614728277	0.3768249386110769	0.31065422676493215	0.23906625931702252	0.23640874414033186	0.21819647400573497	0.0	0.1589125089117208	0.24221594840306188
f32pp	0.160281417264894	0.18967041324509298	0.7052814237182861	0.7432006399036828	0.43967043919448956	0.22934947618177634	0.2644812808156972	0.294815123882085	0.26861391448078353	0.24288698381238946	0.27399701827798495	0.20425828228860146	0.24073535774739743	0.2852951731497362	0.3906712756135303	0.32450056376738556	0.25291259631947594	0.2502550811427853	0.23204281100818838	0.1589125089117208	0.0	0.11002656310105023
f30pp	0.2435848567562351	0.2729738527364341	0.7885848632096272	0.8265040793950239	0.5229738786858307	0.3126529156731174	0.3477847203070383	0.3781185633734261	0.35191735397212465	0.32619042330373055	0.35730045776932606	0.28756172177994255	0.3240387972387385	0.3685986126410773	0.4739747151048714	0.4078040032587267	0.33621603581081705	0.3335585206341264	0.31534625049952947	0.24221594840306188	0.11002656310105023	0.0
