	w21pp	S14Hp	s14pp	w14pp	S22Hp	s1pp	S3Hp	s27pp	s12pp	S1Hp	w28pp	s28pp	w1pp	S20H1	S23Hp	S9H1	f17ppB	w17pp	s17pp	w29pp	s29pp	w27pp	w9pp	w24pp	s24pp	w4pp	s4pp	s31pp	f15pp	F8H1	F7H1	f19pp	f16ppA	f11pp	S11Hp	s11pp	w11pp	w13pp	w8pp	w20pp	w6pp	f2pp	w2pp	s2pp	w18pp	S12Hp	f7pp	w10pp	F23HpA	w12pp	s18pp	w30pp	s3pp	s30pp	s25pp	w25pp
w21pp	0.0	0.4071005587238115	0.39702359507231083	0.38659722615757025	0.49158350269725076	0.42635774324600284	0.5824787447970338	0.648779519596552	0.9892458037095784	1.0418523335458998	1.311625685822779	1.306679550627292	1.335905145671159	1.2205444107313217	1.2053794949276937	1.2935701634547307	1.1171267663887836	0.9549399236274023	0.9564959070606321	0.943651522430076	0.9309917407693722	0.6944396009084229	0.6263712127015041	0.9178560203518652	0.676905147427024	0.6090024061998928	0.586274196645985	0.6274209265621145	0.636742931694165	0.6803876838359872	0.7599350842420532	0.6838379549320208	0.5820484013966838	0.7406073029823771	0.7671753485013747	0.7562542897070617	0.7385789516788231	0.7038088082018154	0.7341000784228517	0.7207101996871156	0.7319591520126602	0.5747521025820639	0.5905624845167574	0.5865336216735825	0.6157327317482413	0.5975341724187989	0.7022376740500593	0.7199503744434687	0.6743383895356629	0.6481691433015807	0.5430850056820113	0.549414944420024	0.5127343343628361	0.5876467382065975	0.1612634070494807	0.1858899488984233
S14Hp	0.4071005587238115	0.0	0.031059485616175136	0.1163527828917588	0.4600028246969513	0.39477706524570344	0.5508980667967344	0.6171988415962526	0.9576651257092789	1.0102716555456004	1.2800450078224797	1.2750988726269925	1.3043244676708596	1.1889637327310223	1.1737988169273943	1.2619894854544313	1.0855460883884842	0.9233592456271028	0.9249152290603326	0.9120708444297765	0.8994110627690727	0.6628589229081234	0.5947905347012046	0.8862753423515657	0.6453244694267245	0.5774217281995934	0.5546935186456855	0.595840248561815	0.6051622536938656	0.6488070058356878	0.7283544062417537	0.6522572769317213	0.5504677233963844	0.7090266249820776	0.7355946705010752	0.7246736117067621	0.7069982736785236	0.6722281302015158	0.7025194004225522	0.6891295216868161	0.7003784740123606	0.5431714245817645	0.5589818065164579	0.5549529436732831	0.5841520537479418	0.5659534944184994	0.6706569960497598	0.6883696964431691	0.6427577115353635	0.6165884653012812	0.511504327681712	0.5178342664197246	0.4811536563625366	0.5560660602062981	0.3337851198851379	0.35841166173408057
s14pp	0.39702359507231083	0.031059485616175136	0.0	0.10627581924025806	0.4499258610454506	0.38470010159420276	0.5408211031452337	0.6071218779447518	0.9475881620577782	1.0001946918940996	1.2699680441709789	1.2650219089754917	1.294247504019359	1.1788867690795217	1.1637218532758937	1.2519125218029306	1.0754691247369834	0.9132822819756021	0.914838265408832	0.9019938807782758	0.889334099117572	0.6527819592566227	0.5847135710497039	0.876198378700065	0.6352475057752238	0.5673447645480927	0.5446165549941848	0.5857632849103143	0.5950852900423649	0.638730042184187	0.7182774425902531	0.6421803132802206	0.5403907597448836	0.6989496613305769	0.7255177068495745	0.7145966480552615	0.696921310027023	0.6621511665500152	0.6924424367710516	0.6790525580353154	0.69030151036086	0.5330944609302637	0.5489048428649572	0.5448759800217824	0.5740750900964411	0.5558765307669987	0.6605800323982591	0.6782927327916685	0.6326807478838627	0.6065115016497805	0.5014273640302112	0.5077573027682238	0.4710766927110359	0.5459890965547973	0.32370815623363725	0.3483346980825799
w14pp	0.38659722615757025	0.1163527828917588	0.10627581924025806	0.0	0.4394994921307101	0.3742737326794622	0.5303947342304931	0.5966955090300113	0.9371617931430376	0.989768322979359	1.2595416752562385	1.2545955400607514	1.2838211351046185	1.1684604001647811	1.1532954843611531	1.2414861528881902	1.065042755822243	0.9028559130608615	0.9044118964940915	0.8915675118635353	0.8789077302028314	0.6423555903418823	0.5742872021349634	0.8657720097853245	0.6248211368604832	0.5569183956333521	0.5341901860794442	0.5753369159955737	0.5846589211276243	0.6283036732694466	0.7078510736755126	0.63175394436548	0.5299643908301431	0.6885232924158364	0.715091337934834	0.7041702791405209	0.6864949411122825	0.6517247976352747	0.682016067856311	0.6686261891205749	0.6798751414461195	0.5226680920155232	0.5384784739502166	0.5344496111070418	0.5636487211817005	0.5454501618522583	0.6501536634835186	0.667866363876928	0.6222543789691223	0.59608513273504	0.4910009951154707	0.49733093385348337	0.4606503237962954	0.5355627276400569	0.31328178731889667	0.3379083291678393
S22Hp	0.49158350269725076	0.4600028246969513	0.4499258610454506	0.4394994921307101	0.0	0.36842942665485484	0.5245504282058857	0.590851203005404	0.9313174871184302	0.9839240169547516	1.253697369231631	1.248751234036144	1.277976829080011	1.1626160941401738	1.1474511783365458	1.2356418468635828	1.0591984497976357	0.8970116070362542	0.898567590469484	0.8857232058389278	0.873063424178224	0.6365112843172749	0.568442896110356	0.859927703760717	0.618976830835876	0.5510740896087447	0.528345880054837	0.5694926099709664	0.5788146151030169	0.6224593672448392	0.7020067676509052	0.6259096383408728	0.5241200848055357	0.6826789863912289	0.7092470319102265	0.6983259731159135	0.680650635087675	0.6458804916106673	0.6761717618317036	0.6627818830959675	0.6740308354215121	0.5168237859909158	0.5326341679256094	0.5286053050824344	0.5578044151570932	0.5396058558276509	0.6443093574589113	0.6620220578523206	0.6164100729445149	0.5902408267104327	0.4851566890908633	0.491486627828876	0.45480601777168805	0.5297184216154495	0.4182680638585772	0.4428946057075198
s1pp	0.42635774324600284	0.39477706524570344	0.38470010159420276	0.3742737326794622	0.36842942665485484	0.0	0.36208024415827844	0.4283810189577967	0.7688473030708229	0.8214538329071444	1.0912271851840236	1.0862810499885367	1.1155066450324038	1.0001459100925663	0.9849809942889384	1.0731716628159755	0.8967282657500283	0.7345414229886469	0.7360974064218767	0.7232530217913206	0.7105932401306168	0.47404110026966756	0.4059727120627487	0.6974575197131098	0.45650664678826863	0.38860390556113744	0.36587569600722963	0.4070224259233591	0.41634443105540964	0.4599891831972319	0.5395365836032979	0.46343945429326544	0.36164990075792847	0.5202088023436217	0.5467768478626193	0.5358557890683062	0.5181804510400677	0.48341030756305997	0.5137015777840963	0.5003116990483603	0.5115606513739048	0.35435360194330856	0.37016398387800203	0.36613512103482715	0.3953342311094859	0.37713567178004354	0.48183917341130394	0.4995518738047133	0.4539398888969076	0.42777064266282533	0.322686505043256	0.3290164437812687	0.29233583372408073	0.3672482375678422	0.35304230440732925	0.37766884625627184
S3Hp	0.5824787447970338	0.5508980667967344	0.5408211031452337	0.5303947342304931	0.5245504282058857	0.36208024415827844	0.0	0.3568024574424653	0.6972687415554915	0.7498752713918129	1.0196486236686921	1.0147024884732052	1.0439280835170723	0.9285673485772348	0.9134024327736068	1.001593101300644	0.8251497042346967	0.6629628614733154	0.6645188449065451	0.651674460275989	0.6390146786152853	0.4024625387543362	0.3343941505474173	0.6258789581977782	0.3849280852729372	0.31702534404580607	0.29429713449189826	0.3354438644080277	0.34476586954007826	0.38841062168190055	0.4679580220879665	0.391860892777934	0.3444624969976847	0.5030213985833779	0.5295894441023755	0.5186683853080625	0.500993047279824	0.4662229038028163	0.49651417402385256	0.4831242952881165	0.4943732476136611	0.3371661981830648	0.35297658011775834	0.3489477172745834	0.3781468273492422	0.35994826801979984	0.46465176965106025	0.4823644700444696	0.43675248513666387	0.5204474200336482	0.4153632824140788	0.4216932211520915	0.38501261109490353	0.459925014938665	0.5091633059583601	0.5337898478073028
s27pp	0.648779519596552	0.6171988415962526	0.6071218779447518	0.5966955090300113	0.590851203005404	0.4283810189577967	0.3568024574424653	0.0	0.36777226645358246	0.4203787962899038	0.6901521485667832	0.6852060133712962	0.7144316084151634	0.5990708734753258	0.5839059576716978	0.672096626198735	0.49565322913278775	0.3334663863714064	0.33502236980463623	0.3221779851740801	0.3095182035133763	0.07296606365242721	0.3164234403113082	0.6079082479616691	0.3669573750368281	0.3355227571461177	0.3127945475922099	0.35394127750833937	0.3632632826403899	0.40690803478221216	0.48645543518827816	0.41035830587824573	0.41076327179720296	0.5693221733828961	0.5958902189018938	0.5849691601075807	0.5672938220793422	0.5325236786023345	0.5628149488233708	0.5494250700876347	0.5606740224131793	0.40346697298258305	0.4192773549172766	0.41524849207410164	0.44444760214876045	0.4262490428193181	0.5309525444505785	0.5486652448439878	0.5030532599361821	0.5867481948331663	0.48166405721359706	0.48799399595160975	0.45131338589442177	0.5262257897381832	0.5754640807578784	0.600090622606821
s12pp	0.9892458037095784	0.9576651257092789	0.9475881620577782	0.9371617931430376	0.9313174871184302	0.7688473030708229	0.6972687415554915	0.36777226645358246	0.0	0.2017464805238649	0.47151983280074433	0.4665736976052573	0.49579929264912453	0.380438557709287	0.36527364190565886	0.45346431043269614	0.4953789917262387	0.3331921489648574	0.3347481323980872	0.3582078472711693	0.34554806561046547	0.3630061509733605	0.6568897244243342	0.9483745320746951	0.7074236591498542	0.6759890412591438	0.653260831705236	0.6944075616213654	0.703729566753416	0.7473743188952382	0.8269217193013042	0.7508245899912718	0.7512295559102291	0.9097884574959223	0.9363565030149199	0.9254354442206069	0.9077601061923684	0.8729899627153606	0.903281232936397	0.8898913542006608	0.9011403065262054	0.7439332570956092	0.7597436390303027	0.7557147761871278	0.7849138862617866	0.7667153269323441	0.8714188285636046	0.8891315289570139	0.8435195440492083	0.9272144789461925	0.8221303413266232	0.8284602800646359	0.791779670007448	0.8666920738512094	0.9159303648709047	0.9405569067198474
S1Hp	1.0418523335458998	1.0102716555456004	1.0001946918940996	0.989768322979359	0.9839240169547516	0.8214538329071444	0.7498752713918129	0.4203787962899038	0.2017464805238649	0.0	0.3805511055924827	0.3756049703969956	0.4048305654408628	0.2894698305010253	0.2743049146973972	0.3624955832244345	0.5479855215625601	0.38579867880117874	0.3873546622344086	0.41081437710749064	0.3981545954467869	0.41561268080968183	0.7094962542606557	1.0009810619110167	0.7600301889861756	0.7285955710954652	0.7058673615415574	0.7470140914576868	0.7563360965897374	0.7999808487315596	0.8795282491376256	0.8034311198275932	0.8038360857465505	0.9623949873322437	0.9889630328512413	0.9780419740569283	0.9603666360286898	0.925596492551682	0.9558877627727184	0.9424978840369822	0.9537468363625268	0.7965397869319306	0.8123501688666241	0.8083213060234492	0.837520416098108	0.8193218567686655	0.9240253583999261	0.9417380587933353	0.8961260738855297	0.9798210087825139	0.8747368711629446	0.8810668099009573	0.8443861998437694	0.9192986036875308	0.9685368947072261	0.9931634365561688
