	F3H1	530055	S23Hp	31160	31333	530394	S26Hp	S16H2	31512	31700	31637	S21H1	530258	530177	31714	530451	f7pp	31267	F32H1	530251	S10H1	F22H1A	31236	530154	31009	530167	530331	530368	S15Hp	530444	31021	31600	31750	530050	S17H1	530215	31452	31766	S19H1	31537	530074	31749	31428	31723	31232	530163	530052	31129	530075	530315	530295	31360	31450	31519	530364	31071	S28Hp	531414
31637	0.2760823959310441	0.3648631913371868	0.29892869975321745	0.38491262810263704	0.36391245721772664	0.3039881911410237	0.28134560650566554	0.34471446063350425	0.34520063716727545	0.3149216038361149	0.0	0.16685940175988306	0.33735864775572255	0.33394226002318705	0.3280621575284489	0.3388014413420792	0.41518672961994607	0.3331623745285468	0.32110329346112787	0.36095754373057864	0.33918429762899593	0.38012888176207915	0.36644880861873297	2.1542025844216957	0.363256284771743	0.3816677152632587	0.3906306456006807	0.3908621165886943	0.3337679338986197	0.33996672681525253	0.3777804725696815	0.3480142603530674	0.3206639780640258	0.32893832779731214	0.3442399652506938	0.2515267376076619	0.37628425327753834	0.3817298436418832	0.37379153475799215	0.4431103463778645	0.39210177849211003	0.4057426987390953	0.40929033924073244	0.41361980640849677	0.3991220386783745	0.40472114944505444	0.3959744319200368	0.3954857184311014	0.30225767737799153	0.3183957177126589	0.36406974148152726	0.28429074483159344	0.3817401430590136	0.35661707885748983	0.4031672441349491	0.288209771083868	0.3681172626937397	0.37528577666059365
S21H1	0.23609365475705213	0.32487445016319483	0.25893995857922547	0.34492388692864506	0.32392371604373466	0.26399944996703173	0.24135686533167355	0.30472571945951227	0.30521189599328347	0.2749328626621229	0.16685940175988306	0.0	0.2973699065817306	0.29395351884919513	0.288073416354457	0.29881270016808725	0.3751979884459541	0.2931736333545548	0.28111455228713594	0.32096880255658666	0.29919555645500395	0.34014014058808717	0.326460067444741	2.114213843247704	0.323267543597751	0.34167897408926673	0.35064190442668874	0.3508733754147023	0.2937791927246277	0.29997798564126055	0.3377917313956895	0.3080255191790754	0.2806752368900338	0.28894958662332015	0.3042512240767018	0.21153799643366994	0.33629551210354636	0.34174110246789124	0.33380279358400017	0.4031216052038725	0.35211303731811805	0.3657539575651033	0.36930159806674046	0.3736310652345048	0.3591332975043825	0.36473240827106246	0.3559856907460448	0.35549697725710944	0.26226893620399955	0.2784069765386669	0.3240810003075353	0.24430200365760146	0.3417514018850216	0.31662833768349785	0.3631785029609571	0.24822102990987607	0.3281285215197477	0.33529703548660167
530258	0.2688775636841883	0.357658359090331	0.2917238675063616	0.3777077958557813	0.35670762497087083	0.29678335889416796	0.2741407742588097	0.33750962838664844	0.33799580492041964	0.34483383765932885	0.33735864775572255	0.2973699065817306	0.0	0.22772015385385752	0.30695821631141806	0.31769750012504827	0.4079818973730903	0.325957542281691	0.3138984612142721	0.35375271148372284	0.33197946538214007	0.3729240495152234	0.35924397637187716	2.14699775217484	0.3560514525248871	0.37446288301640296	0.3834258133538249	0.3836572843418385	0.3265631016517639	0.33276189456839667	0.37057564032282564	0.3408094281062115	0.31345914581716994	0.3217334955504564	0.33703513300383797	0.2443219053608061	0.36907942103068253	0.3745250113950274	0.36658670251113634	0.43590551413100864	0.3848969462452543	0.3985378664922395	0.40208550699387663	0.40641497416164096	0.3919172064315187	0.3975163171981986	0.388769599673181	0.3882808861842456	0.2950528451311357	0.3111908854658031	0.3568649092346715	0.27708591258473764	0.3745353108121578	0.349412246610634	0.3959624118880932	0.2810049388370123	0.36091243044688387	0.36808094441373784
530177	0.2654611759516528	0.3542419713577955	0.2883074797738261	0.3742914081232458	0.35329123723833533	0.29336697116163246	0.27072438652627423	0.33409324065411294	0.33457941718788414	0.34141744992679335	0.33394226002318705	0.29395351884919513	0.22772015385385752	0.0	0.30354182857888257	0.3142811123925128	0.4045655096405548	0.3225411545491555	0.3104820734817366	0.35033632375118734	0.3285630776496046	0.3695076617826879	0.35582758863934166	2.1435813644423045	0.3526350647923516	0.37104649528386746	0.3800094256212894	0.380240896609303	0.3231467139192284	0.32934550683586117	0.36715925259029014	0.337393040373676	0.31004275808463444	0.3183171078179209	0.3336187452713025	0.24090551762827062	0.36566303329814703	0.3711086236624919	0.36317031477860084	0.43248912639847314	0.3814805585127188	0.395121478759704	0.39866911926134113	0.40299858642910547	0.38850081869898323	0.3940999294656631	0.3853532119406455	0.3848644984517101	0.2916364573986002	0.3077744977332676	0.353448521502136	0.27366952485220214	0.3711189230796223	0.34599585887809853	0.3925460241555577	0.2775885511044768	0.35749604271434837	0.36466455668120235
31714	0.25958107345691467	0.34836186886305737	0.28242737727908795	0.36841130562850766	0.3474111347435972	0.2874868686668943	0.2648442840315361	0.3282131381593748	0.328699314693146	0.3355373474320552	0.3280621575284489	0.288073416354457	0.30695821631141806	0.30354182857888257	0.0	0.07563137773815362	0.3986854071458167	0.31666105205441736	0.3046019709869985	0.3444562212564492	0.32268297515486644	0.36362755928794976	0.3499474861446035	2.1377012619475666	0.3467549622976135	0.3651663927891293	0.3741293231265513	0.37436079411456485	0.31726661142449025	0.32346540434112303	0.361279150095552	0.3315129378789379	0.3041626555898963	0.31243700532318275	0.32773864277656434	0.23502541513353248	0.3597829308034089	0.3652285211677538	0.3572902122838627	0.426609023903735	0.37560045601798064	0.38924137626496585	0.392789016766603	0.39711848393436733	0.3826207162042451	0.38821982697092494	0.37947310944590734	0.378984395956972	0.2857563549038621	0.30189439523852946	0.3475684190073979	0.267789422357464	0.36523882058488416	0.3401157563833604	0.3866659216608196	0.27170844860973864	0.35161594021961023	0.3587844541864642
530451	0.27032035727054493	0.35910115267668763	0.2931666610927183	0.37915058944213786	0.35815041855722746	0.29822615248052453	0.27558356784516636	0.33895242197300507	0.33943859850677627	0.3462766312456855	0.3388014413420792	0.29881270016808725	0.31769750012504827	0.3142811123925128	0.07563137773815362	0.0	0.4094246909594469	0.3274003358680476	0.3153412548006287	0.35519550507007946	0.33342225896849675	0.37436684310157997	0.3606867699582338	2.1484405457611966	0.3574942461112438	0.37590567660275953	0.38486860694018155	0.3851000779281951	0.3280058952381205	0.33420468815475335	0.3720184339091823	0.3422522216925682	0.3149019394035266	0.32317628913681296	0.3384779265901946	0.24576469894716274	0.37052221461703916	0.37596780498138405	0.36802949609749297	0.4373483077173653	0.38633973983161085	0.3999806600785961	0.40352830058023326	0.4078577677479976	0.3933600000178753	0.39895911078455526	0.3902123932595376	0.38972367977060224	0.29649563871749235	0.3126336790521597	0.3583077028210281	0.27852870617109426	0.3759781043985144	0.35085504019699065	0.3974052054744499	0.28244773242336885	0.3623552240332405	0.36952373800009447
f7pp	0.32984170972932925	0.41862250513547195	0.3526880135515026	0.43867194190092224	0.41767177101601183	0.3577475049393089	0.3351049203039507	0.39847377443178944	0.39895995096556064	0.42266191952355237	0.41518672961994607	0.3751979884459541	0.4079818973730903	0.4045655096405548	0.3986854071458167	0.4094246909594469	0.0	0.37247413783365424	0.3604150567662354	0.4147168575288638	0.39294361142728107	0.43388819556036434	0.4202081224170181	2.207961898219981	0.4170155985700281	0.43542702906154396	0.4443899593989659	0.4446214303869795	0.3875272476969049	0.39372604061353766	0.43153978636796664	0.4017735741513525	0.37442329186231094	0.3826976415955974	0.3979992790489789	0.3052860514059471	0.4300435670758235	0.43548915744016836	0.42755084855627734	0.49686966017614964	0.4458610922903952	0.45950201253738043	0.4630496530390176	0.46737912020678196	0.45288135247665967	0.4584804632433396	0.4497337457183219	0.4492450322293866	0.3560169911762767	0.3721550315109441	0.41782905527981246	0.3380500586298786	0.43549945685729874	0.41037639265577497	0.4569265579332342	0.3419690848821532	0.4218765764920248	0.4290450904588788
31267	0.24781735463792998	0.3365981500440727	0.2706636584601033	0.3566475868095229	0.3356474159246125	0.2757231498479096	0.2530805652125514	0.3164494193403901	0.3169355958741613	0.3406375644321531	0.3331623745285468	0.2931736333545548	0.325957542281691	0.3225411545491555	0.31666105205441736	0.3274003358680476	0.37247413783365424	0.0	0.15244076200113446	0.3326925024374645	0.3109192563358818	0.351863840468965	0.33818376732561883	2.1259375431285816	0.33499124347862885	0.3534026739701446	0.3623656043075666	0.36259707529558016	0.30550289260550556	0.3117016855221384	0.34951543127656737	0.31974921905995324	0.29239893677091167	0.300673286504198	0.31597492395757965	0.2232616963145478	0.3480192119844242	0.3534648023487691	0.345526493464878	0.41484530508475037	0.3638367371989959	0.37747765744598116	0.3810252979476183	0.38535476511538264	0.37085699738526035	0.3764561081519403	0.36770939062692265	0.3672206771379873	0.2739926360848774	0.29013067641954476	0.33580470018841313	0.2560257035384793	0.35347510176589947	0.3283520375643757	0.37490220284183495	0.2599447297907539	0.33985222140062554	0.3470207353674795
F32H1	0.2357582735705111	0.3245390689766538	0.2586045773926844	0.3445885057421041	0.3235883348571936	0.26366406878049076	0.24102148414513253	0.30439033827297124	0.30487651480674244	0.32857848336473416	0.32110329346112787	0.28111455228713594	0.3138984612142721	0.3104820734817366	0.3046019709869985	0.3153412548006287	0.3604150567662354	0.15244076200113446	0.0	0.32063342137004563	0.29886017526846287	0.3398047594015462	0.32612468625819996	2.113878462061163	0.3229321624112099	0.34134359290272576	0.3503065232401477	0.3505379942281613	0.2934438115380867	0.29964260445471946	0.33745635020914844	0.3076901379925343	0.28033985570349274	0.2886142054367792	0.30391584289016077	0.2112026152471289	0.33596013091700533	0.3414057212813502	0.33346741239745914	0.40278622401733144	0.3517776561315771	0.3654185763785623	0.3689662168801994	0.37329568404796376	0.3587979163178415	0.3643970270845214	0.3556503095595038	0.3551615960705684	0.2619335550174585	0.2780715953521259	0.3237456191209943	0.24396662247106043	0.3414160206984806	0.3162929564969568	0.362843121774416	0.24788564872333504	0.32779314033320667	0.33496165430006064
530251	0.24400069051357104	0.33278148591971374	0.2668469943357443	0.35283092268516403	0.33183075180025356	0.2719064857235507	0.2635395740287457	0.32690842815658444	0.32739460469035564	0.36843273363418494	0.36095754373057864	0.32096880255658666	0.35375271148372284	0.35033632375118734	0.3444562212564492	0.35519550507007946	0.4147168575288638	0.3326925024374645	0.32063342137004563	0.0	0.29261770878260984	0.33356229291569306	0.3198822197723469	2.122120879004223	0.33117457935426986	0.3495860098457857	0.35854894018320765	0.3587804111712212	0.3016862284811466	0.3078850213977794	0.3456987671522084	0.31593255493559425	0.2885822726465527	0.2968566223798391	0.3121582598332207	0.21944503219018885	0.34420254786006527	0.34964813822441015	0.3417098293405191	0.4110286409603914	0.360020073074637	0.3736609933216222	0.37720863382325936	0.3815381009910237	0.36704033326090146	0.3726394440275813	0.3638927265025637	0.36340401301362835	0.27017597196051846	0.2863140122951858	0.33198803606405425	0.2522090394141204	0.34965843764154053	0.32453537344001676	0.37108553871747596	0.256128065666395	0.3360355572762666	0.3432040712431206
