	w11pp	f20ppA	w26pp	f11pp	w29pp	w6pp	w32pp	w16pp	S11Hp	S27H1	F14H1A	S16H2	F22H1A	S23Hp	S26Hp	F1H1	S13Hp	S4Hp	F6H1	S14Hp	s24H1	F23HpA	S1Hp	S19H1	F8H1	F22HpB	S8Hp	S10H1	S25Hp	S17H1	w23pp	s12pp	w24pp	w14pp	w1pp	w3pp	w19pp	w8pp	w2pp
F14H1A	0.30241675598285117	0.31735542413353884	0.3061210439517351	0.3177391922514187	0.3255899715662176	0.31955376388433415	0.3064835343474545	0.30844088819631493	0.23136233540746445	0.17016189773621476	0.0	0.18198184150107227	0.2864061886165426	0.2307469050485323	0.13887970912605296	0.2164760730382156	0.2721645203711344	0.2198601851998005	0.2024957879319125	0.20688399431370227	0.18022450037944973	0.21823215063182871	0.2518785868612548	0.21236959501696304	0.238000921273742	0.1980006075577495	0.19247017807999922	0.191638981388074	0.2215163468634827	0.27104129959996004	0.2926570932025563	0.37188041359994234	0.31826260935649137	0.3225980608474226	0.33793717908100573	0.33557404026142185	0.3247274894065937	0.3267394447923963	0.33108642804973415
S16H2	0.33830921722827195	0.3532478853789596	0.3420135051971559	0.3536316534968395	0.3614824328116384	0.35544622512975493	0.3423759955928753	0.3443333494417357	0.26725479665288526	0.20605435898163557	0.18198184150107227	0.0	0.30383751538789316	0.24817823181988288	0.15631103589740353	0.25236853428363637	0.3080569816165552	0.2557526464452213	0.2383882491773333	0.24277645555912308	0.21611696162487054	0.25412461187724955	0.28777104810667564	0.24826205626238385	0.27389338251916284	0.2338930688031703	0.22836263932542	0.22753144263349478	0.25740880810890354	0.3069337608453808	0.32854955444797707	0.4077728748453631	0.35415507060191215	0.3584905220928434	0.3738296403264265	0.37146650150684263	0.36061995065201446	0.3626319060378171	0.36697888929515493
F22H1A	0.4427335643437423	0.45767223249442995	0.4464378523126262	0.45805600061230983	0.4659067799271087	0.45987057224522526	0.4468003427083456	0.44875769655720604	0.37167914376835554	0.31047870609710587	0.2864061886165426	0.30383751538789316	0.0	0.28147419150189174	0.25624175055470555	0.3567928813991067	0.41248132873202553	0.3601769935606916	0.34281259629280364	0.3472008026745934	0.32054130874034087	0.3585489589927199	0.39219539522214597	0.3526864033778542	0.37831772963463317	0.3383174159186406	0.33278698644089033	0.3319557897489651	0.3618331552243738	0.41135810796085115	0.4329739015634474	0.5121972219608334	0.4585794177173825	0.4629148692083137	0.47825398744189684	0.47589084862231296	0.4650442977674848	0.4670562531532874	0.47140323641062526
S23Hp	0.38707428077573197	0.40201294892641964	0.3907785687446159	0.4023967170442995	0.4102474963590984	0.40421128867721495	0.3911410591403353	0.39309841298919573	0.3160198602003453	0.2548194225290956	0.2307469050485323	0.24817823181988288	0.28147419150189174	0.0	0.20058246698669524	0.3011335978310964	0.3568220451640153	0.30451770999268135	0.28715331272479333	0.2915415191065831	0.26488202517233056	0.30288967542470957	0.33653611165413566	0.29702711980984386	0.32265844606662286	0.2826581323506303	0.27712770287288	0.2762965061809548	0.30617387165636356	0.35569882439284084	0.3773146179954371	0.45653793839282314	0.40292013414937217	0.4072555856403034	0.42259470387388653	0.42023156505430265	0.4093850141994745	0.4113969695852771	0.41574395284261495
S26Hp	0.29520708485325264	0.3101457530039403	0.2989113728221366	0.3105295211218202	0.3183803004366191	0.3123440927547356	0.299273863217856	0.3012312170667164	0.22415266427786595	0.16295222660661624	0.13887970912605296	0.15631103589740353	0.25624175055470555	0.20058246698669524	0.0	0.20926640190861706	0.2649548492415359	0.21265051407020197	0.195286116802314	0.19967432318410377	0.17301482924985123	0.21102247950223021	0.2446689157316563	0.20515992388736454	0.2307912501441435	0.19079093642815098	0.1852605069504007	0.18442931025847548	0.2143066757338842	0.2638316284703615	0.28544742207295776	0.3646707424703438	0.31105293822689284	0.31538838971782407	0.3307275079514072	0.3283643691318233	0.31751781827699516	0.3195297736627978	0.3238767569201356
F1H1	0.3421089320363982	0.35704760018708587	0.34581322000528214	0.35743136830496575	0.36528214761976463	0.3592459399378812	0.34617571040100154	0.34813306424986196	0.27105451146101145	0.20985407378976179	0.2164760730382156	0.25236853428363637	0.3567928813991067	0.3011335978310964	0.20926640190861706	0.0	0.25207611753376336	0.24749146922895937	0.2301270719610714	0.23451527834286118	0.20785578440860863	0.24586343466098762	0.2795098708904137	0.24000087904612194	0.2656322053029009	0.22563189158690838	0.2201014621091581	0.23133115744162103	0.26120852291702973	0.31073347565350706	0.3323492692561033	0.41157258965348936	0.3579547854100384	0.3622902369009696	0.37762935513455276	0.37526621631496887	0.3644196654601407	0.36643162084594333	0.3707786041032812
S13Hp	0.39779737936931703	0.4127360475200047	0.401501667338201	0.4131198156378846	0.42097059495268346	0.4149343872708	0.40186415773392037	0.4038215115827808	0.32674295879393034	0.2655425211226806	0.2721645203711344	0.3080569816165552	0.41248132873202553	0.3568220451640153	0.2649548492415359	0.25207611753376336	0.0	0.3031799165618782	0.28581551929399024	0.29020372567578	0.26354423174152747	0.3015518819939065	0.33519831822333257	0.2956893263790408	0.32132065263581977	0.2813203389198272	0.27578990944207693	0.28701960477453986	0.31689697024994856	0.3664219229864259	0.38803771658902214	0.4672610369864082	0.4136432327429572	0.41797868423388845	0.4333178024674716	0.4309546636478877	0.42010811279305954	0.42212006817886216	0.4264670514362
S4Hp	0.3454930441979831	0.3604317123486708	0.34919733216686705	0.36081548046655065	0.36866625978134954	0.3626300520994661	0.34955982256258644	0.35151717641144686	0.2744386236225964	0.2132381859513467	0.2198601851998005	0.2557526464452213	0.3601769935606916	0.30451770999268135	0.21265051407020197	0.24749146922895937	0.3031799165618782	0.0	0.16883754946701263	0.19686251707861033	0.20017666294352426	0.23818431319590327	0.27183074942532937	0.23232175758103757	0.25795308383781657	0.217952770121824	0.21242234064407373	0.23471526960320593	0.26459263507861464	0.31411758781509197	0.3357333814176882	0.41495670181507427	0.3613388975716233	0.3656743490625545	0.38101346729613766	0.3786503284765538	0.3678037776217256	0.36981573300752824	0.3741627162648661
F6H1	0.32812864693009514	0.3430673150807828	0.3318329348989791	0.3434510831986627	0.35130186251346157	0.3452656548315781	0.3321954252946985	0.3341527791435589	0.25707422635470845	0.19587378868345873	0.2024957879319125	0.2383882491773333	0.34281259629280364	0.28715331272479333	0.195286116802314	0.2301270719610714	0.28581551929399024	0.16883754946701263	0.0	0.1794981198107224	0.1828122656756363	0.2208199159280153	0.2544663521574414	0.2149573603131496	0.24058868656992857	0.20058837285393605	0.19505794337618576	0.21735087233531797	0.24722823781072667	0.296753190547204	0.31836898414980025	0.3975923045471863	0.34397450030373533	0.34830995179466656	0.3636490700282497	0.3612859312086658	0.35043938035383765	0.35245133573964027	0.3567983189969781
S14Hp	0.3325168533118849	0.3474555214625726	0.33622114128076885	0.34783928958045246	0.35569006889525134	0.3496538612133679	0.33658363167648825	0.33854098552534867	0.26146243273649816	0.2002619950652485	0.20688399431370227	0.24277645555912308	0.3472008026745934	0.2915415191065831	0.19967432318410377	0.23451527834286118	0.29020372567578	0.19686251707861033	0.1794981198107224	0.0	0.18720047205742607	0.22520812230980508	0.2588545585392311	0.21934556669493938	0.24497689295171834	0.20497657923572582	0.19944614975797553	0.22173907871710774	0.25161644419251644	0.3011413969289938	0.32275719053159	0.4019805109289761	0.3483627066855251	0.35269815817645633	0.36803727641003947	0.3656741375904556	0.3548275867356274	0.35683954212143004	0.3611865253787679
