	F7H1	S18H1	S17H1	S26Hp	S19H1	S27H1	s25pp	S9H1	S15Hp	530451	S28Hp	S4Hp	f8pp	s29pp	S20H1	F14H1A	s3pp	S1Hp	S13Hp	S22Hp	F23HpA
S28Hp	0.49368769696982534	0.38626258988429946	0.5117279549584329	0.4637495218456462	0.5063393554600439	0.49243938576614044	0.37044444534284704	0.47453300044938795	0.49067122403836216	0.35051472949245255	0.0	0.35809230029512573	0.33392112488735787	0.48418636464830056	0.5261554954603835	0.486545416038788	0.4338272556089662	0.5460194199005627	0.7715095473733479	0.5448696918049011	0.5149806840739144
S4Hp	0.5232380008199087	0.4158128937343828	0.5412782588085163	0.4932998256957296	0.5358896593101273	0.5219896896162238	0.3999947491929304	0.5040833042994713	0.5202215278884456	0.44369714092742696	0.35809230029512573	0.0	0.3634714287374412	0.513736668498384	0.5557057993104669	0.5160957198888714	0.46337755945904957	0.5755697237506461	0.8010598512234313	0.5744199956549845	0.5445309879239977
f8pp	0.3662309627283069	0.2588058556427811	0.4085801192585324	0.36060168614574567	0.4031915197601434	0.3892915500662399	0.26729660964294644	0.3713851647494874	0.3875233883384616	0.4195259655196591	0.33392112488735787	0.3634714287374412	0.0	0.3567296304067822	0.39869876121886516	0.3590886817972696	0.3063705213674478	0.4185626856590443	0.6440528131318295	0.4174129575633827	0.387523949832396
s29pp	0.486472896416597	0.37904778933107114	0.5588453590194751	0.5108669259066884	0.5534567595210861	0.5395567898271826	0.41756184940388913	0.5216504045104301	0.5377886280994043	0.5697912052806018	0.48418636464830056	0.513736668498384	0.3567296304067822	0.0	0.41014006627760247	0.3705299868560069	0.36253513342815746	0.47472729771975386	0.700217425192539	0.47357756962409225	0.5077658835206861
S20H1	0.5284420272286801	0.42101692014315417	0.6008144898315582	0.5528360567187713	0.5954258903331691	0.5815259206392656	0.45953098021597216	0.5636195353225131	0.5797577589114873	0.6117603360926849	0.5261554954603835	0.5557057993104669	0.39869876121886516	0.41014006627760247	0.0	0.37638898343155563	0.40450426424024044	0.516696428531837	0.7421865560046221	0.5155467004361753	0.5497350143327691
F14H1A	0.48883194780708444	0.3814068407215586	0.5612044104099625	0.5132259772971759	0.5558158109115736	0.5419158412176701	0.4199209007943766	0.5240094559009176	0.5401476794898918	0.5721502566710892	0.486545416038788	0.5160957198888714	0.3590886817972696	0.3705299868560069	0.37638898343155563	0.0	0.3648941848186449	0.4770863491102414	0.7025764765830266	0.4759366210145798	0.5101249349111735
s3pp	0.4361137873772627	0.32868868029173687	0.5084862499801408	0.46050781686735404	0.5030976504817517	0.48919768078784825	0.3672027403645548	0.4712912954710958	0.48742951906007	0.5194320962412675	0.4338272556089662	0.46337755945904957	0.3063705213674478	0.36253513342815746	0.40450426424024044	0.3648941848186449	0.0	0.3242271899921903	0.5497173174649755	0.3616867720066733	0.4574067744813518
S1Hp	0.5483059516688591	0.44088084458333326	0.6206784142717372	0.5726999811589505	0.6152898147733482	0.6013898450794447	0.47939490465615126	0.5834834597626922	0.5996216833516664	0.6316242605328639	0.5460194199005627	0.5755697237506461	0.4185626856590443	0.47472729771975386	0.516696428531837	0.4770863491102414	0.3242271899921903	0.0	0.5130590322885629	0.4738789362982697	0.5695989387729482
S13Hp	0.7737960791416443	0.6663709720561185	0.8461685417445224	0.7981901086317357	0.8407799422461334	0.8268799725522299	0.7048850321289364	0.8089735872354774	0.8251118108244516	0.8571143880056491	0.7715095473733479	0.8010598512234313	0.6440528131318295	0.700217425192539	0.7421865560046221	0.7025764765830266	0.5497173174649755	0.5130590322885629	0.0	0.6993690637710549	0.7950890662457334
S22Hp	0.5471562235731975	0.43973111648767166	0.6195286861760756	0.5715502530632889	0.6141400866776866	0.6002401169837831	0.47824517656048965	0.5823337316670306	0.5984719552560048	0.6304745324372023	0.5448696918049011	0.5744199956549845	0.4174129575633827	0.47357756962409225	0.5155467004361753	0.4759366210145798	0.3616867720066733	0.4738789362982697	0.6993690637710549	0.0	0.5684492106772866
F23HpA	0.3664718255647408	0.3569859909009573	0.5896396784450889	0.5416612453323022	0.5842510789466999	0.5703511092527964	0.448356168829503	0.5524447239360439	0.5685829475250181	0.6005855247062156	0.5149806840739144	0.5445309879239977	0.387523949832396	0.5077658835206861	0.5497350143327691	0.5101249349111735	0.4574067744813518	0.5695989387729482	0.7950890662457334	0.5684492106772866	0.0
