	31379	530295	31333	F3H1	S14Hp	31766	S1Hp	31129	530364	S27H1	530052	530215	530055	31711	31750	31714	530444	530258	31600	31700	31112	S15Hp	S4Hp	S26Hp	S3Hp	S10H1	530050	31452	S21H1	530154	31236	530177	530394	31160	31267	31537	31071	S25Hp	31343	530331	31360	S19H1	31512	S17H1	S28Hp	530074	31749	530167	530315	530251	s24H1	531414	530119	31723	530368	31428	530227	S8Hp	31557	31219	F22H1A	31416	31009	31021	31300	31328	530163	31637	F14H1B	31519
530052	0.3553853014044292	0.36533890467449204	0.24404366924919263	0.31318655323228584	0.2798945430193471	0.33000718357745695	0.30059725873390986	0.23843815620059938	0.26076001618320976	0.21725023990823286	0.0	0.17910724366829886	0.3338499807944483	0.3555062229159752	0.28720267131537325	0.3907920796088846	0.28910934263020793	0.35487218544338806	0.34109498652504333	0.31350229696154197	0.4359585859279915	0.4195738751362693	0.31350493578878846	0.3935505394897004	0.4041907107657324	0.3677555238982775	0.3741097779120034	0.41019932855466	0.4003353598131331	0.4551109541238675	0.42516372370589856	0.4143017435456634	0.37814792869024927	0.39610267252138376	0.3199678051288053	0.4225534305639209	0.30058432474668445	0.3383237854001476	0.44709426650089695	0.41838830235106117	0.4311894908201398	0.3848432375500037	0.42555536917313885	0.4452699491381712	0.468731780305367	0.36500141423755067	0.36415795744054824	0.3622371250402038	0.3976697208124296	0.4548521183176243	0.4466837526045091	0.4606837848698176	0.46973609499184055	0.4673853501969861	0.41563026278931514	0.47697634552068036	0.4431473735105646	0.4345372704573803	0.4476662782013906	0.3412384729462246	0.4567596815643718	0.47672653766718465	0.34471984810041945	0.40277114706504175	0.33616158467344803	0.34710654549557285	0.3819096313130598	0.45040443422471255	0.31387700639386446	0.3673142097280759
530215	0.2594689574776972	0.26942256074776005	0.1481273253224607	0.21727020930555385	0.1839781990926151	0.23409083965072497	0.20468091480717787	0.14252181227386745	0.16484367225647784	0.12133389598150092	0.17910724366829886	0.0	0.2379336368677163	0.2595898789892433	0.19128632738864132	0.29487573568215264	0.19319299870347595	0.25895584151665607	0.24517864259831135	0.21758595303481	0.3400422420012596	0.32365753120953733	0.21758859186205648	0.2976341955629685	0.3082743668390004	0.2718391799715455	0.2781934339852714	0.31428298462792803	0.30441901588640113	0.3591946101971355	0.32924737977916657	0.3183853996189314	0.2822315847635173	0.30018632859465183	0.2240514612020733	0.32663708663718893	0.20466798081995247	0.2424074414734157	0.35117792257416497	0.3224719584243292	0.3352731468934078	0.28892689362327173	0.32963902524640687	0.34935360521143927	0.372815436378635	0.2690850703108187	0.2682416135138163	0.2663207811134718	0.3017533768856976	0.35893577439089236	0.3507674086777771	0.3647674409430856	0.37381975106510856	0.37146900627025414	0.31971391886258316	0.38106000159394837	0.3472310295838326	0.3386209265306483	0.35174993427465867	0.24532212901949263	0.3608433376376398	0.38081019374045266	0.24880350417368746	0.30685480313830976	0.24024524074671605	0.2511902015688409	0.28599328738632784	0.35448809029798056	0.21796066246713247	0.2713978658013439
530055	0.30147807099956386	0.3114316742696267	0.20735624775534922	0.28889850108865356	0.2556064908757148	0.3057191314338247	0.2763092065902776	0.27495701758528773	0.2972788775678981	0.2537691012929212	0.3338499807944483	0.2379336368677163	0.0	0.24450988258100798	0.176206330980406	0.3368848492040193	0.2352021122253426	0.3009649550385227	0.287187756120178	0.25959506655667663	0.3820513555231262	0.365666644731404	0.2595977053839231	0.3396433090848351	0.35028348036086704	0.31384829349341214	0.32020254750713806	0.3562920981497947	0.3464281294082678	0.40120372371900215	0.3712564933010332	0.36039451314079807	0.32424069828538393	0.3421954421165184	0.26606057472393996	0.3686462001590556	0.24667709434181911	0.2844165549952823	0.3931870360960316	0.36448107194619583	0.37728226041527446	0.3309360071451384	0.3716481387682735	0.39136271873330586	0.41482454990050166	0.31109418383268533	0.3102507270356829	0.30832989463533844	0.34376249040756424	0.40094488791275895	0.39277652219964376	0.40677655446495226	0.4158288645869752	0.4134781197921208	0.3617230323844498	0.423069115115815	0.38924014310569927	0.38063004005251494	0.39375904779652526	0.2873312425413593	0.40285245115950646	0.4228193072623193	0.2908126176955541	0.3488639166601764	0.2822543542685827	0.2931993150907075	0.3280024009081945	0.3964972038198472	0.2599697759889991	0.31340697932321054
31711	0.32313431312109087	0.33308791639115365	0.2290124898768762	0.3105547432101805	0.2772627329972418	0.3273753735553516	0.2979654487118045	0.29661325970681474	0.3189351196894251	0.2754253434144482	0.3555062229159752	0.2595898789892433	0.24450988258100798	0.0	0.17000811851512465	0.35854109132554624	0.25685835434686954	0.32262119716004967	0.30884399824170494	0.2812513086782036	0.4037075976446532	0.3873228868529309	0.2812539475054501	0.3612995512063621	0.37193972248239404	0.3355045356149391	0.341858789628665	0.3779483402713216	0.3680843715297948	0.4228599658405291	0.3929127354225602	0.382050755262325	0.3458969404069109	0.3638516842380454	0.2877168168454669	0.39030244228058253	0.2683333364633461	0.3060727971168093	0.4148432782175586	0.3861373140677228	0.3989385025368014	0.3525922492666653	0.39330438088980046	0.41301896085483286	0.4364807920220286	0.33275042595421234	0.3319069691572099	0.3299861367568654	0.3654187325290912	0.42260113003428595	0.4144327643211707	0.42843279658647926	0.43748510670850216	0.43513436191364774	0.38337927450597675	0.44472535723734197	0.41089638522722627	0.40228628217404194	0.41541528991805227	0.3089874846628863	0.42450869328103347	0.44447554938384626	0.31246885981708106	0.3705201587817034	0.30391059639010964	0.3148555572122345	0.3496586430297215	0.41815344594137416	0.28162601811052607	0.33506322144473755
31750	0.2548307615204889	0.2647843647905517	0.16070893827627422	0.24225119160957856	0.20895918139663983	0.25907182195474965	0.22966189711120258	0.22830970810621273	0.25063156808882314	0.2071217918138462	0.28720267131537325	0.19128632738864132	0.176206330980406	0.17000811851512465	0.0	0.29023753972494426	0.1885548027462676	0.2543176455594477	0.240540446641103	0.2129477570776016	0.3354040460440512	0.31901933525232895	0.2129503959048481	0.2929959996057601	0.30363617088179207	0.2672009840143371	0.27355523802806303	0.30964478867071965	0.2997808199291928	0.3545564142399271	0.32460918382195825	0.31374720366172304	0.2775933888063089	0.29554813263744345	0.21941326524486496	0.32199889067998055	0.20002978486274411	0.23776924551620732	0.34653972661695664	0.3178337624671208	0.33063495093619943	0.28428869766606335	0.3250008292891985	0.3447154092542309	0.36817724042142663	0.26444687435361036	0.26360341755660793	0.2616825851562634	0.2971151809284892	0.354297578433684	0.34612921272056874	0.3601292449858773	0.3691815551079002	0.36683081031304576	0.3150757229053748	0.37642180563674	0.3425928336266243	0.33398273057343997	0.3471117383174503	0.24068393306228428	0.3562051416804315	0.3761719977832443	0.24416530821647908	0.30221660718110144	0.2356070447895077	0.24655200561163254	0.2813550914291195	0.3498498943407722	0.2133224665099241	0.26675966984413557
31714	0.3335234884018064	0.34347709167186924	0.26429834656978557	0.3458405999030899	0.31254858969015115	0.362661230248261	0.3332513054047139	0.3318991163997241	0.35422097638233446	0.31071120010735753	0.3907920796088846	0.29487573568215264	0.3368848492040193	0.35854109132554624	0.29023753972494426	0.0	0.13129645491347672	0.26513386822375296	0.25135666930540823	0.22376397974190687	0.3462202687083564	0.3298355579166342	0.265406859238641	0.345452462939553	0.3560926342155849	0.31965744734813	0.32601170136185587	0.3621012520045125	0.35223728326298565	0.40701287757372	0.3770656471557511	0.36620366699551593	0.3300498521401018	0.34800459597123634	0.2718697285786578	0.3744553540137734	0.252486248196537	0.2902257088500002	0.3989961899507495	0.3702902258009137	0.3830914142699923	0.33674516099985624	0.3774572926229913	0.3971718725880238	0.4206337037552196	0.3169033376874032	0.3160598808904008	0.31413904849005625	0.3495716442622821	0.40675404176747687	0.39858567605436157	0.4125857083196701	0.42163801844169313	0.41928727364683865	0.3675321862391676	0.42887826897053294	0.39504929696041713	0.3864391939072328	0.3995682016512432	0.29314039639607714	0.4086616050142243	0.42862846111703723	0.2966217715502719	0.3546730705148943	0.28806350812330056	0.29900846894542543	0.33381155476291235	0.402306357674565	0.265778929843717	0.3454523967254531
530444	0.2318407514231297	0.24179435469319255	0.16261560959110888	0.24415786292441322	0.21086585271147446	0.26097849326958433	0.23156856842603724	0.2302163794210474	0.25253823940365777	0.20902846312868084	0.28910934263020793	0.19319299870347595	0.2352021122253426	0.25685835434686954	0.1885548027462676	0.13129645491347672	0.0	0.16345113124507626	0.1496739323267316	0.1220812427632302	0.2445375317296798	0.22815282093795752	0.1637241222599643	0.2437697259608763	0.2544098972369082	0.21797471036945332	0.2243289643831792	0.2604185150258358	0.25055454628430895	0.3053301405950433	0.2753829101770744	0.26452093001683924	0.2283671151614251	0.24632185899255962	0.17018699159998113	0.2727726170350967	0.1508035112178603	0.18854297187132352	0.2973134529720728	0.268607488822237	0.28140867729131563	0.23506242402117955	0.27577455564431463	0.2954891356093471	0.3189509667765429	0.2152206007087265	0.2143771439117241	0.2124563115113796	0.2478889072836054	0.3050713047888002	0.2969029390756849	0.31090297134099343	0.31995528146301644	0.31760453666816196	0.2658494492604909	0.32719553199185625	0.29336655998174044	0.2847564569285561	0.2978854646725665	0.19145765941740045	0.30697886803554764	0.32694572413836054	0.19493903457159525	0.2529903335362176	0.18638077114462387	0.1973257319667487	0.23212881778423566	0.3006236206958883	0.1640961928650403	0.2437696597467764
530258	0.2976035942363098	0.30755719750637267	0.22837845240428897	0.30992070573759334	0.2766286955246545	0.32674133608276446	0.29733141123921736	0.29597922223422746	0.31830108221683784	0.27479130594186096	0.35487218544338806	0.25895584151665607	0.3009649550385227	0.32262119716004967	0.2543176455594477	0.26513386822375296	0.16345113124507626	0.0	0.13322556547558934	0.15866911937269892	0.2811254083391485	0.26474069754742624	0.22948696507314437	0.3095325687740564	0.32017274005008833	0.2837375531826334	0.2900918071963593	0.3261813578390159	0.3163173890974891	0.3710929834082234	0.3411457529902545	0.3302837728300193	0.29412995797460517	0.3120847018057397	0.23594983441316122	0.3385354598482768	0.21656635403104038	0.2543058146845036	0.3630762957852529	0.3343703316354171	0.3471715201044957	0.3008252668343596	0.34153739845749476	0.36125197842252715	0.38471380958972295	0.28098344352190663	0.2801399867249042	0.2782191543245597	0.3136517500967855	0.37083414760198025	0.362665781888865	0.37666581415417355	0.3857181242761965	0.38336737948134203	0.33161229207367104	0.3929583748050363	0.35912940279492056	0.35051929974173623	0.36364830748574656	0.25722050223058057	0.37274171084872776	0.3927085669515406	0.26070187738477535	0.3187531763493977	0.25214361395780394	0.2630885747799288	0.2978916605974158	0.36638646350906845	0.22985903567822036	0.30953250255995646
31600	0.2838263953179651	0.29377999858802795	0.21460125348594428	0.2961435068192486	0.26285149660630985	0.31296413716441973	0.28355421232087263	0.2822020233158828	0.30452388329849317	0.26101410702351624	0.34109498652504333	0.24517864259831135	0.287187756120178	0.30884399824170494	0.240540446641103	0.25135666930540823	0.1496739323267316	0.13322556547558934	0.0	0.14489192045435423	0.26734820942080384	0.25096349862908157	0.2157097661547997	0.2957553698557117	0.3063955411317436	0.2699603542642887	0.27631460827801463	0.31240415892067125	0.30254019017914435	0.3573157844898787	0.3273685540719098	0.31650657391167464	0.2803527590562605	0.29830750288739505	0.22217263549481653	0.32475826092993215	0.20278915511269568	0.24052861576615892	0.3492990968669082	0.3205931327170724	0.33339432118615103	0.28704806791601495	0.3277601995391501	0.3474747795041825	0.3709366106713783	0.2672062446035619	0.26636278780655953	0.264441955406215	0.2998745511784408	0.3570569486836356	0.34888858297052033	0.3628886152358289	0.37194092535785184	0.36959018056299736	0.3178350931553264	0.37918117588669165	0.34535220387657584	0.3367421008233915	0.3498711085674019	0.24344330331223585	0.35896451193038303	0.37893136803319594	0.24692467846643068	0.304975977431053	0.23836641503945927	0.24931137586158414	0.28411446167907106	0.3526092645907238	0.2160818367598757	0.2957553036416118
31700	0.2562337057544637	0.2661873090245266	0.18700856392244292	0.26855081725574725	0.2352588070428085	0.28537144760091837	0.2559615227573713	0.25460933375238143	0.2769311937349918	0.23342141746001488	0.31350229696154197	0.21758595303481	0.25959506655667663	0.2812513086782036	0.2129477570776016	0.22376397974190687	0.1220812427632302	0.15866911937269892	0.14489192045435423	0.0	0.19077073072726478	0.1743860199355425	0.1881170765912983	0.2681626802922103	0.27880285156824225	0.24236766470078736	0.2487219187145132	0.28481146935716983	0.274947500615643	0.32972309492637736	0.29977586450840843	0.2889138843481733	0.25276006949275914	0.27071481332389363	0.19457994593131517	0.29716557136643074	0.17519646554919432	0.21293592620265753	0.3217064073034068	0.29300044315357104	0.3058016316226497	0.2594553783525136	0.30016750997564867	0.31988208994068107	0.34334392110787687	0.23961355504006054	0.23877009824305812	0.2368492658427136	0.27228186161493945	0.32946425912013416	0.3212958934070189	0.33529592567232747	0.3443482357943504	0.341997490999496	0.29024240359182496	0.35158848632319023	0.3177595143130745	0.30914941125989015	0.3222784190039005	0.2158506137487345	0.3313718223668817	0.3513386784696945	0.21933198890292926	0.2773832878675516	0.2107737254759579	0.22171868629808272	0.2565217721155697	0.32501657502722237	0.1884891471963743	0.2681626140781104
