	S20H1	S9H1	w20pp	f20ppA	w9pp	f1pp	w17pp	S1Hp	S21H1	w1pp	S11Hp	S22Hp	w19pp	S3Hp	w3pp	F7H1	w14pp	w13pp	f4pp	F32H1	F22HpB	f22ppB	f6ppB	f8pp	F23HpA	w8pp	f2pp	S2Hp	f17ppB	f19pp	f23ppA	f18pp	f21pp	f32pp	f30pp	w12pp	f13pp	w10pp	f7pp	s24H1	f24pp	S13Hp	w24pp	w28pp	S23Hp	w23pp	f14ppB	f25pp	w25pp	f16ppB	f16ppA	w26pp	f26pp	S26Hp	w27pp	w29pp	S31Hp	f15pp	F3H1	S18H1	f23ppB	w11pp	f11pp	f14ppA	f12ppB	f10pp	f12ppA	f6ppA
S11Hp	0.4030362524513588	0.42494977109165943	0.2650532193129672	0.2637684822662453	0.2505879012464678	0.21202652571715677	0.23593493893453515	0.33105715513343853	0.3525954444668503	0.29583593638055405	0.0	0.2577502259075436	0.3316939745945139	0.29641238533180436	0.28878839189398037	0.4239414703114471	0.3526126427480894	0.30306434776766067	0.23390847540365514	0.44317929440224313	0.42767727109550874	0.2949908556180298	0.2448036664747683	0.24914419685799513	0.44106122016067306	0.3416324017907314	0.3325884282450852	0.44647926303773333	0.27088248524427516	0.32288088851090346	0.25090531033913593	0.33983842220904276	0.3080655327578349	0.27070939444608993	0.24503871595055918	0.31158051961556305	0.32471716165976416	0.24675491469001326	0.23806222004888794	0.40896617031641125	0.27001758691496563	0.9205375523961372	0.26993543811385246	0.2540963211542218	0.4454467443665677	0.36145632579539855	0.29983048414678043	0.3187649692491	0.37407970858401157	0.39177961285191626	0.29749374695456876	0.2990087422388903	0.35815573431494513	0.41333866668033425	0.32009069380093125	0.39322889843825193	0.4737530677790698	0.44074538304575395	0.4679254655573216	0.38982241821091523	0.29114878609729267	0.2691996078273093	0.29118914568619	0.25893220940377204	0.2315906110960094	0.2315906110960094	0.3150099813590405	0.2822126724372839
S22Hp	0.3660396150063688	0.3879531336466694	0.22805658186797725	0.22677184482125531	0.2135912638014778	0.17502988827216678	0.19893830148954517	0.29406051768844854	0.3155988070218604	0.2588392989355641	0.2577502259075436	0.0	0.2946973371495239	0.2594157478868143	0.2517917544489904	0.3869448328664571	0.3156160053030994	0.2660677103226707	0.19691183795866515	0.4061826569572531	0.39068063365051875	0.2579942181730398	0.20780702902977832	0.21214755941300514	0.404064582715683	0.30463576434574147	0.29559179080009523	0.4094826255927433	0.2338858477992852	0.2858842510659135	0.21390867289414595	0.30284178476405277	0.2710688953128449	0.23371275700109995	0.2080420785055692	0.27458388217057306	0.2877205242147741	0.20975827724502327	0.20106558260389795	0.3719695328714213	0.23302094946997562	0.8835409149511473	0.2329388006688625	0.21709968370923183	0.4084501069215777	0.3244596883504086	0.26283384670179044	0.28176833180411004	0.3370830711390216	0.35478297540692627	0.2604971095095788	0.26201210479390036	0.32115909686995514	0.3763420292353442	0.28309405635594126	0.3562322609932619	0.43675643033407974	0.403748745600764	0.43092882811233163	0.3528257807659252	0.25415214865230273	0.2322029703823193	0.2541925082412	0.22193557195878208	0.1945939736510194	0.1945939736510194	0.27801334391405047	0.24521603499229383
w19pp	0.3601042719371892	0.38201779057748986	0.22212123879879767	0.22083650175207573	0.20765592073229822	0.1690945452029872	0.20607333183229548	0.30119554803119886	0.3227338373646107	0.26597432927831444	0.3316939745945139	0.2946973371495239	0.0	0.2534804048176348	0.2458564113798108	0.3810094897972775	0.3096806622339198	0.2601323672534911	0.19097649488948557	0.40024731388807355	0.38474529058133916	0.2520588751038602	0.20187168596059873	0.20621221634382556	0.3981292396465035	0.2987004212765618	0.28965644773091564	0.40354728252356376	0.2279505047301056	0.2799489079967339	0.20797332982496636	0.2969064416948732	0.2651335522436653	0.22777741393192036	0.2021067354363896	0.26864853910139347	0.2817851811455946	0.20382293417584368	0.19513023953471836	0.36603418980224167	0.22708560640079603	0.8776055718819676	0.2270034575996829	0.21116434064005224	0.40251476385239815	0.31852434528122897	0.25689850363261085	0.27583298873493045	0.331147728069842	0.3488476323377467	0.2545617664403992	0.2560767617247207	0.31522375380077555	0.3704066861661647	0.27715871328676167	0.35029691792408235	0.4308210872649002	0.39781340253158437	0.42499348504315204	0.34689043769674566	0.24821680558312312	0.2262676273131397	0.2482571651720204	0.2160002288896025	0.18865863058183982	0.18865863058183982	0.2720780008448709	0.23928069192311424
S3Hp	0.28210866232691456	0.30402218096721517	0.14412562918852298	0.14284089214180104	0.12966031112202356	0.12069578377117057	0.17079174256958596	0.26591395876848933	0.2874522481019011	0.23069274001560486	0.29641238533180436	0.2594157478868143	0.2534804048176348	0.0	0.11073705946916013	0.2952302135968947	0.22390138603353707	0.17435309105310834	0.11298088527921091	0.32225170427779887	0.3067496809710645	0.17406326549358556	0.12387607635032406	0.1282166067335509	0.3201336300362288	0.2207048116662872	0.21166083812064101	0.32555167291328907	0.14995489511983096	0.2019532983864592	0.12997772021469173	0.21891083208459852	0.18713794263339062	0.14978180432164573	0.12411112582611494	0.1906529294911188	0.2037895715353199	0.12582732456556903	0.11713462992444372	0.28803858019196704	0.1490899967905214	0.799609962271693	0.14900784798940825	0.13316873102977758	0.32451915424212346	0.24052873567095434	0.17890289402233622	0.19783737912465582	0.25315211845956737	0.27085202272747205	0.17656615683012455	0.17808115211444608	0.23722814419050092	0.29241107655589	0.19916310367648704	0.27230130831380767	0.3528254776546255	0.31981779292130974	0.3469978754328774	0.26889482808647097	0.17022119597284846	0.14827201770286508	0.17026155556174577	0.13800461927932783	0.11066302097156516	0.11066302097156516	0.19408239123459625	0.16128508231283958
w3pp	0.2744846688890905	0.2963981875293912	0.136501635750699	0.13521689870397707	0.12203631768419959	0.11307179033334659	0.16316774913176196	0.25828996533066534	0.2798282546640771	0.22306874657778086	0.28878839189398037	0.2517917544489904	0.2458564113798108	0.11073705946916013	0.0	0.2876062201590708	0.2162773925957131	0.16672909761528437	0.10535689184138691	0.3146277108399749	0.29912568753324054	0.1664392720557616	0.11625208291250008	0.12059261329572693	0.3125096365984048	0.2130808182284632	0.20403684468281702	0.3179276794754651	0.14233090168200696	0.19432930494863523	0.12235372677686773	0.21128683864677456	0.17951394919556665	0.14215781088382173	0.11648713238829095	0.18302893605329484	0.19616557809749594	0.11820333112774506	0.10951063648661974	0.2804145867541431	0.1414660033526974	0.7919859688338691	0.14138385455158428	0.12554473759195361	0.31689516080429947	0.23290474223313037	0.17127890058451223	0.19021338568683183	0.24552812502174337	0.26322802928964806	0.16894216339230056	0.17045715867662212	0.22960415075267693	0.284787083118066	0.19153911023866305	0.26467731487598367	0.3452014842168015	0.3121937994834858	0.3393738819950534	0.261270834648647	0.1625972025350245	0.14064802426504108	0.16263756212392178	0.13038062584150384	0.10303902753374118	0.10303902753374118	0.18645839779677226	0.1536610888750156
F7H1	0.40963774730655733	0.431551265946858	0.2716547141681657	0.2703699771214438	0.2571893961016663	0.24822486875081332	0.2983208275492287	0.39344304374813205	0.41498133308154384	0.3582218249952476	0.4239414703114471	0.3869448328664571	0.3810094897972775	0.2952302135968947	0.2876062201590708	0.0	0.3276913404678694	0.2781430454874407	0.24050997025885365	0.4497807892574416	0.43427876595070725	0.3015923504732283	0.2514051613299668	0.25574569171319367	0.4476627150158715	0.34823389664592996	0.33918992310028373	0.4530807578929318	0.2774839800994737	0.32948238336610197	0.25750680519433444	0.34643991706424127	0.3146670276130334	0.27731088930128844	0.25164021080575766	0.31818201447076155	0.3313186565149626	0.25335640954521177	0.24466371490408645	0.4155676651716098	0.27661908177016414	0.9271390472513358	0.276536932969051	0.2606978160094203	0.4520482392217662	0.3680578206505971	0.30643197900197894	0.32536646410429854	0.3806812034392101	0.39838110770711477	0.30409524180976727	0.30561023709408885	0.36475722917014364	0.4199401615355327	0.32669218865612976	0.3998303932934504	0.48035456263426823	0.4473468779009525	0.4745269604125201	0.3964239130661137	0.29775028095249123	0.2758011026825078	0.2977906405413885	0.2655337042589706	0.2381921059512079	0.2381921059512079	0.321611476214239	0.2888141672924824
w14pp	0.3383089197431996	0.3602224383835002	0.20032588660480807	0.19904114955808613	0.18586056853830862	0.17689604118745564	0.226991999985871	0.32211421618477437	0.34365250551818616	0.2868929974318899	0.3526126427480894	0.3156160053030994	0.3096806622339198	0.22390138603353707	0.2162773925957131	0.3276913404678694	0.0	0.17967203223127312	0.16918114269549597	0.3784519616940839	0.36294993838734957	0.23026352290987062	0.18007633376660914	0.18441686414983596	0.37633388745251384	0.2769050690825723	0.26786109553692605	0.3817519303295741	0.20615515253611602	0.2581535558027443	0.18617797763097677	0.2751110895008836	0.2433382000496757	0.20598206173793077	0.1803113832424	0.24685318690740388	0.25998982895160494	0.1820275819818541	0.17333488734072877	0.34423883760825214	0.20529025420680644	0.8558102196879781	0.20520810540569331	0.18936898844606265	0.3807194116584085	0.29672899308723943	0.23510315143862126	0.25403763654094086	0.3093523758758524	0.3270522801437571	0.2327664142464096	0.23428140953073115	0.29342840160678596	0.34861133397217503	0.2553633610927721	0.3285015657300927	0.40902573507091056	0.37601805033759483	0.40319813284916245	0.325095085502756	0.22642145338913353	0.20447227511915012	0.2264618129780308	0.1942048766956129	0.16686327838785023	0.16686327838785023	0.2502826486508813	0.21748533972912465
w13pp	0.28876062476277087	0.31067414340307153	0.15077759162437934	0.1494928545776574	0.1363122735578799	0.1273477462070269	0.17744370500544226	0.27256592120434564	0.2941042105377575	0.2373447024514612	0.30306434776766067	0.2660677103226707	0.2601323672534911	0.17435309105310834	0.16672909761528437	0.2781430454874407	0.17967203223127312	0.0	0.11963284771506724	0.32890366671365523	0.31340164340692084	0.1807152279294419	0.1305280387861804	0.13486856916940723	0.32678559247208516	0.22735677410214353	0.21831280055649732	0.33220363534914543	0.1566068575556873	0.20860526082231556	0.13662968265054803	0.22556279452045486	0.19378990506924698	0.15643376675750204	0.13076308826197128	0.19730489192697515	0.21044153397117626	0.13247928700142536	0.12378659236030005	0.2946905426278234	0.15574195922637774	0.8062619247075493	0.1556598104252646	0.13982069346563392	0.3311711166779798	0.2471806981068107	0.18555485645819253	0.20448934156051213	0.2598040808954237	0.27750398516332836	0.18321811926598086	0.18473311455030245	0.24388010662635723	0.29906303899174635	0.20581506611234335	0.27895327074966403	0.3594774400904819	0.3264697553571661	0.3536498378687337	0.27554679052232733	0.17687315840870482	0.15492398013872138	0.17691351799760208	0.14465658171518417	0.1173149834074215	0.1173149834074215	0.2007343536704526	0.16793704474869592
f4pp	0.21002024608944697	0.23193376472974764	0.07203721295105545	0.0707524759043335	0.05757189488455602	0.05819187384302137	0.10828783264143674	0.2034100488403401	0.22494833817375193	0.16818883008745567	0.23390847540365514	0.19691183795866515	0.19097649488948557	0.11298088527921091	0.10535689184138691	0.24050997025885365	0.16918114269549597	0.11963284771506724	0.0	0.22116759415749698	0.20566557085076262	0.0729791553732837	0.022791966230022206	0.027132496613249048	0.21904951991592692	0.11962070154598534	0.11057672800033914	0.22446756279298719	0.0488707849995291	0.10086918826615736	0.028893610094389857	0.11782672196429667	0.08605383251308878	0.06274883165140527	0.03707815315587449	0.11856451325365126	0.13170115529785237	0.05373890832810149	0.04504621368697618	0.2159501639544995	0.07700158055305385	0.7275215460342255	0.07691943175194071	0.061080314792310034	0.25243073800465593	0.1684403194334868	0.10681447778486866	0.12574896288718826	0.1810637022220998	0.1987636064900045	0.10447774059265699	0.10599273587697855	0.16513972795303336	0.22032266031842246	0.12707468743901948	0.20021289207634013	0.280737061417158	0.2477293766838422	0.2749094591954099	0.19680641184900344	0.09813277973538093	0.07618360146539752	0.09817313932427821	0.06591620304186029	0.038574604734097614	0.038574604734097614	0.12199397499712869	0.08919666607537205
F32H1	0.419291065088035	0.4412045837283356	0.2813080319496434	0.28002329490292144	0.266842713883144	0.26746269284160934	0.3175586516400247	0.4126808678389281	0.4342191571723399	0.3774596490860436	0.44317929440224313	0.4061826569572531	0.40024731388807355	0.32225170427779887	0.3146277108399749	0.4497807892574416	0.3784519616940839	0.32890366671365523	0.22116759415749698	0.0	0.4147958811540591	0.28210946567658013	0.23192227653331865	0.23626280691654547	0.42817983021922335	0.3287510118492818	0.31970703830363556	0.4335978730962836	0.25800109530282556	0.3099994985694538	0.23802392039768627	0.3269570322675931	0.2951841428163852	0.2720196506499932	0.24634897215446244	0.3278353322522392	0.3409719742964403	0.2630097273266894	0.25431703268556416	0.42522098295308747	0.2862723995516418	0.9367923650328134	0.2861902507505287	0.270351133790898	0.4617015570032439	0.37771113843207477	0.31608529678345665	0.3350197818857762	0.3903345212206878	0.4080344254885925	0.3137485595912449	0.3152635548755665	0.37441054695162135	0.4295934793170104	0.3363455064376074	0.4094837110749281	0.49000788041574594	0.45700019568243017	0.4841802781939978	0.4060772308475914	0.3074035987339689	0.2854544204639855	0.3074439583228662	0.27518702204044826	0.2478454237326856	0.2478454237326856	0.3312647939957167	0.29846748507396004
