	530119	31129	530451	530163	w14pp	f11pp	w20pp	f16ppA	f20ppA	w26pp	w2pp	w16pp	w32pp	w11pp	w17pp	w21pp	31749	w19pp	f2pp	w18pp	f7pp	f8pp	f14ppB	530364	31416	31232	F8H1	31333	531424	31700	530050	31328	S28Hp	S19H1	530075	F3H1	31009	s24H1	31160	530315	31452	31600	530052	530215	31766	S1Hp	31750	530444	530295	S29H1	530177	31723	31714	31267	530055	530258	31428	31512	31300	S26Hp	31360	31071	F22HpB	31519	S21H1	530368	31379	31343	530074	31021
w2pp	0.3578937308227075	0.36730632441803585	0.19663551662491424	0.07381285249826763	0.03995683690291844	0.04807545369571196	0.02916416770695622	0.04466185311507667	0.036903872099550955	0.025026391604256487	0.0	0.023604661140037602	0.047009821997679155	0.024959629491397337	0.033102214607763386	0.05246026200921668	0.06648353089273162	0.03870549315516225	0.03800062668549602	0.035623755054933995	0.04107611592818777	0.04095154424381579	0.03981920043189753	0.12965191787305347	0.20481928072081423	0.24512972744928072	0.2803439928641942	0.2939171760244738	0.2565181088134218	0.2534749824513404	0.25819838253905075	0.254301426962829	0.2657186595332089	0.28050590607607584	0.27399037321816144	0.24677062847829645	0.2336321152667309	0.27671362753693646	0.2468646373183142	0.3041318537203787	0.24272845070996257	0.24772507445414035	0.2976183300136678	0.3074548128334459	0.30543894638464825	0.2886105010456159	0.2772743957728416	0.2659649102387063	0.2853674848935102	0.2986060122517792	0.2849594717240968	0.28469979548332125	0.28193446024992064	0.2656837487585781	0.287201780819216	0.2665920854462312	0.2665631232982678	0.28386926713954913	0.24923800824114617	0.2720147655890292	0.2924078202382243	0.2361409938028154	0.29801391376021596	0.2852986385634425	0.289741481180566	0.2559086115742873	0.22998889607194403	0.24156781063713031	0.3130669339580055	0.30076337904783484
w16pp	0.36437531791377054	0.3737879115090989	0.2031171037159773	0.08029443958933066	0.04643842399398147	0.05455704078677499	0.03564575479801926	0.0511434402061397	0.04338545919061399	0.03150797869531952	0.023604661140037602	0.0	0.0534914090887422	0.03144121658246037	0.03958380169882643	0.058941849100279706	0.07296511798379467	0.045187080246225295	0.04448221377655906	0.04210534214599703	0.04755770301925081	0.047433131334878836	0.046300787522960574	0.13613350496411653	0.2113008678118773	0.2516113145403438	0.28682557995525726	0.3003987631155369	0.26299969590448485	0.2599565695424035	0.2646799696301138	0.26078301405389204	0.272200246624272	0.2869874931671389	0.2804719603092245	0.2532522155693595	0.24011370235779395	0.28319521462799957	0.25334622440937726	0.31061344081144177	0.24921003780102563	0.25420666154520344	0.30409991710473083	0.31393639992450895	0.3119205334757113	0.295092088136679	0.2837559828639047	0.27244649732976933	0.29184907198457327	0.30508759934284224	0.2914410588151599	0.2911813825743843	0.2884160473409837	0.27216533584964114	0.29368336791027905	0.27307367253729425	0.27304471038933087	0.2903508542306122	0.2557195953322092	0.2784963526800923	0.29888940732928737	0.24262258089387848	0.304495500851279	0.29178022565450557	0.29622306827162903	0.26239019866535035	0.23647048316300712	0.24804939772819337	0.31954852104906856	0.3072449661388979
w32pp	0.3764138231634751	0.38582641675880347	0.21515560896568187	0.09233294483903523	0.05847692924368604	0.06659554603647956	0.047684260047723824	0.06318194545584427	0.05542396444031856	0.0484419770028993	0.047009821997679155	0.0534914090887422	0.0	0.03367773407586967	0.051622306948531	0.07098035434998429	0.08500362323349923	0.05722558549592986	0.05652071902626363	0.0541438473957016	0.05959620826895538	0.059471636584583404	0.05833929277266514	0.1481720102138211	0.22333937306158186	0.26364981979004837	0.2988640852049619	0.31243726836524144	0.2750382011541894	0.27199507479210805	0.2767184748798184	0.2728215193035966	0.2842387518739765	0.2990259984168435	0.29251046555892907	0.2652907208190641	0.2521522076074985	0.2952337198777041	0.26538472965908183	0.32265194606114633	0.2612485430507302	0.266245166794908	0.31613842235443546	0.32597490517421357	0.32395903872541587	0.3071305933863836	0.2957944881136092	0.2844850025794739	0.30388757723427784	0.31712610459254686	0.3034795640648644	0.3032198878240889	0.3004545525906883	0.2842038410993457	0.3057218731599836	0.2851121777869988	0.28508321563903544	0.30238935948031676	0.2677581005819138	0.29053485792979683	0.310927912578992	0.25466108614358307	0.3165340061009836	0.3038187309042102	0.3082615735213336	0.2744287039150549	0.24850898841271168	0.26008790297789797	0.3315870262987731	0.31928347138860247
w11pp	0.35436363065719323	0.3637762242525216	0.19310541645940002	0.07028275233275341	0.03642673673740422	0.04454535353019774	0.025634067541442006	0.04113175294956245	0.03337377193403674	0.02639178449661748	0.024959629491397337	0.03144121658246037	0.03367773407586967	0.0	0.029572114442249175	0.048930161843702455	0.06295343072721742	0.035175392989648044	0.03447052651998181	0.03209365488941978	0.03754601576267356	0.037421444078301586	0.036289100266383316	0.12612181770753927	0.2012891805553	0.2415996272837665	0.27681389269868	0.2903870758589596	0.2529880086479076	0.2499448822858262	0.25466828237353656	0.25077132679731473	0.2621885593676947	0.27697580591056165	0.2704602730526472	0.24324052831278223	0.2301020151012167	0.27318352737142226	0.24333453715279998	0.3006017535548645	0.23919835054444835	0.24419497428862613	0.2940882298481536	0.3039247126679317	0.30190884621913405	0.2850804008801017	0.2737442956073274	0.262434810073192	0.281837384727996	0.295075912086265	0.2814293715585826	0.281169695317807	0.27840436008440644	0.2621536485930639	0.28367168065370174	0.263061985280717	0.26303302313275356	0.28033916697403494	0.24570790807563195	0.268484665423515	0.2888777200727101	0.2326108936373012	0.29448381359470177	0.2817685383979283	0.2862113810150517	0.2523785114087731	0.2264587959064298	0.2380377104716161	0.30953683379249125	0.2972332788823206
w17pp	0.3568653590185966	0.366277952613925	0.1956071448208034	0.0727844806941568	0.03892846509880761	0.04704708189160113	0.028135795902845394	0.04363348131096584	0.03587550029544013	0.034534369612983534	0.033102214607763386	0.03958380169882643	0.051622306948531	0.029572114442249175	0.0	0.03510601496046352	0.05621021653560142	0.028432178798032042	0.02772731232836581	0.03459538325082317	0.040047744124076946	0.039923172439704974	0.038790828627786704	0.12862354606894266	0.2037909089167034	0.24410135564516988	0.2793156210600834	0.292888804220363	0.255489737009311	0.2524466106472296	0.25717001073493995	0.2532730551587181	0.2646902877290981	0.27947753427196503	0.2729620014140506	0.24574225667418562	0.23260374346262008	0.27568525573282565	0.24583626551420337	0.3031034819162679	0.24170007890585174	0.24669670265002952	0.29658995820955697	0.3064264410293351	0.30441057458053744	0.2875821292415051	0.27624602396873077	0.2649365384345954	0.2843391130893994	0.2975776404476684	0.283931099919986	0.2836714236792104	0.28090608844580983	0.2646553769544673	0.28617340901510513	0.2655637136421204	0.26553475149415695	0.2828408953354383	0.24820963643703534	0.2709863937849184	0.2913794484341135	0.23511262199870459	0.29698554195610516	0.2842702667593317	0.2887131093764551	0.2548802397701765	0.2289605242678332	0.24053943883301948	0.31203856215389464	0.299735007243724
w21pp	0.3762234064200499	0.3856360000153783	0.21496519222225668	0.09214252809561008	0.058286512500260894	0.06640512929305442	0.04749384330429868	0.06299152871241913	0.05523354769689341	0.05389241701443682	0.05246026200921668	0.058941849100279706	0.07098035434998429	0.048930161843702455	0.03510601496046352	0.0	0.0755682639370547	0.04779022619948532	0.04708535972981909	0.05395343065227645	0.05940579152553023	0.05928121984115825	0.058148876029239994	0.14798159347039594	0.22314895631815668	0.2634594030466232	0.2986736684615367	0.3122468516218163	0.2748477844107643	0.2718046580486829	0.27652805813639325	0.2726311025601714	0.2840483351305514	0.29883558167341834	0.2923200488155039	0.2651003040756389	0.2519617908640734	0.29504330313427896	0.26519431291565665	0.3224615293177212	0.26105812630730507	0.2660547500514828	0.3159480056110103	0.3257844884307884	0.32376862198199075	0.3069401766429584	0.2956040713701841	0.2842945858360487	0.3036971604908527	0.3169356878491217	0.3032891473214393	0.3030294710806637	0.30026413584726314	0.2840134243559206	0.30553145641655843	0.2849217610435737	0.28489279889561026	0.30219894273689163	0.2675676838384886	0.2903444411863717	0.3107374958355668	0.2544706694001579	0.31634358935755846	0.303628314160785	0.3080711567779084	0.2742382871716298	0.2483185716692865	0.2598974862344728	0.33139660955534794	0.3190930546451773
31749	0.39024667530356494	0.3996592688988933	0.22898846110577165	0.10616579697912504	0.07230978138377585	0.08042839817656937	0.06151711218781363	0.07701479759593408	0.06925681658040836	0.06791568589795177	0.06648353089273162	0.07296511798379467	0.08500362323349923	0.06295343072721742	0.05621021653560142	0.0755682639370547	0.0	0.05482534249227091	0.05412047602260468	0.0679766995357914	0.07342906040904518	0.07330448872467321	0.07217214491275493	0.1620048623539109	0.23717222520167164	0.27748267193013815	0.31269693734505166	0.3262701205053313	0.2888710532942792	0.28582792693219783	0.29055132701990816	0.28665437144368644	0.29807160401406635	0.3128588505569333	0.3063433176990189	0.2791235729591539	0.26598505974758835	0.3090665720177939	0.27921758179917167	0.3364847982012361	0.27508139519082	0.2800780189349978	0.32997127449452524	0.33980775731430335	0.33779189086550565	0.3209634455264734	0.30962734025369903	0.29831785471956374	0.3177204293743676	0.33095895673263664	0.31731241620495426	0.3170527399641787	0.3142874047307781	0.2980366932394355	0.31955472530007345	0.2989450299270886	0.29891606777912527	0.31622221162040653	0.28159095272200363	0.30436771006988667	0.3247607647190818	0.26849393828367285	0.33036685824107337	0.31765158304429997	0.32209442566142343	0.2882615560551447	0.26234184055280146	0.27392075511798775	0.34541987843886296	0.3331163235286923
w19pp	0.36246863756599557	0.37188123116132393	0.20121042336820227	0.07838775924155567	0.044531743646206476	0.052650360438999996	0.03373907445024426	0.049236759858364704	0.041478778842838994	0.0401376481603824	0.03870549315516225	0.045187080246225295	0.05722558549592986	0.035175392989648044	0.028432178798032042	0.04779022619948532	0.05482534249227091	0.0	0.020588920504203172	0.040198661798222034	0.04565102267147581	0.04552645098710384	0.044394107175185576	0.13422682461634153	0.20939418746410227	0.24970463419256878	0.2849188996074823	0.2984920827677619	0.26109301555670983	0.25804988919462846	0.2627732892823388	0.25887633370611707	0.270293566276497	0.2850808128193639	0.27856527996144953	0.25134553522158454	0.23820702201001898	0.28128853428022454	0.2514395440616023	0.30870676046366674	0.24730335745325063	0.2522999811974284	0.30219323675695586	0.312029719576734	0.3100138531279363	0.293185407788904	0.28184930251612966	0.27053981698199436	0.28994239163679825	0.3031809189950673	0.2895343784673849	0.28927470222660934	0.2865093669932087	0.2702586555018661	0.2917766875625041	0.27116699218951923	0.2711380300415559	0.28844417388283716	0.25381291498443426	0.2765896723323173	0.2969827269815124	0.24071590054610348	0.302588820503504	0.2898735453067306	0.29431638792385406	0.2604835183175753	0.2345638028152321	0.24614271738041837	0.3176418407012936	0.30533828579112293
f2pp	0.3617637710963293	0.37117636469165766	0.20050555689853605	0.07768289277188943	0.04382687717654024	0.05194549396933376	0.033034207980578024	0.04853189338869847	0.04077391237317276	0.039432781690716165	0.03800062668549602	0.04448221377655906	0.05652071902626363	0.03447052651998181	0.02772731232836581	0.04708535972981909	0.05412047602260468	0.020588920504203172	0.0	0.0394937953285558	0.04494615620180958	0.044821584517437604	0.04368924070551934	0.13352195814667528	0.20868932099443604	0.24899976772290255	0.284214033137816	0.2977872162980957	0.2603881490870436	0.25734502272496224	0.26206842281267256	0.2581714672364508	0.26958869980683076	0.28437594634969765	0.27786041349178325	0.25064066875191826	0.2375021555403527	0.2805836678105583	0.250734677591936	0.3080018939940005	0.24659849098358438	0.2515951147277622	0.3014883702872896	0.3113248531070677	0.30930898665827006	0.29248054131923773	0.28114443604646344	0.2698349505123281	0.289237525167132	0.302476052525401	0.28882951199771867	0.28856983575694306	0.28580450052354245	0.2695537890321999	0.2910718210928378	0.270462125719853	0.2704331635718896	0.28773930741317094	0.253108048514768	0.2758848058626511	0.2962778605118461	0.24001103407643723	0.3018839540338378	0.2891686788370643	0.2936115214541878	0.2597786518479091	0.23385893634556587	0.24543785091075213	0.3169369742316273	0.30463341932145666
w18pp	0.34512329619015647	0.35453588978548484	0.18386508199236323	0.06104241786571662	0.027186402270367428	0.03530501906316095	0.025650409758777457	0.0411480951668979	0.03339011415137219	0.037055910060154136	0.035623755054933995	0.04210534214599703	0.0541438473957016	0.03209365488941978	0.03459538325082317	0.05395343065227645	0.0679766995357914	0.040198661798222034	0.0394937953285558	0.0	0.019292444388818993	0.025824982519376642	0.027048765799346522	0.11688148324050247	0.19204884608826323	0.2323592928167297	0.2675735582316432	0.2811467413919228	0.2437476741808708	0.24070454781878942	0.24542794790649974	0.24153099233027797	0.2529482249006579	0.26773547144352483	0.26121993858561043	0.23400019384574544	0.22086168063417988	0.26394319290438545	0.2340942026857632	0.2913614190878277	0.22995801607741156	0.23495463982158935	0.28484789538111677	0.2946843782008949	0.29266851175209724	0.2758400664130649	0.26450396114029057	0.25319447560615527	0.2725970502609592	0.2858355776192282	0.2721890370915458	0.27192936085077024	0.26916402561736963	0.2529133141260271	0.274431346186665	0.2538216508136802	0.2537926886657168	0.2710988325069981	0.23646757360859516	0.2592443309564782	0.2796373856056733	0.22337055917026438	0.28524347912766496	0.2725282039308915	0.27697104654801497	0.24313817694173628	0.21721846143939302	0.2287973760045793	0.3002964993254545	0.28799294441528384
