	31379	31600	31428	S3Hp	S21H1	31219	31021	530295	530394	31512	31452	530167	31700	S1Hp	S30H1	S16H2	31537	31333	31637	F1H1	31236	S28Hp	31160	S4Hp	F6H1	S2Hp	31232	530055	S9H1	s24H1	S26Hp	S7Hp	530331	530075	S19H1	530177	31300	530163	F7H1	530258	F14H1B	530215	S17H1	31766	531414	31009	S29H1	S6Hp	F3H1	F29H1	S22Hp	S15Hp	S31Hp	S27H1	S14Hp	31328	530052	31267	31750
31452	0.31702825470923224	0.3142937652089486	0.3989048368064616	0.24776683867270016	0.26384156777867585	0.16770413480663446	0.1733694102361576	0.14679994794289458	0.0410712553116034	0.05191354453234816	0.0	0.2739611355921391	0.2562632811427393	0.30851137420840025	0.3094177659123311	0.3012358458646135	0.3036334377223411	0.31426144943181666	0.3080060427161419	0.3284089653891612	0.30730983556904806	0.31388107704027757	0.307345568356983	0.2854367688959344	0.25497330461393686	0.27302529169606327	0.45699801256076467	0.5294547712624634	0.5250123788063983	0.5142241871655807	0.33686539726456133	0.3313260808517236	0.3403057669714019	0.3415377437224706	0.3503157274001085	0.3588754070354502	0.3403736972790312	0.34185486302640733	0.3549536020264807	0.35012748904796187	0.3247572905731495	0.3469207798457551	0.35806680721091755	0.35731005483807454	0.3653065470698892	0.352330514409063	0.36008079983333624	0.2647157100076867	0.3569353594421032	0.3613302235790009	0.3742389113631732	0.35085964262080405	0.371922466942996	0.37363623849033323	0.3406222023704243	0.3338123120157329	0.32775922479551317	0.3272415739458558	0.32050624726739596
530167	0.2935929666001932	0.29085847709990953	0.37546954869742255	0.2243315505636611	0.2653181410709861	0.2509788209212623	0.25664409635078544	0.269935506281703	0.27848904786723505	0.28933133708797976	0.2739611355921391	0.0	0.20579206230571107	0.2850760860993612	0.28598247780329206	0.27780055775557444	0.280198149613302	0.2908261613227776	0.28457075460710285	0.30497367728012215	0.283874547460009	0.2904457889312385	0.28391028024794396	0.26200148078689534	0.2315380165048978	0.24959000358702424	0.4335627244517256	0.5060194831534244	0.5015770906973592	0.49078889905654166	0.3134301091555223	0.30789079274268455	0.31687047886236286	0.31810245561343153	0.32688043929106947	0.3354401189264111	0.31693840916999216	0.3184195749173683	0.33151831391744163	0.3266922009389228	0.30132200246411045	0.32348549173671604	0.3346315191018785	0.3338747667290355	0.34187125896085013	0.32889522630002394	0.3366455117242972	0.24128042189864765	0.33350007133306414	0.33789493546996185	0.35080362325413417	0.327424354511765	0.34848717883395697	0.3502009503812942	0.31718691426138523	0.31037702390669386	0.3043239366864741	0.30380628583681674	0.2970709591583569
31700	0.2758951121507933	0.2731606226505097	0.3577716942480227	0.2066336961142613	0.2476202866215863	0.23328096647186247	0.23894624190138564	0.2522376518323032	0.26079119341783524	0.27163348263858	0.2562632811427393	0.20579206230571107	0.0	0.2673782316499614	0.26828462335389225	0.26010270330617463	0.2625002951639023	0.27312830687337786	0.26687290015770304	0.2872758228307224	0.2661766930106092	0.2727479344818387	0.2662124257985442	0.24430362633749553	0.21384016205549802	0.23189214913762446	0.41586487000232575	0.4883216287040245	0.4838792362479595	0.4730910446071418	0.2957322547061224	0.29019293829328474	0.299172624412963	0.3004046011640317	0.3091825848416697	0.31774226447701137	0.2992405547205923	0.3007217204679685	0.3138204594680418	0.308994346489523	0.28362414801471064	0.30578763728731617	0.31693366465247874	0.3161769122796356	0.32417340451145027	0.3111973718506241	0.3189476572748974	0.22358256744924784	0.31580221688366433	0.320197081020562	0.3331057688047343	0.30972650006236513	0.33078932438455716	0.3325030959318944	0.2994890598119855	0.292679169457294	0.2866260822370743	0.28610843138741693	0.2793731047089571
S1Hp	0.3089557977404225	0.3062213082401389	0.39083237983765184	0.23969438170389046	0.2998683796872472	0.2855290595375234	0.2911943349670466	0.3044857448979641	0.3130392864834962	0.3238815757042409	0.30851137420840025	0.2850760860993612	0.2673782316499614	0.0	0.27859304458820555	0.2931633888958038	0.29556098075353143	0.306188992463007	0.2999335857473322	0.32033650842035155	0.29923737860023836	0.30580862007146786	0.29927311138817336	0.2773643119271247	0.24690084764512718	0.2649528347272536	0.4489255555919549	0.5213823142936537	0.5169399218375886	0.506151730196771	0.32879294029575157	0.3232536238829139	0.33223331000259215	0.3334652867536609	0.3422432704312989	0.35080295006664053	0.33230124031022146	0.3337824060575977	0.346881145057671	0.34205503207915217	0.3166848336043398	0.33884832287694533	0.3499943502421079	0.3492375978692648	0.3572340901010794	0.3442580574402533	0.35200834286452654	0.25664325303887703	0.3488629024732935	0.35325776661019115	0.36616645439436346	0.3427871856519943	0.3638500099741863	0.3655637815215236	0.33254974540161464	0.32573985504692315	0.31968676782670347	0.3191691169770461	0.31243379029858626
S30H1	0.3098621894443534	0.3071276999440698	0.39173877154158276	0.24060077340782138	0.30077477139117814	0.2864354512414543	0.2921007266709775	0.305392136601895	0.3139456781874271	0.32478796740817184	0.3094177659123311	0.28598247780329206	0.26828462335389225	0.27859304458820555	0.0	0.29406978059973465	0.29646737245746235	0.3070953841669379	0.3008399774512631	0.3212429001242824	0.3001437703041693	0.3067150117753987	0.3001795030921042	0.2782707036310556	0.24780723934905807	0.26585922643118454	0.4498319472958858	0.5222887059975846	0.5178463135415196	0.5070581219007019	0.3296993319996825	0.3241600155868448	0.3331397017065231	0.3343716784575918	0.3431496621352298	0.35170934177057145	0.3332076320141524	0.3346887977615286	0.3477875367616019	0.3429614237830831	0.3175912253082707	0.33975471458087625	0.3509007419460388	0.3501439895731957	0.35814048180501035	0.3451644491441842	0.35291473456845746	0.25754964474280795	0.3497692941772244	0.35416415831412207	0.3670728460982944	0.3436935773559252	0.36475640167811724	0.3664701732254545	0.33345613710554556	0.3266462467508541	0.3205931595306344	0.320075508680977	0.3133401820025172
S16H2	0.2891329685881421	0.2863984790878584	0.37100955068537145	0.21987155255161	0.29259285134346047	0.27825353119373664	0.28391880662325986	0.29721021655417734	0.30576375813970946	0.31660604736045417	0.3012358458646135	0.27780055775557444	0.26010270330617463	0.2931633888958038	0.29406978059973465	0.0	0.23326209102625284	0.2438901027357284	0.2376346960200536	0.25803761869307296	0.2678106606249997	0.27438190209622915	0.2678463934129346	0.24593759395188597	0.21547412966988846	0.2335261167520149	0.4291027264396745	0.5015594851413733	0.4971170926853081	0.48632890104449056	0.30897011114347117	0.30343079473063345	0.31241048085031176	0.31364245760138043	0.32242044127901837	0.33098012091436	0.31247841115794106	0.3139595769053172	0.32705831590539053	0.3222322029268717	0.29686200445205935	0.31902549372466493	0.3301715210898274	0.3294147687169844	0.33741126094879903	0.32443522828797283	0.3321855137122461	0.23682042388659655	0.32904007332101304	0.33343493745791075	0.34634362524208306	0.3229643564997139	0.34402718082190586	0.34574095236924307	0.31272691624933413	0.30591702589464276	0.299863938674423	0.29934628782476563	0.2926109611463058
31537	0.29153056044586967	0.28879607094558607	0.37340714254309904	0.22226914440933765	0.29499044320118817	0.28065112305146434	0.28631639848098744	0.29960780841190504	0.30816134999743705	0.31900363921818187	0.3036334377223411	0.280198149613302	0.2625002951639023	0.29556098075353143	0.29646737245746235	0.23326209102625284	0.0	0.1826205094508742	0.21819711712675327	0.23860003979977257	0.2702082524827273	0.2767794939539568	0.2702439852706623	0.2483351858096136	0.2178717215276161	0.23592370860974254	0.4315003182974021	0.5039570769991009	0.4995146845430358	0.48872649290221815	0.31136770300119876	0.3058283865883611	0.31480807270803934	0.3160400494591081	0.32481803313674606	0.3333777127720877	0.31487600301566865	0.31635716876304487	0.32945590776311817	0.32462979478459936	0.299259596309787	0.3214230855823925	0.3325691129475551	0.331812360574712	0.3398088528065266	0.3268328201457005	0.3345831055699737	0.2392180157443242	0.3314376651787407	0.33583252931563834	0.34874121709981065	0.3253619483574415	0.3464247726796335	0.34813854422697077	0.31512450810706183	0.30831461775237035	0.30226153053215066	0.3017438796824933	0.29500855300403345
31333	0.30215857215534525	0.29942408265506165	0.3840351542525746	0.23289715611881323	0.3056184549106637	0.29127913476093986	0.296944410190463	0.31023582012138057	0.31878936170691263	0.3296316509276574	0.31426144943181666	0.2908261613227776	0.27312830687337786	0.306188992463007	0.3070953841669379	0.2438901027357284	0.1826205094508742	0.0	0.2288251288362288	0.24922805150924812	0.28083626419220287	0.2874075056634323	0.2808719969801378	0.2589631975190892	0.22849973323709166	0.2465517203192181	0.4421283300068777	0.5145850887085764	0.5101426962525114	0.49935450461169373	0.32199571471067434	0.31645639829783667	0.3254360844175149	0.32666806116858366	0.33544604484622165	0.3440057244815633	0.32550401472514423	0.32698518047252045	0.34008391947259375	0.33525780649407494	0.3098876080192626	0.3320510972918681	0.34319712465703067	0.34244037228418756	0.3504368645160022	0.33746083185517606	0.3452111172794493	0.24984602745379977	0.34206567688821626	0.3464605410251139	0.35936922880928623	0.33598996006691706	0.3570527843891091	0.35876655593644635	0.3257525198165374	0.31894262946184593	0.31288954224162624	0.31237189139196886	0.30563656471350903
31637	0.29590316543967055	0.2931686759393869	0.3777797475368999	0.22664174940313847	0.29936304819498893	0.2850237280452651	0.29068900347478827	0.3039804134057058	0.3125339549912379	0.32337624421198263	0.3080060427161419	0.28457075460710285	0.26687290015770304	0.2999335857473322	0.3008399774512631	0.2376346960200536	0.21819711712675327	0.2288251288362288	0.0	0.21445352303360807	0.2745808574765281	0.2811520989477576	0.27461659026446306	0.25270779080341443	0.2222443265214169	0.24029631360354334	0.435872923291203	0.5083296819929017	0.5038872895368366	0.493099097896019	0.31574030799499964	0.3102009915821619	0.3191806777018402	0.3204126544529089	0.32919063813054683	0.3377503177658885	0.3192486080094695	0.32072977375684564	0.333828512756919	0.3290023997784002	0.3036322013035878	0.3257956905761934	0.33694171794135586	0.33618496556851285	0.3441814578003275	0.3312054251395013	0.33895571056377455	0.243590620738125	0.3358102701725415	0.3402051343094392	0.35311382209361153	0.32973455335124235	0.35079737767343433	0.35251114922077154	0.3194971131008626	0.3126872227461712	0.3066341355259515	0.3061164846762941	0.29938115799783427
F1H1	0.3163060881126898	0.3135715986124062	0.39818267020991915	0.24704467207615777	0.31976597086800823	0.3054266507182844	0.31109192614780756	0.3243833360787251	0.33293687766425717	0.34377916688500193	0.3284089653891612	0.30497367728012215	0.2872758228307224	0.32033650842035155	0.3212429001242824	0.25803761869307296	0.23860003979977257	0.24922805150924812	0.21445352303360807	0.0	0.2949837801495474	0.30155502162077685	0.29501951293748235	0.27311071347643373	0.2426472491944362	0.26069923627656266	0.4562758459642222	0.528732604665921	0.5242902122098559	0.5135020205690383	0.3361432306680189	0.3306039142551812	0.33958360037485946	0.3408155771259282	0.3495935608035662	0.35815324043890784	0.33965153068248877	0.341132696429865	0.3542314354299383	0.3494053224514195	0.3240351239766071	0.34619861324921264	0.3573446406143752	0.3565878882415321	0.36458438047334674	0.3516083478125206	0.35935863323679385	0.26399354341114434	0.3562131928455608	0.36060805698245846	0.37351674476663077	0.3501374760242616	0.3712003003464536	0.3729140718937909	0.33990003577388195	0.33309014541919046	0.3270370581989708	0.3265194073493134	0.31978408067085357
