	31537	S15Hp	531414	530227	31600	31021	530368	S16H2	31428	s1pp	S10H1	530055	31267	31328	530331	31519	530394	530167	530364	s21pp	530052	530177	31360	31416	S6Hp	S13Hp	s6pp	F29H1	s17pp	31750	530074	S28Hp	S31Hp	F23HpA	S7Hp	S11Hp	F6H1	F14H1B	530258	31452	530050	S25Hp	S9H1
530055	0.5573695459775375	0.5158897663304186	0.5385313308783615	0.537442219371163	0.5439283254496001	0.5470123516039999	0.5465658694918041	0.4001512750831421	0.19449847774499546	0.18080581013997224	0.018138595620016087	0.0	0.18041631256854024	0.1805938252578106	0.18915409211899334	0.18151212071390369	0.18151212071390369	0.17919988750040977	0.2130194679987535	0.22185719100886975	0.20071194461304984	0.2014803698619626	0.21856475297121347	0.2365829285937645	0.21617330663744463	0.2151559720612295	0.2154874347928019	0.19062313545835535	0.23769754629703221	0.43367027043990963	0.43657065527513167	0.4270992707089529	0.4603382366957834	0.49248593221210096	0.4635294558346872	0.4795176132552516	0.5279458882664991	0.49511596756897425	0.5015177746152064	0.495543745082227	0.4939219585000058	0.5405424874528841	0.5786441803327959
31267	0.5793088068737674	0.5378290272266485	0.5604705917745914	0.5593814802673929	0.56586758634583	0.5689516125002297	0.568505130388034	0.42209053597937196	0.21643773864122537	0.20274507103620215	0.18327889814245396	0.18041631256854024	0.0	0.15257054432533865	0.1611308111865214	0.18263079147248246	0.18263079147248246	0.18031855825898851	0.23495872889498343	0.24379645190509966	0.22265120550927975	0.22341963075819254	0.2405040138674434	0.2585221894899944	0.23811256753367455	0.2370952329574594	0.23742669568903182	0.2125623963545853	0.25963680719326215	0.4556095313361395	0.45850991617136155	0.4490385316051828	0.48227749759201327	0.5144251931083308	0.48546871673091707	0.5014568741514815	0.549885149162729	0.5170552284652041	0.5234570355114363	0.5174830059784569	0.5158612193962357	0.562481748349114	0.6005834412290257
31328	0.5794863195630378	0.5380065399159188	0.5606481044638617	0.5595589929566632	0.5660450990351004	0.5691291251895001	0.5686826430773043	0.4222680486686423	0.2166152513304957	0.2029225837254725	0.1834564108317243	0.1805938252578106	0.15257054432533865	0.0	0.008562266862182817	0.18280830416175275	0.18280830416175275	0.18049607094825884	0.23513624158425375	0.24397396459436999	0.2228287181985501	0.22359714344746284	0.24068152655671374	0.25869970217926475	0.2382900802229449	0.23727274564672973	0.23760420837830215	0.2127399090438556	0.25981431988253245	0.45578704402540987	0.4586874288606319	0.44921604429445317	0.4824550102812836	0.5146027057976013	0.4856462294201874	0.5016343868407518	0.5500626618519994	0.5172327411544745	0.5236345482007067	0.5176605186677272	0.516038732085506	0.5626592610383844	0.6007609539182961
530331	0.5880465864242205	0.5465668067771016	0.5692083713250444	0.568119259817846	0.5746053658962831	0.5776893920506828	0.577242909938487	0.43082831552982503	0.22517551819167847	0.21148285058665525	0.19201667769290703	0.18915409211899334	0.1611308111865214	0.008562266862182817	0.0	0.19136857102293553	0.19136857102293553	0.1890563378094416	0.2436965084454365	0.25253423145555276	0.23138898505973285	0.23215741030864562	0.24924179341789648	0.2672599690404475	0.24685034708412765	0.2458330125079125	0.24616447523948493	0.22130017590503837	0.2683745867437152	0.4643473108865926	0.4672476957218146	0.4577763111556359	0.49101527714246634	0.5231629726587839	0.49420649628137014	0.5101946537019346	0.5586229287131821	0.5257930080156572	0.5321948150618894	0.5262207855289099	0.5245989989466888	0.5712195278995671	0.6093212207794788
31519	0.5804046150191309	0.538924835372012	0.5615663999199548	0.5604772884127563	0.5669633944911935	0.5700474206455932	0.5696009385333974	0.42318634412473544	0.21753354678658882	0.2038408791815656	0.18437470628781738	0.18151212071390369	0.18263079147248246	0.18280830416175275	0.19136857102293553	0.0	2.00000100005818e-06	0.1508727602877274	0.23605453704034685	0.2448922600504631	0.2237470136546432	0.22451543890355596	0.24159982201280683	0.25961799763535787	0.239208375679038	0.23819104110282285	0.23852250383439527	0.2136582044999487	0.2607326153386256	0.456705339481503	0.45960572431672503	0.4501343397505463	0.48337330573737675	0.5155210012536944	0.48656452487628055	0.5025526822968449	0.5509809573080925	0.5181510366105676	0.5245528436567998	0.5185788141238203	0.5169570275415991	0.5635775564944775	0.6016792493743892
530394	0.5804046150191309	0.538924835372012	0.5615663999199548	0.5604772884127563	0.5669633944911935	0.5700474206455932	0.5696009385333974	0.42318634412473544	0.21753354678658882	0.2038408791815656	0.18437470628781738	0.18151212071390369	0.18263079147248246	0.18280830416175275	0.19136857102293553	2.00000100005818e-06	0.0	0.1508727602877274	0.23605453704034685	0.2448922600504631	0.2237470136546432	0.22451543890355596	0.24159982201280683	0.25961799763535787	0.239208375679038	0.23819104110282285	0.23852250383439527	0.2136582044999487	0.2607326153386256	0.456705339481503	0.45960572431672503	0.4501343397505463	0.48337330573737675	0.5155210012536944	0.48656452487628055	0.5025526822968449	0.5509809573080925	0.5181510366105676	0.5245528436567998	0.5185788141238203	0.5169570275415991	0.5635775564944775	0.6016792493743892
530167	0.5780923818056369	0.536612602158518	0.5592541667064609	0.5581650551992624	0.5646511612776995	0.5677351874320993	0.5672887053199035	0.4208741109112415	0.21522131357309487	0.20152864596807168	0.18206247307432347	0.17919988750040977	0.18031855825898851	0.18049607094825884	0.1890563378094416	0.1508727602877274	0.1508727602877274	0.0	0.23374230382685293	0.24258002683696916	0.22143478044114928	0.22220320569006202	0.23928758879931292	0.2573057644218639	0.23689614246554408	0.2358788078893289	0.23621027062090133	0.21134597128645477	0.25842038212513163	0.45439310626800905	0.4572934911032311	0.44782210653705234	0.4810610725238828	0.5132087680402004	0.4842522916627866	0.500240449083351	0.5486687240945985	0.5158388033970737	0.5222406104433058	0.5162665809103264	0.5146447943281052	0.5612653232809836	0.5993670161608953
530364	0.5832973340272466	0.5418175543801277	0.5644591189280705	0.5633700074208721	0.5698561134993092	0.5729401396537089	0.5724936575415132	0.42607906313285115	0.22042626579470456	0.20673359818968134	0.2158820535726672	0.2130194679987535	0.23495872889498343	0.23513624158425375	0.2436965084454365	0.23605453704034685	0.23605453704034685	0.23374230382685293	0.0	0.1666503339942223	0.16730537267891166	0.16807379792782445	0.18515818103707532	0.20317635665962636	0.18276673470330645	0.18174940012709132	0.18208086285866373	0.1943795748141956	0.26362533434674135	0.4595980584896187	0.46249844332484075	0.453027058758662	0.48626602474549246	0.51841372026181	0.48945724388439626	0.5054454013049607	0.5538736763162082	0.5210437556186833	0.5274455626649155	0.5214715331319361	0.5198497465497149	0.5664702755025932	0.6045719683825049
s21pp	0.5921350570373628	0.5506552773902439	0.5732968419381868	0.5722077304309883	0.5786938365094255	0.5817778626638253	0.5813313805516295	0.4349167861429674	0.2292639888048208	0.2155713211997976	0.22471977658278344	0.22185719100886975	0.24379645190509966	0.24397396459436999	0.25253423145555276	0.2448922600504631	0.2448922600504631	0.24258002683696916	0.1666503339942223	0.0	0.17614309568902792	0.17691152093794066	0.19399590404719155	0.21201407966974256	0.19160445771342272	0.19058712313720755	0.19091858586877997	0.2032172978243118	0.2724630573568576	0.46843578149973497	0.471336166334957	0.46186478176877827	0.4951037477556087	0.5272514432719263	0.4982949668945125	0.514283124315077	0.5627113993263244	0.5298814786287995	0.5362832856750317	0.5303092561420524	0.5286874695598311	0.5753079985127095	0.6134096913926212
530052	0.570989810641543	0.5295100309944241	0.5521515955423669	0.5510624840351684	0.5575485901136056	0.5606326162680053	0.5601861341558095	0.41377153974714753	0.2081187424090009	0.1944260748039777	0.20357453018696353	0.20071194461304984	0.22265120550927975	0.2228287181985501	0.23138898505973285	0.2237470136546432	0.2237470136546432	0.22143478044114928	0.16730537267891166	0.17614309568902792	0.0	0.0007704252499128361	0.017854808359163712	0.16657695120621283	0.14616732924989295	0.14514999467367778	0.1454814574052502	0.18207205142849192	0.25131781096103767	0.4472905351039151	0.4501909199391371	0.4407195353729584	0.47395850135978884	0.5061061968761065	0.47714972049869264	0.49313787791925706	0.5415661529305046	0.5087362322329797	0.5151380392792119	0.5091640097462324	0.5075422231640112	0.5541627521168896	0.5922644449968013
