	F3H1	31009	530154	31267	31328	31333	31600	530444	530331	S6Hp	530119	S27H1	31700	530295	31750	530258	F7H1	S15Hp	31219	31071
530119	0.4076594368545494	1.0366523159898442	0.6018584131220615	0.31787948145430833	0.38700356413809334	0.3745866964780988	0.4898607277871885	0.42140807028304766	0.37194430360549835	0.2621763196492817	0.0	0.21669325802927986	0.35231660003060356	0.38743299645587936	0.3608057936181132	0.40045735025729695	0.42029011920058995	0.4041438693194748	0.3968634866222256	0.39373293862237285
S27H1	0.3275168612366305	0.9565097403719253	0.5217158375041426	0.23773690583638946	0.30686098852017446	0.2944441208601799	0.4097181521692696	0.3412654946651288	0.2918017279875795	0.18203374403136277	0.21669325802927986	0.0	0.2721740244126847	0.30729042083796043	0.28066321800019434	0.3203147746393781	0.3401475435826711	0.32400129370155595	0.3167209110043067	0.313590363004454
31700	0.276972699021658	0.9266983887290264	0.4919044858612438	0.20792555419349062	0.27704963687727563	0.26463276921728107	0.37990680052637077	0.31145414302222996	0.27614643168936565	0.2565578593983715	0.35231660003060356	0.2721740244126847	0.0	0.256746258622988	0.23011905578522185	0.2697706124244056	0.2896033813676986	0.27345713148658346	0.2661767487893343	0.2630462007894815
530295	0.30435119054661686	0.9618147851543022	0.5270208822865197	0.24304195061876643	0.31216603330255144	0.2997491656425568	0.4150231969516466	0.3465705394475057	0.31126282811464145	0.29167425582364725	0.38743299645587936	0.30729042083796043	0.256746258622988	0.0	0.2240847799704983	0.2971491039493644	0.3169818728926574	0.30083562301154226	0.29355524031429303	0.2904246923144403
31750	0.2777239877088507	0.9351875823165361	0.5003936794487535	0.21641474778100028	0.2855388304647853	0.27312196280479073	0.3883959941138804	0.3199433366097396	0.2846356252768753	0.26504705298588116	0.3608057936181132	0.28066321800019434	0.23011905578522185	0.2240847799704983	0.0	0.27052190111159824	0.29035467005489124	0.2742084201737761	0.26692803747652694	0.26379748947667414
530258	0.299277875947796	0.9748391389557198	0.5400452360879372	0.256066304420184	0.32519038710396897	0.31277351944397447	0.42804755075306417	0.35959489324892335	0.324287181916059	0.3046986096250649	0.40045735025729695	0.3203147746393781	0.2697706124244056	0.2971491039493644	0.27052190111159824	0.0	0.23965887082782975	0.2235126209467146	0.2743796825934792	0.28535137771561947
F7H1	0.319110644891089	0.9946719078990129	0.5598780050312302	0.275899073363477	0.34502315604726197	0.33260628838726747	0.44788031969635717	0.37942766219221635	0.344119950859352	0.3245313785683579	0.42029011920058995	0.3401475435826711	0.2896033813676986	0.3169818728926574	0.29035467005489124	0.23965887082782975	0.0	0.20612290212574103	0.2942124515367722	0.30518414665891247
S15Hp	0.30296439500997385	0.9785256580178978	0.5437317551501151	0.2597528234823619	0.32887690616614684	0.31646003850615234	0.43173406981524204	0.3632814123111012	0.32797370097823686	0.30838512868724277	0.4041438693194748	0.32400129370155595	0.27345713148658346	0.30083562301154226	0.2742084201737761	0.2235126209467146	0.20612290212574103	0.0	0.2780662016556571	0.28903789677779734
31219	0.2956840123127247	0.9712452753206485	0.5364513724528659	0.25247244078511266	0.32159652346889767	0.3091796558089031	0.4244536871179928	0.356001029613852	0.3206933182809877	0.30110474598999354	0.3968634866222256	0.3167209110043067	0.2661767487893343	0.29355524031429303	0.26692803747652694	0.2743796825934792	0.2942124515367722	0.2780662016556571	0.0	0.28175751408054817
31071	0.24749367476770093	0.9681147273207957	0.5333208244530131	0.24934189278525992	0.31846597546904487	0.30604910780905037	0.42132313911814007	0.35287048161399925	0.3175627702811349	0.2979741979901408	0.39373293862237285	0.313590363004454	0.2630462007894815	0.2904246923144403	0.26379748947667414	0.28535137771561947	0.30518414665891247	0.28903789677779734	0.28175751408054817	0.0
