	f7pp	w21pp	w24pp	S4Hp	f17ppB	w9pp	f6ppA	f21pp	w12pp	S1Hp	31267	S7Hp	31700	F14H1A	S9H1	530451	S21H1	S6Hp	F7H1	S20H1	S26Hp	w6pp	f19pp	f12ppB	f32pp	f8pp	s27pp	s10pp	f30pp	s29pp	w16pp	f24pp	f4pp	f22ppB	f1pp	f6ppB	w1pp	f10pp	f12ppA	w19pp	w4pp	f2pp	f25pp	f18pp	w3pp	f20ppB	f15pp	f11pp	f20ppA	w10pp	w20pp	s12pp	w18pp	w11pp	w8pp	F29H1	s25pp	s7pp	w15pp	s24pp	w2pp	s2pp	s1pp	w25pp	f14ppA	f14ppB	f16ppA	f16ppB	w17pp	f22ppA	w14pp
31267	0.36068568804760903	0.3651731988354544	0.3801148668865644	0.42605295002392995	0.3918635980260989	0.336678692379211	0.38623443614373476	0.3791040722997125	0.35303516622586656	0.33834064562615535	0.0	0.4349325751296259	0.4026624056508522	0.3910170478663809	0.41339426822567005	0.405575988829591	0.4275047748223711	0.4154327504105787	0.4165310989284394	0.40526602465856604	0.27512275461202956	0.35571510396665845	0.332944937370702	0.35252496231818614	0.3753221111413232	0.3512407528296463	0.4200919011431533	0.41144315026823375	0.3902682633681279	0.4397707342435786	0.3830231942437909	0.3450500689531729	0.3477984510662446	0.37946412135908625	0.3556597750104786	0.3980882818086178	0.4141366465557416	0.3859400126894661	0.4056605436641569	0.39323192973977883	0.35720331920490667	0.38190626314472065	0.3742017532126549	0.39759272919772853	0.3654789986747533	0.39355595562410584	0.3980553267051218	0.40381100233953204	0.3776787854189738	0.39407847954130987	0.4028601598252723	0.4787752419936961	0.4037391968122126	0.4184125571282631	0.41411388794919185	0.47982724174584146	0.4028100359767367	0.42275267577124775	0.4209875245156069	0.455747631948838	0.4808357550247423	0.48054434194752793	0.4815751901885364	0.3964657368546868	0.4055038018001872	0.34913430265064777	0.3843899245912991	0.3926445642739665	0.41313743886686205	0.3925023001520401	0.3761206441859612
S7Hp	0.38402331502575304	0.3885108258135984	0.4034524938647084	0.44939057700207397	0.4152012250042429	0.360016319357355	0.40957206312187877	0.4024416992778565	0.37637279320401057	0.36167827260429936	0.4349325751296259	0.0	0.25635493102628953	0.36710065264009406	0.4077734550325325	0.422035065864076	0.44396385185685616	0.43189182744506377	0.43299017596292455	0.4217251016930511	0.29158183164651463	0.37905273094480246	0.35628256434884603	0.37586258929633015	0.3986597381194672	0.3745783798077903	0.4434295281212973	0.43478077724637776	0.41360589034627193	0.4631083612217226	0.4063608212219349	0.3683876959313169	0.3711360780443886	0.40280174833723026	0.3789974019886226	0.42142590878676184	0.4374742735338856	0.4092776396676101	0.4289981706423009	0.41656955671792284	0.3805409461830507	0.40524389012286466	0.39753938019079893	0.42093035617587254	0.3888166256528973	0.41689358260224985	0.4213929536832658	0.42714862931767605	0.4010164123971178	0.4174161065194539	0.4261977868034163	0.5021128689718402	0.4270768237903566	0.4417501841064071	0.43745151492733586	0.5031648687239855	0.4261476629548807	0.44609030274939176	0.4443251514937509	0.479085258926982	0.5041733820028863	0.5038819689256719	0.5049128171666803	0.4198033638328308	0.4288414287783312	0.3724719296287918	0.4077275515694431	0.4159821912521105	0.43647506584500606	0.4158399271301841	0.3994582711641052
31700	0.35175314554697934	0.3562406563348247	0.3711823243859347	0.41712040752330026	0.3829310555254692	0.3277461498785813	0.37730189364310507	0.3701715297990828	0.34410262372523687	0.32940810312552565	0.4026624056508522	0.25635493102628953	0.0	0.33483048316132036	0.3755032855537588	0.3897648963853023	0.41169368237808246	0.39962165796629007	0.40072000648415085	0.3894549322142774	0.25931166216774093	0.34678256146602876	0.32401239487007233	0.34359241981755645	0.3663895686406935	0.3423082103290166	0.4111593586425236	0.40251060776760406	0.38133572086749823	0.4308381917429489	0.3740906517431612	0.3361175264525432	0.3388659085656149	0.37053157885845656	0.3467272325098489	0.38915573930798814	0.4052041040551119	0.3770074701888364	0.3967280011635272	0.38429938723914914	0.348270776704277	0.37297372064409096	0.3652692107120252	0.38866018669709884	0.3565464561741236	0.38462341312347614	0.3891227842044921	0.39487845983890235	0.3687462429183441	0.3851459370406802	0.3939276173246426	0.4698426994930664	0.3948066543115829	0.4094800146276334	0.40518134544856216	0.47089469924521177	0.393877493476107	0.41382013327061806	0.4120549820149772	0.4468150894482083	0.4719032125241126	0.47161179944689824	0.4726426476879067	0.3875331943540571	0.3965712592995575	0.3402017601500181	0.3754573820906694	0.3837120217733368	0.40420489636623236	0.3835697576514104	0.3671881016853315
F14H1A	0.340107787762508	0.34459529855035337	0.35953696660146334	0.405475049738829	0.37128569774099784	0.31610079209410996	0.36565653585863367	0.35852617201461146	0.3324572659407655	0.3177627453410543	0.3910170478663809	0.36710065264009406	0.33483048316132036	0.0	0.3638579277692875	0.37811953860083103	0.40004832459361117	0.3879763001818187	0.3890746486996795	0.3778095744298061	0.24766630438326964	0.3351372036815574	0.312367037085601	0.3319470620330851	0.3547442108562221	0.33066285254454525	0.3995140008580522	0.39086524998313277	0.3696903630830269	0.41919283395847756	0.36244529395868985	0.3244721686680719	0.32722055078114354	0.35888622107398527	0.33508187472537754	0.3775103815235168	0.3935587462706406	0.36536211240436506	0.38508264337905584	0.37265402945467785	0.33662541891980563	0.36132836285961967	0.35362385292755383	0.3770148289126275	0.34490109838965227	0.3729780553390048	0.37747742642002075	0.38323310205443106	0.3571008851338728	0.37350057925620883	0.38228225954017125	0.45819734170859505	0.3831612965271115	0.39783465684316205	0.3935359876640908	0.45924934146074037	0.3822321356916357	0.4021747754861467	0.40040962423050586	0.43516973166373696	0.4602578547396412	0.45996644166242695	0.46099728990343536	0.3758878365695858	0.3849259015150862	0.32855640236554673	0.3638120243061981	0.37206666398886545	0.392559538581761	0.37192439986693904	0.35554274390086016
S9H1	0.3624850081217972	0.36697251890964255	0.3819141869607525	0.4278522700981181	0.39366291810028703	0.33847801245339915	0.3880337562179229	0.38090339237390064	0.3548344863000547	0.3401399657003435	0.41339426822567005	0.4077734550325325	0.3755032855537588	0.3638579277692875	0.0	0.4004967589601202	0.4224255449529003	0.41035352054110796	0.4114518690589687	0.40018679478909525	0.2700435247425588	0.3575144240408466	0.33474425744489017	0.3543242823923743	0.37712143121551134	0.35304007290383443	0.42189122121734146	0.4132424703424219	0.39206758344231607	0.44157005431776675	0.38482251431797904	0.34684938902736107	0.3495977711404327	0.3812634414332744	0.3574590950846667	0.399887601882806	0.41593596662992977	0.38773933276365424	0.40745986373834503	0.395031249813967	0.3590026392790948	0.3837055832189088	0.37600107328684307	0.3993920492719167	0.36727831874894146	0.395355275698294	0.39985464677930993	0.4056103224137202	0.37947810549316197	0.395877799615498	0.40465947989946044	0.48057456206788424	0.40553851688640075	0.42021187720245123	0.41591320802338	0.4816265618200296	0.40460935605092485	0.4245519958454359	0.42278684458979504	0.45754695202302614	0.48263507509893044	0.4823436620217161	0.48337451026272454	0.3982650569288749	0.40730312187437534	0.3509336227248359	0.38618924466548726	0.39444388434815464	0.4149367589410502	0.3943016202262282	0.37791996426014934
530451	0.3546667287257181	0.35915423951356346	0.3740959075646734	0.42003399070203906	0.38584463870420793	0.33065973305732005	0.38021547682184376	0.37308511297782154	0.3470162069039756	0.3323216863042644	0.405575988829591	0.422035065864076	0.3897648963853023	0.37811953860083103	0.4004967589601202	0.0	0.389788135349307	0.37771611093751467	0.39153394824724297	0.3802688739773695	0.2501256039308331	0.3496961446447675	0.3269259780488111	0.3465060029962952	0.3693031518194322	0.34522179350775534	0.4140729418212623	0.40542419094634286	0.384249304046237	0.43375177492168765	0.37700423492189994	0.33903110963128197	0.3417794917443536	0.37344516203719536	0.3496408156885876	0.3920693224867269	0.40811768723385067	0.37992105336757515	0.39964158434226593	0.38721297041788794	0.3511843598830157	0.37588730382282975	0.3681827938907639	0.3915737698758376	0.35946003935286236	0.3875369963022149	0.39203636738323083	0.39779204301764115	0.37165982609708287	0.3880595202194189	0.39684120050338134	0.47275628267180514	0.3977202374903216	0.41239359780637214	0.4080949286273009	0.47380828242395046	0.3967910766548458	0.4167337164493568	0.41496856519371594	0.44972867262694705	0.4748167957028513	0.47452538262563704	0.47555623086664545	0.3904467775327959	0.3994848424782963	0.3431153433287568	0.37837096526940817	0.38662560495207554	0.4071184795449711	0.3864833408301491	0.37010168486407025
S21H1	0.3765955147184982	0.3810830255063436	0.39602469355745357	0.4419627766948192	0.4077734246969881	0.3525885190501002	0.4021442628146239	0.3950138989706017	0.36894499289675575	0.35425047229704454	0.4275047748223711	0.44396385185685616	0.41169368237808246	0.40004832459361117	0.4224255449529003	0.389788135349307	0.0	0.36617031965187063	0.4134627342400231	0.40219765997014967	0.2720543899236132	0.37162493063754765	0.3488547640415912	0.36843478898907533	0.3912319378122123	0.3671505795005355	0.43600172781404245	0.427352976939123	0.4061780900390171	0.4556805609144678	0.3989330209146801	0.3609598956240621	0.36370827773713377	0.3953739480299755	0.37156960168136777	0.413998108479507	0.4300464732266308	0.4018498393603553	0.4215703703350461	0.4091417564106681	0.37311314587579586	0.3978160898156099	0.39011157988354406	0.4135025558686177	0.3813888253456425	0.40946578229499503	0.413965153376011	0.4197208290104213	0.393588612089863	0.40998830621219906	0.4187699864961615	0.4946850686645853	0.41964902348310174	0.4343223837991523	0.43002371462008104	0.4957370684167306	0.41871986264762595	0.43866250244213695	0.4368973511864961	0.4716574586197272	0.49674558169563143	0.4964541686184172	0.4974850168594256	0.412375563525576	0.42141362847107644	0.36504412932153696	0.4002997512621883	0.4085543909448557	0.42904726553775124	0.40841212682292927	0.3920304708568504
S6Hp	0.36452349030670583	0.3690110010945512	0.3839526691456612	0.42989075228302676	0.3957014002851957	0.3405164946383078	0.39007223840283156	0.3829418745588093	0.35687296848496336	0.34217844788525215	0.4154327504105787	0.43189182744506377	0.39962165796629007	0.3879763001818187	0.41035352054110796	0.37771611093751467	0.36617031965187063	0.0	0.40139070982823066	0.3901256355583573	0.2599823655118208	0.35955290622575525	0.3367827396297988	0.35636276457728294	0.37915991340042	0.3550785550887431	0.4239297034022501	0.41528095252733055	0.3941060656272247	0.4436085365026754	0.3868609965028877	0.3488878712122697	0.3516362533253414	0.38330192361818305	0.3594975772695754	0.40192608406771463	0.4179744488148384	0.3897778149485629	0.4094983459232537	0.39706973199887563	0.36104112146400347	0.38574406540381745	0.3780395554717517	0.40143053145682533	0.3693168009338501	0.39739375788320264	0.4018931289642186	0.40764880459862884	0.3815165876780706	0.39791628180040667	0.4066979620843691	0.4826130442527929	0.4075769990713094	0.4222503593873599	0.41795169020828865	0.48366504400493826	0.4066478382358335	0.42659047803034456	0.4248253267747037	0.4595854342079348	0.4846735572838391	0.48438214420662473	0.4854129924476332	0.4003035391137836	0.409341604059284	0.35297210490974457	0.3882277268503959	0.3964823665330633	0.41697524112595885	0.3963401024111369	0.379958446445058
F7H1	0.36562183882456656	0.37010934961241193	0.3850510176635219	0.4309891008008875	0.3967997488030564	0.3416148431561685	0.3911705869206923	0.38404022307667	0.3579713170028241	0.34327679640311287	0.4165310989284394	0.43299017596292455	0.40072000648415085	0.3890746486996795	0.4114518690589687	0.39153394824724297	0.4134627342400231	0.40139070982823066	0.0	0.3588882032900671	0.24543565379393234	0.360651254743616	0.33788108814765955	0.35746111309514367	0.3802582619182807	0.3561769036066038	0.42502805192011084	0.4163793010451913	0.39520441414508545	0.4447068850205361	0.3879593450207484	0.34998621973013044	0.3527346018432021	0.3844002721360438	0.3605959257874361	0.40302443258557535	0.41907279733269914	0.3908761634664236	0.4105966944411144	0.39816808051673636	0.3621394699818642	0.3868424139216782	0.37913790398961245	0.40252887997468606	0.37041514945171083	0.39849210640106336	0.4029914774820793	0.40874715311648957	0.38261493619593134	0.3990146303182674	0.4077963106022298	0.4837113927706536	0.4086753475891701	0.4233487079052206	0.4190500387261494	0.484763392522799	0.40774618675369423	0.4276888265482053	0.4259236752925644	0.4606837827257955	0.4857719058016998	0.48548049272448546	0.4865113409654939	0.4014018876316443	0.4104399525771447	0.3540704534276053	0.38932607536825664	0.397580715050924	0.4180735896438196	0.3974384509289976	0.3810567949629187
S20H1	0.35435676455469317	0.35884427534253854	0.3737859433936485	0.41972402653101415	0.385534674533183	0.33034976888629514	0.37990551265081884	0.37277514880679663	0.3467062427329507	0.3320117221332395	0.40526602465856604	0.4217251016930511	0.3894549322142774	0.3778095744298061	0.40018679478909525	0.3802688739773695	0.40219765997014967	0.3901256355583573	0.3588882032900671	0.0	0.23417057952405892	0.3493861804737426	0.32661601387778616	0.3461960388252703	0.3689931876484073	0.3449118293367304	0.4137629776502374	0.40511422677531794	0.38393933987521206	0.43344181075066274	0.376694270750875	0.33872114546025706	0.3414695275733287	0.37313519786617044	0.3493308515175627	0.39175935831570197	0.40780772306282576	0.37961108919655023	0.399331620171241	0.386903006246863	0.3508743957119908	0.37557733965180484	0.367872829719739	0.3912638057048127	0.35915007518183745	0.38722703213119	0.3917264032122059	0.39748207884661624	0.37134986192605796	0.387749556048394	0.39653123633235643	0.4724463185007802	0.3974102733192967	0.4120836336353472	0.407784964456276	0.47349831825292554	0.3964811124838209	0.4164237522783319	0.41465860102269103	0.44941870845592213	0.4745068315318264	0.4742154184546121	0.47524626669562053	0.390136813361771	0.3991748783072714	0.3428053791577319	0.37806100109838325	0.38631564078105063	0.4068085153739462	0.3861733766591242	0.36979172069304533
