	S18H1	s17pp	w6pp	f6ppA	f6ppB	s13pp	f20ppB	f14ppB	f16ppA	f23ppA	f21pp	f18pp	f14ppA	F23HpA	f8pp	s26pp	F7H1	f26pp	s16pp	s25pp	s24pp	S15Hp	s29pp	S28Hp	s12pp	s27pp	F6H1	s18pp	S11Hp	s2pp	f3pp	F14H1A	S26Hp	S9H1	S22Hp	f1pp	s1pp	S1Hp	f16ppB	w9pp	s3pp	f30pp	w3pp	s30pp	w30pp	f4pp	f23ppB
f21pp	0.28572626489740033	0.2301951971926542	0.23519634789633714	0.18807808617371785	0.15513188989914192	0.19509955561527806	0.19232025026133587	0.047438838096481695	0.08608343229854414	0.07586434204636891	0.0	0.03505318019961756	0.18518624321365418	0.2621787764139697	0.10277816945345555	0.32334697735605966	0.39231122941689855	0.2839208689533764	0.3111937531412685	0.44461342145806426	0.3271601589529135	0.35102274599397715	0.3502904965670151	0.4069174874040065	0.2284322579727219	0.3445751657838678	0.36836053149647713	0.25708801170090295	0.3567867737467978	0.08818209744442654	0.24923188638689653	0.35306451759420915	0.3556196339107251	0.3372012850710961	0.24763884376871484	0.18707678472439757	0.11628729279332099	0.20289981845562652	0.20131855229270518	0.3162346277514116	0.15190963878812622	0.2598579861774577	0.30902677858097266	0.19832852303817233	0.1567386456476407	0.02896820446406588	0.19783936651343428
f18pp	0.2848638485737003	0.22933278086895414	0.2343339315726371	0.1872156698500178	0.15426947357544185	0.194237139291578	0.19145783393763582	0.04657642177278164	0.08522101597484408	0.07500192572266887	0.03505318019961756	0.0	0.15379803415876353	0.23079056735907902	0.07957807687901053	0.3001468847816146	0.3691111368424535	0.2607207763789314	0.28799366056682346	0.4214133288836192	0.30396006637846845	0.3278226534195321	0.32709040399257006	0.38371739482956146	0.20523216539827685	0.32137507320942277	0.3451604389220321	0.2338879191264579	0.33358668117235274	0.06498200486998151	0.22603179381245148	0.3298644250197641	0.33241954133628004	0.31400119249665104	0.2244387511942698	0.1638766921499525	0.09308720021887595	0.17969972588118147	0.17811845971826012	0.29303453517696654	0.12870954621368116	0.23665789360301265	0.2858266860065276	0.17512843046372728	0.13353855307319565	0.01870090262716066	0.1969769501897342
f14ppA	0.4349969115877369	0.37946584388299076	0.3844669945866737	0.3373487328640544	0.30440253658947847	0.34437020230561466	0.34159089695167244	0.19670948478681827	0.23535407898888072	0.22513498873670548	0.18518624321365418	0.15379803415876353	0.0	0.31241870735677374	0.22971113989304714	0.45027994779565117	0.5192441998564901	0.41085383939296793	0.43812672358086	0.5715463918976558	0.454093129392505	0.4779557164335687	0.47722346700660667	0.5338504578435981	0.35536522841231344	0.47150813622345933	0.4952935019360687	0.3840209821404945	0.4837197441863893	0.21511506788401813	0.3761648568264881	0.4799974880338007	0.48255260435031666	0.46413425551068765	0.37457181420830643	0.3140097551639891	0.24322026323291257	0.32983278889521805	0.32825152273229674	0.44316759819100315	0.27884260922771775	0.38679095661704926	0.4359597490205642	0.3252614934777639	0.28367161608723224	0.1688339656411973	0.3471100132037709
F23HpA	0.5119894447880524	0.4564583770833063	0.4614595277869892	0.41434126606436994	0.381395069789794	0.4213627355059301	0.41858343015198796	0.2737020179871338	0.3123466121891962	0.30212752193702097	0.2621787764139697	0.23079056735907902	0.31241870735677374	0.0	0.3067036730933626	0.5272724809959667	0.5962367330568056	0.48784637259328345	0.5151192567811755	0.6485389250979713	0.5310856625928205	0.5549482496338842	0.5542160002069221	0.6108429910439135	0.43235776161262895	0.5485006694237748	0.5722860351363841	0.46101351534081003	0.5607122773867048	0.2921076010843336	0.45315739002680355	0.5569900212341161	0.5595451375506322	0.5411267887110032	0.4515643474086219	0.3910022883643046	0.3202127964332281	0.40682532209553357	0.40524405593261226	0.5201601313913187	0.35583514242803327	0.4637834898173647	0.5129522822208796	0.4022540266780794	0.36066414928754775	0.24582649884151275	0.42410254640408634
f8pp	0.35258883782753825	0.2970577701227921	0.3020589208264751	0.25494065910385577	0.22199446282927987	0.261962128545416	0.2591828231914738	0.11430141102661964	0.15294600522868207	0.14272691497650686	0.10277816945345555	0.07957807687901053	0.22971113989304714	0.3067036730933626	0.0	0.2935231731429167	0.3624874252037556	0.25409706474023347	0.2813699489281255	0.4147896172449213	0.29733635473977055	0.3211989417808342	0.32046669235387215	0.37709368319086356	0.19860845375957892	0.31475136157072486	0.33853672728333417	0.22726420748776	0.32696296953365483	0.07956867002953127	0.24061845897200124	0.34445109017931386	0.3470062064958298	0.3285878576562008	0.23902541635381955	0.2002588583702072	0.12946936643913065	0.21608189210143616	0.21450062593851482	0.32941670139722123	0.16509171243393586	0.27304005982326734	0.3222088522267823	0.21151059668398198	0.16992071929345035	0.08642589188099865	0.26470193944357223
s26pp	0.5731576457301424	0.5176265780253961	0.5226277287290791	0.47550946700645985	0.44256327073188395	0.48253093644802003	0.47975163109407787	0.3348702189292237	0.37351481313128615	0.36329572287911094	0.32334697735605966	0.3001468847816146	0.45027994779565117	0.5272724809959667	0.2935231731429167	0.0	0.4306442209850122	0.3222538605214901	0.4145701429140918	0.5479898112308875	0.43053654872573677	0.4543991357668004	0.45366688633983837	0.5102938771768297	0.38264487665056424	0.4987877844617101	0.5225731501743194	0.41130063037874526	0.5109993924246401	0.30013747793213535	0.4611872668746053	0.5650198980819179	0.5675750143984339	0.5491566655588049	0.4595942242564236	0.4208276662728113	0.35003817434173473	0.43665070000404027	0.4350694338411189	0.5499855092998254	0.38566052033653997	0.4936088677258714	0.5427776601293863	0.43207940458658606	0.39048952719605445	0.3069946997836027	0.48527074734617626
F7H1	0.6421218977909813	0.586590830086235	0.591591980789918	0.5444737190672988	0.5115275227927228	0.5514951885088589	0.5487158831549168	0.4038344709900626	0.44247906519212504	0.43225997493994983	0.39231122941689855	0.3691111368424535	0.5192441998564901	0.5962367330568056	0.3624874252037556	0.4306442209850122	0.0	0.35565963869857026	0.48353439497493067	0.6169540632917264	0.49950080078657566	0.5233633878276394	0.5226311384006772	0.5792581292376686	0.45160912871140313	0.567752036522549	0.5915374022351583	0.48026488243958415	0.579963644485479	0.36910172999297425	0.5301515189354442	0.6339841501427568	0.6365392664592728	0.6181209176196438	0.5285584763172625	0.4897919183336502	0.4190024264025736	0.5056149520648792	0.5040336859019579	0.6189497613606643	0.45462477239737886	0.5625731197867103	0.6117419121902252	0.501043656647425	0.45945377925689335	0.3759589518444416	0.5542349994070151
f26pp	0.5337315373274591	0.47820046962271295	0.4832016203263959	0.4360833586037766	0.4031371623292007	0.4431048280453368	0.44032552269139463	0.29544411052654046	0.3340887047286029	0.3238696144764277	0.2839208689533764	0.2607207763789314	0.41085383939296793	0.48784637259328345	0.25409706474023347	0.3222538605214901	0.35565963869857026	0.0	0.37514403451140854	0.5085637028282043	0.39111044032305353	0.4149730273641172	0.41424077793715514	0.47086776877414654	0.343218768247881	0.4593616760590269	0.4831470417716362	0.371874521976062	0.47157328402195686	0.2607113695294521	0.4217611584719221	0.5255937896792346	0.5281489059957507	0.5097305571561217	0.42016811585374036	0.3814015578701281	0.3106120659390515	0.39722459160135704	0.39564332543843567	0.5105594008971421	0.34623441193385673	0.4541827593231882	0.5033515517267031	0.3926532961839028	0.3510634187933712	0.2675685913809195	0.445844638943493
s16pp	0.5610044215153511	0.5054733538106051	0.510474504514288	0.4633562427916687	0.4304100465170928	0.4703777122332289	0.4675984068792867	0.32271699471443255	0.361361588916495	0.3511424986643198	0.3111937531412685	0.28799366056682346	0.43812672358086	0.5151192567811755	0.2813699489281255	0.4145701429140918	0.48353439497493067	0.37514403451140854	0.0	0.22312120883864417	0.20083217808857506	0.2246947651296387	0.22396251570267667	0.2805895065396681	0.37049165243577303	0.486634560246919	0.5104199259595282	0.39914740616395405	0.49884616820984895	0.2879842537173442	0.44903404265981417	0.5528666738671268	0.5554217901836427	0.5370034413440137	0.44744100004163245	0.40867444205802017	0.3378849501269436	0.4244974757892491	0.42291620962632775	0.5378322850850341	0.3735072961217488	0.4814556435110803	0.5306244359145953	0.4199261803717949	0.3783363029812633	0.2948414755688116	0.4731175231313851
s25pp	0.694424089832147	0.6388930221274007	0.6438941728310837	0.5967759111084645	0.5638297148338886	0.6037973805500246	0.6010180751960825	0.4561366630312283	0.49478125723329075	0.48456216698111554	0.44461342145806426	0.4214133288836192	0.5715463918976558	0.6485389250979713	0.4147896172449213	0.5479898112308875	0.6169540632917264	0.5085637028282043	0.22312120883864417	0.0	0.33425184640537087	0.3581144334464345	0.35738218401947247	0.4140091748564639	0.5039113207525688	0.6200542285637147	0.643839594276324	0.5325670744807498	0.6322658365266447	0.42140392203413995	0.5824537109766099	0.6862863421839225	0.6888414585004385	0.6704231096608095	0.5808606683584282	0.5420941103748159	0.47130461844373933	0.5579171441060449	0.5563358779431236	0.67125195340183	0.5069269644385446	0.614875311827876	0.6640441042313909	0.5533458486885907	0.511755971298059	0.4282611438856073	0.6065371914481809
