	S17H1	S19H1	S31Hp	31700	S16H2	F14H1B	S21H1	S28Hp	F14H1A	31071	31600	S9H1	S1Hp	31009	530331	S20H1	31267	31519	S27H1	31452	S6Hp	S4Hp	S25Hp	S11Hp	F23HpA	F8H1	F32H1	31750	S23Hp	S12Hp	S18H1	S26Hp	S15Hp	F29H1	s32pp	S13Hp	31160	S14Hp	31300	S3Hp	F6H1	F1H1	530055	31219	31328	S22Hp	F7H1
31600	0.38057275446984046	0.3686232395452351	0.24181872013241787	0.22756806895901238	0.24622854879781514	0.345500577249099	0.3332330220817405	0.32545599736015496	0.2493618082976113	0.11336628392792361	0.0	0.27362232776241713	0.1515781609064648	0.2661126684192921	0.28887418184952907	0.18284462724864176	0.22830180738696215	0.31785649073673805	0.30754540928702156	0.36627496825578343	0.3647120201485221	0.33429325037341306	0.3916271982826529	0.37891329568231713	0.3657239754591468	0.3664982206479086	0.29328157460218707	0.23941899992557983	0.34770101225269257	0.2583243679033034	0.3115341596010843	0.3108940667945611	0.2726521128502827	0.3577116731186998	0.3557042175665879	0.3581801051968897	0.2723119638146408	0.2953522300308342	0.28780158041869874	0.30747432941679487	0.2507604557557355	0.3008302449820653	0.316821127778658	0.3400603849845347	0.37376264565540984	0.3338715184408963	0.3884887118855176
S9H1	0.44991690545338986	0.4379673905287844	0.3111628711159672	0.2969122199425617	0.31557269978136443	0.4148447282326483	0.40257717306528984	0.39480014834370425	0.3187059592811606	0.2912812330787806	0.27362232776241713	0.0	0.1942954084915705	0.3088299160043978	0.3470057149696989	0.2409761603688116	0.286433340507132	0.37598802385690794	0.3656769424071914	0.4244065013759533	0.42284355326869194	0.39242478349358295	0.4497587314028228	0.43704482880248696	0.4238555085793167	0.4246297537680785	0.35141310772235695	0.2975505330457497	0.41704516323624186	0.32766851888685267	0.3808783105846337	0.3802382177781104	0.34199626383383197	0.42705582410224907	0.4250483685501372	0.42752425618043904	0.34165611479819014	0.3646963810143835	0.35714573140224803	0.37681848040034416	0.32010460673928487	0.3701743959656147	0.3861652787622074	0.4094045359680841	0.44310679663895924	0.4032156694244457	0.457832862869067
S1Hp	0.3278727385974375	0.31592322367283215	0.1891187042600149	0.1748680530866094	0.19352853292541217	0.292800561376696	0.2805330062093375	0.272755981487752	0.19666179242520831	0.16923706622282836	0.1515781609064648	0.1942954084915705	0.0	0.1624647074664445	0.22496154811374663	0.11893199351285932	0.16438917365117972	0.2539438570009557	0.2436327755512391	0.30236233452000105	0.3007993864127397	0.2703806166376307	0.32771456454687053	0.3150006619465347	0.30181134172336443	0.3025855869121262	0.22936894086640466	0.1755063661897974	0.2950009963802896	0.2056243520309004	0.2588341437286814	0.2581940509221581	0.21995209697787968	0.30501165724629675	0.30300420169418496	0.3054800893244868	0.21961194794223782	0.24265221415843122	0.23510156454629577	0.2547743135443919	0.19806043988333258	0.24813022910966231	0.26412111190625503	0.2873603691121317	0.32106262978300687	0.2811715025684933	0.33578869601311456
31009	0.44240724611026483	0.43045773118565944	0.3036532117728422	0.2894025605994367	0.3080630404382394	0.4073350688895233	0.3950675137221648	0.3872904890005793	0.31119629993803555	0.28377157373565565	0.2661126684192921	0.3088299160043978	0.1624647074664445	0.0	0.3394960556265739	0.2334665010256866	0.278923681164007	0.3684783645137829	0.3581672830640664	0.4168968420328283	0.41533389392556697	0.3849151241504579	0.44224907205969777	0.429535169459362	0.41634584923619167	0.41712009442495346	0.3439034483792319	0.29004087370262466	0.4095355038931169	0.3201588595437277	0.37336865124150864	0.3727285584349854	0.334486604490707	0.4195461647591241	0.4175387092070122	0.420014596837314	0.3341464554550651	0.35718672167125853	0.34963607205912306	0.3693088210572192	0.31259494739615984	0.36266473662248966	0.3786556194190824	0.40189487662495904	0.4355971372958342	0.39570601008132067	0.4503232035259419
530331	0.4651687595405018	0.4532192446158964	0.3264147252030791	0.31216407402967367	0.3308245538684764	0.4300965823197603	0.4178290271524018	0.41005200243081624	0.33395781336827257	0.3065330871658926	0.28887418184952907	0.3470057149696989	0.22496154811374663	0.3394960556265739	0.0	0.18586487885267877	0.23132205899099917	0.3208767423407751	0.3105656608910585	0.3692952198598205	0.36773227175255907	0.33731350197745014	0.39464744988669	0.3819335472863541	0.3687442270631839	0.3695184722519457	0.29630182620622414	0.28201524519344323	0.43229701732335385	0.34292037297396466	0.39613016467174567	0.39549007186522234	0.3572481179209439	0.442307678189361	0.4403002226372492	0.44277611026755104	0.3569079688853021	0.37994823510149545	0.37239758548936	0.3920703344874561	0.3353564608263968	0.3854262500527266	0.40141713284931935	0.42465639005519606	0.4583586507260712	0.41846752351155764	0.47308471695617893
S20H1	0.35913920493961443	0.3471896900150091	0.22038517060219182	0.20613451942878636	0.22479499926758909	0.32406702771887297	0.31179947255151447	0.30402244782992893	0.22792825876738523	0.2005035325650053	0.18284462724864176	0.2409761603688116	0.11893199351285932	0.2334665010256866	0.18586487885267877	0.0	0.0730336211952853	0.16258830454506124	0.1522772230953447	0.2110067820641066	0.20944383395684524	0.17902506418173625	0.2363590120909761	0.22364510949064026	0.21045578926747	0.21123003445623179	0.13801338841051025	0.17598569059255587	0.32626746272246654	0.23689081837307735	0.2901006100708583	0.289460517264335	0.2512185633200566	0.3362781235884737	0.33427066803636185	0.33674655566666367	0.25087841428441476	0.27391868050060814	0.2663680308884727	0.28604077988656884	0.22932690622550952	0.27939669545183926	0.295387578248432	0.3186268354543087	0.3523290961251838	0.31243796891067027	0.36705516235529156
31267	0.4045963850779349	0.3926468701533295	0.2658423507405122	0.25159169956710675	0.2702521794059095	0.36952420785719337	0.35725665268983486	0.34947962796824933	0.27338543890570566	0.2459607127033257	0.22830180738696215	0.286433340507132	0.16438917365117972	0.278923681164007	0.23132205899099917	0.0730336211952853	0.0	0.1280676254604804	0.11775654401076385	0.17648610297952574	0.17492315487226437	0.14450438509715538	0.20183833300639525	0.1891244304060594	0.17593511018288915	0.17670935537165094	0.1034927093259294	0.2214428707308763	0.37172464286078694	0.28234799851139775	0.33555779020917875	0.3349176974026554	0.296675743458377	0.3817353037267941	0.3797278481746823	0.3822037358049841	0.29633559442273516	0.31937586063892853	0.31182521102679306	0.3314979600248892	0.2747840863638299	0.3248538755901597	0.34084475838675243	0.36408401559262915	0.39778627626350427	0.3578951490489907	0.412512342493612
31519	0.49415106842771084	0.48220155350310545	0.35539703409028817	0.3411463829168827	0.3598068627556854	0.4590788912069693	0.44681133603961076	0.4390343113180253	0.36294012225548156	0.33551539605310166	0.31785649073673805	0.37598802385690794	0.2539438570009557	0.3684783645137829	0.3208767423407751	0.16258830454506124	0.1280676254604804	0.0	0.018516753462502013	0.1340895068811776	0.13252655877391623	0.10210778899880724	0.15944173690804714	0.14672783430771125	0.13353851408454104	0.13431275927330283	0.1404329239961337	0.3109975540806522	0.4612793262105629	0.3719026818611737	0.42511247355895465	0.4244723807524314	0.38623042680815295	0.47128998707657005	0.4692825315244582	0.47175841915476	0.38589027777251106	0.4089305439887045	0.40137989437656907	0.4210526433746652	0.36433876971360585	0.41440855893993567	0.4303994417365284	0.45363869894240505	0.4873409596132802	0.4474498323987667	0.5020670258433879
S27H1	0.4838399869779943	0.47189047205338885	0.3450859526405716	0.3308353014671661	0.34949578130596887	0.4487678097572527	0.4365002545898943	0.4287232298683087	0.352629040805765	0.32520431460338506	0.30754540928702156	0.3656769424071914	0.2436327755512391	0.3581672830640664	0.3105656608910585	0.1522772230953447	0.11775654401076385	0.018516753462502013	0.0	0.12377842543146109	0.12221547732419971	0.09179670754909071	0.1491306554583306	0.13641675285799473	0.1232274326348245	0.12400167782358629	0.13012184254641718	0.3006864726309357	0.4509682447608463	0.3615916004114571	0.4148013921092381	0.41416129930271484	0.3759193453584364	0.4609789056268535	0.45897145007474166	0.4614473377050435	0.3755791963227946	0.39861946253898795	0.39106881292685247	0.4107415619249486	0.3540276882638893	0.4040974774902191	0.42008836028681185	0.44332761749268856	0.4770298781635637	0.43713875094905014	0.49175594439367143
31452	0.5425695459467562	0.5306200310221508	0.40381551160933354	0.3895648604359281	0.4082253402747308	0.5074973687260147	0.49522981355865614	0.48745278883707066	0.41135859977452693	0.38393387357214703	0.36627496825578343	0.4244065013759533	0.30236233452000105	0.4168968420328283	0.3692952198598205	0.2110067820641066	0.17648610297952574	0.1340895068811776	0.12377842543146109	0.0	0.1099050649643409	0.1291123209365469	0.1864462688457868	0.1737323662454509	0.1605430460222807	0.16131729121104246	0.18885140151517907	0.3594160315996976	0.5096978037296083	0.4203211593802191	0.47353095107800003	0.4728908582714768	0.4346489043271984	0.5197084645956155	0.5177010090435036	0.5201768966738054	0.4343087552915565	0.4573490215077499	0.44979837189561445	0.46947112089371057	0.4127572472326512	0.46282703645898104	0.47881791925557377	0.5020571764614504	0.5357594371323257	0.49586830991781206	0.5504855033624333
