	31700	S16H2	F14H1A	f19pp	w16pp	S15Hp	f16ppA	f16ppB	S1Hp	f22ppA	f14ppB	w3pp	s14pp	F7H1	s1pp	s13pp	S22Hp	s24pp	w30pp	w9pp	f7pp	s22pp	S20H1	s3pp	S13Hp	31750	S9H1	S18H1	S21H1	S26Hp
f14ppB	0.28080822879127393	0.2846087995376854	0.2969593232085854	0.12051773932863338	0.1307592555497058	0.1933531693354894	0.1142524453315318	0.10090467080536127	0.1575272978598465	0.13594525007266384	0.0	0.10936152938779667	0.15919847833030595	0.19665011171963365	0.10651006180851212	0.17313065085277263	0.20364080231750792	0.16859969176933548	0.1232339599698467	0.135615325142176	0.161629223283709	0.13066900874193899	0.20261202849608495	0.12103169686397183	0.16459667650075463	0.28385079655253304	0.2899191276681959	0.29206073648948716	0.2912189348672532	0.2737776247009547
w3pp	0.3660847970652412	0.3698853678116527	0.3822358914825527	0.20579430760260065	0.2160358238236731	0.27862973760945664	0.19952901360549907	0.18618123907932854	0.24280386613381377	0.2212218183466311	0.10936152938779667	0.0	0.14535752181515504	0.28192667999360094	0.19178663008247937	0.2584072191267399	0.2889173705914752	0.2538762600433027	0.20851052824381394	0.2208918934161433	0.24690579155767628	0.21594557701590625	0.28788859677005224	0.2063082651379391	0.24987324477472192	0.3691273648265003	0.3751956959421632	0.3773373047634545	0.3764955031412205	0.35905419297492197
s14pp	0.41592174600775045	0.41972231675416194	0.43207284042506194	0.25563125654510993	0.2658727727661824	0.328466686551966	0.24936596254800836	0.23601818802183783	0.29264081507632306	0.27105876728914036	0.15919847833030595	0.14535752181515504	0.0	0.3317636289361102	0.24162357902498868	0.3082441680692492	0.3387543195339845	0.303713208985812	0.2583474771863232	0.2707288423586526	0.29674274050018556	0.26578252595841556	0.3377255457125615	0.2561452140804484	0.2997101937172312	0.4189643137690096	0.42503264488467246	0.42717425370596374	0.4263324520837298	0.4088911419174312
F7H1	0.44091788145637834	0.4447184522027898	0.45706897587368983	0.2806273919937379	0.29086890821481026	0.35346282200059387	0.27436209799663624	0.2610143234704657	0.317636950524951	0.2960549027377683	0.19665011171963365	0.28192667999360094	0.3317636289361102	0.0	0.2666197144736166	0.33324030351787715	0.3637504549826124	0.32870934443443994	0.28334361263495117	0.29572497780728046	0.32173887594881345	0.29077866140704345	0.3627216811611894	0.2811413495290763	0.3247063291658591	0.4439604492176375	0.45002878033330035	0.4521703891545916	0.45132858753235766	0.4338872773660591
s1pp	0.32713823930565755	0.33093881005206904	0.34328933372296905	0.16684774984301703	0.17708926606408945	0.23968317984987303	0.1789071786957479	0.16555940416957737	0.22218203122406263	0.20059998343687996	0.10651006180851212	0.19178663008247937	0.24162357902498868	0.2666197144736166	0.0	0.21189767245956184	0.24240782392429713	0.20736671337612467	0.1620009815766359	0.17438234674896522	0.2003962448904982	0.16943603034872817	0.24137905010287417	0.16736170737835548	0.21092668701513828	0.33018080706691666	0.3362491381825795	0.33839074700387084	0.3375489453816368	0.3201076352153383
s13pp	0.39375882834991804	0.39755939909632954	0.40990992276722954	0.23346833888727753	0.24370985510834997	0.3063037688941336	0.24552776774000842	0.2321799932138379	0.28880262026832315	0.26722057248114045	0.17313065085277263	0.2584072191267399	0.3082441680692492	0.33324030351787715	0.21189767245956184	0.0	0.20028119267410482	0.16524008212593233	0.17380692581315668	0.21258074274685462	0.2385946408883876	0.2076344263466176	0.27957744610076357	0.23398229642261598	0.2775472760593988	0.3968013961111772	0.40286972722684006	0.40501133604813133	0.40416953442589737	0.3867282242595988
S22Hp	0.4242689798146534	0.4280695505610649	0.4404200742319649	0.2639784903520128	0.27422000657308526	0.3368139203588688	0.27603791920474374	0.2626901446785732	0.31931277173305844	0.29773072394587574	0.20364080231750792	0.2889173705914752	0.3387543195339845	0.3637504549826124	0.24240782392429713	0.20028119267410482	0.0	0.0846490224399158	0.204317077277892	0.24309089421158991	0.2691047923531229	0.2381445778113529	0.31008759756549886	0.26449244788735127	0.3080574275241341	0.4273115475759125	0.43337987869157535	0.4355214875128667	0.43467968589063266	0.41723837572433414
s24pp	0.3892278692664809	0.3930284400128924	0.4053789636837924	0.22893737980384038	0.2391788960249128	0.3017728098106964	0.24099680865657125	0.22764903413040072	0.284271661184886	0.2626896133977033	0.16859969176933548	0.2538762600433027	0.303713208985812	0.32870934443443994	0.20736671337612467	0.16524008212593233	0.0846490224399158	0.0	0.16927596672971953	0.20804978366341745	0.23406368180495044	0.2031034672631804	0.27504648701732637	0.22945133733917883	0.2730163169759616	0.39227043702774006	0.3983387681434029	0.4004803769646942	0.3996385753424602	0.38219726517616165
w30pp	0.3438621374669921	0.3476627082134036	0.3600132318843036	0.1835716480043516	0.19381316422542402	0.2564070780112076	0.19563107685708248	0.18228330233091194	0.2389059293853972	0.21732388159821453	0.1232339599698467	0.20851052824381394	0.2583474771863232	0.28334361263495117	0.1620009815766359	0.17380692581315668	0.204317077277892	0.16927596672971953	0.0	0.16268405186392867	0.18869795000546166	0.15773773546369163	0.22968075521783762	0.18408560553969006	0.22765058517647285	0.34690470522825123	0.3529730363439141	0.3551146451652054	0.3542728435429714	0.3368315333766729
w9pp	0.3562435026393215	0.36004407338573297	0.37239459705663297	0.1959530131766809	0.20619452939775335	0.2687884431835369	0.2080124420294118	0.19466466750324127	0.2512872945577265	0.22970524677054383	0.135615325142176	0.2208918934161433	0.2707288423586526	0.29572497780728046	0.17438234674896522	0.21258074274685462	0.24309089421158991	0.20804978366341745	0.16268405186392867	0.0	0.08179016251529568	0.08503235010337123	0.2165226098933692	0.19646697071201938	0.24003195034880218	0.3592860704005806	0.36535440151624343	0.36749601033753476	0.36665420871530074	0.3492128985490022
f7pp	0.38225740078085446	0.38605797152726595	0.39840849519816596	0.2219669113182139	0.23220842753928633	0.2948023413250699	0.23402634017094479	0.22067856564477425	0.2773011926992595	0.2557191449120768	0.161629223283709	0.24690579155767628	0.29674274050018556	0.32173887594881345	0.2003962448904982	0.2385946408883876	0.2691047923531229	0.23406368180495044	0.18869795000546166	0.08179016251529568	0.0	0.11104624824490422	0.24253650803490218	0.22248086885355234	0.2660458484903352	0.38529996854211357	0.3913682996577764	0.39350990847906775	0.39266810685683373	0.3752267966905352
s22pp	0.35129718623908446	0.35509775698549595	0.36744828065639595	0.19100669677644388	0.20124821299751633	0.2638421267832999	0.20306612562917475	0.18971835110300422	0.2463409781574895	0.2247589303703068	0.13066900874193899	0.21594557701590625	0.26578252595841556	0.29077866140704345	0.16943603034872817	0.2076344263466176	0.2381445778113529	0.2031034672631804	0.15773773546369163	0.08503235010337123	0.11104624824490422	0.0	0.21157629349313217	0.19152065431178233	0.23508563394856516	0.35433975400034357	0.3604080851160064	0.36254969393729775	0.36170789231506373	0.3442665821487652
S20H1	0.4232402059932304	0.4270407767396419	0.4393913004105419	0.26294971653058985	0.2731912327516623	0.33578514653744584	0.2750091453833208	0.26166137085715024	0.3182839979116355	0.2967019501244528	0.20261202849608495	0.28788859677005224	0.3377255457125615	0.3627216811611894	0.24137905010287417	0.27957744610076357	0.31008759756549886	0.27504648701732637	0.22968075521783762	0.2165226098933692	0.24253650803490218	0.21157629349313217	0.0	0.2634636740659283	0.30702865370271115	0.42628277375448953	0.4323511048701524	0.4344927136914437	0.4336509120692097	0.4162096019029112
s3pp	0.31828281674742037	0.32208338749383186	0.33443391116473187	0.1579923272847798	0.16823384350585224	0.23082775729163582	0.19342881375120763	0.1800810392250371	0.23670366627952233	0.21512161849233968	0.12103169686397183	0.2063082651379391	0.2561452140804484	0.2811413495290763	0.16736170737835548	0.23398229642261598	0.26449244788735127	0.22945133733917883	0.18408560553969006	0.19646697071201938	0.22248086885355234	0.19152065431178233	0.2634636740659283	0.0	0.20207126445690107	0.3213253845086795	0.32739371562434233	0.3295353244456336	0.32869352282339964	0.3112522126571011
S13Hp	0.2705618436198295	0.2743624143662409	0.28671293803714093	0.19534061340606704	0.20558212962713948	0.26817604341292306	0.23699379338799043	0.2236460188618199	0.2802686459163052	0.2586865981291225	0.16459667650075463	0.24987324477472192	0.2997101937172312	0.3247063291658591	0.21092668701513828	0.2775472760593988	0.3080574275241341	0.2730163169759616	0.22765058517647285	0.24003195034880218	0.2660458484903352	0.23508563394856516	0.30702865370271115	0.20207126445690107	0.0	0.2736044113810886	0.27967274249675145	0.2818143513180427	0.28097254969580876	0.2635312395295102
31750	0.25386221341844684	0.2576627841648583	0.2700133078357583	0.31459473345784544	0.3248362496789179	0.38743016346470144	0.3562479134397688	0.3429001389135983	0.39952276596808356	0.3779407181809009	0.28385079655253304	0.3691273648265003	0.4189643137690096	0.4439604492176375	0.33018080706691666	0.3968013961111772	0.4273115475759125	0.39227043702774006	0.34690470522825123	0.3592860704005806	0.38529996854211357	0.35433975400034357	0.42628277375448953	0.3213253845086795	0.2736044113810886	0.0	0.18248928557542654	0.18463089439671787	0.2642729194944261	0.2468316093281276
S9H1	0.2599305445341097	0.2637311152805212	0.2760816389514211	0.3206630645735083	0.33090458079458074	0.3934984945803643	0.36231624455543165	0.3489684700292611	0.4055910970837464	0.38400904929656376	0.2899191276681959	0.3751956959421632	0.42503264488467246	0.45002878033330035	0.3362491381825795	0.40286972722684006	0.43337987869157535	0.3983387681434029	0.3529730363439141	0.36535440151624343	0.3913682996577764	0.3604080851160064	0.4323511048701524	0.32739371562434233	0.27967274249675145	0.18248928557542654	0.0	0.1684783835848352	0.27034125061008896	0.25289994044379044
S18H1	0.262072153355401	0.26587272410181245	0.27822324777271246	0.32280467339479957	0.33304618961587207	0.39564010340165556	0.364457853376723	0.35111007885055245	0.40773270590503774	0.38615065811785504	0.29206073648948716	0.3773373047634545	0.42717425370596374	0.4521703891545916	0.33839074700387084	0.40501133604813133	0.4355214875128667	0.4004803769646942	0.3551146451652054	0.36749601033753476	0.39350990847906775	0.36254969393729775	0.4344927136914437	0.3295353244456336	0.2818143513180427	0.18463089439671787	0.1684783835848352	0.0	0.2724828594313803	0.2550415492650817
S21H1	0.24384645162148477	0.24764702236789626	0.2599975460387962	0.3219628717725656	0.33220438799363805	0.3947983017794216	0.36361605175448897	0.35026827722831844	0.4068909042828037	0.3853088564956211	0.2912189348672532	0.3764955031412205	0.4263324520837298	0.45132858753235766	0.3375489453816368	0.40416953442589737	0.43467968589063266	0.3996385753424602	0.3542728435429714	0.36665420871530074	0.39266810685683373	0.36170789231506373	0.4336509120692097	0.32869352282339964	0.28097254969580876	0.2642729194944261	0.27034125061008896	0.2724828594313803	0.0	0.23681584753116552
S26Hp	0.05371343969129723	0.15591228792131792	0.16826281159221793	0.3045215616062671	0.31476307782733953	0.377356991613123	0.34617474158819045	0.3328269670620199	0.3894495941165052	0.36786754632932256	0.2737776247009547	0.35905419297492197	0.4088911419174312	0.4338872773660591	0.3201076352153383	0.3867282242595988	0.41723837572433414	0.38219726517616165	0.3368315333766729	0.3492128985490022	0.3752267966905352	0.3442665821487652	0.4162096019029112	0.3112522126571011	0.2635312395295102	0.2468316093281276	0.25289994044379044	0.2550415492650817	0.23681584753116552	0.0
