	s9pp	S4Hp	F23HpA	s32pp	s24H1	s4pp	S2Hp	31300	S17H1	S28Hp	S7Hp	S6Hp	S3Hp	S13Hp	s13pp	S16H2	S8Hp	31519	S26Hp	530394	S21H1	S31Hp	S23Hp	F8H1	S29H1	S25Hp	31700	31723	31112	S19H1	F7H1	S15Hp	F14H1A	F16H1	S27H1	S11Hp	31379	530050	31219	F32H1	530119	S30H1	F14H1B
S7Hp	0.4437635222328653	0.3818245724299234	0.3539234367453936	0.42447435715294174	0.4224393049050667	0.457544548525411	0.28551771826267425	0.37580167725908337	0.3410810943292396	0.04495321942710741	0.0	0.002281370573440236	0.23039795562587873	0.22058723291566235	0.23079880082150178	0.31861750055174176	0.2904408239532707	0.2904301114560503	0.2802859139148345	0.28194429584533554	0.4412065519947124	0.31959112664197714	0.3377054541848731	0.42915589480926436	0.42918513885502735	0.4250739326257837	0.4856086229760358	0.4462593440190963	0.443099877490263	0.3732819969567036	0.37333795359441513	0.37221277566916117	0.3612911552797548	0.4091150295210021	0.4149674162860457	0.3505245935534562	0.44911364869523357	0.4570194622133428	0.4652242103441354	0.45194682386698143	0.465034598682052	0.4533392661831665	0.4341453319869136
S6Hp	0.4433261225233819	0.38138717272044	0.3534860370359101	0.42403695744345826	0.4220019051955832	0.4571071488159275	0.28508031855319077	0.3753642775495999	0.34064369461975613	0.04451581971762394	0.002281370573440236	0.0	0.22996055591639528	0.2201498332061789	0.2303614011120183	0.3181801008422583	0.2900034242437872	0.2899927117465668	0.27984851420535106	0.28150689613585206	0.44076915228522895	0.31915372693249366	0.3372680544753896	0.4287184950997809	0.42874773914554387	0.4246365329163002	0.4851712232665524	0.44582194430961286	0.4426624777807796	0.3728445972472202	0.3729005538849317	0.3717753759596777	0.36085375557027133	0.4086776298115187	0.41453001657656224	0.35008719384397274	0.4486762489857501	0.4565820625038593	0.46478681063465194	0.45150942415749795	0.4645971989725685	0.452901866473683	0.4337079322774301
S3Hp	0.4935427198364025	0.4316037700334606	0.40370263434893083	0.47425355475647896	0.4722185025086039	0.5073237461289481	0.33529691586621146	0.4255808748626206	0.3908602919327768	0.18708165559767848	0.23039795562587873	0.22996055591639528	0.0	0.036131589518727615	0.1955084462772388	0.28332714600747877	0.25515046940900776	0.25513975691178736	0.3300651115183717	0.33172349344887275	0.49098574959824964	0.36937032424551436	0.3874846517884103	0.4789350924128016	0.47896433645856457	0.4748531302293209	0.535387820579573	0.4960385416226335	0.49287907509380025	0.4230611945602408	0.42311715119795235	0.4219919732726984	0.411070352883292	0.4588942271245393	0.46474661388958294	0.40030379115699344	0.4988928462987708	0.50679865981688	0.5150034079476726	0.5017260214705187	0.5148137962855892	0.5031184637867038	0.4839245295904508
S13Hp	0.4837319971261862	0.4217930473232443	0.3938919116387144	0.4644428320462626	0.46240777979838754	0.4975130234187318	0.32548619315599503	0.4157701521524042	0.3810495692225604	0.1772709328874621	0.22058723291566235	0.2201498332061789	0.036131589518727615	0.0	0.1856977235670224	0.2735164232972624	0.24533974669879138	0.24532903420157093	0.3202543888081554	0.3219127707386563	0.48117502688803326	0.359559601535298	0.37767392907819386	0.4691243697025852	0.4691536137483482	0.46504240751910453	0.5255770978693566	0.4862278189124171	0.48306835238358387	0.41325047185002445	0.41330642848773597	0.412181250562482	0.40125963017307564	0.449083504414323	0.45493589117936656	0.39049306844677706	0.4890821235885544	0.4969879371066636	0.5051926852374563	0.49191529876030227	0.5050030735753728	0.49330774107648734	0.4741138068802344
s13pp	0.4939435650320255	0.4320046152290836	0.40410347954455383	0.47465439995210196	0.4726193477042269	0.5077245913245712	0.33569776106183447	0.42598172005824364	0.3912611371283998	0.1874825007933015	0.23079880082150178	0.2303614011120183	0.1955084462772388	0.1856977235670224	0.0	0.24002014373699632	0.21184346713852525	0.21183275464130485	0.33046595671399476	0.33212433864449575	0.4913865947938727	0.3697711694411374	0.3878854969840333	0.47933593760842463	0.4793651816541876	0.47525397542494396	0.535788665775196	0.4964393868182565	0.49327992028942325	0.42346203975586383	0.42351799639357535	0.4223928184683214	0.411471198078915	0.4592950723201623	0.46514745908520594	0.40070463635261644	0.4992936914943938	0.507199505012503	0.5154042531432956	0.5021268666661417	0.5152146414812122	0.5035193089823268	0.4843253747860738
S16H2	0.5817622647622656	0.5198233149593237	0.49192217927479387	0.5624730996823419	0.560438047434467	0.5955432910548113	0.4235164607920745	0.5138004197884836	0.47907983685863986	0.27530120052354146	0.31861750055174176	0.3181801008422583	0.28332714600747877	0.2735164232972624	0.24002014373699632	0.0	0.24871527798718163	0.24870456548996117	0.41828465644423474	0.4199430383747358	0.5792052945241126	0.4575898691713774	0.47570419671427333	0.5671546373386647	0.5671838813844277	0.563072675155184	0.623607365505436	0.5842580865484965	0.5810986200196633	0.5112807394861039	0.5113366961238154	0.5102115181985614	0.49928989780915506	0.5471137720504023	0.552966158815446	0.4885233360828565	0.5871123912246339	0.595018204742743	0.6032229528735357	0.5899455663963817	0.6030333412114522	0.5913380087125668	0.5721440745163138
S8Hp	0.5535855881637946	0.49164663836085265	0.46374550267632275	0.5342964230838709	0.5322613708359959	0.5673666144563402	0.3953397841936034	0.48562374319001256	0.45090316026016874	0.24712452392507045	0.2904408239532707	0.2900034242437872	0.25515046940900776	0.24533974669879138	0.21184346713852525	0.24871527798718163	0.0	0.0644823474659646	0.39010797984576373	0.39176636177626467	0.5510286179256416	0.42941319257290633	0.4475275201158022	0.5389779607401936	0.5390072047859565	0.5348959985567129	0.5954306889069649	0.5560814099500255	0.5529219434211923	0.4831040628876328	0.4831600195253443	0.48203484160009036	0.471113221210684	0.5189370954519313	0.524789482216975	0.4603466594843854	0.5589357146261628	0.566841528144272	0.5750462762750647	0.5617688897979107	0.5748566646129812	0.5631613321140958	0.5439673979178428
31519	0.553574875666574	0.49163592586363214	0.46373479017910235	0.5342857105866505	0.5322506583387754	0.5673559019591197	0.395329071696383	0.4856130306927921	0.45089244776294835	0.24711381142785002	0.2904301114560503	0.2899927117465668	0.25513975691178736	0.24532903420157093	0.21183275464130485	0.24870456548996117	0.0644823474659646	0.0	0.3900972673485432	0.39175564927904427	0.5510179054284212	0.4294024800756859	0.4475168076185818	0.538967248242973	0.538996492288736	0.5348852860594924	0.5954199764097445	0.556070697452805	0.5529112309239718	0.48309335039041235	0.48314930702812386	0.4820241291028699	0.47110250871346354	0.5189263829547108	0.5247787697197545	0.46033594698716496	0.5589250021289422	0.5668308156470515	0.5750355637778441	0.5617581773006902	0.5748459521157607	0.5631506196168753	0.5439566854206223
S26Hp	0.41469609907940785	0.35275714927646595	0.32485601359193617	0.3954069339994843	0.39337188175160925	0.42847712537195354	0.2564502951092168	0.34673425410562597	0.31201367117578216	0.23696961388663426	0.2802859139148345	0.27984851420535106	0.3300651115183717	0.3202543888081554	0.33046595671399476	0.41828465644423474	0.39010797984576373	0.3900972673485432	0.0	0.1981085923383326	0.3573708484877095	0.23575542313497425	0.25386975067787015	0.34532019130226144	0.3453494353480244	0.34123822911878077	0.4017729194690329	0.36242364051209336	0.3592641739832601	0.34421457380324616	0.3442705304409577	0.34314535251570377	0.33222373212629736	0.38004760636754464	0.38589999313258827	0.32145717039999877	0.4200462255417761	0.4279520390598853	0.43615678719067796	0.422879400713524	0.43596717552859454	0.42427184302970905	0.4050779088334561
530394	0.4163544810099089	0.354415531206967	0.3265143955224371	0.3970653159299853	0.39503026368211025	0.43013550730245453	0.2581086770397178	0.3483926360361269	0.31367205310628316	0.23862799581713526	0.28194429584533554	0.28150689613585206	0.33172349344887275	0.3219127707386563	0.33212433864449575	0.4199430383747358	0.39176636177626467	0.39175564927904427	0.1981085923383326	0.0	0.2926447098343411	0.17102928448160584	0.18914361202450175	0.28059405264889303	0.280623296694656	0.27651209046541236	0.3370467808156645	0.29769750185872496	0.2945380353298917	0.3458729557337472	0.34592891237145873	0.3448037344462047	0.33388211405679835	0.3817059882980457	0.38755837506308927	0.32311555233049977	0.4217046074722771	0.4296104209903863	0.43781516912117896	0.424537782644025	0.43762555745909554	0.42593022496021005	0.4067362907639571
