	S26Hp	S23Hp	S28Hp	S12Hp	w6pp	S18H1	S20H1	S22Hp	S6Hp	S9H1	F7H1	S15Hp	S13Hp	w10pp	s32pp	w32pp	S17H1	S1Hp	S4Hp	S21H1	f1pp	f31pp	S19H1
F7H1	0.3501832370393568	0.32146889075948715	0.3608870344503209	0.2523981382611817	0.26592200556606566	0.25168028654200364	0.2448500259617531	0.22672934025142386	0.23567155967963632	1.1284413664846757	0.0	0.23081079975904517	0.3186473528574195	0.33658672887802665	0.32443448725695423	0.33964432926559407	0.3716772927880049	0.3257178252258885	0.3034600233264737	0.3085896380616947	0.2903982651864591	0.3251587956282403	0.3313365197307318
S15Hp	0.38958771385272656	0.36087336757285693	0.40029151126369067	0.2918026150745515	0.3053264823794355	0.29108476335537353	0.284254502775123	0.2661338170647937	0.27507603649300616	1.1678458432980456	0.23081079975904517	0.0	0.3580518296707894	0.37599120569139655	0.3638389640703241	0.3790488060789639	0.41108176960137477	0.36512230203925833	0.3428645001398436	0.3479941148750646	0.32980274199982895	0.36456327244161013	0.3707409965441016
S13Hp	0.32247123761318086	0.29375689133331123	0.3331750350241449	0.26979497223008564	0.32160158772695835	0.3073598687028964	0.32577548720028543	0.30765480148995616	0.31659702091816866	1.237163709592541	0.3186473528574195	0.3580518296707894	0.0	0.2939167413776685	0.28176449975659607	0.29697434176523585	0.3290073052876467	0.2830478377255303	0.2607900358261155	0.28087763863551884	0.2626862657602832	0.2974467962020644	0.3036245203045559
w10pp	0.340410613633788	0.31169626735391837	0.35111441104475205	0.2877343482506928	0.3395409637475655	0.3252992447235035	0.34371486322089256	0.3255941775105633	0.3345363969387758	1.2551030856131482	0.33658672887802665	0.37599120569139655	0.2939167413776685	0.0	0.2054631531570265	0.22067299516566632	0.28593935057747744	0.2753219435701766	0.25306414167076186	0.298817014656126	0.28062564178089033	0.3153861722226715	0.321563896325163
s32pp	0.32825837201271557	0.29954402573284594	0.3389621694236796	0.27558210662962035	0.32738872212649306	0.3131470031024311	0.33156262159982014	0.3134419358894909	0.32238415531770337	1.2429508439920758	0.32443448725695423	0.3638389640703241	0.28176449975659607	0.2054631531570265	0.0	0.047746797041577464	0.273787108956405	0.26316970194910416	0.2409119000496894	0.28666477303505356	0.2684734001598179	0.3032339306015991	0.3094116547040906
w32pp	0.34346821402135536	0.3147538677414857	0.35417201143231947	0.2907919486382602	0.3425985641351329	0.3283568451110709	0.3467724636084599	0.3286517778981307	0.33759399732634315	1.2581606860007155	0.33964432926559407	0.3790488060789639	0.29697434176523585	0.22067299516566632	0.047746797041577464	0.0	0.2889969509650448	0.278379543957744	0.25612174205832916	0.30187461504369334	0.2836832421684577	0.3184437726102389	0.3246214967127304
S17H1	0.37550117754376616	0.34678683126389653	0.3862049749547303	0.322824912160671	0.3746315276575437	0.36038980863348175	0.3788054271308708	0.3606847414205415	0.369626960848754	1.2901936495231263	0.3716772927880049	0.41108176960137477	0.3290073052876467	0.28593935057747744	0.273787108956405	0.2889969509650448	0.0	0.3104125074801548	0.2881547055807401	0.3339075785661042	0.31571620569086856	0.35047673613264974	0.3566544602351412
S1Hp	0.32954170998164983	0.3008273637017802	0.34024550739261394	0.2768654445985546	0.3286720600954273	0.31443034107136536	0.3328459595687544	0.31472527385842514	0.3236674932866376	1.2442341819610099	0.3257178252258885	0.36512230203925833	0.2830478377255303	0.2753219435701766	0.26316970194910416	0.278379543957744	0.3104125074801548	0.0	0.22268387879278284	0.28794811100398776	0.26975673812875217	0.30451726857053335	0.31069499267302486
S4Hp	0.30728390808223505	0.2785695618023654	0.3179877054931991	0.2546076426991398	0.30641425819601253	0.2921725391719505	0.31058815766933956	0.29246747195901035	0.30140969138722284	1.2219763800615953	0.3034600233264737	0.3428645001398436	0.2607900358261155	0.25306414167076186	0.2409119000496894	0.25612174205832916	0.2881547055807401	0.22268387879278284	0.0	0.265690309104573	0.24749893622933739	0.28225946667111856	0.2884371907736101
S21H1	0.28064127762387064	0.251926931344001	0.29134507503483476	0.2597372574343608	0.31154387293123353	0.2973021539071716	0.3157177724045606	0.29759708669423135	0.30653930612244384	1.2271059947968164	0.3085896380616947	0.3479941148750646	0.28087763863551884	0.298817014656126	0.28666477303505356	0.30187461504369334	0.3339075785661042	0.28794811100398776	0.265690309104573	0.0	0.1988814533841295	0.25561683621275416	0.2617945603152457
f1pp	0.26244990474863505	0.2337355584687654	0.2731537021595991	0.24154588455912523	0.29335250005599794	0.27911078103193593	0.29752639952932497	0.27940571381899576	0.2883479332472082	1.2089146219215807	0.2903982651864591	0.32980274199982895	0.2626862657602832	0.28062564178089033	0.2684734001598179	0.2836832421684577	0.31571620569086856	0.26975673812875217	0.24749893622933739	0.1988814533841295	0.0	0.23742546333751854	0.24360318744001005
f31pp	0.2520387428654193	0.22332439658554964	0.26274254027638333	0.2763064150009064	0.3281130304977791	0.3138713114737171	0.33228692997110615	0.31416624426077694	0.3231084636889894	1.2436751523633618	0.3251587956282403	0.36456327244161013	0.2974467962020644	0.3153861722226715	0.3032339306015991	0.3184437726102389	0.35047673613264974	0.30451726857053335	0.28225946667111856	0.25561683621275416	0.23742546333751854	0.0	0.2331920255567943
S19H1	0.15933986594727823	0.18510767049851706	0.22452581418935078	0.2824841391033979	0.33429075460027063	0.3200490355762086	0.33846465407359766	0.32034396836326845	0.3292861877914809	1.2498528764658532	0.3313365197307318	0.3707409965441016	0.3036245203045559	0.321563896325163	0.3094116547040906	0.3246214967127304	0.3566544602351412	0.31069499267302486	0.2884371907736101	0.2617945603152457	0.24360318744001005	0.2331920255567943	0.0
