	w2pp	s2pp	s24pp	530451	s18pp	s12pp	w11pp	s11pp	F16H1	s14pp	s15pp	w14pp	s29pp	s26pp	s17pp	s32pp	S17H1	w21pp	s31pp	w15pp	s28pp	s16pp	w16pp	w4pp	w18pp	s27pp	s25pp	s22pp	S29H1	s4pp	s10pp	S8Hp	w29pp	f8pp	w30pp	S4Hp	f4pp	S13Hp	S15Hp	S22Hp	S9H1	530331	S28Hp	S1Hp	31750	S6Hp	S20H1	F14H1A	S26Hp	S16H2	S18H1	f14ppB	s6pp	w6pp	S21H1	s13pp	s30pp	s20pp	s19pp	s9pp	s7pp	F23HpA	s23pp	w32pp	s1pp	w7pp
s15pp	0.060834390913510415	0.061126360509385996	0.08179999280738877	0.1124839157253859	0.06242612157397594	0.0790543503873534	0.1288935683032012	0.12876678136711156	0.08042938921232151	0.06521652426847482	0.0	0.037729097970484335	0.027290331882516557	0.04262529522586413	0.047833108928375195	0.07220144153910943	0.08978603425074866	0.07835687957029289	0.07475911171900113	0.06707295486255069	0.07028539370433035	0.06857368947864201	0.07590884068209115	0.07177074758729253	0.05493235358615406	0.10371115591668445	0.06669278356911648	0.09393054268209172	0.11866427767760376	0.10046826362213607	0.1611384032202552	0.11912021911390219	0.09354059199834008	0.16699093343976507	0.15732923436961585	0.198820584282065	0.2635730906124316	0.31879665672355495	0.41108267358138145	0.5518467134388813	0.5234708657884439	0.6196900148638576	0.5549123655823812	0.5408233142538509	0.5932830655577153	0.5687847623856226	0.48109301252082415	0.6488990724661224	0.6393736525293782	0.6062351565228785	0.40556372242672534	0.28190390195320647	0.200669012386877	0.11881595462686145	0.12153240530533976	0.16191375078471007	0.1514506799361108	0.1556948012917186	0.15887796703416124	0.10813559363549513	0.10660398460793216	0.13794008209202377	0.13442398170827208	0.15496738833079074	0.05556817129155965	0.10139133789719108
w14pp	0.06886778277610468	0.06915975237198027	0.08983338466998303	0.12051730758798015	0.0704595134365702	0.08708774224994767	0.13692696016579545	0.13680017322970583	0.08846278107491579	0.0732499161310691	0.037729097970484335	0.0	0.023674660730959488	0.0506586870884584	0.05586650079096946	0.0802348334017037	0.09781942611334293	0.08639027143288716	0.0827925035815954	0.07510634672514496	0.07831878556692462	0.07660708134123628	0.08394223254468541	0.07980413944988679	0.06296574544874832	0.11174454777927872	0.07472617543171076	0.10196393454468598	0.12669766954019804	0.10850165548473034	0.16917179508284946	0.12715361097649647	0.10157398386093434	0.17502432530235934	0.1653626262322101	0.20685397614465928	0.2716064824750259	0.3268300485861492	0.4191160654439757	0.5598801053014756	0.5315042576510383	0.6277234067264519	0.5629457574449755	0.5488567061164451	0.6013164574203096	0.5768181542482169	0.4891264043834184	0.6569324643287168	0.6474070443919725	0.6142685483854728	0.4135971142893196	0.28993729381580075	0.20870240424947128	0.12684934648945573	0.12956579716793404	0.16994714264730432	0.15948407179870505	0.16372819315431286	0.1669113588967555	0.11616898549808939	0.11463737647052644	0.14597347395461802	0.14245737357086635	0.163000780193385	0.06360156315415391	0.10942472975978534
s29pp	0.0584290166881369	0.05872098628401248	0.07939461858201526	0.11007854150001238	0.060020747348602424	0.07664897616197988	0.1264881940778277	0.12636140714173805	0.078024014986948	0.06281115004310131	0.027290331882516557	0.023674660730959488	0.0	0.04021992100049062	0.04542773470300168	0.06979606731373592	0.08738066002537515	0.07595150534491937	0.07235373749362761	0.06466758063717717	0.06788001947895683	0.0661683152532685	0.07350346645671764	0.06936537336191902	0.052526979360780546	0.10130578169131094	0.06428740934374297	0.09152516845671821	0.11625890345223025	0.09806288939676255	0.15873302899488168	0.11671484488852868	0.09113521777296657	0.16458555921439155	0.15492386014424234	0.1964152100566915	0.2611677163870581	0.31639128249818144	0.40867729935600794	0.5494413392135078	0.5210654915630705	0.6172846406384841	0.5525069913570078	0.5384179400284773	0.5908776913323418	0.5663793881602491	0.47868763829545063	0.646493698240749	0.6369682783040047	0.6038297822975051	0.4031583482013518	0.27949852772783296	0.1982636381615035	0.11641058040148794	0.11912703107996625	0.15950837655933656	0.1490453057107373	0.15328942706634507	0.15647259280878772	0.10573021941012162	0.10419861038255865	0.13553470786665026	0.13201860748289856	0.15256201410541723	0.05316279706618614	0.09898596367181757
s26pp	0.042638403404090156	0.04293037299996574	0.0636040052979685	0.09428792821596563	0.04423013406455567	0.06085836287793313	0.11069758079378092	0.1105707938576913	0.06223340170290126	0.04702053675905457	0.04262529522586413	0.0506586870884584	0.04021992100049062	0.0	0.019712773860767186	0.05400545402968916	0.07159004674132839	0.06016089206087262	0.05656312420958087	0.048876967353130435	0.05208940619491009	0.05037770196922174	0.057712853172670886	0.05357476007787226	0.03673636607673379	0.0855151684072642	0.04849679605969623	0.07573455517267146	0.10046829016818351	0.08227227611271581	0.14294241571083494	0.10092423160448193	0.07534460448891982	0.1487949459303448	0.13913324686019557	0.18062459677264475	0.24537710310301136	0.3006006692141347	0.3928866860719612	0.5336507259294611	0.5052748782790237	0.6014940273544374	0.536716378072961	0.5226273267444306	0.5750870780482951	0.5505887748762024	0.4628970250114039	0.6307030849567022	0.621177665019958	0.5880391690134583	0.3873677349173051	0.2637079144437862	0.18247302487745676	0.1006199671174412	0.10333641779591951	0.1437177632752898	0.13325469242669052	0.13749881378229833	0.14068197952474099	0.08993960612607486	0.08840799709851191	0.1197440945826035	0.11622799419885181	0.13677140082137046	0.03737218378213939	0.08319535038777082
s17pp	0.04784621710660122	0.0481381867024768	0.06881181900047957	0.0994957419184767	0.04943794776706674	0.0660661765804442	0.11590539449629199	0.11577860756020236	0.06744121540541231	0.05222835046156563	0.047833108928375195	0.05586650079096946	0.04542773470300168	0.019712773860767186	0.0	0.05921326773220023	0.07679786044383946	0.06536870576338369	0.061770937912091935	0.0540847810556415	0.057297219897421155	0.05558551567173281	0.06292066687518195	0.05878257378038333	0.04194417977924486	0.09072298210977525	0.05370460976220729	0.08094236887518252	0.10567610387069457	0.08748008981522687	0.148150229413346	0.106132045306993	0.08055241819143089	0.15400275963285587	0.14434106056270665	0.1858324104751558	0.2505849168055224	0.30580848291664575	0.39809449977447225	0.5388585396319721	0.5104826919815347	0.6067018410569484	0.541924191775472	0.5278351404469417	0.5802948917508061	0.5557965885787134	0.46810483871391495	0.6359108986592132	0.626385478722469	0.5932469827159693	0.39257554861981614	0.2689157281462973	0.1876808385799678	0.10582778081995226	0.10854423149843057	0.14892557697780087	0.1384625061292016	0.1427066274848094	0.14588979322725204	0.09514741982858593	0.09361581080102296	0.12495190828511457	0.12143580790136288	0.14197921452388154	0.04257999748465045	0.08840316409028189
s32pp	0.06245825998172624	0.06275022957760182	0.08342386187560459	0.1141077847936017	0.06404999064219176	0.08067821945556922	0.130517437371417	0.13039065043532738	0.08205325828053733	0.06684039333669065	0.07220144153910943	0.0802348334017037	0.06979606731373592	0.05400545402968916	0.05921326773220023	0.0	0.07439564104526619	0.06296648636481042	0.05936871851351866	0.05168256165706822	0.054895000498847886	0.0596643752505492	0.06699952645399834	0.06641481014539918	0.04957641614426071	0.0983552184747911	0.06133684612722314	0.08857460524019836	0.11330834023571043	0.09511232618024272	0.15578246577836186	0.11376428167200883	0.08818465455644672	0.1616349959978717	0.1519732969277225	0.19346464684017164	0.2582171531705383	0.3134407192816616	0.4057267361394881	0.5464907759969879	0.5181149283465506	0.6143340774219642	0.5495564281404879	0.5354673768119576	0.5879271281158219	0.5634288249437293	0.4757370750789308	0.6435431350242291	0.6340177150874848	0.6008792190809852	0.400207784984832	0.27654796451131314	0.19531307494498365	0.11346001718496812	0.11617646786344643	0.1565578133428167	0.14609474249421744	0.15033886384982523	0.1535220295922679	0.10277965619360177	0.10124804716603882	0.1325841446501304	0.12906804426637872	0.14961145088889738	0.050212233849666305	0.09603540045529774
S17H1	0.08004285269336547	0.08033482228924105	0.10100845458724382	0.13169237750524093	0.08163458335383099	0.09826281216720845	0.14810203008305622	0.1479752431469666	0.09963785099217656	0.08442498604832988	0.08978603425074866	0.09781942611334293	0.08738066002537515	0.07159004674132839	0.07679786044383946	0.07439564104526619	0.0	0.059026428815867754	0.05542866096457599	0.047742504108125555	0.06274445990945787	0.07724896796218843	0.08458411916563757	0.08399940285703841	0.06716100885589994	0.11593981118643033	0.07892143883886238	0.10615919795183759	0.13089293294734966	0.11269691889188195	0.17336705849000109	0.13134887438364806	0.10576924726808595	0.17921958870951094	0.16955788963936172	0.21104923955181087	0.2758017458821775	0.3310253119933008	0.4233113288511273	0.5640753687086272	0.5356995210581899	0.6319186701336035	0.5671410208521271	0.5530519695235968	0.6055117208274612	0.5810134176553685	0.49332166779057	0.6611277277358684	0.6516023077991241	0.6184638117926244	0.4177923776964712	0.29413255722295234	0.21289766765662288	0.13104460989660735	0.13376106057508566	0.17414240605445594	0.16367933520585667	0.16792345656146446	0.17110662230390714	0.120364248905241	0.11883263987767805	0.15016873736176964	0.14665263697801795	0.1671960436005366	0.06779682656130553	0.11361999316693697
w21pp	0.0686136980129097	0.06890566760878528	0.08957929990678805	0.12026322282478516	0.07020542867337522	0.08683365748675267	0.13667287540260045	0.13654608846651084	0.08820869631172079	0.0729958313678741	0.07835687957029289	0.08639027143288716	0.07595150534491937	0.06016089206087262	0.06536870576338369	0.06296648636481042	0.059026428815867754	0.0	0.040733223749554265	0.03304706689310383	0.0513153052290021	0.06581981328173266	0.0731549644851818	0.07257024817658264	0.05573185417544417	0.10451065650597456	0.0674922841584066	0.09473004327138182	0.11946377826689389	0.10126776421142618	0.1619379038095453	0.11991971970319229	0.09434009258763018	0.16779043402905516	0.15812873495890595	0.1996200848713551	0.26437259120172174	0.3195961573128451	0.4118821741706716	0.5526462140281714	0.524270366377734	0.6204895154531477	0.5557118661716713	0.541622814843141	0.5940825661470054	0.5695842629749127	0.4818925131101143	0.6496985730554126	0.6401731531186683	0.6070346571121686	0.40636322301601546	0.2827034025424966	0.2014685129761671	0.11961545521615158	0.12233190589462989	0.16271325137400017	0.1522501805254009	0.15649430188100868	0.15967746762345136	0.10893509422478523	0.10740348519722227	0.13873958268131387	0.13522348229756218	0.15576688892008084	0.05636767188084976	0.1021908384864812
s31pp	0.06501593016161794	0.06530789975749353	0.0859815320554963	0.11666545497349341	0.06660766082208347	0.08323588963546091	0.1330751075513087	0.13294832061521908	0.08461092846042904	0.06939806351658236	0.07475911171900113	0.0827925035815954	0.07235373749362761	0.05656312420958087	0.061770937912091935	0.05936871851351866	0.05542866096457599	0.040733223749554265	0.0	0.02358255313807993	0.04771753737771035	0.0622220454304409	0.06955719663389004	0.06897248032529088	0.05213408632415241	0.10091288865468281	0.06389451630711485	0.09113227542009007	0.11586601041560213	0.09766999636013443	0.15834013595825355	0.11632195185190054	0.09074232473633843	0.1641926661777634	0.15453096710761421	0.19602231702006334	0.26077482335042995	0.3159983894615533	0.4082844063193798	0.5490484461768796	0.5206725985264423	0.6168917476018559	0.5521140983203796	0.5380250469918493	0.5904847982957137	0.565986495123621	0.4782947452588225	0.6461008052041208	0.6365753852673766	0.6034368892608769	0.4027654551647237	0.2791056346912048	0.19787074512487535	0.11601768736485982	0.11873413804333813	0.15911548352270843	0.14865241267410917	0.15289653402971692	0.1560796997721596	0.10533732637349348	0.10380571734593053	0.13514181483002213	0.13162571444627041	0.1521691210687891	0.05276990402955801	0.09859307063518943
w15pp	0.0573297733051675	0.05762174290104309	0.07829537519904586	0.10897929811704297	0.058921503965633025	0.07554973277901048	0.12538895069485828	0.12526216375876864	0.0769247716039786	0.06171190666013192	0.06707295486255069	0.07510634672514496	0.06466758063717717	0.048876967353130435	0.0540847810556415	0.05168256165706822	0.047742504108125555	0.03304706689310383	0.02358255313807993	0.0	0.040031380521259916	0.054535888573990464	0.06187103977743961	0.06128632346884044	0.04444792946770197	0.09322673179823238	0.05620835945066441	0.08344611856363963	0.10817985355915169	0.089983839503684	0.15065397910180311	0.1086357949954501	0.083056167879888	0.156506509321313	0.14684481025116375	0.18833616016361293	0.25308866649397954	0.3083122326051029	0.4005982494629294	0.5413622893204292	0.5129864416699919	0.6092055907454055	0.5444279414639291	0.5303388901353988	0.5827986414392632	0.5583003382671705	0.4706085884023721	0.6384146483476704	0.6288892284109261	0.5957507324044264	0.39507929830827326	0.2714194778347544	0.19018458826842494	0.10833153050840938	0.11104798118688769	0.15142932666625797	0.1409662558176587	0.1452103771732665	0.14839354291570916	0.09765116951704304	0.09611956048948009	0.12745565797357167	0.12393955758981999	0.14448296421233864	0.04508374717310757	0.090906913778739
