	S28Hp	F8H1	w9pp	w8pp	f12ppA	f2pp	f16ppA	f3pp	f23ppB	S17H1	f10pp	w11pp	S20H1	s24H1	f8pp	w17pp	f11pp	f17ppB	f30pp	w19pp	f6ppA	w22pp	S25Hp	F6H1	S31Hp	w27pp	w31pp	w20pp	w32pp	w3pp	f19pp	w13pp	f31pp	f15pp	w1pp	w23pp	f18pp	f21pp	w10pp	s12pp	w29pp	s29pp	w26pp
f10pp	0.4608937393309283	0.4740877697365678	0.39560283229851423	0.39884561461008594	0.40177663525327545	0.389019064255451	0.37156089093045025	0.3445384125509316	0.2629170177549496	0.2043415004116875	0.0	0.1981955842094722	0.5992946564817748	0.5952868210114398	0.40864192704658825	0.19849627162447883	0.3151931727345406	0.3627935419067852	0.4214666223542928	0.3873340857751266	0.40498881233093764	0.34709916807571306	0.45514474134159033	0.45621708541505085	0.4528057083467765	0.38441664124142233	0.4195045910922438	0.44014969848723	0.44919612515925145	0.43008524022554284	0.4289077080419358	0.3883144136373772	0.4063505655053322	0.3763422461012006	0.3675059835368508	0.37816378416318697	0.46322408218559313	0.40972541233045	0.41429575823514997	0.38982217922079676	0.39959907260309785	0.44070171934518504	0.4047526771275787
w11pp	0.5029380905760553	0.5161321209816949	0.4376471835436413	0.440889965855213	0.4438209864984025	0.4310634155005781	0.4136052421755773	0.38658276379605866	0.30496136900007664	0.2463858516568145	0.1981955842094722	0.0	0.4883641166850433	0.4843562812147083	0.2977113872498567	0.24054062286960584	0.3572375239796677	0.40483789315191226	0.46351097359941984	0.4293784370202537	0.4470331635760647	0.3891435193208401	0.4971890925867174	0.4982614366601779	0.4948500595919036	0.4264609924865494	0.46154894233737087	0.4821940497323571	0.4912404764043785	0.4721295914706699	0.47095205928706285	0.43035876488250424	0.4483949167504593	0.41838659734632766	0.4095503347819779	0.42020813540831403	0.5052684334307201	0.4517697635755771	0.45634010948027703	0.4318665304659238	0.4416434238482249	0.4827460705903121	0.44679702837270574
S20H1	0.9040371628483577	0.9172311932539972	0.8387462558159436	0.8419890381275154	0.8449200587707049	0.8321624877728805	0.8147043144478797	0.7876818360683611	0.7060604412723792	0.647484923929117	0.5992946564817748	0.4883641166850433	0.0	0.3945024005577566	0.4360705247624448	0.6416396951419084	0.7583365962519701	0.8059369654242148	0.8646100458717223	0.8304775092925561	0.8481322358483672	0.7902425915931426	0.8982881648590197	0.8993605089324803	0.8959491318642059	0.8275600647588517	0.8626480146096732	0.8832931220046594	0.8923395486766809	0.8732286637429723	0.8720511315593652	0.8314578371548066	0.8494939890227616	0.81948566961863	0.8106494070542802	0.8213072076806164	0.9063675057030225	0.8528688358478793	0.8574391817525793	0.8329656027382261	0.8427424961205272	0.8838451428626144	0.847896100645008
s24H1	0.9000293273780227	0.9132233577836621	0.8347384203456086	0.8379812026571803	0.8409122233003699	0.8281546523025455	0.8106964789775447	0.783674000598026	0.7020526058020442	0.643477088458782	0.5952868210114398	0.4843562812147083	0.3945024005577566	0.0	0.4320626892921098	0.6376318596715734	0.7543287607816351	0.8019291299538798	0.8606022104013873	0.8264696738222211	0.8441244003780322	0.7862347561228076	0.8942803293886847	0.8953526734621453	0.8919412963938709	0.8235522292885167	0.8586401791393382	0.8792852865343244	0.8883317132063459	0.8692208282726372	0.8680432960890302	0.8274500016844716	0.8454861535524266	0.815477834148295	0.8066415715839452	0.8172993722102814	0.9023596702326875	0.8488610003775443	0.8534313462822443	0.828957767267891	0.8387346606501922	0.8798373073922794	0.843888265174673
f8pp	0.7133844334131713	0.7265784638188107	0.6480935263807572	0.651336308692329	0.6542673293355185	0.6415097583376941	0.6240515850126933	0.5970291066331747	0.5154077118371927	0.45683219449393053	0.40864192704658825	0.2977113872498567	0.4360705247624448	0.4320626892921098	0.0	0.4509869657067219	0.5676838668167837	0.6152842359890283	0.6739573164365359	0.6398247798573697	0.6574795064131806	0.5995898621579562	0.7076354354238333	0.7087077794972938	0.7052964024290195	0.6369073353236653	0.6719952851744868	0.6926403925694731	0.7016868192414945	0.6825759343077858	0.6813984021241788	0.6408051077196202	0.6588412595875752	0.6288329401834436	0.6199966776190938	0.63065447824543	0.7157147762678361	0.6622161064126929	0.666786452317393	0.6423128733030397	0.6520897666853408	0.693192413427428	0.6572433712098216
w17pp	0.40829886703436646	0.42149289744000595	0.3430079600019524	0.34625074231352404	0.34918176295671366	0.3364241919588892	0.3189660186338884	0.2919435402543697	0.21032214545838773	0.15174662811512563	0.19849627162447883	0.24054062286960584	0.6416396951419084	0.6376318596715734	0.4509869657067219	0.0	0.26259830043797877	0.31019866961022335	0.3688717500577309	0.3347392134785648	0.3523939400343758	0.29450429577915127	0.40254986904502843	0.403622213118489	0.4002108360502147	0.3318217689448605	0.3669097187956819	0.38755482619066817	0.39660125286268966	0.37749036792898094	0.37631283574537394	0.33571954134081533	0.3537556932087703	0.32374737380463875	0.314911111240289	0.3255689118666251	0.4106292098890313	0.3571305400338881	0.3617008859385881	0.3372273069242349	0.347004200306536	0.3881068470486232	0.35215780483101683
f11pp	0.31799992298006824	0.33119395338570773	0.25270901594765427	0.2559517982592259	0.2588828189024155	0.24612524790459106	0.2286670745795903	0.20164459620007158	0.19095964091988504	0.17519548454511513	0.3151931727345406	0.3572375239796677	0.7583365962519701	0.7543287607816351	0.5676838668167837	0.26259830043797877	0.0	0.21989972555592524	0.2785728060034328	0.24444026942426667	0.2620949959800777	0.20420535172485313	0.31225092499073026	0.31332326906419083	0.3099118919959165	0.2415228248905623	0.27661077474138374	0.29725588213637	0.3063023088083915	0.28719142387468277	0.2860138916910758	0.24542059728651713	0.26345674915447215	0.23344842975034055	0.22461216718599078	0.23526996781232692	0.32033026583473306	0.26683159597958994	0.2714019418842899	0.2469283628699367	0.2567052562522378	0.29780790299432497	0.2618588607767186
f17ppB	0.29057919339853155	0.30377322380417104	0.22528828636611758	0.22853106867768924	0.2314620893208788	0.21870451832305438	0.2012463449980536	0.1742238666185349	0.23856001009212963	0.22279585371735972	0.3627935419067852	0.40483789315191226	0.8059369654242148	0.8019291299538798	0.6152842359890283	0.31019866961022335	0.21989972555592524	0.0	0.2511520764218961	0.21701953984272998	0.234674266398541	0.17678462214331644	0.28483019540919363	0.28590253948265415	0.2824911624143798	0.2141020953090256	0.24919004515984708	0.2698351525548333	0.27888157922685475	0.25977069429314614	0.2585931621095391	0.21799986770498045	0.23603601957293546	0.20602770016880387	0.1971914376044541	0.20784923823079024	0.2929095362531964	0.23941086639805323	0.24398121230275321	0.2195076332884	0.2292845266707011	0.2703871734127883	0.23443813119518192
f30pp	0.2956416079287012	0.30883563833434075	0.23035070089628723	0.23359348320785892	0.23652450385104848	0.22376693285322405	0.20630875952822328	0.2199028997773727	0.2972330905396372	0.2814689341648673	0.4214666223542928	0.46351097359941984	0.8646100458717223	0.8606022104013873	0.6739573164365359	0.3688717500577309	0.2785728060034328	0.2511520764218961	0.0	0.18010770048514527	0.23973668092871067	0.18184703667348612	0.2898926099393633	0.29096495401282385	0.28755357694454947	0.21916450983919528	0.25425245969001675	0.274897567085003	0.28394399375702445	0.2648331088233158	0.26365557663970873	0.22306228223515012	0.24109843410310514	0.21109011469897354	0.20225385213462377	0.2129116527609599	0.297971950783366	0.2444732809282229	0.2490436268329229	0.22457004781856968	0.23434694120087077	0.27544958794295793	0.23950054572535157
w19pp	0.2615090713495351	0.2747031017551746	0.19621816431712114	0.1994609466286928	0.20239196727188236	0.18963439627405793	0.17217622294905716	0.18577036319820658	0.26310055396047105	0.24733639758570114	0.3873340857751266	0.4293784370202537	0.8304775092925561	0.8264696738222211	0.6398247798573697	0.3347392134785648	0.24444026942426667	0.21701953984272998	0.18010770048514527	0.0	0.20560414434954455	0.14771450009432	0.2557600733601971	0.2568324174336577	0.2534210403653834	0.18503197326002915	0.22011992311085063	0.24076503050583686	0.24981145717785833	0.23070057224414967	0.22952304006054264	0.188929745655984	0.206965897523939	0.17695757811980742	0.16812131555545765	0.1787791161817938	0.26383941420419993	0.21034074434905678	0.21491109025375676	0.19043751123940356	0.20021440462170464	0.24131705136379183	0.20536800914618547
